,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Range,Hazardous,Supplier Product Code,Type,WEEE Compliant,Application,Feature 1,Feature 2,Pack Quantity,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Pack Type,Feature 9,Feature 10,Feature 11,Feature 12,Feature 13,Feature 14,Feature 15
10,P605690,Adey Magnascale2 15Mm Compression Fit (1),Adey,48.76,"Fitted with standard 15mm compression connections, the Adey MagnaScale2 scale reducer is specifically for use in properties where the water hardness is above 200ppm. Protecting individual appliances, this effective scale reducer cleverly alters the composition of water for long lasting protection from limescale.",Heating/Water Treatment Products/Scale Reducer/Scale Reducer.csv -> Adey Magnascale2 15Mm Compression Fit (1),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/56/90/NW-605690_wm.jpg,,,,,,N,SR1-03-05230,Scale Reducer,N,Domestic,15mm compression connection,"Low-lead brass body and end caps, with internal magnet",1,"Alters composition of the water as it passes through, preventing the water from depositing scale into the appliance",Totally maintenance-free,Immediate limescale protection for an individual appliance,"No running costs, no mains power required",Approved by WRAS,10 year warranty,,,,,,,,
11,P609297,Adey ElectroScale 2 compression fit scale reducer 22mm - Price Offer,Adey,45.25,"Suitable for use in areas where water hardness is over 200ppm, the Adey ElectroScale 2 compression fit scale reducer could help installers to meet Part L of Building Regs. Fitted with 22mm connections, this scale reducer reduces the issue of limescale, protecting appliances including kettles and irons, as well as boilers, to preserve efficiency and minimise the risk of damage.",Heating/Water Treatment Products/Scale Reducer/Scale Reducer.csv -> Adey ElectroScale 2 compression fit scale reducer 22mm - Price Offer,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/56/89/605689_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Adey_Electroscale_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Adey_Domestic_Product_Range_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Adey_Electroscale_2_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,
12,P608236,Fernox magnetic scale reducer 15 mm,Fernox,50.57,"Easy to connect to 15mm pipework, the Fernox magnetic scale reducer range provides effective single appliance protection, keeping boilers free from the damaging effects of scale. Working for up to 10 years, dependent on water usage levels, this scale reducer requires no ongoing maintenance and is ideal for use in hard water areas which exceed 200ppm, helping systems to maintain good levels of energy efficiency.",Heating/Water Treatment Products/Scale Reducer/Scale Reducer.csv -> Fernox magnetic scale reducer 15 mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/82/36/NW-608236_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Fernox_58264_MagneticScale_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Fernox_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,
13,PB98563,Monarch Water filter cartridge,Monarch Water,13.09,The low cost Monarch Water Scaleout internal filter cartridge should be changed annually for effective scale protection.,Heating/Water Treatment Products/Scale Reducer/Scale Reducer.csv -> Monarch Water filter cartridge,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/85/63/NW-B98563_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/el/ey/PRODUCT_GUIDE_wolseley.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Monarchwater_SPF10_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,
14,P171316,Calmag CalLytic comp water conditioner 22mm,Calmag,33.84,"Protecting from the damage that can be caused by hard scale, this Calmag CalLytic 22mm compression fit electrolytic scale inhibitor is installed on cold water lines to keep pipework, boilers and hot water appliances throughout a home working effectively and efficiently without chemicals.",Heating/Water Treatment Products/Scale Reducer/Scale Reducer.csv -> Calmag CalLytic comp water conditioner 22mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/13/16/NW-171316_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Calmag_CalLytic_Scale_22mm_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Calmag_CalLytic_Scale_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,
15,P292230,Sentinel SESI electrolytic scale inhibitor 15mm (1),Sentinel,67.37,"Limescale build-up inside household appliances can cause them to run less effectively, increases the likelihood of premature breakdown and impairs the efficiency of heat transfer. The Sentinel SESI is a cost-effective scale inhibitor solution to help tackle limescale build up and could save up to £130 a year on typical energy bills.",Heating/Water Treatment Products/Scale Reducer/Scale Reducer.csv -> Sentinel SESI electrolytic scale inhibitor 15mm (1),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/22/31/NW-292230_292231_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/fl/et/PlumbCenter_SystemCare_Leaflet.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Sentinel_SESI_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Salamander_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,
16,P609318,Fernox Electrolytic Scale Reducer 15mm Compression (1),Fernox,60.95,"Helping to protect appliances by preventing the build-up of scale, the Fernox 15mm electrolytic scale reducer pack uses electrolytic principles for reliable, maintenance-free operation for up to ten years. This smart tool alters the structure of hardness salts and induces coagulation so scale can't build up and damage boilers, kettles, showers and irons. Using a scale reducer of this type can help meet Part L of the Building Regulations (England and Wales) in hard water areas exceeding 200ppm where provision needs to be made to treat feed water to water heaters and the hot water circuits of combination boilers to help improve energy efficiency.",Heating/Water Treatment Products/Scale Reducer/Scale Reducer.csv -> Fernox Electrolytic Scale Reducer 15mm Compression (1),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/93/18/609318_wm.jpg,,,,,,N,62551,Scale Reducer,N,Domestic,With 15mm compression connections,Prevent scale buildup using electrolytic principles,1,Offers whole house protection,Brass construction,Nickel-plated finish,Requires no maintenance,Built to last for up to 10 years,WRAS approved,Box,,,,,,,
17,P606169,Fernox F3 central heating cleaner pack 500ml,Fernox,14.99,"Universal and pH neutral, Fernox F3 cleaner pack includes an effective, non-foaming liquid cleaner formulated to remove sludge, scale and debris from central heating systems, helping to restore efficiency and do away with boiler noise. It can also be employed when commissioning new systems to remove flux residues and other installation debris, helping to extend the life of the boiler and maintain system efficiency. Supplied in a 500ml bottle, F3 can be used during power flushing to accelerate the cleaning process. A non-hazardous product, this cleaner is safe for use with all metals used in normal heating systems, including aluminium.",Heating/Water Treatment Products/Scale Reducer/Scale Reducer.csv -> Fernox F3 central heating cleaner pack 500ml,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/61/69/NW-606169_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Fernox_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/Fernox_56600_SDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Fernox_56600-CleanerF3_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_h/&s/Fernox_CentralHeatingCleanerF3_H&S.pdf,,,,,,,,,,,,,,,,,,,,,,,
18,P609936,Center CB complete magnetic scale reducer 22mm,Center CB,27.53,"Creating a magnetic field, this Center CB 22mm magnetic scale inhibitor encourages hard scale particles to coalesce into needle-shaped crystals for easy flushing from your water system. Designed for installation on cold water lines, this inhibitor prevents new formation of limescale while also helping to soften existing scale that has previously formed around taps, sinks and showers via regular contact with treated water. In the months after installation you'll notice a gradual increase in hot water efficiency.",Heating/Water Treatment Products/Scale Reducer/Scale Reducer.csv -> Center CB complete magnetic scale reducer 22mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/99/36/NW-609936_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/15/mm/Center_Magnetic_Scale_Inhibitor_15mm.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/CenterCB_609935-609938_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/CenterCB_609935-609936_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,
19,P292231,Sentinel electrolytic scale inhibitor 22mm,Sentinel,119.43,"The cost-effective Sentinel 22mm electrolytic scale inhibitor tackles limescale build-up with long-term results. Requiring no maintenance, this inhibitor helps to protect appliances and water systems throughout the house without the use of chemicals that could affect drinking water.",Heating/Water Treatment Products/Scale Reducer/Scale Reducer.csv -> Sentinel electrolytic scale inhibitor 22mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/22/31/NW-292230_292231_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/fl/et/PlumbCenter_SystemCare_Leaflet.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Sentinel_SESI_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Salamander_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,
20,P609313,Adey Commercial Water diagnostics test kit,Adey,70.63,"A premium water testing service, the Adey System Diagnostics Test Kit is designed for use by contractors and facility and commercial plant room managers requiring active testing and monitoring of the water used in heating and chilled systems. Testing for common commercial water quality issues, this service provides more than simple validation of system cleaning, flushing and inhibitor dosing, giving users actionable diagnostics and advice. Testing for pH, suspended and dissolved solids, chloride, aluminium, copper, iron, zinc, molybdate, sodium nitrite and conductivity, analysis takes place at UKAS accredited laboratories. Accredited test reports are supplied by Alpha Scientific within 72 hours of sample receipt with the option to discuss results and recommendations with the team in detail. Adey's analysis service can help you to build an ongoing programme of system maintenance and servicing using chemical water treatment, air removal and system filtration for long term improvements to your system's health an",Heating/Water Treatment Products/Scale Reducer/Scale Reducer.csv -> Adey Commercial Water diagnostics test kit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/93/13/609313_wm.jpg,,,,,Commercial Water,N,CP1-03-06460,Diagnostics Test Kit,N,Commercial heating & chilled system process water analysis,Accurate indicators of system health,2x 150ml water sample bottles for samples from different areas,,"Results from independent, UKAS accredited laboratories","Quick, accurate and reliable testing",Offers 11x system water health-check parameters,Includes pre-paid Royal Mail 1st Class postage to lab,72-hour test report turnaround upon receipt,Secure online system diagnostics test portal,,Online management of test submissions,View sample progress online,Download test reports and view test report history online,Access to online portal can be granted to others,Direct access to discuss test results,Adey can advise on remedial actions,Testing complies with BSRIA guidance BG29/2021 Table 4 & 5 & BG50/2021 Table 1
21,P292310,Lifescience scale reducer 0-28mm,Lifescience,115.0,"An entry-level unit, the Lifescience 0 - 28mm scale reducer has been designed for use by housing associations and developers. This compact unit is tamper-resistant and automatically resets, meaning that there's no requirement for monitoring. Completely waterproof, this scale reducer is suitable for use in damp or hostile environments, including in commercial catering settings, shower blocks and as part of external irrigation systems.",Heating/Water Treatment Products/Scale Reducer/Scale Reducer.csv -> Lifescience scale reducer 0-28mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/23/10/292310_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Lifescience_WaterKing_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
22,P171326,Cistermiser Combimate scale reducer 22mm,Cistermiser,175.11,The user-friendly Cistermiser Combimate 22mm scale reducer is an effective domestic limescale prevention device harnessing the power of Combiphos. This fully approved food-grade polyphosphate compound can stop the build-up of scale as well as preventing soft water corrosion in combi boilers and other domestic hot water appliances.,Heating/Water Treatment Products/Scale Reducer/Scale Reducer.csv -> Cistermiser Combimate scale reducer 22mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/13/26/NW-171326_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Cistermiser_Combimate_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
23,P609092,Adey MCZero monopropylene glycol 25ltr,Adey,298.11,"Preventing freezing in all water types, Adey MC Zero antifreeze is a concentrated monopropylene formulation that can also prevent metal corrosion and protect against the formation of damaging scale. Protecting domestic central heating systems in the long term, MC Zero is pH neutral and completely safe for use with those metals and alloys usually present in a heating system, including mild steel, copper and aluminium, as well as their various alloys.",Heating/Water Treatment Products/Scale Reducer/Scale Reducer.csv -> Adey MCZero monopropylene glycol 25ltr,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/90/92/NW-609092_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Adey_Domestic_Product_Range_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/Adey_MC_Zero+_SDS.pdf,,,,,,,,,,,,,,,,,,,,,,,,,
24,P605688,Adey elctrodescale 2 compression fit 15mm (1),Adey,61.13,"Fitted with standard 15mm compression connections, the Adey ElectroScale2 scale reducer is specifically for use in properties where the water hardness is above 200ppm. Helping to improve system efficiency, this effective scale reducer cleverly alters the composition of water for long lasting protection from limescale throughout the house.",Heating/Water Treatment Products/Scale Reducer/Scale Reducer.csv -> Adey elctrodescale 2 compression fit 15mm (1),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/56/88/605688_wm.jpg,,,,,,N,SR1-03-05214,Scale Reducer,N,DomesticCommercial,15mm compression connection,"External copper body, end caps low-lead brass with internal zinc anode",1,"Alters composition of the water as it passes through, preventing the water from depositing scale throughout system",Totally maintenance-free,Immediate long-term limescale protection for the whole house,"No running costs, no mains power required",Approved by WRAS,10 year warranty,,KIWA approved,,,,,,
