,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Hazardous,Dimensions (L x W x D),Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Attachment 1,Attachment 2,Range,Battery Life,Power Supply,Application,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Attachment 3,Attachment 4,Pack Quantity,Weight
10,PP95888,Geberit pressing tool and case (aco102) 230v 50-60hz,Geberit,1563.83,"Used for Geberit pressing systems, this Geberit hydraulic pressing tool with lithium-ion battery has a Bluetooth interface for convenient connection to the NovoCheck app.",Trade Essentials/Power Tools/Plumbing and Press Tools/Plumbing and Press Tools.csv -> Geberit pressing tool and case (aco102) 230v 50-60hz,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/58/88/NW-P95888_wm.jpg,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/P95888_Technical.pdf,,,,,,,,,,,,,,
11,PT86856,Rothenberger Romax 4000 electro-hydraulic press machine set mannesmann 15/22/28mm,Rothenberger,1143.99,"Lightweight to reduce user fatigue and increase comfort, this Rothenberger Romax 4000 electro-hydraulic press machine set includes fast change jaws in 15, 22 and 28mm sizes. It is powered by replaceable Li-Ion 4All 18V battery platforms and is suitable for the system dependent pressing of 32 - 34kN fittings.",Trade Essentials/Power Tools/Plumbing and Press Tools/Plumbing and Press Tools.csv -> Rothenberger Romax 4000 electro-hydraulic press machine set mannesmann 15/22/28mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/68/56/NW-T86856_wm.jpg,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Rothenberger_Romax_4000_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Rothenberger_Product_Brochure_2021.pdf,,,,,,,,,,,,,
12,PM90815,Geberit Mapress pressing jaws 15/22/28/35mm,Geberit,777.52,"This Geberit Mapress pressing jaw set contains 15mm, 22mm, 28mm and 35mm stainless steel pressing jaws.",Trade Essentials/Power Tools/Plumbing and Press Tools/Plumbing and Press Tools.csv -> Geberit Mapress pressing jaws 15/22/28/35mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/08/15/NW-M90815_wm.jpg,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Geberit_Tooling_ProductGuide_Apr2019.pdf,,,,,,,,,,,,,,
13,PM15517,Geberit Mapress set of jaws (for afp101) 22mm,Geberit,150.04,"Made of stainless steel, this Geberit Mapress pressing jaw has maximum jaw diameter of 22mm.",Trade Essentials/Power Tools/Plumbing and Press Tools/Plumbing and Press Tools.csv -> Geberit Mapress set of jaws (for afp101) 22mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/55/17/NW-M15517_wm.jpg,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Geberit_Tooling_ProductGuide_Apr2019.pdf,,,,,,,,,,,,,,
14,PM43355,Geberit Mapress pressing jaws 12/15/18/22/28/35mm,Geberit,1100.16,"The Geberit Mapress pressing jaws set, which includes six jaws of different sizes, a pipe cutter, deburrer and template, is suitable for pressing Geberit Mapress press fittings. Suitable for industrial use, this convenient kit is compatible with the brand's ACO 203 Plus pressing tool and other Geberit-suitable tools.",Trade Essentials/Power Tools/Plumbing and Press Tools/Plumbing and Press Tools.csv -> Geberit Mapress pressing jaws 12/15/18/22/28/35mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/33/55/M43355_wm.jpg,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/he/et/M43355_Tech_Sheet.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/M43355_User_Guide.pdf,,,,,,,,,,,,,
15,PM32649,Geberit Flowfit FlowFit Pressing jaw [2] 50/63/75mm,Geberit,770.43,"Suitable for diameters of 50, 63 and 75mm, this Geberit FlowFit pressing jaw kit is for use with compatible Geberit pressing tools. Lightweight and conveniently designed, these jaws require the placement of the jaw on only one side of a fitting, simply turning the pressing point in 45° increments until it reaches an accessible point. This system makes working overhead and in tight spaces, even when dealing with larger dimensions, easy. With colour-coded markings on pressing indicators matching jaws to pipe sizes is simple while FlowFit's clever detachable on-pipe pressing indicator makes it possible to keep track of your work with no need to slow things down.",Trade Essentials/Power Tools/Plumbing and Press Tools/Plumbing and Press Tools.csv -> Geberit Flowfit FlowFit Pressing jaw [2] 50/63/75mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/ma/ge/M32649_Primary_Image_wm.jpg,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/he/et/M32649_Tech_Sheet.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/M32649_Install.pdf,,,,,,,,,,,,,
16,PT86476,"Rothenberger 8-piece jaw set 1/4 - 1.1/8""",Rothenberger,1635.33,"Compatible with the Romax hydraulic tool, this Rothenberger eight-piece jaw set includes jaws for 1/4"", 3/8"", 1/2"", 5/8"", 3/4"", 7/8"", 1"" and 1 1/8"" fittings.","Trade Essentials/Power Tools/Plumbing and Press Tools/Plumbing and Press Tools.csv -> Rothenberger 8-piece jaw set 1/4 - 1.1/8""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/64/76/T86476_wm.jpg,N,,1000001989,Pressing fitting tools,N,8-piece set,For us with the Romax hydraulic tool,,,,,,,,,,,,,,,
17,PS93068,Rems Mini-Akku-Press mini-press acc lithium-ion basic pack,Rems,1448.95,"Suitable for producing joints in all common press-fitting systems, this REMS Mini-Akku-Press basic pack is fronted by a universal cordless tool with automatic circuit control. The electro-hydraulic drive has a powerful 380 W (0.52 HP) battery motor, a robust planetary gear, eccentric reciprocating pump and a safety tip switch.",Trade Essentials/Power Tools/Plumbing and Press Tools/Plumbing and Press Tools.csv -> Rems Mini-Akku-Press mini-press acc lithium-ion basic pack,,Basic pack;Electro-hydraulic drive unit;Battery pack;Rapid charger;Sturdy steel case,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/30/68/NW-S93068_wm.jpg,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/li/st/Rems_Akku_Press_ACC_Spares_List.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/Rems_Battery_Safety_Instructions.pdf,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Rems_Product_Catalogue_2020.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/nu/al/Rems_Power_Akku_Mini_Ax-Press_Manual.pdf,,
18,PM15677,Geberit Mapress pressing jaw sets 15 22 28 35mm,Geberit,687.03,"This Geberit Mapress pressing jaw set contains 15mm, 22mm, 28mm and 35mm stainless steel pressing jaws.",Trade Essentials/Power Tools/Plumbing and Press Tools/Plumbing and Press Tools.csv -> Geberit Mapress pressing jaw sets 15 22 28 35mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/56/77/NW-M15677_wm.jpg,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Geberit_Tooling_ProductGuide_Apr2019.pdf,,,,,,,,,,,,,,
19,PP96247,Geberit adaptor jaw,Geberit,678.07,This Geberit Mapress press fit adapter jaw is suitable for use with the Geberit pressing tool ACO 203XL Plus and the Geberit Mapress 2XL (76.1mm) and 3 (88.9mm) pressing collars. It is suitable for pressing large diameter 76.1 to 108mm Mapress fittings.,Trade Essentials/Power Tools/Plumbing and Press Tools/Plumbing and Press Tools.csv -> Geberit adaptor jaw,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/62/47/P96247_wm.jpg,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/P96247_User_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/he/et/P96247_Tech_Sheet.pdf,,,,,,,,,,,,,
20,PM32648,Geberit Flowfit FlowFit Pressing jaw [2] 16/20/25/32/40mm,Geberit,484.28,"Suitable for diameters of 16, 20, 25, 32 and 40mm, this Geberit FlowFit pressing jaw kit is for use with compatible Geberit pressing tools. Lightweight and conveniently designed, these jaws require the placement of the jaw on only one side of a fitting, simply turning the pressing point in 45° increments until it reaches an accessible point. This system makes working overhead and in tight spaces, even when dealing with larger dimensions, easy. With colour-coded markings on pressing indicators matching jaws to pipe sizes is simple while FlowFit's clever detachable on-pipe pressing indicator makes it possible to keep track of your work with no need to slow things down.",Trade Essentials/Power Tools/Plumbing and Press Tools/Plumbing and Press Tools.csv -> Geberit Flowfit FlowFit Pressing jaw [2] 16/20/25/32/40mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/ma/ge/M32648_Primary_Image_wm.jpg,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/M32648_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/he/et/M32648_Tech_Sheet.pdf,,,,,,,,,,,,,
21,PT86479,Rothenberger Romax compact twin turbo press jaw M15 x 15mm,Rothenberger,117.44,"This Rothenberger Romax 15mm twin turbo press jaw presses diameters of 12 - 35mm. Its twin cylinder design, keeping the motor and piston in parallel, reduces the tool's total length to just 340mm, while a centralised centre of gravity reduces fatigue during use.",Trade Essentials/Power Tools/Plumbing and Press Tools/Plumbing and Press Tools.csv -> Rothenberger Romax compact twin turbo press jaw M15 x 15mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/64/80/NW-T86479_T86480_wm.jpg,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Rothenberger_Product_Brochure_2021.pdf,,,,,,,,,,,,,,
22,PM43341,Geberit Mapress 690.122.00.1 Mapress Pressing Jaw 15mm,Geberit,143.5,"Designed for use with Geberit-compatible Mapress pressing tools, this Geberit Mapress 15mm press jaw is made of a tough metal with zinc plating.  Highly robust, this jaw is suitable for industrial use. For pressing tools with Geberit compatibility [1]",Trade Essentials/Power Tools/Plumbing and Press Tools/Plumbing and Press Tools.csv -> Geberit Mapress 690.122.00.1 Mapress Pressing Jaw 15mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/ma/ge/M43341_Primary_Image_wm.jpg,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Geberit_Tooling_ProductGuide_Apr2019.pdf,,,,,,,,,,,,,,
23,PP58477,Geberit grease pencil with retractable lead Yellow,Geberit,15.18,"This practical Geberit grease pencil is suitable for making marks on Geberit push-fit, Mepla and Volex system pipes.",Trade Essentials/Power Tools/Plumbing and Press Tools/Plumbing and Press Tools.csv -> Geberit grease pencil with retractable lead Yellow,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/84/77/NW-P58477_wm.jpg,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Geberit_Tooling_ProductGuide_Apr2019.pdf,,,,,,,,,,,,,,
24,PS93840,Rems Mini-Press R220G mini press promo pack 22V (1),Rems,2098.17,"Compact and lightweight, the Rems Mini-Press 22V ACC promo pack presses in under four seconds using an automatic pressing process with automatic circuit control. Durable and efficient, this press tool is made of specially hardened steel for long lasting durability.",Trade Essentials/Power Tools/Plumbing and Press Tools/Plumbing and Press Tools.csv -> Rems Mini-Press R220G mini press promo pack 22V (1),,"Mini-Press;2x Li-Ion 21.6V, 2.5Ah batteries;Rapid charger;System case;M15 pressing tong mini;M22 pressing tong mini;M28 pressing tong mini;M35 pressing tong mini",https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/38/40/S93840_wm.jpg,N,,578X14,Promo Pack,N,22KN capacity,"Highly durable pressing tongs/pressing rings made of forged, tenacious, specially hardened special steel",,,Mini-Press,,22 V;2.5 Ah batteries,Press Tool,,,,,,,,1,138 kg
25,PM90852,Geberit Mapress pressing collar and case 42-54mm,Geberit,1742.6,This Geberit Mapress pressing collar set contains 42mm and 54mm steel pressing collars for operating pressures up to 25 bar.,Trade Essentials/Power Tools/Plumbing and Press Tools/Plumbing and Press Tools.csv -> Geberit Mapress pressing collar and case 42-54mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/08/52/NW-M90852_wm.jpg,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Geberit_Tooling_ProductGuide_Apr2019.pdf,,,,,,,,,,,,,,
26,PM43352,Geberit Mapress 690.224.00.1 pressing jaw 22mm,Geberit,168.64,"Designed for use with Geberit-compatible Mapress pressing toolss, this Geberit Mapress 22mm press jaw is made of a tough metal with zinc plating. Highly robust, this jaw is suitable for industrial use. For pressing tools with Geberit compatibility [2]",Trade Essentials/Power Tools/Plumbing and Press Tools/Plumbing and Press Tools.csv -> Geberit Mapress 690.224.00.1 pressing jaw 22mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/ma/ge/M43352_Primary_Image_wm.jpg,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Geberit_Tooling_ProductGuide_Apr2019.pdf,,,,,,,,,,,,,,
27,PF58015,Geberit HDPE scraper,Geberit,32.01,"Made of HDPE, this Geberit pipe scraper is for use with a pressing tool, helping to reduce fire hazards.",Trade Essentials/Power Tools/Plumbing and Press Tools/Plumbing and Press Tools.csv -> Geberit HDPE scraper,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/80/15/NW-F58015_wm.jpg,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Geberit_Tooling_ProductGuide_Apr2019.pdf,,,,,,,,,,,,,,
28,PS11414,"Rems Amigo 2 amigo 2 set r 1/2-2 """,Rems,1560.94,"This REMS threading tool set includes R 1/2, 3/4, 1, 1 1/4, 1 1/2 and 2"" size tools alongside a drive unit with maintenance-free gear and a powerful universal 230 or 110V, 50 - 60Hz, 1700W motor with safety tip switch and automatic carbon brush adjustment.","Trade Essentials/Power Tools/Plumbing and Press Tools/Plumbing and Press Tools.csv -> Rems Amigo 2 amigo 2 set r 1/2-2 """,,"R 1/2, 3/4, 1-1-1/4, 1-1/2 ;2 inch threading tools;Sturdy steel case",https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/14/14/NW-S11414_wm.jpg,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/li/st/Rems_Amigo_2_Parts_List.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Rems_Amigo_Technical.pdf,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/nu/al/Rems_Amigo_E_2_2-Compact_22V_Manual.pdf,,,
29,PT86126,Rothenberger Romax compact pressliner 22mm,Rothenberger,117.44,"Made of high quality materials, these Rothenberger Romax 22mm compact press jaws are suitable for crimping fittings of up to 40mm diameter in plastic or multilayer pipes or up to 35mm diameter in metal.",Trade Essentials/Power Tools/Plumbing and Press Tools/Plumbing and Press Tools.csv -> Rothenberger Romax compact pressliner 22mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/61/26/NW-T86126_wm.jpg,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Rothenberger_Product_Brochure_2021.pdf,,,,,,,,,,,,,,
