,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Range,Voltage (V),Warranty,Weight,Hazardous,Sound Power Level (Indoors),Output,Depth (mm),Mounting Type,Compressor Type,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Attachment 1,Attachment 2,Attachment 3,Feature 9,Feature 10,Feature 11,Feature 12,Attachment 4,Attachment 5,Attachment 6,Refrigerant Suitability
10,P143373,Samsung AE120RXYDEG/EU mono air source heat pump R32 5 - 4.35kW,Samsung,1716.21,This Samsung 5 - 4.35kW 240V mono air source heat pump is suitable for use with R32 refrigerant.,Renewables/Air Source Heat Pumps (ASHP)/Air to Water Heat Pumps/Air to Water Heat Pumps.csv -> Samsung AE120RXYDEG/EU mono air source heat pump R32 5 - 4.35kW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/44/131044_wm.jpg,,240,7 Years,110kg,N,50 dB(A),5 kW,330,Floor,Invertor,HHSA-G60005-01,Air to Air Heat Pump,N,Inverter type compressor,Floor standing,Air-to-air operation,7 year warranty,,,,,,,,,,,,,,,
11,P613803,Mitsubishi Ecodan PUZ coastal monobloc unit 11.2kw,Mitsubishi,3564.36,"Supplying a reliable 11kW output, the Mitsubishi Ecodan PUZ Coastal monobloc air source heat pump is a highly efficient renewable heating system suitable for a range of potential uses.",Renewables/Air Source Heat Pumps (ASHP)/Air to Water Heat Pumps/Air to Water Heat Pumps.csv -> Mitsubishi Ecodan PUZ coastal monobloc unit 11.2kw,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/38/03/NW-613803_wm.jpg,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Mitsi_Heating_Catalogue_2021.pdf,,,,,,,,,,
12,P143372,Samsung AE160RXYDEG/EU 1 phase mono air source heat pump 16 - 12.28kW R32,Samsung,2984.76,"Extremely energy efficient, the Samsung AE160RXYDEG/EU single phase mono air source heat pump uses the heat from the air to supply both heating and hot water. Transferring ambient air into a property via a hydronic system like underfloor heating, this heat pump helps to improve efficiency, requiring less power input than a conventional boiler while also offering a higher output. Bolted to anti-vibration feet, the AE160RXYDEG/EU operates quietly to minimise disruption.",Renewables/Air Source Heat Pumps (ASHP)/Air to Water Heat Pumps/Air to Water Heat Pumps.csv -> Samsung AE160RXYDEG/EU 1 phase mono air source heat pump 16 - 12.28kW R32,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/33/72/143370_143372_wm.jpg,,220 - 240,7 Year,110kg,N,52 dB(A),16 kW,330,Bolted to Anti-Vibrate Feet,BLDC Twin Rotary,HHSM-G600016-1,Air to Air Heat Pump,N,"SCOP of 4.85, best on the MCS database",Offers 65°C hot water,45dB(A) sound level for disruption-free operation,Offers outputs of 5kW,Low GWP for more efficient use,Compatible with R32 refrigerant,With anti-vibration feet,7 year warranty,,,,,,,,,,,
13,P610195,Mitsubishi Ecodan PUZ-WM112VAA(-BS) monobloc unit 11.2kw,Mitsubishi,3394.44,"Innovative and attractively designed, the Mitsubishi Ecodan 11.2kW monobloc unit air source heat pump is a single fan outdoor unit packed with advanced technologies, including the use of R32 refrigerant, to deliver an extremely high level of efficiency. The Ecodan's extremely low operating noise levels do away with the need for planning permission in most situations and improve siting options.",Renewables/Air Source Heat Pumps (ASHP)/Air to Water Heat Pumps/Air to Water Heat Pumps.csv -> Mitsubishi Ecodan PUZ-WM112VAA(-BS) monobloc unit 11.2kw,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/01/95/NW-610195_wm.jpg,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Mitsi_Heating_Catalogue_2021.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/610195_Technical.pdf,,,,,,,,,
14,P119663,Vaillant aroTHERM plus VWL 75 / 6 air source heat pump 7kW,Vaillant,3913.4,"An outdoor solution with monobloc technology, the Vaillant aroTHERM Plus 7kW air-to-water heat pump offers excellent performance combined with a high level of energy efficiency. Employing natural refrigerant R290, the aroTHERM Plus has an extremely low Global Warming Potential (GWP) of 3. It also operates very quietly, with a 54dB(A) sound level, making it suitable for flexible installation in even the most densely populated housing estates.",Renewables/Air Source Heat Pumps (ASHP)/Air to Water Heat Pumps/Air to Water Heat Pumps.csv -> Vaillant aroTHERM plus VWL 75 / 6 air source heat pump 7kW,,Air-to-water heat pumpDirt filterSafety valveExpansion vesselFilling loop and pressure gaugeValvesHydraulic and wiring connectionsHeating systemWarranty card,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/96/63/NW-119663_wm.jpg,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Vaillant_aroTHERM_plus_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Vaillant_aroTHERM_plus_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Vaillant_aroTHERM_plus_VWL_Install.pdf,,,,,,,,
15,P490733,BOSCH COMPRESS 2000 AWF 12KW FULL MONO,Bosch,4436.0,"Reducing clutter in the home, the Bosch Compress 2000 AWF 12kW reversible single-phase heat pump is fully integrated into a single monobloc design with no need for an indoor unit. It is fast and simple to install with no need for experience or knowledge of refrigerant handling. Making life easy for the end user, the Compress 2000 has a detachable touchscreen interface that can be fitted inside, putting complete control at the homeowner's fingertips.",Renewables/Air Source Heat Pumps (ASHP)/Air to Water Heat Pumps/Air to Water Heat Pumps.csv -> BOSCH COMPRESS 2000 AWF 12KW FULL MONO,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/07/33/490733_wm.jpg,,230,2 years,129 kg,N,65dB(A),10 kW,445,Floor or Wall,Rotary,7738602281,Air to Water Heat Pump,N,Integrated hydraulic components for small installation footprint,Indoor unit not required,"Quick, easy installation",Installers do not need to know how to handle refrigerants for installation,Simple user interface with intuitive touchscreen,Touchscreen is detached fom ODU for indoor installation,Suitable for cascading of up to 6x units,"3x optional sound modes, standard, silent and super silent",,,,Range of accessories available,2 year warranty,,,,,,
16,P605852,Mitsubishi Ecodan PUZ monobloc ASHP unit 8.5kW,Mitsubishi,2836.84,"Whether it's a small home or a large commercial premises, the Mitsubishi Ecodan PUZ 8.5kW air source heat pump unit is capable of supplying a renewable, low carbon alternative to conventional heating systems. Whatever the conditions outside, this heat pump works efficiently and sustainably to provide reliable heating and hot water to a property using renewable technology for a reduced carbon footprint.",Renewables/Air Source Heat Pumps (ASHP)/Air to Water Heat Pumps/Air to Water Heat Pumps.csv -> Mitsubishi Ecodan PUZ monobloc ASHP unit 8.5kW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/58/52/NW-605852_wm.jpg,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Mitsi_Heating_Catalogue_2021.pdf,,,,,,,,,,
17,P490593,Bosch CS AW 5800i Heat Pump 7kW Outdoor Unit,Bosch,4015.0,"Operating on environmentally sound R290 refrigerant, the Bosch Compress AW 5800i 7kW monobloc outdoor heat pump unit holds an ErP A+++ rating for heating at 35°C and an A rating for hot water delivery, helping homeowners to save on costs while reducing their carbon footprints. Suitable for installation in new build and renovation projects, this quiet heat pump unit is simple to install as well as being easy to use and effortless to maintain.",Renewables/Air Source Heat Pumps (ASHP)/Air to Water Heat Pumps/Air to Water Heat Pumps.csv -> Bosch CS AW 5800i Heat Pump 7kW Outdoor Unit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/05/93/490593_wm.jpg,CS AW,230,257,143Kg,N,31,7 kW,540,Free standing,Rotary,8738213466,Air to Water Heat Pump,N,High flow for hot water comfort,Futureproof design,Uses environmentally friendly R290 refrigerant,Rotary-type compressor,Freestanding installation for flexibility,"2, 5 and 7 year warranties available",,,,,,,,,,,,,
18,P694129,Daikin Altherma EDLA04EV3 Low Temperature Small Monobloc - Heating Only 4KW,Daikin,3208.54,"Suitable for heating only use, the Daikin Altherma 4kW low temperature air-to-water monobloc has a compact, single package design that is ideal for installation in properties where indoor space is limited. In addition to supplying heat, the Altherma can be adapted to provide domestic hot water.",Renewables/Air Source Heat Pumps (ASHP)/Air to Water Heat Pumps/Air to Water Heat Pumps.csv -> Daikin Altherma EDLA04EV3 Low Temperature Small Monobloc - Heating Only 4KW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/41/29/694129_wm.jpg,Altherma,230 +/-10%,,88.0,N,58.0,4 kW,362,Floor,Hermetically sealed swing compressor,EDLA04EV3,Low Temperature Small Monobloc,N,Monobloc all-in-one concept including hydraulic parts,WLAN cartridge included,Can be combined with domestic hot water,Energy efficient,Heat only based on air-to-water heat pump technology,Separate back-up heater kit,,,,,,,,,,,,,
19,P119670,Vaillant aroTHERM PLUS air source heat pump and uniTOWER 12kW,Vaillant,7846.35,"Eco-friendly and efficient, the Vaillant aroTHERM Plus 12kW air-to-water heat pump employs R290 refrigerant, contributing to an extremely low GWP and a SCOP of up to 4.88. This pump operates extremely quietly, making it a great choice for built-up areas and terraced housing, while a salt-resistant construction ensures reliable protection in seaside residences. The monobloc aroTHERM Plus is supplied with Vaillant's ready-wired, easy to install 190L uniTOWER integrated hot water cylinder and hydraulic module for the highest possible ErP efficiency of A+++.",Renewables/Air Source Heat Pumps (ASHP)/Air to Water Heat Pumps/Air to Water Heat Pumps.csv -> Vaillant aroTHERM PLUS air source heat pump and uniTOWER 12kW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/6-/70/119666-70_wm.jpg,aroTHERM plus,230,5,194,N,30,12 kW,449,Outdoors,Rotary,0010037205,Air Source Heat Pump,N,"Energy saving design, with a SCOP up to 4.88",Suitable for retro-fit and new build,"Ideal for underfloor heating, radiators and fan coils","Sound power as low as 54 dB(A), suitable for terraced housing estates",Low Global Warming potential (GWP) of 3,Monobloc technology with hermetically-sealed refrigerant circuit,Uses natural refrigerant R290,Salt-resistant construction C5 class for installation under 150M from the sea,,,,Supplies up to 25% more usable hot water at a 75°C flow temperature,Maximum temperature setting eliminates need for an electric immersion heater for Legionella protection,5 year warranty,,,,,
20,P119661,Vaillant aroTHERM plus VWL 35 / 6 air source heat pump 3.5kW,Vaillant,3304.8,"An outdoor solution with monobloc technology, the Vaillant aroTHERM Plus 3.5kW air-to-water heat pump offers excellent performance combined with a high level of energy efficiency. Employing natural refrigerant R290, the aroTHERM Plus has an extremely low Global Warming Potential (GWP) of 3. It also operates very quietly, with a 54dB(A) sound level, making it suitable for flexible installation in even the most densely populated housing estates.",Renewables/Air Source Heat Pumps (ASHP)/Air to Water Heat Pumps/Air to Water Heat Pumps.csv -> Vaillant aroTHERM plus VWL 35 / 6 air source heat pump 3.5kW,,Air-to-water heat pumpDirt filterSafety valveExpansion vesselFilling loop and pressure gaugeValvesHydraulic and wiring connectionsHeating systemWarranty card,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/96/62/NW-119661_119662_wm.jpg,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Vaillant_aroTHERM_plus_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Vaillant_aroTHERM_plus_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Vaillant_aroTHERM_plus_VWL_Install.pdf,,,,,,,,
21,P119669,VAIL AROTHERM PLUS 10KW + UNITOWER,Vaillant,7563.3,"Eco-friendly and efficient, the Vaillant aroTHERM Plus 10kW air-to-water heat pump employs R290 refrigerant, contributing to an extremely low GWP and a SCOP of up to 4.88. This pump operates extremely quietly, making it a great choice for built-up areas and terraced housing, while a salt-resistant construction ensures reliable protection in seaside residences. The monobloc aroTHERM Plus is supplied with Vaillant's ready-wired, easy to install 190L uniTOWER integrated hot water cylinder and hydraulic module for the highest possible ErP efficiency of A+++.",Renewables/Air Source Heat Pumps (ASHP)/Air to Water Heat Pumps/Air to Water Heat Pumps.csv -> VAIL AROTHERM PLUS 10KW + UNITOWER,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/6-/70/119666-70_wm.jpg,aroTHERM plus,230,5,194,N,30,10 kW,449,Outdoors,Rotary,0010037204,Air Source Heat Pump,N,"Energy saving design, with a SCOP up to 4.88",Suitable for retro-fit and new build,"Ideal for underfloor heating, radiators and fan coils","Sound power as low as 54 dB(A), suitable for terraced housing estates",Low Global Warming potential (GWP) of 3,Monobloc technology with hermetically-sealed refrigerant circuit,Uses natural refrigerant R290,Salt-resistant construction C5 class for installation under 150M from the sea,,,,Supplies up to 25% more usable hot water at a 75°C flow temperature,Maximum temperature setting eliminates need for an electric immersion heater for Legionella protection,5 year warranty,,,,,
22,P119662,Vaillant aroTHERM plus VWL 55 / 6 air source heat pump 5kW,Vaillant,3482.45,"An outdoor solution with monobloc technology, the Vaillant aroTHERM Plus 5kW air-to-water heat pump offers excellent performance combined with a high level of energy efficiency. Employing natural refrigerant R290, the aroTHERM Plus has an extremely low Global Warming Potential (GWP) of 3. It also operates very quietly, with a 54dB(A) sound level, making it suitable for flexible installation in even the most densely populated housing estates.",Renewables/Air Source Heat Pumps (ASHP)/Air to Water Heat Pumps/Air to Water Heat Pumps.csv -> Vaillant aroTHERM plus VWL 55 / 6 air source heat pump 5kW,,Air-to-water heat pumpDirt filterSafety valveExpansion vesselFilling loop and pressure gaugeValvesHydraulic and wiring connectionsHeating systemWarranty card,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/96/62/NW-119661_119662_wm.jpg,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Vaillant_aroTHERM_plus_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Vaillant_aroTHERM_plus_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Vaillant_aroTHERM_plus_VWL_Install.pdf,,,,,,,,
