,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Colour,Diameter,Range,Weight,Hazardous,Approvals,Gender,Material,Size,Wall Thickness (mm),Connection Type 1,Connection Type 2,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Length (M),Pack Quantity,Feature 7,Feature 8,Feature 9,Feature 10,Feature 11,Attachment 5,Attachment 6,Attachment 7
10,PP31018,M OF GF ABS CL E PIPE 169018082 6M   3/4,Georg Fischer,17.0,"Withstanding a wide temperature range and offering exceptionally high notched impact strength values, even at low temperatures, this Georg Fischer Class E 3/4"" ABS pipe, supplied in a 6M length is part of a highly robust range. The Georg Fischer ABS piping system is highly compliant and extremely efficient, making it ideal for demanding low temperature industrial applications, including refrigeration and cooling.","Pipe, Valves and Fittings/Plastic Pipe/Pressure Pipe/Pressure Pipe.csv -> M OF GF ABS CL E PIPE 169018082 6M   3/4",,1 length of pipe,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/bs/_1/ABS 1_wm.jpg,,,,,Grey,3/4,,0.21000,N,"WRAS, DWI",male,ABS,3/4 in,2.5,Spigot,Spigot,169018082,,N,Excellent resistance to abrasion,Low thermal conductivity,High impact resistance,"Offers safe, easy jointing",Maximum working pressure of 15 bar,Lightweight design,6,Per Metre,Low pressure losses,Suitable for temperatures of -50 to 60°C,WRAS approved,DWI approved,"Meets ISO, EN ISO, BS, DIN and DVS requirements",,,
11,PP96160,"TP RV0.QRL upvc stub serrated 6""",TP,69.37,"This TP 6"" serrated flange adapter is made of PVC-U. Designed for water piping systems, this fitting is suitable for use in distribution, treatment or sewage water, public or private swimming pools, thermal pools and spas, in aquariums and aquaculture and in irrigation and fountains.","Pipe, Valves and Fittings/Plastic Pipe/Pressure Pipe/Pressure Pipe.csv -> TP RV0.QRL upvc stub serrated 6""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/61/60/NW-P96158_P96160_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/17/TP_Fittings_Valves_Catalogue_2017.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,PP31031,M OF GF ABS CL T PIPE 169018107 6M   3/4,Georg Fischer,21.44,"Withstanding a wide temperature range and offering exceptionally high notched impact strength values, even at low temperatures, this Georg Fischer Class T 3/4"" ABS pipe, supplied in a 6M length is part of a highly robust range. The Georg Fischer ABS piping system is highly compliant and extremely efficient, making it ideal for demanding low temperature industrial applications, including refrigeration and cooling.","Pipe, Valves and Fittings/Plastic Pipe/Pressure Pipe/Pressure Pipe.csv -> M OF GF ABS CL T PIPE 169018107 6M   3/4",,1 length of pipe,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/03/P31003_wm.jpg,,,,,Grey,3/4,,,N,"WRAS, DWI",male,ABS,3/4 in,3.6,Spigot,Spigot,169018107,,N,Excellent resistance to abrasion,Low thermal conductivity,High impact resistance,"Offers safe, easy jointing",Maximum working pressure of 15 bar,Lightweight design,6,Per Metre,Low pressure losses,Suitable for temperatures of -50 to 60°C,WRAS approved,DWI approved,"Meets ISO, EN ISO, BS, DIN and DVS requirements",,,
13,PP31034,M OF GF ABS CL T PIPE 169018110 6M 1.1/2,Georg Fischer,54.29,"Withstanding a wide temperature range and offering exceptionally high notched impact strength values, even at low temperatures, this Georg Fischer Class T 1 1/2"" ABS pipe, supplied in a 6M length is part of a highly robust range. The Georg Fischer ABS piping system is highly compliant and extremely efficient, making it ideal for demanding low temperature industrial applications, including refrigeration and cooling.","Pipe, Valves and Fittings/Plastic Pipe/Pressure Pipe/Pressure Pipe.csv -> M OF GF ABS CL T PIPE 169018110 6M 1.1/2",,1 length of pipe,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/03/P31003_wm.jpg,,,,,Grey,1 1/2,,,N,"WRAS, DWI",male,ABS,1 1/2 in,6,Spigot,Spigot,169018110,,N,Excellent resistance to abrasion,Low thermal conductivity,High impact resistance,"Offers safe, easy jointing",Maximum working pressure of 15 bar,Lightweight design,6,Per Metre,Low pressure losses,Suitable for temperatures of -50 to 60°C,WRAS approved,DWI approved,"Meets ISO, EN ISO, BS, DIN and DVS requirements",,,
14,PP31006,M OF GF ABS CL C PIPE 169018036 6M     2,Georg Fischer,41.61,"Withstanding a wide temperature range and offering exceptionally high notched impact strength values, even at low temperatures, this Georg Fischer Class C 2"" ABS pipe, supplied in a 6M length is part of a highly robust range. The Georg Fischer ABS piping system is highly compliant and extremely efficient, making it ideal for demanding low temperature industrial applications, including refrigeration and cooling.","Pipe, Valves and Fittings/Plastic Pipe/Pressure Pipe/Pressure Pipe.csv -> M OF GF ABS CL C PIPE 169018036 6M     2",,1 length of pipe,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/03/P31003_wm.jpg,,,,,Grey,2,,,N,"WRAS, DWI",male,ABS,2 in,3.6,Spigot,Spigot,169018036,,N,Excellent resistance to abrasion,Low thermal conductivity,High impact resistance,"Offers safe, easy jointing",Maximum working pressure of 15 bar,Lightweight design,6,Per Metre,Low pressure losses,Suitable for temperatures of -50 to 60°C,WRAS approved,DWI approved,"Meets ISO, EN ISO, BS, DIN and DVS requirements",,,
15,PP96159,"TP RV0.QRL upvc stub serrated 4""",TP,26.92,"This TP 4"" serrated flange adapter is made of PVC-U. Designed for water piping systems, this fitting is suitable for use in distribution, treatment or sewage water, public or private swimming pools, thermal pools and spas, in aquariums and aquaculture and in irrigation and fountains.","Pipe, Valves and Fittings/Plastic Pipe/Pressure Pipe/Pressure Pipe.csv -> TP RV0.QRL upvc stub serrated 4""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/61/60/NW-P96158_P96160_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/17/TP_Fittings_Valves_Catalogue_2017.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,PP57924,"Georg Fischer TP ABS pipe (class E) 6mtr x 1.1/2""",Georg Fischer,75.44,"Made of ABS, this Georg Fischer TP 1 1/2"" pipe offers high impact resistance and elasticity, performing throughout a wide temperature range and at pressures up to 15 bar. This 6M long pipe is resistant to a range of acids, bases, salts and oils.","Pipe, Valves and Fittings/Plastic Pipe/Pressure Pipe/Pressure Pipe.csv -> Georg Fischer TP ABS pipe (class E) 6mtr x 1.1/2""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/79/25/NW-P57922_P57925_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Georg_Fischer_TP_Product_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,PP16252,VULC W904 MECH ACCESS PIPE           102,Durapipe,308.81,"Purpose-built for chemical resistance, this Durapipe Vulcathene 102mm polypropylene access pipe is part of a plumbing system specified for use in laboratories in educational facilities, hospitals and research facilities. Supplied in a 390mm length, Vulcathene offers two simple jointing methods, with a mechanical option for demountable joints and Enfusion electrofusion welded joints, offering versatility for the installers of these chemical waste systems.","Pipe, Valves and Fittings/Plastic Pipe/Pressure Pipe/Pressure Pipe.csv -> VULC W904 MECH ACCESS PIPE           102",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/62/52/NW-P16250_P16252_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Durapipe_Vulcathene_Brochure_2019.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,PP31005,M OF GF ABS CL C PIPE 169018035 6M 1.1/2,Georg Fischer,30.92,"Withstanding a wide temperature range and offering exceptionally high notched impact strength values, even at low temperatures, this Georg Fischer Class C 1 1/2"" ABS pipe, supplied in a 6M length is part of a highly robust range. The Georg Fischer ABS piping system is highly compliant and extremely efficient, making it ideal for demanding low temperature industrial applications, including refrigeration and cooling.","Pipe, Valves and Fittings/Plastic Pipe/Pressure Pipe/Pressure Pipe.csv -> M OF GF ABS CL C PIPE 169018035 6M 1.1/2",,1 length of pipe,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/03/P31003_wm.jpg,,,,,Grey,1 1/2,,,N,"WRAS, DWI",male,ABS,1 1/2 in,2.8,Spigot,Spigot,169018035,,N,Excellent resistance to abrasion,Low thermal conductivity,High impact resistance,"Offers safe, easy jointing",Maximum working pressure of 15 bar,Lightweight design,6,Per Metre,Low pressure losses,Suitable for temperatures of -50 to 60°C,WRAS approved,DWI approved,"Meets ISO, EN ISO, BS, DIN and DVS requirements",,,
19,PP31020,M OF GF ABS CL E PIPE 169018084 6M 1.1/4,Georg Fischer,33.48,"Withstanding a wide temperature range and offering exceptionally high notched impact strength values, even at low temperatures, this Georg Fischer Class E 1 1/4"" ABS pipe, supplied in a 6M length is part of a highly robust range. The Georg Fischer ABS piping system is highly compliant and extremely efficient, making it ideal for demanding low temperature industrial applications, including refrigeration and cooling.","Pipe, Valves and Fittings/Plastic Pipe/Pressure Pipe/Pressure Pipe.csv -> M OF GF ABS CL E PIPE 169018084 6M 1.1/4",,1 length of pipe,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/bs/_1/ABS 1_wm.jpg,,,,,Grey,1.1/4,,0.52000,N,"WRAS, DWI",male,ABS,1 1/4 in,3.9,Spigot,Spigot,169018084,,N,Excellent resistance to abrasion,Low thermal conductivity,High impact resistance,"Offers safe, easy jointing",Maximum working pressure of 15 bar,Lightweight design,6,Per Metre,Low pressure losses,Suitable for temperatures of -50 to 60°C,WRAS approved,DWI approved,"Meets ISO, EN ISO, BS, DIN and DVS requirements",,,
20,PP56430,"Durapipe Astore abs pipe - class e - 1.1/2"" x 6mtr (Per Metre)",Durapipe,21.82,"Supplied in 6M lengths, this Durapipe Astore 1 1/2"" pipe is suitable for use in pressurised irrigation systems, drinking water applications, chemical installations and for water treatment. Made of 2.8mm thick ABS, this lightweight pipe offers simple installation, saving on time and costs when compared to traditional pipe materials.","Pipe, Valves and Fittings/Plastic Pipe/Pressure Pipe/Pressure Pipe.csv -> Durapipe Astore abs pipe - class e - 1.1/2"" x 6mtr (Per Metre)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/64/31/NW-P56430_P56431_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/17/Durapipe_Astore_Technical_May2017.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,PP13423,Georg Fischer PROGEF PP (NP10) pipe 5mtr x 20mm (Per Metre),Georg Fischer,2.28,"Suitable for a wide range of uses, this Georg Fischer PROGEF 20mm pipe is made of 1.9mm polypropylene homopolymer (PP-H). Highly reliable, this durable pipe is supplied in 5M lengths.","Pipe, Valves and Fittings/Plastic Pipe/Pressure Pipe/Pressure Pipe.csv -> Georg Fischer PROGEF PP (NP10) pipe 5mtr x 20mm (Per Metre)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/34/25/NW-P13423_P13425_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Georg_Fischer_PROGEF_Pipe_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,PP12016,Durapipe HTA CPVC pipe (PN16) 3mtr x 40mm,Durapipe,13.65,"Quick and easy to install, this Durapipe HTA 40mm pipe, is made of chlorinated polyvinyl chloride (PVC-C), a suitable choice for domestic hot and cold water services. A cost-effective copper alternative, this high quality 3mm thick pipe, supplied in a 3M length, is resistant to limescale and corrosion, ensuring an always smooth bore and optimised flow.","Pipe, Valves and Fittings/Plastic Pipe/Pressure Pipe/Pressure Pipe.csv -> Durapipe HTA CPVC pipe (PN16) 3mtr x 40mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/20/20/NW-P12015_P12020_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/Durapipe_HTA_Girpi_Cleaner_SDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/Durapipe_HTA_Rerfix_SDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Durapipe_HTA_Product_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Durapipe-HTA_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,PP57937,"Georg Fischer TP abs pipe - class c - 6mtr x 6"" (Per Metre)",Georg Fischer,478.52,"Made of ABS, this Georg Fischer TP 6"" pipe offers high impact resistance and elasticity, performing throughout a wide temperature range and at pressures up to 15 bar. This 6M long pipe is resistant to a range of acids, bases, salts and oils.","Pipe, Valves and Fittings/Plastic Pipe/Pressure Pipe/Pressure Pipe.csv -> Georg Fischer TP abs pipe - class c - 6mtr x 6"" (Per Metre)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/79/37/NW-P57937_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Georg_Fischer_TP_Product_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,PP02006,"Durapipe SuperFLO ABS polyethylene pipe class C 2"" (6 metre)",Durapipe,26.27,"Ideal for low temperature fluid transportation, this Durapipe SuperFLO 2"" pipe is made of acrylonitrile butadiene styrene (ABS) for resistance to corrosion, durability and economy, saving time and money on-site with quick, straightforward installation. Lightweight and easy to handle, this 3.6mm thick ABS pipe, supplied in 6M length, remains highly ductile right down to -40°C.","Pipe, Valves and Fittings/Plastic Pipe/Pressure Pipe/Pressure Pipe.csv -> Durapipe SuperFLO ABS polyethylene pipe class C 2"" (6 metre)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/20/06/NW-P02006_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/Durapipe_SuperFLO_ABS_Solvent_SDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Durapipe_SuperFLO_ABS_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/Durapipe_Eco_Cleaner_SDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/br/cr/Durapipe_SuperFLO_ABS_Technical_Brcr.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
