,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Weight,Phase,Refrigerant Suitability,Hazardous,Depth (mm),Pipe Size Diameter - Gas,Pipe Size Diameter - Liquid,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Range,UK Total Cooling,Nominal Heating (kW),Max Sound Pressure,UK Sensible Cooling,Nominal Cooling (kW),Max Airflow (m/min),Min Air Flow (m/min),Min Sound Pressure,Fuse Size (A),Feature 5,Feature 6,Warranty,Attachment 1,Feature 7,Feature 8,Feature 9,Feature 10,Attachment 2,Attachment 3
10,P697526,Fujitsu Slim Duct ARXG12KLLAP R32 Indoor Slim Duct Unit 3.5KW,Fujitsu,397.29,"Designed for rooms of up to 25M² in size, the Fujitsu Slim Duct air conditioning unit is ideal for bedrooms, small offices or medium living rooms. Automatically switching between heating and cooling modes based on the temperature in the room and the room setting, this unit maintains a perfect temperature all year round.",Air Conditioning/Fujitsu R32 Indoor Units/Fujitsu R32 Indoor Units.csv -> Fujitsu Slim Duct ARXG12KLLAP R32 Indoor Slim Duct Unit 3.5KW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/75/28/NW-697525_697528_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Fujitsu_Split_Multisplit_Guide.pdf,,,,,,
11,P650377,Fujitsu VRF AUXK030GLEH 9.0KW Cassette Indoor Unit,Fujitsu,937.31,"Suitable for use on VRF systems, the Fujitsu VRF AUXK030GLEH 9.0kW large cassette indoor unit offers individual louvre control for perfect cooling.",Air Conditioning/Fujitsu R32 Indoor Units/Fujitsu R32 Indoor Units.csv -> Fujitsu VRF AUXK030GLEH 9.0KW Cassette Indoor Unit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/03/80/650380_wm.jpg,29.5kgs,1,R410a,N,840,15.88 mm,9.52 mm,AUXK030GLEH,Air Conditioner,N,Circular flow design,With individual louvre control,Offers uniform cooling,,VRF,,,,,,,,,3,,,,,,,,,,
12,P700067,Fujitsu ASEH12KNCA 3.6KW Eco Plus Wall Mounted Id,Fujitsu,185.73,"Sleekly designed to fit into any space, the Fujitsu Eco+ 3.6kW wall-mounted indoor air conditioning unit has a slimline silhouette to minimise its impact on your interior. Wi-Fi connected, this unit is ready for smartphone control, giving you easy access from anywhere in the building while heat pump inverter technology reduces the Eco+'s energy consumption and improves overall efficiency.",Air Conditioning/Fujitsu R32 Indoor Units/Fujitsu R32 Indoor Units.csv -> Fujitsu ASEH12KNCA 3.6KW Eco Plus Wall Mounted Id,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/00/67/700067_wm.jpg,9,1,R-32,N,222,.3/8,1/4,ASEH12KNCA,Split Wall Mount Indoor unit,N,With inbuilt Wi-Fi,Stylish design,Suitable for R32 refrigerant,Quiet operation,,,,,,,,,,,,,,,,,,,,
13,P700062,Fujitsu ASEH05KNCA 1.5KW Ep Id Multi Only,Fujitsu,137.15,"Sleekly designed to fit into any space, the Fujitsu Eco+ 1.5kW wall-mounted indoor air conditioning unit has a slimline silhouette to minimise its impact on your interior. Wi-Fi connected, this unit is ready for smartphone control, giving you easy access from anywhere in the building while heat pump inverter technology reduces the Eco+'s energy consumption and improves overall efficiency.",Air Conditioning/Fujitsu R32 Indoor Units/Fujitsu R32 Indoor Units.csv -> Fujitsu ASEH05KNCA 1.5KW Ep Id Multi Only,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/00/62/700062_wm.jpg,9,1,R-32,N,222,.3/8,1/4,ASEH05KNCA,Split Wall Mount Indoor unit,N,Inbuilt Wi-Fi capability,Wall-mounted,Heat pump inverter technology for efficiency,For multi-split outdoor units only,,,,,,,,,,,,,,,,,,,,
14,P691492,Fujitsu VRF AUXB012GLEH Compact Cassette Unit 3.6KW,Fujitsu,687.1,"Attractively designed to blend into most interior decors, the highly efficient Fujitsu AIRSTAGE VRF AUXB012GLEH 3.6kW compact cassette indoor air conditioning unit provides both ease of installation and straightforward maintenance. Quiet in operation and simple to use, this compact unit is part of a wide range designed to suit a variety of climate control needs.",Air Conditioning/Fujitsu R32 Indoor Units/Fujitsu R32 Indoor Units.csv -> Fujitsu VRF AUXB012GLEH Compact Cassette Unit 3.6KW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/14/92/691492_wm.jpg,150 kg,1,R410a,N,570,1/2 inch,1/4 inch,AUXB012GLEH,VRF Compact Cassette,N,Low noise design for less disturbance during use,Easy to install and maintain,Single phase,230V voltage,VRF,2.7,4.1,37 d B(A),2.3,3.6,10,6.5,27 d B(A),5,50Hz frequency,Offers a cooling capacity of 3.6kW,3 Years (Standard),,Offers a heating capacity of 4.1kW,Air flow rate of 390 to 600m3/h,Compatible with R410A refrigerant,3 year warranty,,
15,P700034,Fujitsu ASYG12KETFB R32 Silver Wall Mounted Indoor Unit 3.4KW -,Fujitsu,267.53,"Offering a clean, modern design ideal for contemporary interiors, the Fujitsu Designer Series ASYG12KETFB 3.4kW wall mounted indoor air conditioning unit has a silver finish and a lightweight, compact look. Operating efficiently with R32 refrigerant, this indoor unit is remotely controlled for convenient ease of use.",Air Conditioning/Fujitsu R32 Indoor Units/Fujitsu R32 Indoor Units.csv -> Fujitsu ASYG12KETFB R32 Silver Wall Mounted Indoor Unit 3.4KW -,,"Unit, Remote controller, manuals",https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/23/20/602320_wm.jpg,11 kg,1,R-32,N,230,3/8 in,1/4 in,ASYG12KETFB,Wall mount,N,Wi-Fi enabled,Silver finish,Compatible with R32 refrigerant,Suitable for wall mounted installation,ASYG12KETFB,,,,,,,,,,3 year warranty,,3 Years,,,,,,,
16,P650371,Fujitsu VRF ASYA012GCGH Wall Mounted Indoor Unit 3.6KW,Fujitsu,510.9,"The efficient Fujitsu Airstage VRF ASYA012GCGH 3.6kW wall mounted indoor air conditioning unit is compact and quiet, minimising its impact on an indoor space. Easy to install and maintain and simple to use, the Airstage is ideal for rooms where interior design is key, offering reliable comfort without impacting a room's decor.",Air Conditioning/Fujitsu R32 Indoor Units/Fujitsu R32 Indoor Units.csv -> Fujitsu VRF ASYA012GCGH Wall Mounted Indoor Unit 3.6KW,,Indoor unit & Manuals,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/03/71/650371_wm.jpg,8.5 kg,1,R410a,N,203,1/2 in,1/4 in,ASYA012GCGH,Wall mount,N,Compact design,Comfortable airflow,Human sensor saves on energy,Operates quietly,VRF,2.70,4.0,40 dB,2.30,3.6,690 M/min,330 M/min,24 dB,5,3 year warranty,,3 Years,,,,,,,
17,P697535,Fujitsu Medium Static Pressure Duct ARXG36KHTAP R32 Medium Indoor Static Duct Unit 10KW,Fujitsu,741.08,"Ideal for large open plan offices or small shop fronts, the Fujitsu medium static pressure ducted air conditioning unit has a low sound rating down to 21dB for undisruptive use and includes a weekly timer and a 'set temperature auto return' function for reliable, predictable comfort.",Air Conditioning/Fujitsu R32 Indoor Units/Fujitsu R32 Indoor Units.csv -> Fujitsu Medium Static Pressure Duct ARXG36KHTAP R32 Medium Indoor Static Duct Unit 10KW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/75/37/NW-697532_697537_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Fujitsu_Split_Multisplit_Guide.pdf,,,,,,
18,P686683,Fujitsu Multi Split ARXG09KSLAP R32 Bulkhead Duct Indoor Unit 2.5KW,Fujitsu,423.74,"This Fujitsu 2.5kW multi-split ARXG09K SLAP R32 bulkhead duct indoor air conditioning unit offers ambient comfort in office, commercial and domestic settings. Suitable for creating a personalised system, several of these units can be linked together via a single outdoor unit.",Air Conditioning/Fujitsu R32 Indoor Units/Fujitsu R32 Indoor Units.csv -> Fujitsu Multi Split ARXG09KSLAP R32 Bulkhead Duct Indoor Unit 2.5KW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/82/-5/686682-5_wm.jpg,15.5kgs,1,R-32,N,450,.3/8,1/4,ARXG09KSLAP,Air Conditioner,N,Single Phase 230V 50Hz,Standard type drain pump,R32 compatible,,Multi Split,,,,,,,,,,,,,,,,,,,
19,P619021,Fujitsu VRF ASYA18GBCH Wall Mounted Unit 5.6KW,Fujitsu,561.99,"Highly efficient, the Fujitsu Airstage 5.6kW wall-mounted indoor unit is also compact, quiet and easy to operate. Simple to install and maintain, this unit is designed to blend well into an interior for comfort and convenience without an unattractive appliance spoiling your decor.",Air Conditioning/Fujitsu R32 Indoor Units/Fujitsu R32 Indoor Units.csv -> Fujitsu VRF ASYA18GBCH Wall Mounted Unit 5.6KW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/rf/_1/Vrf_1_wm.jpg,15kg,1 Phase,R410a,N,238,12.70 mm,6.35 mm,ASYA18GBCH,Indoor Unit,N,"Cooling: Indoor temperature of 27CDB / 19CWB, and outdoor temperature of 35CDB / 24CWB","Heating: Indoor temperature of 20CDB / (15CWB), and outdoor temperature of 7CDB / 6CWB",Pipe length: 75 m,Height difference between outdoor unit and indoor unit : 0 m Voltage: 230 [V],VRF,4.2,6.3,41 dB (A),3.5,5.6,14.00 m³/min,1150 M/min,35 dB (A),5,,,3 Years (Standard),,,,,,,
20,P697536,Fujitsu Medium Static Pressure Duct ARXG45KHTAP R32 Medium Indoor Static Duct Unit 12.5KW,Fujitsu,805.65,"Ideal for large open plan offices or small shop fronts, the Fujitsu medium static pressure ducted air conditioning unit has a low sound rating down to 21dB for undisruptive use and includes a weekly timer and a 'set temperature auto return' function for reliable, predictable comfort.",Air Conditioning/Fujitsu R32 Indoor Units/Fujitsu R32 Indoor Units.csv -> Fujitsu Medium Static Pressure Duct ARXG45KHTAP R32 Medium Indoor Static Duct Unit 12.5KW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/75/37/NW-697532_697537_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Fujitsu_Split_Multisplit_Guide.pdf,,,,,,
21,P678746,Fujitsu AUYG36LRLE R410A Cassette 10KW,Fujitsu,712.79,"The smart Fujitsu AUYG circular flow cassette air conditioning unit incorporates a multi-programmable seven day, 24 hour timer. Offering high levels of performance in a compact package, Fujitsu air conditioning and heat pump inverter cassette series split systems are suitable for installation in residential and commercial premises, including offices, shops, meeting rooms, restaurants, hotels, and gyms.",Air Conditioning/Fujitsu R32 Indoor Units/Fujitsu R32 Indoor Units.csv -> Fujitsu AUYG36LRLE R410A Cassette 10KW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/87/46/NW-678746_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Fujitsu_AUYG30-36LRLE_Technical.pdf,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/al/og/Fujitsu_Split_Systems_Catalog.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Fujitsu_AUYG30-54LRLE_Install.pdf
22,P686707,Fujitsu Eco ASYG12KPCE R32 Wall Mounted Indoor Unit 3.4KW,Fujitsu,158.67,"Ideal for larger living rooms, offices or bedrooms, this stylishly designed Fujitsu 3.4kW R32 indoor wall-mounted air conditioning unit has a slimline profile to suit a range of settings. This air con unit is suitable for smartphone control and uses heat pump inverter technology to reduce energy consumption for high levels of efficiency.",Air Conditioning/Fujitsu R32 Indoor Units/Fujitsu R32 Indoor Units.csv -> Fujitsu Eco ASYG12KPCE R32 Wall Mounted Indoor Unit 3.4KW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/67/07/686707_wm.jpg,80kg,1 Phase,R-32,N,224,9.52 mm,6.35 mm,ASYG12KPCE,Air Conditioner,N,"Slimline, stylish square design",Energy saving,Smartphone control option,,Eco,,,,,,,,,,,,3 Years (Standard),,,,,,,
23,P681270,Fujitsu ECO ASYG24KLCA R32 Wall Mounted 7.1KW,Fujitsu,313.04,"Ideal for open plan offices of living spaces, the Fujitsu Eco indoor wall-mounted air conditioning unit provides heating and cooling to rooms of up to 50M². Featuring an economy mode, the unit's thermostat setting will change according to the ambient temperature in a room, reducing waste by stopping unnecessary heating and cooling.",Air Conditioning/Fujitsu R32 Indoor Units/Fujitsu R32 Indoor Units.csv -> Fujitsu ECO ASYG24KLCA R32 Wall Mounted 7.1KW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/12/70/NW-681269_681270_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Fujitsu_Split_Multisplit_Guide.pdf,,,,,,
24,P697534,Fujitsu Medium Static Pressure Duct ARXG30KHTAP R32 Medium Indoor Static Duct Unit 8KW,Fujitsu,706.02,"Ideal for large open plan offices or small shop fronts, the Fujitsu medium static pressure ducted air conditioning unit has a low sound rating down to 21dB for undisruptive use and includes a weekly timer and a 'set temperature auto return' function for reliable, predictable comfort.",Air Conditioning/Fujitsu R32 Indoor Units/Fujitsu R32 Indoor Units.csv -> Fujitsu Medium Static Pressure Duct ARXG30KHTAP R32 Medium Indoor Static Duct Unit 8KW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/75/37/NW-697532_697537_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Fujitsu_Split_Multisplit_Guide.pdf,,,,,,
25,P700818,Fujitsu ASEG18KLCA Eco Indoor Unit 5.2KW,Fujitsu,175.89,"Supplying both heating and cooling, the Fujitsu Eco ASEG18KLCA 5.2kW indoor air conditioning unit is a convenient choice for internal wall mounted installation in areas with changeable climates. It has a smart, compact design and offers an economy mode alongside low ambient operation for convenient, cost-effective R32-driven operation.",Air Conditioning/Fujitsu R32 Indoor Units/Fujitsu R32 Indoor Units.csv -> Fujitsu ASEG18KLCA Eco Indoor Unit 5.2KW,,"Unit, Remote controller, manuals",https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/08/20/700820_wm.jpg,9.5 kg,1,R-32,N,249,3/8 in,1/4 in,ASEG18KLCA,Wall mount,N,Compact design,With economy operation,With low ambient operation,Compatible with R32 refrigerant,,,,,,,,,,,Suitable for wall mounted installation,3 year warranty,3 Years,,,,,,,
26,P697527,Fujitsu Slim Duct ARXG14KLLAP R32 Indoor Slim Duct Unit 4.2KW,Fujitsu,458.18,"Designed for rooms of up to 25M² in size, the Fujitsu Slim Duct air conditioning unit is ideal for bedrooms, small offices or medium living rooms. Automatically switching between heating and cooling modes based on the temperature in the room and the room setting, this unit maintains a perfect temperature all year round.",Air Conditioning/Fujitsu R32 Indoor Units/Fujitsu R32 Indoor Units.csv -> Fujitsu Slim Duct ARXG14KLLAP R32 Indoor Slim Duct Unit 4.2KW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/75/28/NW-697525_697528_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Fujitsu_Split_Multisplit_Guide.pdf,,,,,,
