,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Range,Hazardous,Dimensions mm (H x W x D),Supplier Product Code,Type,WEEE Compliant,Application,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Connection,Connection Size,Weight,Thread Standard,Material,Thread Size,Maximum Operating Temperature,Attachment 3,Attachment 4,Feature 7,Feature 8,Feature 9,Pack Quantity
10,P323239,Watts Industries Electro Controls ELF-1C liquid flow switch IP65,Watts Industries,88.67,"This Watts Industries Electro Controls ELF 230 VAC liquid flow switch detects liquid flow through chillers, boilers, pipes and other units to monitor pump operation or switch alarms in the event of flow failure. It is suitable for use with hot water, chilled water, diesel oil and up to 30% glycol systems.",Heating/Central Heating Controls/Controls and Valves Accessories/Controls and Valves Accessories.csv -> Watts Industries Electro Controls ELF-1C liquid flow switch IP65,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/32/39/NW-323239_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/17/WI_ElectroControls_Catalogue_2017.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,P323794,Honeywell DPS differential pressure switch plus duct kit 20 -200 pa,Honeywell,46.29,"This Honeywell DPS 240 VAC differential pressure switch monitors filter, fan, fire damper or air flow status in air handling systems.",Heating/Central Heating Controls/Controls and Valves Accessories/Controls and Valves Accessories.csv -> Honeywell DPS differential pressure switch plus duct kit 20 -200 pa,,Differential pressure switch;2m silicon hose;2x joining pipes DPSJ with screws;Mounting brackets L-shaped;3x screw terminals,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/37/94/NW-323794_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Honeywell_DPS_EU-Declaration.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Honeywell_DPS_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
12,P353018,Eph Controls C1P 2 port actuator for Honeywell,Eph Controls,44.7,"Suitable for domestic use, this EPH Controls Detach Pro powerhead replacement two-port motorised valve actuator is supplied with an auxiliary switch.",Heating/Central Heating Controls/Controls and Valves Accessories/Controls and Valves Accessories.csv -> Eph Controls C1P 2 port actuator for Honeywell,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/30/18/NW-353018_wm.jpg,,,,N,70 (H) x 93 (W) x 68 (D) mm,C1P,Valve Actuator,N,Domestic,230V voltage,11A current,P20 rating,Includes 1.2M cable leads,With manual override,,,,,,,,,,,,,,
13,P120082,Vaillant sensoHOME control unit,Vaillant,195.3,"Simple and intuitive, the Vaillant Senso Home VRT380F control, ideal for gas-fuelled domestic systems, makes running your heating system easy. Supplied with wired and wireless options, Senso Home communicates with the boiler via Vaillant's eBus protocol to adapt energy consumption depending on heating requirements. Easy to install, the Senso Comfort offers guided commissioning that detects the eBus components of the system and proposes pre-defined settings, meaning less manual inputting for installers.",Heating/Central Heating Controls/Controls and Valves Accessories/Controls and Valves Accessories.csv -> Vaillant sensoHOME control unit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/00/82/NW-120082_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Vaillant_SensoHome_Control_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Vaillant_SensoHome_Control_Tech.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
14,P300013,Honeywell Home Evohome hw home evohome hot water kit,Honeywell Home,105.99,"This Honeywell Home Evohome hot water kit includes a wireless cylinder thermostat transceiver, vented and unvented cylinder insertion sensor and a wireless relay box for control of the hot water zone valve.",Heating/Central Heating Controls/Controls and Valves Accessories/Controls and Valves Accessories.csv -> Honeywell Home Evohome hw home evohome hot water kit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/00/13/300013_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Honeywell_Heating_Controls_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,P353084,Eph Controls V228P 2 port motorised valve 28 mm,Eph Controls,74.49,"Designed with a detachable actuator, the EPH Controls V228P 28mm two-port motorised valve is suitable for zoning applications. It offers compatibility with hardwired and wireless programmers, thermostats and timeswitches.",Heating/Central Heating Controls/Controls and Valves Accessories/Controls and Valves Accessories.csv -> Eph Controls V228P 2 port motorised valve 28 mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/30/84/353084_wm.jpg,,,,N,,V228P,Motorised Valves,N,Domestic,"With detachable actuator, detachable cable and power on light",Ideal for zoning hot water or central heating circuits,Suitable for domestic use,With BS standard threads,"Brass, PC and ABS construction",,28mm compression,28 mm,1130.00000,BS,"Brass, PC+ABS",28mm,50,,,,,,
16,P324227,Watts Industries Electro Controls ELF-22C liquid flow switch 8bar 22mm,Watts Industries,100.84,"Used to detect flow, this Watts Industries Electro Controls ELF 230 VAC liquid flow switch is compatible with hot water, chilled water, drinking water, diesel oil and up to 30% glycol systems. This switch is commonly used to monitor pump operation or switch alarms in the event of flow failure.",Heating/Central Heating Controls/Controls and Valves Accessories/Controls and Valves Accessories.csv -> Watts Industries Electro Controls ELF-22C liquid flow switch 8bar 22mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/42/27/NW-324227_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/17/WI_ElectroControls_Catalogue_2017.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,P353079,Eph Controls R27 2 zone programmer,Eph Controls,80.22,"Designed for domestic boilers or pumps, including motorised pumps, the EPH Controls R27 two-zone programmer controls two zones in a central heating system. It includes three operating modes, 24 hour, five/two day and seven day, provinding homeowners with complete flexibility.",Heating/Central Heating Controls/Controls and Valves Accessories/Controls and Valves Accessories.csv -> Eph Controls R27 2 zone programmer,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/30/79/353079_wm.jpg,,,,N,100x161x31,R27,Twin Channel Programmer,N,Domestic,With 3x heating programs per day,With 30 minute boost mode,Zone titles,Contemporary design,For boilers and pumps,,,,,,,,,,,,,,
18,P310802,Honeywell Home hw home 4000-3918-007 plate & ball assy,Honeywell Home,20.34,"This adapter kit with adapter plate, ball and shaft assembly, large O-ring and four mounting screws is designed for use with V4044, V8044 and three way diverting valves.",Heating/Central Heating Controls/Controls and Valves Accessories/Controls and Valves Accessories.csv -> Honeywell Home hw home 4000-3918-007 plate & ball assy,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/08/02/NW-310801_310802_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Honeywell_Heating_Controls_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,P301555,Watts Industries Black Teknigas twist-release emergency stop button,Watts Industries,26.39,"Used to isolate the electrical supply to a valve should a power failure occur, this Watts Industries Black Teknigas 500V emergency stop push-button switch should be simply twisted when power is restored. This action opens the valve and restores normal operation.",Heating/Central Heating Controls/Controls and Valves Accessories/Controls and Valves Accessories.csv -> Watts Industries Black Teknigas twist-release emergency stop button,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/15/55/NW-301555_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/WI_BlackTeknigas_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/WI_BlackTeknigas_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
20,P302099,Drayton synchron motor 24v,Drayton,65.63,This Drayton E501B 24V synchronous motor is a replacement part for two port and mid-position valves.,Heating/Central Heating Controls/Controls and Valves Accessories/Controls and Valves Accessories.csv -> Drayton synchron motor 24v,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/20/99/302099_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Drayton_Installer_Guide_2020.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,P323115,Oh Products differential pressure switch,Oh Products,20.89,"Suitable for non-corrosive, non-combustible air or gases, this Oh Products EDA 230 VAC air differential pressure switch monitors air flow, dirty filters, flue draught, frost on coils and level and positive, negative, vacuum and differential pressure.",Heating/Central Heating Controls/Controls and Valves Accessories/Controls and Valves Accessories.csv -> Oh Products differential pressure switch,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/31/15/NW-323115_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/323115_Oh Products_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,P111435,Teddington CombiSave P10 water and gas saver - combisave,Teddington,49.0,"Made from brass resistant to dezincification, this Teddington CombiSave 15mm thermostatically controlled valve has two rotatable elbows for ease of fitting to a 15mm pipe set-ups. This valve is supplied with installation and user instructions as well as all required nuts and olives.",Heating/Central Heating Controls/Controls and Valves Accessories/Controls and Valves Accessories.csv -> Teddington CombiSave P10 water and gas saver - combisave,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/14/35/NW-111435_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Teddington_CSA0003_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,P201731,Danfoss hard-wired underfloor heating 8 zone control box 230V,Danfoss,124.8,"Suitable for hydronic underfloor heating systems, this Danfoss control box is a hard-wired eight-zone wiring centre for connection to 230V thermal actuators.",Heating/Central Heating Controls/Controls and Valves Accessories/Controls and Valves Accessories.csv -> Danfoss hard-wired underfloor heating 8 zone control box 230V,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/17/31/NW-201731_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Danfoss_GB0101_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,P605283,Heatmiser TA230 thermal actuator - 2 wire,Heatmiser,21.51,"Suitable for use in underfloor heating systems, the Heatmiser TA230 two-wire thermal acutator is a normally closed version requiring 230V power.",Heating/Central Heating Controls/Controls and Valves Accessories/Controls and Valves Accessories.csv -> Heatmiser TA230 thermal actuator - 2 wire,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/52/83/605283_wm.jpg,,,TA230,N,62 x 49.5 x 45 mm,TA230,Thermal Actuator,N,,230V powered,For underfloor heating systems,2-wire normally closed,M30 thread for connection,Stroke length of 3.5mm +/- 0.5,,,,,,,,,,,,,,
25,P337055,Drayton wiring centre,Drayton,21.08,"This Drayton LWC31 wiring centre offers safe, convenient system wiring, providing a neat finish and simplifying wiring and circuit testing.",Heating/Central Heating Controls/Controls and Valves Accessories/Controls and Valves Accessories.csv -> Drayton wiring centre,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/70/55/NW-337055_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Drayton_Product_Catalogue.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Drayton_LWC1_Wiring_Centre_Install.pdf,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/e_/15/Drayton_Product_Catalogue_Issue_15.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Drayton_Wiring_Centres_Technical.pdf,,,,
26,P301556,Watts Industries Black Teknigas powerlink thermal fuse,Watts Industries,39.73,"This Black Teknigas PowerLink 230 VAC single pole thermal fuse is for remote mounting in vented metal housings and is suitable for wall or conduit mounting. Wired in series with the safety shut-off valve, the fuse will open a circuit at a predetermined temperature, interrupting supply to the valve, which will close. Electrical connections are made via a screw terminal block inside the housing.",Heating/Central Heating Controls/Controls and Valves Accessories/Controls and Valves Accessories.csv -> Watts Industries Black Teknigas powerlink thermal fuse,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/15/56/NW-301556_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/rc/hr/WI_Black_Teknigas_Powerseat_Brchr.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,P323793,Honeywell DPS differential pressure switch plus duct kit 40 -400 pa,Honeywell,46.29,"This Honeywell DPS 240 VAC differential pressure switch monitors filter, fan, fire damper or air flow status in air handling systems.",Heating/Central Heating Controls/Controls and Valves Accessories/Controls and Valves Accessories.csv -> Honeywell DPS differential pressure switch plus duct kit 40 -400 pa,,Differential pressure switch;2m silicon hose;2x joining pipes DPSJ with screws;Mounting brackets L-shaped;3x screw terminals,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/37/93/NW-323793_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Honeywell_DPS_EU-Declaration.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Honeywell_DPS_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
28,P340012,Center CB 3-port replacement head valve,Center CB,38.45,This Center CB replacement head with 22mm compression fitting is suitable for use with the EHE0200157 mid-position motorised valve.,Heating/Central Heating Controls/Controls and Valves Accessories/Controls and Valves Accessories.csv -> Center CB 3-port replacement head valve,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/00/12/NW-340012_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/CenterCB_340012_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,P310801,Honeywell Home hw home 4000-3918-006 plate & ball assy,Honeywell Home,20.34,"This adapter kit with adapter plate, ball and shaft assembly, large O-ring and four mounting screws is designed for use with suitable for use with V8043 and two way hydronic valves",Heating/Central Heating Controls/Controls and Valves Accessories/Controls and Valves Accessories.csv -> Honeywell Home hw home 4000-3918-006 plate & ball assy,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/08/02/NW-310801_310802_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Honeywell_Heating_Controls_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,
