,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Colour,Connection Type,Diameter,Weight,Hazardous,Equal / Unequal,Angle,Dimensions (L x W x D),Material,Connection Type 1,Connection Type 2,Standards,Supplier Product Code,Type,WEEE Compliant,Feature 1,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Attachment 5,Connection Size,Size,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Attachment 6,Attachment 7
10,PF97081,Center Underground Drainage 110mm 45° Bend Double Socket,Center,9.9,"Center Brand underground drainage products  include bends, junctions, gullys and other ancillaries to cover most applications",Drainage/Below Ground Drainage/Below Ground Drainage.csv -> Center Underground Drainage 110mm 45° Bend Double Socket,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/70/81/F97081_wm.jpg,Terracotta,Push Fit,110mm,0.322,N,Equal,45,125 x 160 x 185,PVC,Push-Fit,Push-Fit,BS EN 1401-1,F97081CB,Double Socket Bend,N,The system is manufactured in PVCu to provide strength and durability with push fit joints throughout for ease of installation. Available in a range of diameters and sizes in traditional terracotta colouring.,,,,,,,,,,,,,,,,
11,PF97086,Center Underground Drainage 110mm 15° Bend Double Socket,Center,6.0,"Center Brand underground drainage products  include bends, junctions, gullys and other ancillaries to cover most applications",Drainage/Below Ground Drainage/Below Ground Drainage.csv -> Center Underground Drainage 110mm 15° Bend Double Socket,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/70/86/F97086_wm.jpg,Terracotta,Push Fit,110mm,0.3,N,Equal,15,130 x 140 x 165,PVC,Push-Fit,Push-Fit,BS EN 1401-1,UG409 CB,Double Socket Bend,N,The system is manufactured in PVCu to provide strength and durability with push fit joints throughout for ease of installation. Available in a range of diameters and sizes in traditional terracotta colouring.,,,,,,,,,,,,,,,,
12,PF97088,Center Underground Drainage 110mm 11.25° Bend Double Socket,Center,6.0,"Center Brand underground drainage products  include bends, junctions, gullys and other ancillaries to cover most applications",Drainage/Below Ground Drainage/Below Ground Drainage.csv -> Center Underground Drainage 110mm 11.25° Bend Double Socket,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/70/88/F97088_wm.jpg,Terracotta,Push Fit,110mm,0.398,N,Equal,11.25,125 x 140 x 145,PVC,Push-Fit,Push-Fit,BS EN 1401-1,UG407 CB,Double Socket Bend,N,The system is manufactured in PVCu to provide strength and durability with push fit joints throughout for ease of installation. Available in a range of diameters and sizes in traditional terracotta colouring.,,,,,,,,,,,,,,,,
13,PF97106,Center Underground Drainage 110mm Socket Plug,Center,3.3,"Center Brand underground drainage products  include bends, junctions, gullys and other ancillaries to cover most applications",Drainage/Below Ground Drainage/Below Ground Drainage.csv -> Center Underground Drainage 110mm Socket Plug,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/71/06/F97106_wm.jpg,Terracotta,Push Fit,110mm,0.124,N,Equal,0,45 x 123 x 123,PVC,Push-Fit,Push-Fit,BS EN 1401-1,UG420 CB,Plain Socket Plug,N,The system is manufactured in PVCu to provide strength and durability with push fit joints throughout for ease of installation. Available in a range of diameters and sizes in traditional terracotta colouring.,,,,,,,,,,,,,,,,
14,PF97109,Center Underground Drainage 460mm Square PP Cover & 65mm Deep Frame,Center,52.5,"Center Brand Inspection Chambers, Covers and Frames complement our Underground Drainage pipe and fittings",Drainage/Below Ground Drainage/Below Ground Drainage.csv -> Center Underground Drainage 460mm Square PP Cover & 65mm Deep Frame,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/71/09/F97109_wm.jpg,Black,Push Fit,460mm,6.25,N,Equal,0,130 x 560 x 560,Polypropylene,Push-Fit,Push-Fit,N/A,UG510 CB,Cover and Frame,N,"Inspection Chambers, Covers and Frames are made from black Polypropylene.",,,,,,,,,,,,,,,,
15,PF97094,Center Underground Drainage 110mm Square Hopper Including Square Plastic Grid,Center,11.13,"Center Brand underground drainage products  include bends, junctions, gullys and other ancillaries to cover most applications",Drainage/Below Ground Drainage/Below Ground Drainage.csv -> Center Underground Drainage 110mm Square Hopper Including Square Plastic Grid,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/70/94/F97094_wm.jpg,Terracotta,Push Fit,110mm,0.3245,N,Equal,0,105 x 156 x 156,PVC,Push-Fit,Push-Fit,BS 4660BBA 89/2206,UG414 CB,Square Hopper,N,The system is manufactured in PVCu to provide strength and durability with push fit joints throughout for ease of installation. Available in a range of diameters and sizes in traditional terracotta colouring.,,,,,,,,,,,,,,,,
16,PF97092,Center Underground Drainage 110mm 87.5° Equal Junction Triple Socket,Center,13.5,"Center Brand underground drainage products  include bends, junctions, gullys and other ancillaries to cover most applications",Drainage/Below Ground Drainage/Below Ground Drainage.csv -> Center Underground Drainage 110mm 87.5° Equal Junction Triple Socket,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/70/92/F97092_wm.jpg,Terracotta,Push Fit,110mm,0.753,N,Equal,87.5,130 x 205 x 260,PVC,Push-Fit,Push-Fit,BS EN 1401-1,UG423 CB,Equal Junction,N,The system is manufactured in PVCu to provide strength and durability with push fit joints throughout for ease of installation. Available in a range of diameters and sizes in traditional terracotta colouring.,,,,,,,,,,,,,,,,
17,PF97101,Center Underground Drainage 110mm Universal Drain Adaptor to All Waste & Rainwater Sizes Locates On Spigot,Center,4.35,Center Brand universal adaptor for connecting waste and rainwater systems to underground drainage systems,Drainage/Below Ground Drainage/Below Ground Drainage.csv -> Center Underground Drainage 110mm Universal Drain Adaptor to All Waste & Rainwater Sizes Locates On Spigot,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/71/01/F97101_wm.jpg,Black,Push Fit,110mm,0.19,N,Unequal,0,20 x 110 x 110,EPDM,Push-Fit,Push-Fit,N/A,UG493 CB,Universal Drain Adaptor,N,Locates on Spigot - flexible EPDM to accept all Waste and Rainwater pipes inc. Square.,,,,,,,,,,,,,,,,
18,PF97104,Center Underground Drainage 110mm Blanking Plug for Chamber Base,Center,6.63,"Center Brand Inspection Chambers, Covers and Frames complement our Underground Drainage pipe and fittings",Drainage/Below Ground Drainage/Below Ground Drainage.csv -> Center Underground Drainage 110mm Blanking Plug for Chamber Base,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/71/04/F97104_wm.jpg,Black,Push Fit,110mm,0.058,N,Equal,0,63 x 117 x 117,Polypropylene,Push-Fit,Push-Fit,N/A,UG445 CB,Spare Blanking Plug,N,Manufactured from black polypropylene with push fit connections for ease of installation,,,,,,,,,,,,,,,,
19,PF97100,Center Underground Drainage 110mm Universal Gully Trap,Center,14.31,"Center Brand underground drainage products  include bends, junctions, gullys and other ancillaries to cover most applications",Drainage/Below Ground Drainage/Below Ground Drainage.csv -> Center Underground Drainage 110mm Universal Gully Trap,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/71/00/F97100_wm.jpg,Terracotta,Push Fit,110mm,0.798,N,Equal,45,130 x 280 x 315,PVC,Push-Fit,Push-Fit,BS 4660BBA 89/2206,UG413 CB,Universal Gully Trap,N,The system is manufactured in PVCu to provide strength and durability with push fit joints throughout for ease of installation. Available in a range of diameters and sizes in traditional terracotta colouring.,,,,,,,,,,,,,,,,
20,PF97102,Center Underground Drainage 110mm Adaptor to 68mm Rainwater,Center,3.9,"Center Brand underground drainage products  include bends, junctions, gullys and other ancillaries to cover most applications",Drainage/Below Ground Drainage/Below Ground Drainage.csv -> Center Underground Drainage 110mm Adaptor to 68mm Rainwater,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/71/02/F97102_wm.jpg,Terracotta,Push Fit,110mm,0.073,N,Unequal,0,56 x 135 x 135,PVC,Push-Fit,Push-Fit,N/A,UG254 CB,Rainwater Connector,N,The system is manufactured in PVCu to provide strength and durability with push fit joints throughout for ease of installation. Available in a range of diameters and sizes in traditional terracotta colouring.,,,,,,,,,,,,,,,,
21,PF91581,Flexseal EPDM Plumbing plumbing coupling 38-43mm,Flexseal,7.23,"Flexseal EPDM Plumbing straight coupling is designed and manufactured from high performance EPDM rubber, which provides outstanding product quality. The range is ideal for the connection of pipes with differing outside diameters whether due to different pipe materials or pipe sizes and also for use on smaller diameter pipes in most low/non pressure plumbing applications.",Drainage/Below Ground Drainage/Below Ground Drainage.csv -> Flexseal EPDM Plumbing plumbing coupling 38-43mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/15/85/NW-F91580_F91585_wm.jpg,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Flexseal_EPDM_Plumbing_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Flexseal_Plumbing_Coupling_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Flexseal_Drainage_Plumb_System_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ov/al/Flexseal_European_Technical_Approval.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/Flexseal_EPDM_Coupling_MSDS.pdf,,,,,,,,,,,
22,PF97103,Center Underground Drainage 110mm 45° Rodding Eye Terminal Plastic Square Spigot Tail,Center,32.34,Center Brand Access Fittings & Puddle Flanges complement our Underground Drainage pipe and fittings,Drainage/Below Ground Drainage/Below Ground Drainage.csv -> Center Underground Drainage 110mm 45° Rodding Eye Terminal Plastic Square Spigot Tail,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/71/03/F97103_wm.jpg,Black,Push Fit,110mm,0.52,N,Equal,45,155 x 167 x 205,Polypropylene,Push-Fit,Push-Fit,N/A,UG522 CB,Rod Eye Terminal,N,Manufactured from black polypropylene with push fit connections for ease of installation,,,,,,,,,,,,,,,,
23,PF91574,Flexseal AC adaptor coupling 110-122mm 48-56mm,Flexseal,17.76,Flexseal AC adaptor coupling is manufactured to meet and exceed the changing requirements of the drainage marketplace. Adaptor coupling provides a solution to connecting pipes of different outside diameters. The coupling is a stepped moulded EPDM sleeve that has different diameters at each end and also the sleeve is fitted with two 1.4301 (304) stainless steel clamping bands. It can also be used to connect all traditional and new pipe systems including structural walled plastic pipes where pipes of different diameters are to be conjoined.  Coupling is also available with grade 1.4401 (316) stainless steel for improved corrosion protection.,Drainage/Below Ground Drainage/Below Ground Drainage.csv -> Flexseal AC adaptor coupling 110-122mm 48-56mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/15/74/NW-F91574_wm.jpg,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Flexseal_AdptrCoupling_35_420mm_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Flexseal_Drainage_Plumb_System_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/he/et/Flexseal_Adaptor_Coupling_Datasheet.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/Flexseal_EPDM_Coupling_MSDS.pdf,,,,,,,,,,,,
24,PF97085,Center Underground Drainage 110mm 15° Bend Single Socket,Center,6.0,"Center Brand underground drainage products  include bends, junctions, gullys and other ancillaries to cover most applications",Drainage/Below Ground Drainage/Below Ground Drainage.csv -> Center Underground Drainage 110mm 15° Bend Single Socket,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/70/85/F97085_wm.jpg,Terracotta,Push Fit,110mm,0.268,N,Equal,15,200 x 200 x 125,PVC,Push-Fit,Push-Fit,BS EN 1401-1,F97085CB,Single Socket Bend,N,The system is manufactured in PVCu to provide strength and durability with push fit joints throughout for ease of installation. Available in a range of diameters and sizes in traditional terracotta colouring.,,,,,,,,,,,,,,,,
25,PF97093,Center Underground Drainage 110mm 87.5° Equal Junction Double Socket,Center,16.71,"Center Brand underground drainage products  include bends, junctions, gullys and other ancillaries to cover most applications",Drainage/Below Ground Drainage/Below Ground Drainage.csv -> Center Underground Drainage 110mm 87.5° Equal Junction Double Socket,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/70/93/F97093_wm.jpg,Terracotta,Push Fit,110mm,0.69,N,Equal,87.5,130 x 205 x 265,PVC,Push-Fit,Push-Fit,BS EN 1401-1,UG424 CB,Equal Junction,N,The system is manufactured in PVCu to provide strength and durability with push fit joints throughout for ease of installation. Available in a range of diameters and sizes in traditional terracotta colouring.,,,,,,,,,,,,,,,,
26,PF97087,Center Underground Drainage 110mm 11.25° Bend Single Socket,Center,9.0,"Center Brand underground drainage products  include bends, junctions, gullys and other ancillaries to cover most applications",Drainage/Below Ground Drainage/Below Ground Drainage.csv -> Center Underground Drainage 110mm 11.25° Bend Single Socket,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/70/87/F97087_wm.jpg,Terracotta,Push Fit,110mm,0.34,N,Equal,11.25,130 x 140 x 180,PVC,Push-Fit,Push-Fit,BS EN 1401-1,UG408 CB,Single Socket Bend,N,The system is manufactured in PVCu to provide strength and durability with push fit joints throughout for ease of installation. Available in a range of diameters and sizes in traditional terracotta colouring.,,,,,,,,,,,,,,,,
27,PF97080,Center Underground Drainage 110mm 87.5° Long Radius Bend Double Socket,Center,8.4,"Center Brand underground drainage products  include bends, junctions, gullys and other ancillaries to cover most applications",Drainage/Below Ground Drainage/Below Ground Drainage.csv -> Center Underground Drainage 110mm 87.5° Long Radius Bend Double Socket,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/70/80/F97080_wm.jpg,Terracotta,Push Fit,110mm,0.736305,N,Equal,87.5,130 x 275 x 300,PVC,Push-Fit,Push-Fit,BS EN 1401-1,F97080CB,Long Radius Bend,N,The system is manufactured in PVCu to provide strength and durability with push fit joints throughout for ease of installation. Available in a range of diameters and sizes in traditional terracotta colouring.,,,,,,,,,,,,,,,,
28,PF91582,Flexseal EPDM Plumbing plumbing coupling 50-56mm,Flexseal,7.27,"Flexseal EPDM Plumbing straight coupling is designed and manufactured from high performance EPDM rubber, which provides outstanding product quality. The range is ideal for the connection of pipes with differing outside diameters whether due to different pipe materials or pipe sizes and also for use on smaller diameter pipes in most low/non pressure plumbing applications.",Drainage/Below Ground Drainage/Below Ground Drainage.csv -> Flexseal EPDM Plumbing plumbing coupling 50-56mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/15/85/NW-F91580_F91585_wm.jpg,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Flexseal_EPDM_Plumbing_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Flexseal_Plumbing_Coupling_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Flexseal_Drainage_Plumb_System_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ov/al/Flexseal_European_Technical_Approval.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/Flexseal_EPDM_Coupling_MSDS.pdf,,,,,,,,,,,
29,PF91543,Flexseal DC drain coupling 110mm-125mm,Flexseal,14.2,"Flexseal DC drain coupling is used to connect, repair and maintain drainage systems and other small diameter non-pressure pipelines. It is available to suit any pipe material up to 275mm outside diameter, drain coupling is designed for use in drainage systems where the resistance to earth loads (usually provided by a standard coupling) is not required. This comprises a moulded EPDM sleeve which is attached using grade 1.4301 (304) worm drive stainless steel clamping bands at either end. Flexseal can also supply the product with nitrile sleeves for use with effluent which may be contaminated with hydrocarbons. Coupling is also available with grade 1.4401 (316) stainless steel for improved corrosion protection.",Drainage/Below Ground Drainage/Below Ground Drainage.csv -> Flexseal DC drain coupling 110mm-125mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/15/43/NW-F91540_F91543_wm.jpg,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Flexseal_Drain_Coupling_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Flexseal_Drainage_Plumb_System_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/an/ce/Flexseal_Declaration_Of_Performance.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/Flexseal_EPDM_Coupling_MSDS.pdf,,,,,,,,,,,,
