,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Colour,Connection Size,Connection Type,Diameter,Range,Warranty,Weight,Hazardous,Drainage Product Type,Material,Standards,Supplier Product Code,WEEE Compliant,Application,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Minimum Operating Temperature,Resistance Features,Wall Thickness (mm),Maximum Operating Temperature,Paintable,Type,Attachment 4
10,PF14502,Center CB 92.5deg single socket bend 110mm Grey,Center CB,10.5,"This Center CB 110mm single socket bend is made of PVC-U and is part of a complete range of push-fit soil system fittings offering fast, easy installation, making it ideal for use in a wide range of applications.",Drainage/Soil Pipes and Fittings/Soil Pipe Bends/Soil Pipe Bends.csv -> Center CB 92.5deg single socket bend 110mm Grey,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/45/02/NW-F14502_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Center_CB_DrainageProductGuide_2019.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,PF14504,Center CB 135deg single socket bend 110mm Grey,Center CB,10.5,"This Center CB 110mm single socket bend is made of PVC-U and is part of a complete range of push-fit soil system fittings offering fast, easy installation, making it ideal for use in a wide range of applications.",Drainage/Soil Pipes and Fittings/Soil Pipe Bends/Soil Pipe Bends.csv -> Center CB 135deg single socket bend 110mm Grey,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/45/04/NW-F14504_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Center_CB_DrainageProductGuide_2019.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,PF68802,Polypipe 92.5deg double socket bend 110mm Grey,Polypipe,40.71,"Suitable for domestic use, this Polypipe 92.5° double socket bend is made of grey PVC-U and incorporates 110mm push-fit x solvent weld connections.",Drainage/Soil Pipes and Fittings/Soil Pipe Bends/Soil Pipe Bends.csv -> Polypipe 92.5deg double socket bend 110mm Grey,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/88/02/NW-F68802_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/15/Polypipe_Building_Prod_Guide_May2015.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,PF66854,Polypipe 92.5degdouble socket bend 110mm Grey,Polypipe,51.15,"Suitable for domestic use, this Polypipe 92.5° double socket bend is made of grey PVC-U and incorporates 110mm push-fit x solvent weld connections.",Drainage/Soil Pipes and Fittings/Soil Pipe Bends/Soil Pipe Bends.csv -> Polypipe 92.5degdouble socket bend 110mm Grey,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/68/54/NW-F66854_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/15/Polypipe_Building_Prod_Guide_May2015.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,PF68754,Polypipe 135deg double socket bend 110mm Black,Polypipe,40.71,"Suitable for domestic use, this Polypipe 135° double socket bend is made of black PVC-U and incorporates 110mm push-fit x solvent weld connections.",Drainage/Soil Pipes and Fittings/Soil Pipe Bends/Soil Pipe Bends.csv -> Polypipe 135deg double socket bend 110mm Black,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/87/54/NW-F68754_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/15/Polypipe_Building_Prod_Guide_May2015.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,PF68771,Polypipe 90deg close coupled bend 110mm Black,Polypipe,36.17,"Suitable for domestic use, this Polypipe close-coupled bend is made of black PVC-U and incorporates 110mm push-fit x solvent weld connections.",Drainage/Soil Pipes and Fittings/Soil Pipe Bends/Soil Pipe Bends.csv -> Polypipe 90deg close coupled bend 110mm Black,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/87/71/NW-F68771_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/15/Polypipe_Building_Prod_Guide_May2015.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,PF29368,Polypipe Terrain 107P.4.92:G 92.5deg spigot socket bend 110mm Grey,Polypipe,30.08,"Suitable for use in commercial building services, this Polypipe Terrain 100P 92.5° spigot socket bend with 110mm push-fit connections is made of grey PVC-u. Fully accredited, the Polypipe Terrain PVC drainage system can be jointed to a wide range of other materials.",Drainage/Soil Pipes and Fittings/Soil Pipe Bends/Soil Pipe Bends.csv -> Polypipe Terrain 107P.4.92:G 92.5deg spigot socket bend 110mm Grey,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/93/68/NW-F29368_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/rc/hr/Polypipe_Terrain_Above_Ground_Brchr.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,PF08600,Marley Soilvent Soil 45deg short radius bend 110mm Grey,Marley,20.42,"This Marley Solvent Soil 110mm 45° short radius bend with solvent socket is made of grey PVC-U. This fitting is part of the Solvent Soil system designed to meet most drainage requirements, creating a secure, leak-free system.",Drainage/Soil Pipes and Fittings/Soil Pipe Bends/Soil Pipe Bends.csv -> Marley Soilvent Soil 45deg short radius bend 110mm Grey,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/86/00/NW-F08600_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Marley_Soil-Waste_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Marley_Soil-Waste_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,PQ97083,Wavin OsmaSoil 87.5deg double socket bend White,Wavin,46.41,"Suitable for domestic or commercial use, this Wavin OsmaSoil 110mm 87.5° bend is made of white PVC-U with durable and reliable socket connections.",Drainage/Soil Pipes and Fittings/Soil Pipe Bends/Soil Pipe Bends.csv -> Wavin OsmaSoil 87.5deg double socket bend White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/70/83/NW-Q97083_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Wavin_Osma_Soil-Waste_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/Wavin_PVC_U_Pipe_&_Fittings_MSDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ca/te/Wavin_OsmaSoil_Waste_Certificate.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,PQ64319,Wavin OsmaSoil WC bend White,Wavin,47.62,"Suitable for domestic or commercial use, this Wavin OsmaSoil 110mm 87.5° WC connector is made of white PVC-U with durable and reliable 110 x 100mm socket x plain end connections.",Drainage/Soil Pipes and Fittings/Soil Pipe Bends/Soil Pipe Bends.csv -> Wavin OsmaSoil WC bend White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/43/19/NW-Q64319_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Wavin_Osma_Soil-Waste_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/Wavin_PVC_U_Pipe_&_Fittings_MSDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ca/te/Wavin_OsmaSoil_Waste_Certificate.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,PF66813,Polypipe SB412:G 135deg bend 110mm Grey,Polypipe,43.79,"Suitable for domestic use, this Polypipe 135° single socket bend is made of grey PVC-U and incorporates 110mm push-fit x solvent weld connections.",Drainage/Soil Pipes and Fittings/Soil Pipe Bends/Soil Pipe Bends.csv -> Polypipe SB412:G 135deg bend 110mm Grey,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/68/13/NW-F66813_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/15/Polypipe_Building_Prod_Guide_May2015.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,PF14567,Center CB 135deg bend 110mm Grey,Center CB,32.67,"Center CB bend is made of plastic. The Center PVC-U solvent weld soil fittings are frequently used in conjunction with push-fit range of pipes and fittings and are the perfect solution for when only a permanent connection will do. Designed and engineered to perform, this range is as suited for use in commercial developments as it is in domestic housing.",Drainage/Soil Pipes and Fittings/Soil Pipe Bends/Soil Pipe Bends.csv -> Center CB 135deg bend 110mm Grey,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/45/67/NW-F14567_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Center_CB_DrainageProductGuide_2019.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,PF66811,Polypipe 92.5deg bend 110mm Grey,Polypipe,43.79,"Suitable for domestic use, this Polypipe 92.5° single socket bend is made of grey PVC-U and incorporates 110mm push-fit x solvent weld connections.",Drainage/Soil Pipes and Fittings/Soil Pipe Bends/Soil Pipe Bends.csv -> Polypipe 92.5deg bend 110mm Grey,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/68/11/NW-F66811_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/15/Polypipe_Building_Prod_Guide_May2015.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,PF68821,Polypipe 90deg close coupled bend 110mm Grey,Polypipe,36.17,"Suitable for domestic use, this Polypipe close-coupled bend is made of grey PVC-U and incorporates 110mm push-fit x solvent weld connections.",Drainage/Soil Pipes and Fittings/Soil Pipe Bends/Soil Pipe Bends.csv -> Polypipe 90deg close coupled bend 110mm Grey,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/88/21/NW-F68821_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/15/Polypipe_Building_Prod_Guide_May2015.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,PF67115,Polypipe 135deg double socket offset bend 110mm WHite,Polypipe,41.49,"Suitable for domestic use, this Polypipe 135° offset socket bend is made of white PVC-U and incorporates 110mm push-fit x solvent weld connections.",Drainage/Soil Pipes and Fittings/Soil Pipe Bends/Soil Pipe Bends.csv -> Polypipe 135deg double socket offset bend 110mm WHite,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/71/15/NW-F67115_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/15/Polypipe_Building_Prod_Guide_May2015.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,PW12030,Saint Gobain Ensign Soil EF002 88deg short radius bend 50mm,Saint Gobain,21.23,"This Saint Gobain Ensign Soil EF002 50mm 88° bend with short radius is made of cast iron with a red protective finish and spigot x spigot connections. Used by flagship hospitals throughout the UK, the strong and long lasting Ensign range helps to maintain a safe environment while providing reliable sanitary drainage and rainwater solutions.",Drainage/Soil Pipes and Fittings/Soil Pipe Bends/Soil Pipe Bends.csv -> Saint Gobain Ensign Soil EF002 88deg short radius bend 50mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/20/32/NW-W12030_W12032_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/SG_Pipes_and_Fittings_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/br/cr/SG_Ensign_CI_Drainage_Systems_Brcr.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/br/cr/SG_Ensign_CI_AG_BG_Drainage_Sys_Brcr.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,PF14514,Center CB 112.5deg top offset bend 110mm Grey,Center CB,31.25,"Center CB top offset bend is made of plastic. The 110mm PVC-U Center push-fit soil system offers a complete range of push-fit fittings. This time saving system is quick and easy to install as it is simply pushed together on site, making it the system of choice for countless installations.",Drainage/Soil Pipes and Fittings/Soil Pipe Bends/Soil Pipe Bends.csv -> Center CB 112.5deg top offset bend 110mm Grey,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/45/14/NW-F14514_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Center_CB_DrainageProductGuide_2019.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,PF29046,"Polypipe Terrain 100 135deg spigot socket bend 4"" Grey",Polypipe,48.97,"Made of grey PVC-U, this Polypipe Terrain 100 soil bend with 110mm solvent weld connections is designed for use in commercial building services. The Polypipe Terrain PVC drainage system is fully accredited and is suitable for joining to a variety of other materials.","Drainage/Soil Pipes and Fittings/Soil Pipe Bends/Soil Pipe Bends.csv -> Polypipe Terrain 100 135deg spigot socket bend 4"" Grey",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/90/46/NW-F29046_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/rc/hr/Polypipe_Terrain_Above_Ground_Brchr.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,PF29015,"Polypipe Terrain 100 135deg sweep soil bend 4"" Grey",Polypipe,45.02,"Made of grey PVC-U, this Polypipe Terrain 100 sweep soil bend with 110mm solvent weld connections is designed for use in commercial building services. The Polypipe Terrain PVC drainage system is fully accredited and is suitable for joining to a variety of other materials.","Drainage/Soil Pipes and Fittings/Soil Pipe Bends/Soil Pipe Bends.csv -> Polypipe Terrain 100 135deg sweep soil bend 4"" Grey",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/90/15/NW-F29015_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/rc/hr/Polypipe_Terrain_Above_Ground_Brchr.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,PF22554,Marley Soilvent Soil 45deg spigot socket/socket 110mm bend Black,Marley,20.0,"This Marley Solvent Soil 110mm 45° short radius bend with double solvent sockets is made of grey PVC-U. This fitting is part of the Solvent Soil system designed to meet most drainage requirements, creating a secure, leak-free system.",Drainage/Soil Pipes and Fittings/Soil Pipe Bends/Soil Pipe Bends.csv -> Marley Soilvent Soil 45deg spigot socket/socket 110mm bend Black,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/25/54/NW-F22554_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Marley_Soil-Waste_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Marley_Soil-Waste_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,PF67011,Polypipe 92.5deg bend 110mm Brown,Polypipe,50.36,"Suitable for domestic use, this Polypipe 92.5° single socket bend is made of brown PVC-U and incorporates 110mm push-fit x solvent weld connections.",Drainage/Soil Pipes and Fittings/Soil Pipe Bends/Soil Pipe Bends.csv -> Polypipe 92.5deg bend 110mm Brown,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/70/11/NW-F67011_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/15/Polypipe_Building_Prod_Guide_May2015.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
