,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Connection Type,Operating Temperature,Warranty,Hazardous,Approvals,Max Pressure,Material,Operating Pressure,Maximum Operating Temperature,Supplier Product Code,WEEE Compliant,Application,Capacity Litre,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Feature 11,Attachment 5,Type,Attachment 6,Attachment 7,Boiler Section,Boiler Range,Setting Range,Dimensions mm (H x W x D),Range,Pack Type,Colour,Flow Rate,Voltage (V),Phase,Depth (mm),Rated Speed,Enclosure Class,Frequency,Pressure Rating,Standards,Dimensions (L x W x D),Smart,Switch Type,Battery Back Up,Number of Zones,Switching Capacity (amps),Programmable Duration,On / Off Periods per Day,Auto GMT / BST,Display Type,Installation Type,Number of Channels,Pack Quantity,Output,Connection Size,Maximum Velocity,Efficient Dirt Particle Removal Range,Size,Working Pressure,Part Gas Council number,Operating Temperature Range (C),Range For Use With,Connection,Thread Standard,Max Set Pressure,Connection Gender,Thread Size,Feature 12,Feature 13,Feature 14,Volume,Physical State / Form,By Model Number,Torque Rating,Position Indicator,Operating Range,Override Type,Running Time Motor,Cable Length (m),Position Feedback,Protection Class,Weight,Attachment 8,Number of Ports,Operator Type,Seal Material,Model For Use With,Spray Angle,Diameter,Air Volume (m3 per s),Capacitance,Feature 15,Feature 16,Area (m2),Output (W),Fuel Type,Fan Speeds,Mounting Type,Feature 17,Feature 18,Refrigerant Suitability,Seasonal Efficiency Energy Label Heating,UK Total Cooling,Seasonal Efficiency Energy Label Cooling,Nominal Heating (kW),Max Sound Pressure,UK Sensible Cooling,Nominal Cooling (kW),Max Airflow (m/min),Fuse Size (A),Pipe Size Diameter - Gas,Pipe Size Diameter - Liquid,Feature 19,Attachment Type,Pipe Diameter,Mains Connection Size and Type,System Connection Size and Type,Drain Connection,Attachment 9,Top Design,Overheat Protection,Programmable,Controls,BTU h,IP Rating,Finish,Max Fill Pressure,Full Load Current A,Thickness,Sector,Flue Type,Flue Diameter,Flue Length,Control Device,Fire Frontage,Flue Size,Material Type,Min Outlet Pressure,Max Outlet Pressure,Feature 20,Feature 21,Feature 22
553,P609295,Adey ProCheck instant result test kit pack,Adey,68.49,"Allowing installers to view water quality issues and judge the need for treatment in one visit, the Adey ProCheck instant result test kit sends lab-style results straight to your smartphone. The first app-linked kit of its kind, the ProCheck universal water test kit analyses system water on-site, with immediate independent validation of system health. Using advanced technology, this kit tests for three main areas of concern - protective inhibitor levels, corrosion and pH levels. To use, simply take a water sample from the system and carry out a straightforward dip test using the supplied ProCheck strips. Place strips on the test card and scan to the app using your mobile's camera for instant analysis and verification.",Heating/Heating.csv -> Adey ProCheck instant result test kit pack,,Waterproof case;25x test strips;10x test cards;Water sampler;Activation code,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/92/95/NW-609295_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Adey_ProCheck_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
554,P468870,Advanced Water 101 Series PREL101013 pressure relief valve,Advanced Water,54.54,"Made of hot pressed brass, the RWC 101 series 3 bar pressure relief valve has the response pressure helpfully indicated on the cover of the included high grade fibreglass reinforced plastic cap. Designed to ensure safe pressure levels in closed circuit water heating systems, this valve is fitted with 3/4"" FBSP connections.",Heating/Heating.csv -> Advanced Water 101 Series PREL101013 pressure relief valve,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/88/70/468870_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/RWC_101_Series_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
555,P609286,Adey MC4 central heating leak sealer 500ml (1),Adey,17.8,"Deal effectively with small leaks using Adey MC4 500ml leak sealer. Easy to use, this sealer protects and seals from the inside, getting into the hardest to reach areas and saving your system from potentially costly repairs. In many cases one it takes only dose to fix a leak and restore full pressure.",Heating/Heating.csv -> Adey MC4 central heating leak sealer 500ml (1),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/92/86/NW-609286_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/Adey_MC4_MSDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Adey_Domestic_Product_Range_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
556,P609272,Fernox F8 62486 power cleaner F8,Fernox,34.89,"Super-strength Fernox F8 power cleaner works to rapidly clean heavily contaminated central heating systems. Citrate-based, this pH neutral formulation removes debris, sludge and scale with no requirement for neutralising afterwards. Using F8 cleaner can help to extend the life of your heating system, restoring heating efficiency.",Heating/Heating.csv -> Fernox F8 62486 power cleaner F8,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/92/72/NW-609272_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/he/et/Fernox_62486_Safetydatasheet.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Fernox_62486-Powercleaner_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
557,PC28031,Drayton Digistat 2290B Battery 3A relay,Drayton,68.2,"Battery powered, the Drayton Digistat thermostat provides a two-wire connection to a boiler with a 3A relay. With universal operation and the option of smartphone control, this thermostat offers great flexibility.",Heating/Heating.csv -> Drayton Digistat 2290B Battery 3A relay,,Thermostat only,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/80/34/NW-C28031_C28034_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Drayton_Digistat_Userguide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Drayton_Digistat_Thermostat_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
558,P608008,Adey MagnaClean TwinTech filter and bleed valve 22mm,Adey,168.06,"Taking care of a variety of heating system debris issues, the Adey MagnaClean TwinTech 22mm filter contains a high-performance magnet for removing magnetite and a fine wire gauze designed to trap the non-magnetic and biological films that can build up in lower temperature systems. This filter is ideal for systems with underfloor heating as well as renewable systems using heat pumps.",Heating/Heating.csv -> Adey MagnaClean TwinTech filter and bleed valve 22mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/80/08/NW-608008_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Adey_MagnaClean_TwinTec_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Adey_Domestic_Product_Range_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
559,P537339,Zilmet ultra pro wall mounted potable water vessel W/ bracket 22mtr 19ltr (1),Zilmet,80.19,"Tested and certified to high standards, the Zilmet Ultra-Pro 22M 19L potable water vessel is a compact unit designed for wall mounting, reducing its footprint without reducing water yield. Energy efficient thanks to its minimised pump starts, this vessel incorporates a wide variety of useful features, including a robust galvanised and stainless steel flange and food grade replaceable membrane, making it suitable for any irrigation or centrifugal pump or booster set application. Ensuring a long service life, the Ultra-Pro's membrane is fixed to the connection and the flange, meaning it will not rub against the plate or bend during operation.",Heating/Heating.csv -> Zilmet ultra pro wall mounted potable water vessel W/ bracket 22mtr 19ltr (1),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/73/39/537339_wm.jpg,,,,,22mm Compression,N/A,,N,WRAS; PED,10,Carbon Steel Shell / Stainless Steel Connection,,99,1100001951,N,,19 l,Made in Italy,Epoxy powder-coated shell adds durability,With interchangeable food grade membrane,Includes welded bracket,Compact footprint for ease of fitting,Energy saving minimum pump starts,Factory tested and certified to EU Directive 97/23/EC,WRAS and PED approved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
560,P608236,Fernox magnetic scale reducer 15 mm,Fernox,50.57,"Easy to connect to 15mm pipework, the Fernox magnetic scale reducer range provides effective single appliance protection, keeping boilers free from the damaging effects of scale. Working for up to 10 years, dependent on water usage levels, this scale reducer requires no ongoing maintenance and is ideal for use in hard water areas which exceed 200ppm, helping systems to maintain good levels of energy efficiency.",Heating/Heating.csv -> Fernox magnetic scale reducer 15 mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/82/36/NW-608236_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Fernox_58264_MagneticScale_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Fernox_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
561,P304801,Drayton Wiser WT714R9K0902 multi-zone kit 1,Drayton,231.6,"Simple and smart, the Drayton Wiser Multi-Zone Kit 1 for combi boiler heating systems provides easy installation from app to thermostat, allowing you to personalise your home heating via smartphone or using the thermostat's colour LCD. Offering seven day programming for your home heating zones, this kit includes a room thermostat, OpenTherm module and both a stand and a wall bracket for your choice of controller storage.",Heating/Heating.csv -> Drayton Wiser WT714R9K0902 multi-zone kit 1,,Room thermostat;Thermostat stand;Thermostat wall bracket;2x AA batteries;1-channel Heat HubR;OpenTherm module;Wall plate,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/48/01/304801_wm.jpg,,,,,,,2 years,N,,,,,,WV714R9K0902,N,CommercialDomestic,,One channel thermostat system with two radiator thermostats to start zoning your system,Suitable for combination boilers,Control the Room thermostat and radiator thermostats via the Wiser Heat app,Add more radiator valves to create more independent zones,,,,,,,,,Thermostat Pack,,,,,,,Wiser,,,,,,93,,,,,,70 x 150 x 93,Yes,SPDT,Y,16,2(1),7 Day,8,Yes,Colour LCD,Heating,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
562,P337055,Drayton wiring centre,Drayton,21.08,"This Drayton LWC31 wiring centre offers safe, convenient system wiring, providing a neat finish and simplifying wiring and circuit testing.",Heating/Heating.csv -> Drayton wiring centre,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/70/55/NW-337055_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Drayton_Product_Catalogue.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Drayton_LWC1_Wiring_Centre_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/e_/15/Drayton_Product_Catalogue_Issue_15.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Drayton_Wiring_Centres_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
563,P732957,Danfoss ES 00.75 x 80 es nozzle kerosene,Danfoss,7.82,"Suitable for domestic high-pressure oil burners, this Danfoss ES oil nozzle is designed to operate with kerosene. Fitted with sintered bronze filters, this brass nozzle offers a spray angle of 80°.",Heating/Heating.csv -> Danfoss ES 00.75 x 80 es nozzle kerosene,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/29/57/NW-732957_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Danfoss_Burner_Component_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Danfoss_EH_ES_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
564,P365358,"Fantini Banico 2 way solenoid valve body 1/2 "" 0-6 bar",Fantini Banico,32.86,"This Fantini Banico solenoid valve with 1/2"" female BSP connection is suitable for water, air, oil, inert gases and other non-corrosive fluids with viscosity up to 2°.","Heating/Heating.csv -> Fantini Banico 2 way solenoid valve body 1/2 "" 0-6 bar",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/53/58/NW-365358_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Banico_20B-F_NC_Solenoid_Valve_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Banico_Solenoid_Valve_Guide.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
565,PS04900,JET Range JHEV 50 Litre Expansion Vessel 3bar,JET Range,83.21,"Designed for sealed heating and chilled systems, this 50L capacity JET Range JHEV expansion vessel has a tough and hardwearing steel shell and butyl rubber diaphragm. Intended to maintain the operating pressure in heating and cooling systems, this easy to install expansion vessel safely accommodates the expansion and contraction caused by system temperature changes.",Heating/Heating.csv -> JET Range JHEV 50 Litre Expansion Vessel 3bar,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/49/05/S04900_S04905_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_o/&m/Flexcon Top O&M.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/he/et/S04900_S04911 Datasheet.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
566,P891019,Flamco Airfix P Airfix P 2 - 300 potable vessel 12ltr,Flamco,49.46,"Suitable for domestic and commercial sealed hot and chilled water systems, the 12L capacity Flamco Airfix P Potable water expansion vessel includes a nitrogen gas filling for improved pre-charge retention and a replaceable, contoured bladder.",Heating/Heating.csv -> Flamco Airfix P Airfix P 2 - 300 potable vessel 12ltr,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/21/891017_891021_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Flamco_Airfix_Vessel-12L_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Flamco_Airfix_Expansion-V_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/18/Flamco_Product_Overview_2018.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
567,P100304,Worcester Bosch Greenstar Greenstar System Filter 28mm,Worcester Bosch,198.39,"Protecting against the damage that can be caused by system debris and pollutants, the Worcester Bosch Greenstar 28mm system filter helps homeowners to avoid costly maintenance. Extensively tested in systems, this filter is proven effective in removing iron oxide, magnetite and non-magnetic metal flakes as well as other system pollutants.",Heating/Heating.csv -> Worcester Bosch Greenstar Greenstar System Filter 28mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/03/04/NW-100303_100304_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Worcester_Systemfilter_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
568,P493361,Advanced Water TPR15 PTEM550814 thermostastic pressure relief valve 3/4'' x 15mm 7bar,Advanced Water,99.68,"Designed with a reliable cartridge construction, the RWC 7 bar TPR15 pressure and temperature relief valve helps to maintain safe pressure and temperature levels in an unvented hot water system. This valve is supplied with 3/4"" loose nut inlet x 15mm compression outlet connections.",Heating/Heating.csv -> Advanced Water TPR15 PTEM550814 thermostastic pressure relief valve 3/4'' x 15mm 7bar,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/33/61/493361_wm.jpg,,,,,,,,N,,,,,95,520-475-0705,N,,,"3/4"" Loose Nut (Inlet) x 15mm compression (Outlet) connections",Cartridge construction provides long life span and service of the valve,Locked Pressure Setting: 7 bar,Probe Length: 95mm,WRAS Approved,,,,,,,,Pressure and Temperature Relief Valve,,,Gas Assembly,,,,TPR15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3/4 inch MBSP x 15 mm Compression,BSP,7 bar,Male,3/4 inch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
569,P222006,Neomitis RT0 RF wireless digital room thermostat pack,Neomitis,60.0,"Easy to install and set up and even easier to operate, the Neomitis RT0RF wireless digital room thermostat features a large, easy to read LCD as well as a simple rotary dial for intuitive adjustment. Suitable for new installations or as a retrofit, this smart wire-free thermostat can be wall-mounted or stored on a table stand.",Heating/Heating.csv -> Neomitis RT0 RF wireless digital room thermostat pack,,Digital Room Thermostat;Wireless Receiver;2x AA (LR6) batteries;Wall mounting plate ;table stand,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/80/66/NW-158066_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Neomitis_RT0_RT1_RT7_RF_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Neomitis_RT0_RF_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Neomitis_RT0_RF_Operatng_Instruction.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
570,P609296,Adey ProCheck refill pack,Adey,46.25,"This Adey ProCheck refill kit provides you with replacement test strips, test cards and a water sampler for repeat tests using the ProCheck system. This system is ideal for installers, providing independent validation of the need for water treatment, helping you to illustrate to homeowners the importance of water quality. Using a smartphone app, ProCheck gives you immediate feedback on advanced checks, providing data related to protective inhibitor levels, corrosion and pH levels. Requiring just a simple water sample dip test, scanned into the app using your phone's camera, this innovative service provides instantaneous reporting to help you determine the right course of action there and then.",Heating/Heating.csv -> Adey ProCheck refill pack,,25x test strips;10x test cards;Water sampler,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/92/96/NW-609296_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Adey_ProCheck_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
571,P517340,Polypipe UFH Systems 2-wire valve actuator,Polypipe,34.14,"This Polypipe two wire valve actuator opens and closes a heating circuit on Polypipe's underfloor heating Smart Plus manifold in reaction to heat demand. Helping to improve your system's energy efficiency by allowing individual room temperature control, this UFCH valve actuator mechanism can help save on utility bills and minimise waste. The actuator uses a PTC resistor-heated wax element and compression spring, the operating voltage applying heat to the wax elevment and therefore moving an integrated ram. The force generated by this movement is transferred to the valve motor for operation of the actuator.",Heating/Heating.csv -> Polypipe UFH Systems 2-wire valve actuator,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/73/40/517340_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Polypipe_Plumbing&Heating_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/n_/19/Polypipe_Underfloor_Heating_Jan_19.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Polypipe_PB00401_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Polypipe_Plumbing_Heating _Install.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
572,P796835,"Anglo Nordic oil filter and shut off valve 3/8""",Anglo Nordic,34.65,"Designed with 1/2"" FBSPP x 1"" MBSPT connection ports, this Anglo Nordic 50 micron oil filter and lever action isolation valve has a quarter-turn valve built into the adapter. This provides additional shut-off facility.","Heating/Heating.csv -> Anglo Nordic oil filter and shut off valve 3/8""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/68/35/NW-796835_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Anglo_Nordic_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
