,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Connection Type,Hazardous,End Connection A size,Material,Size,Connection Type 1,Supplier Product Code,Type,WEEE Compliant,Attachment 1,Diameter,Feature 1,Feature 2,Feature 3,Approvals,Feature 4,Feature 5,Weight,Equal / Unequal,End Connection B size,End Connection C size
10,PL80670,Geldbach slip on weld flange PN16 200mm,Geldbach,71.34,This Geldbach BS4504/12 200mm slip-on weld flange is made of carbon steel with a black finish.,"Pipe, Valves and Fittings/Metal Pipe Fittings/Carbon Steel Pipe Fittings/Carbon Steel Weld Flanges/Carbon Steel Weld Flanges.csv -> Geldbach slip on weld flange PN16 200mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/06/70/NW-L80670_wm.jpg,Flange,N,200mm,Carbon Steel,200mm,Flange,D20016/500,Slip-On Weld Flange,N,,,,,,,,,,,,
11,PL80630,Geldbach slip on weld flange PN16 32mm,Geldbach,18.15,This Geldbach BS4504/12 32mm slip-on weld flange is made of carbon steel with a black finish.,"Pipe, Valves and Fittings/Metal Pipe Fittings/Carbon Steel Pipe Fittings/Carbon Steel Weld Flanges/Carbon Steel Weld Flanges.csv -> Geldbach slip on weld flange PN16 32mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/06/30/NW-L80630_wm.jpg,Flange,N,32 mm,Carbon Steel,32 mm,Flange,D03216/500,Slip-On Weld Flange,N,,,,,,,,,,,,
12,PL80255,Geldbach slip on weld flange PN6 100mm,Geldbach,30.54,This Geldbach BS4504/12 100mm slip-on weld flange is made of carbon steel with a black finish.,"Pipe, Valves and Fittings/Metal Pipe Fittings/Carbon Steel Pipe Fittings/Carbon Steel Weld Flanges/Carbon Steel Weld Flanges.csv -> Geldbach slip on weld flange PN6 100mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/02/55/NW-L80255_wm.jpg,Flange,N,100mm,Carbon Steel,100 mm,Flange,D10006/500,Slip-On Weld Flange,N,,,,,,,,,,,,
13,PL80087,Geldbach slip on weld flange pn40 65mm,Geldbach,31.97,This Geldbach BS4504/12 65mm slip-on weld flange is made of carbon steel with a black finish.,"Pipe, Valves and Fittings/Metal Pipe Fittings/Carbon Steel Pipe Fittings/Carbon Steel Weld Flanges/Carbon Steel Weld Flanges.csv -> Geldbach slip on weld flange pn40 65mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/00/89/NW-L80087_L80089_wm.jpg,Flange,N,65 mm,Carbon Steel,6.5 mm,Flange,D06540/500,Slip-On Weld Flange,N,,,,,,,,,,,,
14,PL81525,Geldbach screwed flange PN16 25mm Galvanised,Geldbach,48.56,This Geldbach BS4504/13 25mm screwed flange is made of carbon steel with a black finish.,"Pipe, Valves and Fittings/Metal Pipe Fittings/Carbon Steel Pipe Fittings/Carbon Steel Weld Flanges/Carbon Steel Weld Flanges.csv -> Geldbach screwed flange PN16 25mm Galvanised",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/15/25/NW-L81525_wm.jpg,Flange,N,25 mm,Carbon Steel,25 mm,Flange,D025164G00,Screwed Flange,N,,,,,,,,,,,,
15,PL80450,Geldbach weld neck flange PN16 80mm,Geldbach,43.64,This Geldbach BS4504/11 80mm weld neck flange is made of carbon steel with a black finish.,"Pipe, Valves and Fittings/Metal Pipe Fittings/Carbon Steel Pipe Fittings/Carbon Steel Weld Flanges/Carbon Steel Weld Flanges.csv -> Geldbach weld neck flange PN16 80mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/04/50/NW-L80450_wm.jpg,Flange,N,80mm,Carbon Steel,80mm,Flange,D08016/200,Weld Neck Flange,N,,,,,,,,,,,,
16,PL75124,"Geldbach raised face slip on flange 1.1/2""",Geldbach,7.69,"This Geldbach ASA 150 1 1/2"" raised face slip-on flange is made of carbon steel.","Pipe, Valves and Fittings/Metal Pipe Fittings/Carbon Steel Pipe Fittings/Carbon Steel Weld Flanges/Carbon Steel Weld Flanges.csv -> Geldbach raised face slip on flange 1.1/2""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/51/24/NW-L75124_wm.jpg,Flange,N,1-1/2,Carbon Steel,1 1/2,Flange,E015SO1000,Raised Face Slip-On Flange,N,,,,,,,,,,,,
17,PL80520,Geldbach screwed flange PN16 20mm,Geldbach,13.3,This Geldbach BS4504/13 20mm screwed flange is made of carbon steel with a black finish.,"Pipe, Valves and Fittings/Metal Pipe Fittings/Carbon Steel Pipe Fittings/Carbon Steel Weld Flanges/Carbon Steel Weld Flanges.csv -> Geldbach screwed flange PN16 20mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/05/20/NW-L80520_wm.jpg,Flange,N,20 mm,Carbon Steel,20 mm,Flange,D02016/400,Screwed Flange,N,,,,,,,,,,,,
18,PL82050,"Marla Tube slip on plate flange (BS4504/01) PN16 (165.1mm) 6""",Marla Tube,33.28,"This Marla Tube 6"" slip-on flange is made of carbon steel and is designed to be connected to a pipe or fittings by two fillet welds, one inside and one outside of the cavity of the flange. The bore size of a slip-on flange is larger than the outside diameter of the connecting pipe, allowing the pipe to slide into the flange.","Pipe, Valves and Fittings/Metal Pipe Fittings/Carbon Steel Pipe Fittings/Carbon Steel Weld Flanges/Carbon Steel Weld Flanges.csv -> Marla Tube slip on plate flange (BS4504/01) PN16 (165.1mm) 6""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/20/50/NW-L82050_wm.jpg,Flange,N,6,Carbon Steel,6,Flange,D16516/300,Slip-On Flange,N,,,Made of carbon steel,"Slim, compact design",PN16,BS4504/01EN 1092-1,Meets BS 4504/01,Meets EN 1092-1,,,,
19,PL80250,Geldbach slip on weld flange PN6 80mm,Geldbach,25.95,This Geldbach BS4504/12 80mm slip-on weld flange is made of carbon steel with a black finish.,"Pipe, Valves and Fittings/Metal Pipe Fittings/Carbon Steel Pipe Fittings/Carbon Steel Weld Flanges/Carbon Steel Weld Flanges.csv -> Geldbach slip on weld flange PN6 80mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/02/50/NW-L80250_wm.jpg,Flange,N,80mm,Carbon Steel,80mm,Flange,D08006/500,Slip-On Weld Flange,N,,,,,,,,,,,,
20,PL82043,Marla Tube BS4504/01 PN16 slip on plate flange 250mm,Marla Tube,67.71,"This Marla Tube 250mm slip-on flange is made of carbon steel and is designed to be connected to a pipe or fittings by two fillet welds, one inside and one outside of the cavity of the flange. The bore size of a slip-on flange is larger than the outside diameter of the connecting pipe, allowing the pipe to slide into the flange.","Pipe, Valves and Fittings/Metal Pipe Fittings/Carbon Steel Pipe Fittings/Carbon Steel Weld Flanges/Carbon Steel Weld Flanges.csv -> Marla Tube BS4504/01 PN16 slip on plate flange 250mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/20/47/NW-L82035_L82047_wm.jpg,Flange,N,250 mm,Carbon Steel,250mm,Flange,D25016/300,Slip-On Flange,N,,,Made of carbon steel,"Slim, compact design",PN16,BS4504/01EN 1092-1,Meets BS 4504/01,Meets EN 1092-1,,,,
21,PL80640,Geldbach slip on weld flange PN16 50mm,Geldbach,20.31,This Geldbach BS4504/12 50mm slip-on weld flange is made of carbon steel with a black finish.,"Pipe, Valves and Fittings/Metal Pipe Fittings/Carbon Steel Pipe Fittings/Carbon Steel Weld Flanges/Carbon Steel Weld Flanges.csv -> Geldbach slip on weld flange PN16 50mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/06/40/NW-L80640_wm.jpg,Flange,N,50 mm,Carbon Steel,50 mm,Flange,D05016/500,Slip-On Weld Flange,N,,,,,,,,,,,,
22,PL80245,Geldbach slip on weld flange PN6 65mm,Geldbach,18.02,This Geldbach BS4504/12 65mm slip-on weld flange is made of carbon steel with a black finish.,"Pipe, Valves and Fittings/Metal Pipe Fittings/Carbon Steel Pipe Fittings/Carbon Steel Weld Flanges/Carbon Steel Weld Flanges.csv -> Geldbach slip on weld flange PN6 65mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/02/45/NW-L80245_wm.jpg,Flange,N,65 mm,Carbon Steel,6.5 mm,Flange,D06506/500,Slip-On Weld Flange,N,,,,,,,,,,,,
23,PL80435,Geldbach weld neck flange PN16 50mm,Geldbach,27.52,This Geldbach BS4504/11 50mm weld neck flange is made of carbon steel with a black finish.,"Pipe, Valves and Fittings/Metal Pipe Fittings/Carbon Steel Pipe Fittings/Carbon Steel Weld Flanges/Carbon Steel Weld Flanges.csv -> Geldbach weld neck flange PN16 50mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/04/35/NW-L80435_wm.jpg,Flange,N,50 mm,Carbon Steel,50 mm,Flange,D05016/200,Weld Neck Flange,N,,,,,,,,,,,,
24,PL80090,Geldbach BS4504/12 slip on weld flange pn40 125mm,Geldbach,74.89,This Geldbach BS4504/12 125mm slip-on weld flange is made of carbon steel with a black finish.,"Pipe, Valves and Fittings/Metal Pipe Fittings/Carbon Steel Pipe Fittings/Carbon Steel Weld Flanges/Carbon Steel Weld Flanges.csv -> Geldbach BS4504/12 slip on weld flange pn40 125mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/00/91/NW-L80090_L80091_wm.jpg,Flange,N,125mm,Carbon Steel,125mm,Flange,D12540/500,Slip-On Weld Flange,N,,,,,,,,,,,,
25,PL80091,Geldbach slip on weld flange pn40 150mm,Geldbach,166.29,This Geldbach BS4504/12 150mm slip-on weld flange is made of carbon steel with a black finish.,"Pipe, Valves and Fittings/Metal Pipe Fittings/Carbon Steel Pipe Fittings/Carbon Steel Weld Flanges/Carbon Steel Weld Flanges.csv -> Geldbach slip on weld flange pn40 150mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/00/91/NW-L80090_L80091_wm.jpg,Flange,N,150 mm,Carbon Steel,150 mm,Flange,D15040/500,Slip-On Weld Flange,N,,,,,,,,,,,,
26,PL71348,"Marla Tube T-E welding and drilled flange 4"" Black",Marla Tube,25.38,"This Marla Tube T-E 4"" welded and drilled flange is made of carbon steel. This fitting offers durability and resistance to high mechanical stress and temperature extremes.","Pipe, Valves and Fittings/Metal Pipe Fittings/Carbon Steel Pipe Fittings/Carbon Steel Weld Flanges/Carbon Steel Weld Flanges.csv -> Marla Tube T-E welding and drilled flange 4"" Black",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/13/48/NW-L71348_wm.jpg,Flange,N,4,Carbon Steel,4,Flange,C040E0SO00,Flange,N,,4,Made of carbon steel,Black finish,Table E screwed flange,,,,,,,
27,PL80088,Geldbach slip on weld flange pn40 80mm,Geldbach,40.63,This Geldbach BS4504/12 80mm slip-on weld flange is made of carbon steel with a black finish.,"Pipe, Valves and Fittings/Metal Pipe Fittings/Carbon Steel Pipe Fittings/Carbon Steel Weld Flanges/Carbon Steel Weld Flanges.csv -> Geldbach slip on weld flange pn40 80mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/00/89/NW-L80087_L80089_wm.jpg,Flange,N,80mm,Carbon Steel,80mm,Flange,D08040/500,Slip-On Weld Flange,N,,,,,,,,,,,,
28,PL80089,Geldbach slip on weld flange pn40 100mm,Geldbach,52.42,This Geldbach BS4504/12 100mm slip-on weld flange is made of carbon steel with a black finish.,"Pipe, Valves and Fittings/Metal Pipe Fittings/Carbon Steel Pipe Fittings/Carbon Steel Weld Flanges/Carbon Steel Weld Flanges.csv -> Geldbach slip on weld flange pn40 100mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/00/89/NW-L80087_L80089_wm.jpg,Flange,N,100mm,Carbon Steel,100 mm,Flange,D10040/500,Slip-On Weld Flange,N,,,,,,,,,,,,
29,PL80850,Marla Tube PN16 black blank flange 80mm,Marla Tube,21.62,"This Marla Tube 80mm blank or blind flange is made of carbon steel. Used to blind or seal a pipeline and a valve/pressure vessel and block the flow of the fluid, a blind flange provides easy access to the pipeline, quickly unbolting to allow an operator to carry out works inside the terminal end of the pipe.","Pipe, Valves and Fittings/Metal Pipe Fittings/Carbon Steel Pipe Fittings/Carbon Steel Weld Flanges/Carbon Steel Weld Flanges.csv -> Marla Tube PN16 black blank flange 80mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/08/50/NW-L80850_wm.jpg,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Marla_Tube_Flange_Technical.pdf,,,,,,,,,,,
30,PL80240,Geldbach slip on weld flange PN6 50mm,Geldbach,14.94,This Geldbach BS4504/12 50mm slip-on weld flange is made of carbon steel with a black finish.,"Pipe, Valves and Fittings/Metal Pipe Fittings/Carbon Steel Pipe Fittings/Carbon Steel Weld Flanges/Carbon Steel Weld Flanges.csv -> Geldbach slip on weld flange PN6 50mm",,Slip-on weld flange only,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/02/40/NW-L80240_wm.jpg,Flange,N,50 mm,Carbon Steel,50 mm,Flange,D05006/500,Slip-On Weld Flange,N,,,,,,,,,1500.00000,,,
31,PL80625,Geldbach slip on weld flange PN16 25mm,Geldbach,14.09,This Geldbach BS4504/12 25mm slip-on weld flange is made of carbon steel with a black finish.,"Pipe, Valves and Fittings/Metal Pipe Fittings/Carbon Steel Pipe Fittings/Carbon Steel Weld Flanges/Carbon Steel Weld Flanges.csv -> Geldbach slip on weld flange PN16 25mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/06/25/NW-L80625_wm.jpg,Flange,N,25 mm,Carbon Steel,25 mm,Flange,D02516/500,Slip-On Weld Flange,N,,,,,,,,,,,,
32,PL81660,Geldbach self coloured sow (BS4504/12) PN16 125mm,Geldbach,188.89,A Geldback 125mm flange.,"Pipe, Valves and Fittings/Metal Pipe Fittings/Carbon Steel Pipe Fittings/Carbon Steel Weld Flanges/Carbon Steel Weld Flanges.csv -> Geldbach self coloured sow (BS4504/12) PN16 125mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/5_/60/L81650_55_60_wm.jpg,Flange,N,125mm,Carbon Steel,125mm,,D12516/5SC,Flange,N,,,,,,,,,,,,
33,PL80470,Geldbach weld neck flange PN16 200mm,Geldbach,134.1,This Geldbach BS4504/11 200mm weld neck flange is made of carbon steel with a black finish.,"Pipe, Valves and Fittings/Metal Pipe Fittings/Carbon Steel Pipe Fittings/Carbon Steel Weld Flanges/Carbon Steel Weld Flanges.csv -> Geldbach weld neck flange PN16 200mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/04/70/NW-L80470_wm.jpg,Flange,N,200mm,Carbon Steel,200mm,Flange,D20016/200,Weld Neck Flange,N,,,,,,,,,,,,
34,PL82040,Marla Tube BS4504/01 PN16 slip on plate flange 125mm,Marla Tube,25.68,"This Marla Tube 125mm slip-on flange is made of carbon steel and is designed to be connected to a pipe or fittings by two fillet welds, one inside and one outside of the cavity of the flange. The bore size of a slip-on flange is larger than the outside diameter of the connecting pipe, allowing the pipe to slide into the flange.","Pipe, Valves and Fittings/Metal Pipe Fittings/Carbon Steel Pipe Fittings/Carbon Steel Weld Flanges/Carbon Steel Weld Flanges.csv -> Marla Tube BS4504/01 PN16 slip on plate flange 125mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/20/47/NW-L82035_L82047_wm.jpg,Flange,N,125mm,Carbon Steel,125mm,Flange,D12516/300,Slip-On Flange,N,,,Made of carbon steel,"Slim, compact design",PN16,BS4504/01EN 1092-1,Meets BS 4504/01,Meets EN 1092-1,,,,
35,PL80665,Geldbach slip on weld flange PN16 6.5/8 150mm,Geldbach,56.49,This Geldbach BS4504/12 150mm slip-on weld flange is made of carbon steel with a black finish.,"Pipe, Valves and Fittings/Metal Pipe Fittings/Carbon Steel Pipe Fittings/Carbon Steel Weld Flanges/Carbon Steel Weld Flanges.csv -> Geldbach slip on weld flange PN16 6.5/8 150mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/06/66/NW-L80665_L80666_wm.jpg,Flange,N,150 mm,Carbon Steel,150 mm,Flange,D15016/500,Slip-On Weld Flange,N,,,,,,,,,,,,
36,PL71336,"Marla Tube T-E welding and drilled flange 3"" Black",Marla Tube,17.09,"This Marla Tube T-E 3"" welded and drilled flange is made of carbon steel. This fitting offers durability and resistance to high mechanical stress and temperature extremes.","Pipe, Valves and Fittings/Metal Pipe Fittings/Carbon Steel Pipe Fittings/Carbon Steel Weld Flanges/Carbon Steel Weld Flanges.csv -> Marla Tube T-E welding and drilled flange 3"" Black",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/13/36/NW-L71336_wm.jpg,Flange,N,3,Carbon Steel,3,Flange,C030E0SO00,Flange,N,,3,Made of carbon steel,Black finish,Table E screwed flange,,,,,,,
37,PL82042,Marla Tube BS4504/01 PN16 slip on plate flange 200mm,Marla Tube,44.33,"This Marla Tube 200mm slip-on flange is made of carbon steel and is designed to be connected to a pipe or fittings by two fillet welds, one inside and one outside of the cavity of the flange. The bore size of a slip-on flange is larger than the outside diameter of the connecting pipe, allowing the pipe to slide into the flange.","Pipe, Valves and Fittings/Metal Pipe Fittings/Carbon Steel Pipe Fittings/Carbon Steel Weld Flanges/Carbon Steel Weld Flanges.csv -> Marla Tube BS4504/01 PN16 slip on plate flange 200mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/20/47/NW-L82035_L82047_wm.jpg,Flange,N,200mm,Carbon Steel,200mm,Flange,D20016/300,Slip-On Flange,N,,,Made of carbon steel,"Slim, compact design",PN16,BS4504/01EN 1092-1,Meets BS 4504/01,Meets EN 1092-1,,,,
