,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Range,Thickness,Hazardous,Dimensions (L x W x D),Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Warranty,Diameter,Depth (mm)
10,P581514,JG Underfloor JG Underfloor wired heating controls  JGWC4 wiring centr 240V,JG Underfloor,105.41,"An all-in-one junction box for underfloor heating systems, the JG Underfloor 240v wiring centre centralises controls with eight zone connections. Easy to mount and wire thanks to its labelled circuit board, this wiring centre incorporates all hard-wired connections for zone valves, pumps, actuators and thermostats, making the connection and control of additional radiators or hot water motorised valves simple. For additional convenience, the JG Underfloor wiring centre can be fully controlled via smartphone using the JG Underfloor gateway and app.",Heating/Underfloor Heating/Water Underfloor Heating/Water Underfloor Heating.csv -> JG Underfloor JG Underfloor wired heating controls  JGWC4 wiring centr 240V,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/15/14/581514_wm.jpg,,,,JG Underfloor wired heating controls,57mm,N,,JGWC4,,N,Controls up to 4x circuits from a single thermostat,"LED lights indicate power status, thermostats, pump, boiler and hot water",Dip switches on all 8 standard zones stop UFH pump activating when radiators and underfloor heating are available,All functions fully accessible from front of unit,No additional internal link wiring required,Connections for hot water and central heating zone valves,2 year warranty,,,,2 years,,
11,PP10889,Rehau smart base 2.0 24V,Rehau,449.42,"Suitable for both domestic and commercial use, the Rehau NEA Smart 2.0 24V base unit offers flexible use in a range of applications. Attractively designed to fit well into a room's design, the NEA Smart system offers complete integrated control.",Heating/Underfloor Heating/Water Underfloor Heating/Water Underfloor Heating.csv -> Rehau smart base 2.0 24V,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/08/89/P10889_wm.jpg,,,,,30 mm,N,,328024-001,,N,Integrated control,"Quick, easy installation",Stylish design,White colour,5 year warranty,,,,,,5 Year,,
12,P262687,Myson Floortec coil 17 x 2mm 120mtr,Myson,283.2,"The five layer polyethylene Myson Floortec PEXcellent 17mm diameter underfloor heating pipe, supplied in a 120M coil, includes an integral oxygen barrier. Compatible with most Myson Floortec heating systems, including the low-profile Microboard, this pipe is environmentally-friendly, manufactured with no chemical additives used in either production or disposal.",Heating/Underfloor Heating/Water Underfloor Heating/Water Underfloor Heating.csv -> Myson Floortec coil 17 x 2mm 120mtr,,Underfloor heating pipe;Integral oxygen barrier,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/26/89/262686_262689_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Myson_UnderfloorHeating_Introduction.pdf,,,,,,,,,,,,,,,,,,,,,,
13,P261913,Myson Floortec PUNCHPACK20 underfloor heating punch pack 20mtr2,Myson,966.02,"This cost-effective and high quality Myson Floortec 20M² punch pack is designed for underfloor heating installations in a screeded floor. Supplied with Myson's unique Tackernails for easy installation straight out of the box and offering complete control via the included floor sensor, single zone control unit and thermostat, this all-in-one pack makes both fitting and using an underfloor heating system in a single room straightforward.",Heating/Underfloor Heating/Water Underfloor Heating/Water Underfloor Heating.csv -> Myson Floortec PUNCHPACK20 underfloor heating punch pack 20mtr2,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/19/14/261913_261914_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Myson_UnderfloorHeating_Introduction.pdf,,,,,,,,,,,,,,,,,,,,,,
14,P581456,JG Underfloor Speedfit JGUFHPACK20/4 under floor heating pack - up to 20mtr2,JG Underfloor,864.68,"Designed for solid floors, the JG Underfloor Speedfit underfloor heating pack is suitable for spaces of up to 20M². Including a control unit and thermostat, as well as the underfloor heating piping and fixtures, Speedfit is an ideal choice for straightforward all-in-one installation in conservatories or extensions.",Heating/Underfloor Heating/Water Underfloor Heating/Water Underfloor Heating.csv -> JG Underfloor Speedfit JGUFHPACK20/4 under floor heating pack - up to 20mtr2,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/14/56/581456_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/JG_Speedfit_UFH_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,
15,P206504,BHEAT 240M 16MM EVOH UFH PIPE RED WHITE,Beneath Heat,232.2,This Beneath Heat 16mm PERT EVOH five-layer barrier pipe is supplied in a 240M length. It is designed specifically for use in underfloor heating systems.,Heating/Underfloor Heating/Water Underfloor Heating/Water Underfloor Heating.csv -> BHEAT 240M 16MM EVOH UFH PIPE RED WHITE,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/65/04/206504_wm.jpg,,,,,,N,,240EVOH16,UFH Pipe,N,Flexible design,With 5x layers,Includes EVOH layer,Red colour,,,,,,,,,
16,P206501,Beneath Heat 200m 16 x 2mm underfloor heating pipe,Beneath Heat,276.0,"A multilayer composite pipe, or MLCP, supplied in a length of 200M, this Beneath Heat 16 x 2mm underfloor heating pipe consists of five layers for reliable, resistant use.",Heating/Underfloor Heating/Water Underfloor Heating/Water Underfloor Heating.csv -> Beneath Heat 200m 16 x 2mm underfloor heating pipe,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/65/01/206501_wm.jpg,,,,,16mm,N,660 x 680 x 200,20016MLCP,MLCP,N,Five-layer design,For use in underfloor heating,50 year warranty,,,,,,,,50 Years,680,200
17,P581515,JG Underfloor JG Underfloor wireless heating controls  JGWCRF4 RF wiring centre 240V,JG Underfloor,195.17,"An all-in-one junction box for underfloor heating systems, the JG Underfloor 240v RF wiring centre centralises controls with eight zone connections. Easy to mount and wire thanks to its labelled circuit board, this wiring centre incorporates all hard-wired connections for zone valves, pumps and actuators as well as an RF connection for remote programmable thermostats, making the connection and control of additional radiators or hot water motorised valves simple. For additional convenience, the JG Underfloor wiring centre can be fully controlled via smartphone using the JG Underfloor gateway and app.",Heating/Underfloor Heating/Water Underfloor Heating/Water Underfloor Heating.csv -> JG Underfloor JG Underfloor wireless heating controls  JGWCRF4 RF wiring centre 240V,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/15/15/581515_wm.jpg,,,,JG Underfloor wireless heating controls,57mm,N,,JGWCRF4,,N,Controls up to 4x circuits from a single thermostat,On-board RF communication between thermostats and wiring centre,No need for additional wiring,"LED lights indicate power status, thermostats, pump, boiler and hot water",Dip switches on all 8 standard zones stop UFH pump activating when radiators and underfloor heating are available,All functions fully accessible from front of unit,No additional internal link wiring required,Connections for hot water and central heating zone valves,2 year warranty,,2 years,,
18,P262498,Myson Floortec 3D large tackernail 58mm,Myson,67.31,"This 58mm long Myson Floortec 3D Tackernail is ultra-strong for the quick and reliable anchoring of Floortec underfloor heating pipework, even in solid floors. Made entirely from plastic, the Tackernail does away with the problem of sticky tape and the high number of barbs means there's no risk of nails lifting. To use, the pipe is positioned and the Tackernail is simply installed over the pipe using a Myson Floortec Tacker tool.",Heating/Underfloor Heating/Water Underfloor Heating/Water Underfloor Heating.csv -> Myson Floortec 3D large tackernail 58mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/24/98/262498_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Myson_UnderfloorHeating_Introduction.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Myson_25085Underfloor_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,
19,P213835,Beta pipe coil PERT-AL-PERT 16 mm x 200 mtr,Beta,183.6,This Beta five layer PERT-AL-PERT 16mm multilayer composite (MLCP) underfloor heating pipe is supplied in a 200M coiled length.,Heating/Underfloor Heating/Water Underfloor Heating/Water Underfloor Heating.csv -> Beta pipe coil PERT-AL-PERT 16 mm x 200 mtr,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/38/35/213835_wm.jpg,,,,,,N,,PAP16200,Pipe,N,With bend memory for ease of use,Allows zero oxygen ingress,WRAS approved,,,,,,,,,,
20,P213836,Beta pipe coil PERT-AL-PERT 16 mm x 500 mtr,Beta,466.2,"Supplied in a 500M coil, Beta PERT-AL-PERT 16mm five-layer multilayer composite pipe (MLCP) is designed for easy, hassle-free laying.",Heating/Underfloor Heating/Water Underfloor Heating/Water Underfloor Heating.csv -> Beta pipe coil PERT-AL-PERT 16 mm x 500 mtr,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/38/36/213836_wm.jpg,,,,,,N,,PAP16500-C,Pipe,N,For underfloor heating use,Bend memory for ease of use,Zero oxygen ingress,WRAS approved,,,,,,,,,
