,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Hazardous,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Range,Connection Type,Diameter,Approvals,Equal / Unequal,End Connection A size,End Connection C size,Material,Size,Connection Type 1,Feature 7,Feature 8,Feature 9,Pack Quantity,Depth (mm),Feature 10,Feature 11,Feature 12,Attachment 4,Finish,Weight
17,PD08206,Roca In-Wall roca basic tank lh ag,Roca,141.2,"Measuring 718 x 535 x 138mm, this Roca In-Wall LH basic tank with AG valve (under window) concealed cistern is suitable for installation with floor standing back-to-wall WCs. Convenient and efficient, this system is a great space-saver.",Bathrooms and Kitchens/Toilets/Toilet Spares and Parts/Toilet Cistern Parts/Toilet Cistern Parts.csv -> Roca In-Wall roca basic tank lh ag,,Basic tank;AG valve,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/82/06/NW-D08206_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/D08206_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,PB00167,Viva Sanitary Skylo button and handle flush valve,Viva Sanitary,21.6,"The compact, cable operated Viva Sanitary Skylo dual flush valve is compatible with both 1 1/2"" and 2"" outlet sizes. With fully adjustable dual flush volumes, an adjustable internal overflow and an easy-fit uni-button for easy maintenance access to the cistern, this valve is a highly practical choice.",Bathrooms and Kitchens/Toilets/Toilet Spares and Parts/Toilet Cistern Parts/Toilet Cistern Parts.csv -> Viva Sanitary Skylo button and handle flush valve,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/01/67/NW-B00167_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Viva_Sanitary_Skylo_SKY030_Tech.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,PB32901,Twyford Nocture cistern fixing assembly,Twyford,41.79,"Made of high quality plastic, this Twyford Nocturne cistern fixing assembly offers easy installation and maintenance.",Bathrooms and Kitchens/Toilets/Toilet Spares and Parts/Toilet Cistern Parts/Toilet Cistern Parts.csv -> Twyford Nocture cistern fixing assembly,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/29/01/NW-B32901_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Twyford_ForLifeBathrooms_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,P257452,Center tap hole stopper Chrome,Center,2.18,"Chrome-plated, this Center tap hole stopper is used to cover unwanted tapholes in a basin. It is supplied with a locknut for a reliably secure connection.",Bathrooms and Kitchens/Toilets/Toilet Spares and Parts/Toilet Cistern Parts/Toilet Cistern Parts.csv -> Center tap hole stopper Chrome,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/74/52/257452_wm.jpg,,,,N,PPSSTO374513,Cistern Spares,N,High impact polypropylene construction,Chrome finish,Easy installation,With locking nut,,,,,,,,,,,,,,,,,,,,,,,
21,PB17057,CONCEALA UNIVLV INLET PLSTC HOSE TOP SUP,Ideal Standard,54.83,An Ideal Standard plastic hose for cistern top supply.,Bathrooms and Kitchens/Toilets/Toilet Spares and Parts/Toilet Cistern Parts/Toilet Cistern Parts.csv -> CONCEALA UNIVLV INLET PLSTC HOSE TOP SUP,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/70/57/NW-B17057_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/IS_Spares_Catalogue_2019.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,PC02412,Armitage Shanks A243221 flush valve,Armitage Shanks,32.15,"Wire-operated, this Armitage Shanks dual flush valve has a 2"" diameter thread outlet and is supplied complete with a button.",Bathrooms and Kitchens/Toilets/Toilet Spares and Parts/Toilet Cistern Parts/Toilet Cistern Parts.csv -> Armitage Shanks A243221 flush valve,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/24/12/C02412_wm.jpg,,,,N,UV04667,Flush Valve,N,For use with Conceala cisterns,Wire operated,With push button,,,,,,,,,,,,,,,,,,,,,,,,
23,PC93267,Ideal Standard Conceala 1.5 DF pneumatic outlet valve 160 O/F no cage (1),Ideal Standard,38.29,This Ideal Standard 1.5L dual flush pneumatic outlet valve is suitable for use in the brand's Conceala cisterns.,Bathrooms and Kitchens/Toilets/Toilet Spares and Parts/Toilet Cistern Parts/Toilet Cistern Parts.csv -> Ideal Standard Conceala 1.5 DF pneumatic outlet valve 160 O/F no cage (1),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/32/67/C93267_wm.jpg,,,,N,EV98267,Flush Valve,N,Pneumatic operation,1.5L capacity,For Conceala cisterns,Without cage,,,Conceala,,,,,,,,,,,,,1,,,,,,,
24,P257448,Center large and small metal syphon c link kit (2),Center,2.76,"Designed for connecting a cistern lever to a siphon's C link, Center's adjustable siphon linkages are manufactured in robust stainless steel. This handy C link kit includes a small 50mm/2"" C link and a large 102mm/4"" C link.",Bathrooms and Kitchens/Toilets/Toilet Spares and Parts/Toilet Cistern Parts/Toilet Cistern Parts.csv -> Center large and small metal syphon c link kit (2),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/74/48/257448_wm.jpg,,,,N,PPSSYS374514,Syphon Linkage Arm,N,High quality stainless steel construction,Large and small sizes,,,,,,,,,,,,,,,,,,,,,,,,,
25,PB12974,Thomas Dudley Turbo Edge compact syphon shrink wrapped,Thomas Dudley,24.1,A Thomas Dudley Turbo Edge compact siphon.,Bathrooms and Kitchens/Toilets/Toilet Spares and Parts/Toilet Cistern Parts/Toilet Cistern Parts.csv -> Thomas Dudley Turbo Edge compact syphon shrink wrapped,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/29/74/B12974_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/st/al/ThomasDudley_TurboEdge_370872_Instal.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,PB79701,"Thomas Dudley BBS Auto Syphons auto syphon for 1 and 2 gallon cisterns 1""",Thomas Dudley,15.79,"Easy to install and robust, this Masefield BBS 1"" automatic siphon is fully tested for reliable use and contains no moving parts, reducing the need for ongoing maintenance.","Bathrooms and Kitchens/Toilets/Toilet Spares and Parts/Toilet Cistern Parts/Toilet Cistern Parts.csv -> Thomas Dudley BBS Auto Syphons auto syphon for 1 and 2 gallon cisterns 1""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/97/01/NW-B79701_wm.jpg,,,,N,PURAUT364932,Automatic Syphon,N,Inexpensive and simple to install,No moving parts for minimal maintenance,Requires no electricity or energy supply,Caters to flushing requirements of large and small urinals and toilets,"1"" BSPT",With 2x rubber washers and nut,BBS Auto Syphons,,,,,,,,,,Each siphon is fully factory tested,Flushing volumes based on average sized cistern and may vary,Compatible with BS1876 cisterns,,160,WRAS approved,,,,,
27,PU94952,Geberit fill valve type 380AG,Geberit,26.07,"Made of plastic, this Geberit type 380AG fill valve is supplied with a rubber inlet diaphragm washer and thread washer.",Bathrooms and Kitchens/Toilets/Toilet Spares and Parts/Toilet Cistern Parts/Toilet Cistern Parts.csv -> Geberit fill valve type 380AG,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/49/52/NW-U94952_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Geberit_AquaCleanMeraClassic_WC_Tech.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,PD00231,Siamp Optima replacement seal (49 and 50),Siamp,6.88,This Siamp Optima replacement outlet seal is suitable for inlet valves.,Bathrooms and Kitchens/Toilets/Toilet Spares and Parts/Toilet Cistern Parts/Toilet Cistern Parts.csv -> Siamp Optima replacement seal (49 and 50),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/02/31/NW-D00231_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Siamp_Product_Catalogue_2019.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,PD00225,Siamp Inlet Valve Spares diaphragm washer,Siamp,4.34,This Siamp diaphragm washer is suitable for side and bottom supplied inlet valves.,Bathrooms and Kitchens/Toilets/Toilet Spares and Parts/Toilet Cistern Parts/Toilet Cistern Parts.csv -> Siamp Inlet Valve Spares diaphragm washer,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/02/25/NW-D00225_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Siamp_Product_Catalogue_2019.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,PC59107,"Masefield Torbeck bottom inlet float valve, telescopic 1/2"" Brass Tail",Masefield,27.03,"Easy to install, this Masefield Torbeck quiet filling bottom inlet telescopic part 4 float valve has a brass tail to prevent cross-threading.","Bathrooms and Kitchens/Toilets/Toilet Spares and Parts/Toilet Cistern Parts/Toilet Cistern Parts.csv -> Masefield Torbeck bottom inlet float valve, telescopic 1/2"" Brass Tail",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/91/07/NW-C59107_wm.jpg,,,,N,367051,Float Valve,N,Equilibrium quiet filling,Reduces water hammer,"1/2"" brass tail",Anti back siphon design prevents contamination of fresh water supply,Fits most cisterns,Manufactured in the UK,Torbeck,,,,,,,,,,Approved to BS 1212 part 4,,,,,,,,,,
31,PD00778,Siamp Compact 99B bottom entry inlet valve 1/2inch,Siamp,20.72,"Quiet in operation, the Siamp Compact 99B bottom entry inlet valve with 1/2"" plastic end fitting includes a hydraulic closure and adjustable water level with anti-backflow. Easy to maintain with no need to disassemble, this valve is suitable for use as a replacement or new installation.",Bathrooms and Kitchens/Toilets/Toilet Spares and Parts/Toilet Cistern Parts/Toilet Cistern Parts.csv -> Siamp Compact 99B bottom entry inlet valve 1/2inch,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/07/78/NW-D00778_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Siamp_Compact_99B_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/14/Siamp_Product_Catalogue_2014.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Siamp_Monaco_InletValve_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
