,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Pack Quantity,Range,Hazardous,Dimensions (L x W x D),Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Attachment 1,Colour,Material,Size,Application,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Drive,Connection Type,Handle Type,Weight,Power Supply,Feature 10,Feature 11,Feature 12,Feature 13,Attachment 2,Diameter,Head Material,Attachment 3,Attachment 4,Attachment 5,Attachment 6,Length (M),Warranty
13,P512575,Center CB medium grade steel wool 1lb roll,Center CB,4.56,Center CB wool roll is made of medium grade steel material.,Trade Essentials/Hand Tools/Hand Tools.csv -> Center CB medium grade steel wool 1lb roll,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/25/75/512575_wm.jpg,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/25/75/512575.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,PN53898,Rothenberger Rocut pex plastic pipe cutter 28mm,Rothenberger,15.03,"Simple and effective, this Rothenberger Rocut 52003R pipe shear cuts most plastic piping up to 28mm. Comfortable to hold and operate, the Rocut has a V-shaped blade designed to cut PEX and other plastics accurately and squarely, providing the best possible finish for pipe connections.",Trade Essentials/Hand Tools/Hand Tools.csv -> Rothenberger Rocut pex plastic pipe cutter 28mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/38/98/NW-N53898_wm.jpg,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Rothenberger_Product_Brochure_2021.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,P581063,Center CB abrasive mini pads medium grade (Pack of 5),Center CB,12.59,"Cleaning pipework fast, these Center CB medium grade abrasive mini pad are a convenient alternative to steel wool.",Trade Essentials/Hand Tools/Hand Tools.csv -> Center CB abrasive mini pads medium grade (Pack of 5),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/63/NW-581063_wm.jpg,Pack of 5,,N,,SEL0307CB,Abrasive Mini Pad,N,5 pads,Suitable for use in wet and dry conditions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,PT85875,Rothenberger Plasticut Pro cutting tool 15 - 22mm,Rothenberger,15.67,"Suitable for cutting different sizes and types of plastic pipe, the Rothenberger Plasticut Pro 15 - 22mm cutting tool is a unique rotary pipe cutter with an easy to change blade. Supplied with a handy replacement blade, the Plasticut Pro has a simple hinged body that fits two different pipe profiles. Cutting cleanly and squarely, the tool's re-engineered blade will not deform a pipe.",Trade Essentials/Hand Tools/Hand Tools.csv -> Rothenberger Plasticut Pro cutting tool 15 - 22mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/58/75/T85875_wm.jpg,,Plasticut Pro,N,,1000003041,Plasticut Pro,N,Cuts both 15mm and 22mm pipe,New hinged design,Simple and safe to use,,Red,Plastic,118(L)x50(W)x183(H) mm,Pipe Cutter,Clean square cuts,Minimum pipe deformation,With 1 replacement blade,Easy change blade,Replacement blades available,Cuts barrier pipe,,,,,,,,,,,,,,,,,,
17,PS12430,Rems Mini-Press mini-press 15-22-28mm,Rems,2611.88,"Ultra-compact, measuring just 33cm with Mini V22 pliers, this REMS Mini-Press super-action promo pack includes an efficient electro-hydraulic drive with powerful motor on a 14.4V Li-Ion battery. This lightweight tool offers ultra-fast crimping of a complete 22mm copper connection in around four seconds. It incorporates a wide range of handy features including an audible signal and automatic piston return at completion, a 360° swivel head, an electronic battery charge level control with deep discharge protection and an integrated LED to illuminate your work area during use.",Trade Essentials/Hand Tools/Hand Tools.csv -> Rems Mini-Press mini-press 15-22-28mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/24/30/NW-S12430_wm.jpg,,Mini-Press,N,,578X04,Promo Pack,N,Real radial handling pressing with one hand,Only 2.4kg,For general use up to diameter 40mm,,,,,,Fast and easy to use,Rotating 360°,Rechargeable Li-Ion batteries 14.4 V capacity 1.6 or 3.2Ah for long life,"For more than 300 pressers, Viega Profipress DN15 per battery charge 2",High strength,Low weight,,,,2kg,14.4 V,Extended operating temperature range -10 to 60°C,Deep discharge and overload protection with cell tracking,Temperature monitoring during charging process,Short charging times,,,,,,,,,
18,P688999,Rothenberger long reach screw driver set pozi + slotted,Rothenberger,8.08,"Ideal for removing awkwardly placed screws in boilers, this Rothenberger long reach screwdriver set contains two screwdrivers, one Cr-Mo flathead and one S2 hardened steel PZ2. Both screwdrivers have comfy soft-grip handles and magnetic tips for retrieval of dropped screws.",Trade Essentials/Hand Tools/Hand Tools.csv -> Rothenberger long reach screw driver set pozi + slotted,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/89/99/NW-688999_wm.jpg,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Rothenberger_Hand_Tools_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,PN20130,Rothenberger brass multi-purpose 4 way key,Rothenberger,5.77,"A practical tool for an array of plumbing jobs, this Rothenberger multipurpose four way key eliminates the need to use the awkward and often damaging combination of spanner, wrench and grips. Precision-machined, this key gives an exact fit, while the cross design provides excellent torque, making loosening tight or seized valves or locks easy.",Trade Essentials/Hand Tools/Hand Tools.csv -> Rothenberger brass multi-purpose 4 way key,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/01/30/NW-N20130_wm.jpg,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Rothenberger_Hand Tools_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,PN20132,Rothenberger set of 3 flux brushes,Rothenberger,2.3,"These Rothenberger flux brushes are designed for the accurate application of flux or glue to fittings and threads. Saving on waste, these reusable brushes help keep your working area neat and clean.",Trade Essentials/Hand Tools/Hand Tools.csv -> Rothenberger set of 3 flux brushes,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/01/32/NW-N20132_wm.jpg,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Rothenberger_Product_Brochure_2021.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,P689836,Javac offset ratchet wrench,Javac,16.27,"A Javac offset ratchet wrench for 1/4"", 3/8"", 5/16"" and 3/16"".",Trade Essentials/Hand Tools/Hand Tools.csv -> Javac offset ratchet wrench,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/98/36/NW-689836_wm.jpg,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Javac_Ratchet-Wrench_Tech.pdf,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Javac_Product_Guide_2021.pdf,,,,,,,,
22,PN01710,Rothenberger ropump super plus,Rothenberger,130.45,"This Rothenberger force pump cleaner removes obstructions in basins, bowls, tubs and toilets using water pressure.",Trade Essentials/Hand Tools/Hand Tools.csv -> Rothenberger ropump super plus,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/17/10/NW-N01710_wm.jpg,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/nu/al/Rothenberger_072070X_Manual.pdf,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Rothenberger_Product_Brochure_2021.pdf,,,,,,,,
23,P688936,Rothenberger Hand Tool 88877 trimming knife blades (Pack of 10),Rothenberger,2.04,"Compatible with the Rothenberger trimming knife, this pack of 10 steel trimming knife blades can also be used in a variety of alternative knives.",Trade Essentials/Hand Tools/Hand Tools.csv -> Rothenberger Hand Tool 88877 trimming knife blades (Pack of 10),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/89/36/688936_wm.jpg,pack of 10,Hand Tool,N,,88877,Replacment blades,N,Compatible Rothenberger trimming knife,Also suitable for most other brands,,,,Steel,L25xW15xH68 mm,"covers many applications where detail, precision and close up control are needed, such as: model making, general hobby & craft, electronics & light engineering, renovation & restoration, jewellery making, as well as smaller DIY and household repairs.",,,,,,,,,,,,,,,,,,,,,,,,
24,P510078,Rothenberger automatic copper tube cutter 6-67mm,Rothenberger,146.12,"With an integrated telescopic ratchet guide, this Rothenberger automatic tube cutter quickly and easily cuts copper, brass, aluminium and thin-walled steel as well as sound-insulated pipes with 6 - 67mm diameters.",Trade Essentials/Hand Tools/Hand Tools.csv -> Rothenberger automatic copper tube cutter 6-67mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/00/78/NW-510078_wm.jpg,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Rothenberger_Product_Brochure_2021.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,PT85917,Rothenberger Wrench 70225 telescopic basin wrench,Rothenberger,22.99,"Ideal for use under sinks, the Rothenberger 140 x 23mm telescopic basin nut wrench is intended for working in small spaces and can tighten and loosen screw nuts with diameters of between 10 and 32mm. Designed with a spring-loaded swivel claw, this nut wrench is easy to use, either left or right-handed.",Trade Essentials/Hand Tools/Hand Tools.csv -> Rothenberger Wrench 70225 telescopic basin wrench,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/59/17/NW-T85917_wm.jpg,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Rothenberger_Product_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,PN20136,Rothenberger water pressure gauge 0-10bar,Rothenberger,16.74,"Check water pressure quickly and easily with this Rothenberger 67025 water pressure gauge with 3/4"" BSPT female connector, suitable for fitting onto an outside bib tap. The tool's pressure readings indicate whether enough pressure is available for an appliance to be installed or whether a pressure reducing valve is required where pressure is too high. The gauge is protected by a rubber boot while a flexible hose assists with flexibility and ease of reading.",Trade Essentials/Hand Tools/Hand Tools.csv -> Rothenberger water pressure gauge 0-10bar,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/01/36/NW-N20136_wm.jpg,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Rothenberger_Product_Brochure_2021.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,PN45476,Virax PC32 plastic pipe cutting shears,Virax,11.65,These Virax pipe cutting shears can cut plastic pipes up to 32mm in diameter.,Trade Essentials/Hand Tools/Hand Tools.csv -> Virax PC32 plastic pipe cutting shears,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/54/76/NW-N45476_wm.jpg,,,N,,215099,Pipe Cutting Shear,N,For cutting PVC cable channels,For cutting plastic pipes,Cutting capacity up to 32mm,,,,32 mm (Dia) x 32 mm (L),For up to 42mm Dia Plastic Pipes,,,,,,,,,,,,,,,,,32 mm,,,,,,,
28,PV50011,Neill Tools junior hacksaw blades (Pack of 10),Neill Tools,1.99,These Neill Tools junior hacksaw blades have epoxy-coated steel frames and Eclipse metal cutting blades.,Trade Essentials/Hand Tools/Hand Tools.csv -> Neill Tools junior hacksaw blades (Pack of 10),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/00/11/NW-V50011_wm.jpg,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Neill_Tools_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,PN13835,Nerrad NT2022 copper tube cutter 22mm,Nerrad,13.99,"Designed for 22mm copper pipe, this Nerrad copper tube cutter offers fast, clean, burr-free cutting. Self-adjusting and self-locking, this cutter is easy to use thanks to its unique anti-slip grip.",Trade Essentials/Hand Tools/Hand Tools.csv -> Nerrad NT2022 copper tube cutter 22mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/38/36/NW-N13834_N13836_wm.jpg,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/Nerrad_Product_Catalogue_2016.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,PN13834,Nerrad NT2015 copper tube cutter 15mm,Nerrad,11.99,"Designed for 15mm copper pipe, this Nerrad copper tube cutter offers fast, clean, burr-free cutting. Self-adjusting and self-locking, this cutter is easy to use thanks to its unique anti-slip grip.",Trade Essentials/Hand Tools/Hand Tools.csv -> Nerrad NT2015 copper tube cutter 15mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/38/36/NW-N13834_N13836_wm.jpg,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/Nerrad_Product_Catalogue_2016.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,PN16996,Nerrad Tapex Advanced Tap Wrench Technology,Nerrad,163.05,"A handy 18-piece set, this robust Nerrad Tappex advanced tap wrench kit includes unique chrome vanadium sockets for 1/2 and 3/4"" back and supply nuts.",Trade Essentials/Hand Tools/Hand Tools.csv -> Nerrad Tapex Advanced Tap Wrench Technology,,6x extra long flank style forged sockets3/8 inch to 8mm Hex adapter socketPlastic handleSliding T Bar 165mm3/8-1/4 inch reducer 100mm3/8 inch drive extendable ratchet 190-248mm3/8 inch universal joint1/4 inch universal joint3/8 inch drive adjustable exte,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/69/96/NW-N16996_wm.jpg,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/0_/21/Nerrad_Product_Catalogue_2020_21.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,
