,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Hazardous,Supplier Product Code,WEEE Compliant,Feature 1,Feature 2,Feature 3,Connection Size,Connection Type,Material Type,Material,Size,Type,Diameter,Length (M),Operating Temperature,Warranty,Approvals,Equal / Unequal,End Connection A size,End Connection C size,Gender,Connection Type 1,Weight,Attachment 1,Attachment 2,Attachment 3,Pack Quantity,Grade,Connection Type 2,Feature 4
10,P596249,Center CB B270.26 solder ring pipe vent cowl 15mm,Center CB,7.76,"This Center CB 15mm solder ring pipe vent cowl is made of copper. A solder joint is created through the principle of capillary action. When fitting and tube are heated to the correct temperature, the solder becomes molten, allowing it to be drawn into the gap between tube and fitting for a tough, reliable joint.","Pipe, Valves and Fittings/Plumbers Brassware/Brass Fittings/Brass Fittings.csv -> Center CB B270.26 solder ring pipe vent cowl 15mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/62/49/NW-596249_wm.jpg,N,CB_ISR_VNT_COWL_15,N,Copper construction,Temperature range -20 to 120 °C,WRAS approved,,Solder Ring,copper,Copper,15 mm,Pipe Vent Cowl,15 mm,,-20 to 120,12 Months,WRAS,Equal,15mm,N/A,N/A,Solder Ring,,,,,,,,
11,P505422,"Navigator MSL brass threaded flanged plug 1 1/4""",Navigator MSL,7.14,"Manufactured in robust brass, this Navigator MSL 1 1/4"" threaded flanged plug is suitable for use in both hot and cold plumbing systems.","Pipe, Valves and Fittings/Plumbers Brassware/Brass Fittings/Brass Fittings.csv -> Navigator MSL brass threaded flanged plug 1 1/4""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/54/34/505434_wm.jpg,N,CMBRFP-G,N,Suitable for use in hot and cold water,For use in domestic systems,Brass construction,,,,,,,,,,,,,,,,,,,,,,,,
12,P505433,Center CB Brass Socket 1/2,Center CB,1.81,"Manufactured in robust brass, this Navigator MSL 1/2"" threaded female equal socket is suitable for use in both hot and cold plumbing systems.","Pipe, Valves and Fittings/Plumbers Brassware/Brass Fittings/Brass Fittings.csv -> Center CB Brass Socket 1/2",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/54/28/505428_wm.jpg,N,CMBRS-D,N,Suitable for use in hot and cold water,Brass construction,Self colour,,,,,,,,,,,,,,,,,,,,,,,,
13,P505509,"Midland Brass brass blanking cap and washer 1/2""",Midland Brass,2.74,"A Midland Brass 1/2"" blanking cap and washer for plumbing use.","Pipe, Valves and Fittings/Plumbers Brassware/Brass Fittings/Brass Fittings.csv -> Midland Brass brass blanking cap and washer 1/2""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/55/09/505509_wm.jpg,N,MBRBCWS-D,N,Brass construction,Supplied with washer,,,,,,,,,,,,,,,,,,20.00000,,,,,,,
14,P505457,Center CB Brass Hexagon Nipple 3/4,Center CB,1.9,"Manufactured in robust brass, this Navigator MSL 3/4"" threaded hexagonal nipple is suitable for use in both hot and cold plumbing systems.","Pipe, Valves and Fittings/Plumbers Brassware/Brass Fittings/Brass Fittings.csv -> Center CB Brass Hexagon Nipple 3/4",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/54/58/505458_wm.jpg,N,CMBRHN-E,N,Suitable for use in hot and cold water,For use in domestic systems,Brass construction,,,,,,,,,,,,,,,,,,,,,,,,
15,P505447,Center CB Brass Hex Head Flanged Plug 1,Center CB,2.27,"Manufactured in robust brass, this Navigator MSL 1"" threaded flanged plug is suitable for use in both hot and cold plumbing systems.","Pipe, Valves and Fittings/Plumbers Brassware/Brass Fittings/Brass Fittings.csv -> Center CB Brass Hex Head Flanged Plug 1",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/54/34/505434_wm.jpg,N,CMBRFP-F,N,Suitable for use in hot and cold water,For use in domestic systems,Brass construction,,,,,,,,,,,,,,,,,,,,,,,,
16,P505450,Center CB Brass Flanged Backnut 1/2,Center CB,0.51,"This Navigator MSL 1/2"" threaded flanged back nut is manufactured in tough brass.","Pipe, Valves and Fittings/Plumbers Brassware/Brass Fittings/Brass Fittings.csv -> Center CB Brass Flanged Backnut 1/2",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/54/50/505450_wm.jpg,N,CMBRBACKNUT-D,N,Brass construction,Self colour,,,,,,,,,,,,,,,,,,,,,,,,,
17,P505429,"Navigator MSL brass hexagon bush 1 1/4"" x 1""",Navigator MSL,4.67,"Manufactured in robust brass, this Navigator MSL 1 1/4 x 1"" threaded hexagonal bush is suitable for use in both hot and cold plumbing systems.","Pipe, Valves and Fittings/Plumbers Brassware/Brass Fittings/Brass Fittings.csv -> Navigator MSL brass hexagon bush 1 1/4"" x 1""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/54/19/505419_wm.jpg,N,CMBRBUSH-GF,N,Suitable for use in hot and cold water,For use in domestic systems,Brass construction,,,,,,,,,,,,,,,,,,,,,,,,
18,P520012,Conex 301BP pipe repair 15 x 15 x 100mm,Conex,40.33,"Made of brass, this Conex 301BP 15mm compression slip coupler for burst tube repair offers quick and easy installation. Suitable for use in a wide range of applications, including heating and cooling, this fitting creates a reliably secure joint.","Pipe, Valves and Fittings/Plumbers Brassware/Brass Fittings/Brass Fittings.csv -> Conex 301BP pipe repair 15 x 15 x 100mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/00/12/NW-520012_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/he/et/Conex_Compression_ProductRange_Sheet.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Conex_Compression_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ly/er/Conex_Compression_Sales_Flyer.pdf,,,,
19,P170020,"Midland Brass immersion heater plug with washer 2.1/4"" (10)",Midland Brass,15.76,"Made of brass, this Midland Brass 1/4"" plug has a smart metallic finish and threaded connection.","Pipe, Valves and Fittings/Plumbers Brassware/Brass Fittings/Brass Fittings.csv -> Midland Brass immersion heater plug with washer 2.1/4"" (10)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/00/20/NW-170020_wm.jpg,N,BFIHPWS,N,With washer,"Measures 2 1/4""",,1/4 inch,Threaded,,,,Plug,,,,,,,,,,,,,,,10,,,
20,P505420,"Navigator MSL brass hexagon bush 2"" x 1 1/2""",Navigator MSL,13.41,"Manufactured in robust brass, this Navigator MSL 2 x 1 1/2"" threaded hexagonal bush is suitable for use in both hot and cold plumbing systems.","Pipe, Valves and Fittings/Plumbers Brassware/Brass Fittings/Brass Fittings.csv -> Navigator MSL brass hexagon bush 2"" x 1 1/2""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/54/19/505419_wm.jpg,N,CMBRBUSH-IH,N,Suitable for use in hot and cold water,For use in domestic systems,Brass construction,,,,,,,,,,,,,,,,,,,,,,,,
21,P520013,Conex Compression 301BP blow pipe repair 22 x 22 x 100mm,Conex,74.62,"This Conex 301BP 22 x 22mm compression coupler is made of brass. Installation of this compression fitting is fast and easy, saving on costs and ensuring a long-lasting, secure joint.","Pipe, Valves and Fittings/Plumbers Brassware/Brass Fittings/Brass Fittings.csv -> Conex Compression 301BP blow pipe repair 22 x 22 x 100mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/00/13/NW-520013_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/he/et/Conex_Compression_ProductRange_Sheet.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Conex_Compression_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ly/er/Conex_Compression_Sales_Flyer.pdf,,,,
22,P505426,"Navigator MSL brass barrel nipple 1""",Navigator MSL,5.15,"This Navigator MSL 1"" threaded barrel nipple is manufactured in robust brass.","Pipe, Valves and Fittings/Plumbers Brassware/Brass Fittings/Brass Fittings.csv -> Navigator MSL brass barrel nipple 1""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/54/26/505426_wm.jpg,N,CMBRBN-F,N,Brass construction,Self colour,,,,,,,,,,,,,,,,,,,,,,,,,
23,PN14020,"JET Range GT brass hose tail (BSPT) 1.1/4 x 1.1/4""",JET Range,15.62,"A JET Range GT 1 1/4 x 1 1/4"" hose tail made of brass with BSP tapered x hose union connections.","Pipe, Valves and Fittings/Plumbers Brassware/Brass Fittings/Brass Fittings.csv -> JET Range GT brass hose tail (BSPT) 1.1/4 x 1.1/4""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/40/22/NW-N14020_N14022_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/he/et/N14010_N14024 Datasheet.pdf,,,,,,
24,P505421,"Navigator MSL brass barrel nipple 3/4""",Navigator MSL,3.67,"This Navigator MSL 3/4"" threaded barrel nipple is manufactured in tough brass.","Pipe, Valves and Fittings/Plumbers Brassware/Brass Fittings/Brass Fittings.csv -> Navigator MSL brass barrel nipple 3/4""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/54/21/505421_wm.jpg,N,CMBRBN-E,N,Brass construction,Self colour,,,,,,,,,,,,,,,,,,,,,,,,,
25,PN14018,"JET Range N14018 brass hose tail (BSPT) 1 x 1""",JET Range,9.66,"Allowing for the connection of a hose to a female thread, this JET Range 1 x 1"" brass hose tail is suitable for water, gas, air, hydraulic and oil applications. It is supplied with a BSP tapered x barbed connection.","Pipe, Valves and Fittings/Plumbers Brassware/Brass Fittings/Brass Fittings.csv -> JET Range N14018 brass hose tail (BSPT) 1 x 1""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/40/18/N14018_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/he/et/N14010_N14024 Datasheet.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/18/Wolseley_Exclusive_Range_Guide_2018.pdf,,,,,
26,PN14016,"JET Range N14016 brass hose tail (BSPT) 3/4 x 3/4""",JET Range,6.04,"Allowing for the connection of a hose to a female thread, this JET Range 3/4 x 3/4"" brass hose tail is suitable for water, gas, air, hydraulic and oil applications. It is supplied with a BSP tapered x barbed connection.","Pipe, Valves and Fittings/Plumbers Brassware/Brass Fittings/Brass Fittings.csv -> JET Range N14016 brass hose tail (BSPT) 3/4 x 3/4""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/40/16/N14016_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/he/et/N14010_N14024 Datasheet.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/18/Wolseley_Exclusive_Range_Guide_2018.pdf,,,,,
27,P505455,"Navigator MSL brass hexagon bush 1 1/2"" x 1 1/4""",Navigator MSL,5.19,"Made of hardwearing brass, this Navigator MSL 1 1/2 x 1 1/4"" threaded hexagonal bush is suitable for use in domestic plumbing systems.","Pipe, Valves and Fittings/Plumbers Brassware/Brass Fittings/Brass Fittings.csv -> Navigator MSL brass hexagon bush 1 1/2"" x 1 1/4""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/54/19/505419_wm.jpg,N,CMBRBUSH-HG,N,Suitable for use in hot and cold water,For use in domestic systems,Brass construction,,,,,,,,,,,,,,,,,,,,,,,,
28,P505126,Midland Brass brass blanking cap 22mm,Midland Brass,4.81,This Midland Brass 22mm blanking cap has a smart metallic finish and includes a threaded connection.,"Pipe, Valves and Fittings/Plumbers Brassware/Brass Fittings/Brass Fittings.csv -> Midland Brass brass blanking cap 22mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/51/26/NW-505126_wm.jpg,N,BRBC-22,N,Brass construction,12 month warranty,,22 mm,Threaded,Brass,Brass,22 mm,Cap,,,,12 Month,,,,,,,,,,,,,,
29,P250474,"Midland Brass flat faced iso valve 15mm x 1/2""",Midland Brass,2.61,"This Midland Brass 15mm x 1/2"" brass isolation valve connects to a 15mm pipe with a 1/2"" BSP flat-faced thread on the opposite end to allow for flexible tap tail connection.","Pipe, Valves and Fittings/Plumbers Brassware/Brass Fittings/Brass Fittings.csv -> Midland Brass flat faced iso valve 15mm x 1/2""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/04/74/NW-250474_wm.jpg,N,BFIVFF-15,N,Flat face provides a reliable seal when connecting flexible tap tail,With copper olive,WRAS approved,,Compression x BSP,,Brass,15mm x 1/2,Flat Faced Valve,,,85,,CW617N European Brass,Unequal,15mm,1/2,male,Compression,,,,,,CW617N European Brass,BSP,
30,P505428,"Navigator MSL brass threaded socket 3/8""",Navigator MSL,2.3,"Manufactured in robust brass, this Navigator MSL 3/8"" threaded female equal socket is suitable for use in both hot and cold plumbing systems.","Pipe, Valves and Fittings/Plumbers Brassware/Brass Fittings/Brass Fittings.csv -> Navigator MSL brass threaded socket 3/8""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/54/28/505428_wm.jpg,N,CMBRS-C,N,Suitable for use in hot and cold water,For use in domestic systems,Brass construction,,,,,,,,,,,,,,,,,,,,,,,,
31,P505446,"Navigator MSL brass flanged backnut 1 1/4""",Navigator MSL,3.95,"This Navigator MSL 1 1/4"" threaded flanged back nut is manufactured in tough brass.","Pipe, Valves and Fittings/Plumbers Brassware/Brass Fittings/Brass Fittings.csv -> Navigator MSL brass flanged backnut 1 1/4""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/54/46/505446_wm.jpg,N,CMBRBACKNUT-G,N,Brass construction,Self colour,,,,,,,,,,,,,,,,,,,,,,,,,
32,P505434,"Navigator MSL brass threaded flanged plug 3/8""",Navigator MSL,1.67,"Made of hardwearing brass, this Navigator MSL 3/8"" threaded flanged plug is suitable for use in domestic plumbing systems.","Pipe, Valves and Fittings/Plumbers Brassware/Brass Fittings/Brass Fittings.csv -> Navigator MSL brass threaded flanged plug 3/8""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/54/34/505434_wm.jpg,N,CMBRFP-C,N,Suitable for use in hot and cold water,For use in domestic systems,Brass construction,,,,,,,,,,,,,,,,,,,,,,,,
33,P505445,"Navigator MSL brass barrel nipple 1 1/4""",Navigator MSL,7.48,"This Navigator MSL 1 1/4"" barrel nipple is manufactured in tough brass.","Pipe, Valves and Fittings/Plumbers Brassware/Brass Fittings/Brass Fittings.csv -> Navigator MSL brass barrel nipple 1 1/4""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/54/45/505445_wm.jpg,N,CMBRBN-G,N,Brass construction,Self colour,,,,,,,,,,,,,,,,,,,,,,,,,
34,P505432,"Navigator MSL brass hexagon nipple 1/4""",Navigator MSL,1.21,"This Navigator MSL 1/4"" threaded barrel nipple is manufactured in tough brass.","Pipe, Valves and Fittings/Plumbers Brassware/Brass Fittings/Brass Fittings.csv -> Navigator MSL brass hexagon nipple 1/4""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/54/32/505432_wm.jpg,N,CMBRHN-B,N,Brass construction,Self colour,,,,,,,,,,,,,,,,,,,,,,,,,
35,P505451,"Navigator MSL brass hexagon bush 3/8"" x 1/4""",Navigator MSL,1.03,"Made of hardwearing brass, this Navigator MSL 3/8 x 1/4"" threaded hexagonal bush is suitable for use in hot or cold plumbing systems.","Pipe, Valves and Fittings/Plumbers Brassware/Brass Fittings/Brass Fittings.csv -> Navigator MSL brass hexagon bush 3/8"" x 1/4""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/54/51/505451_wm.jpg,N,CMBRBUSH-CB,N,Suitable for use in hot and cold water,For use in domestic systems,Brass construction,,,,,,,,,,,,,,,,,,,,,,,,
36,P516620,Polypipe Polyfit 15mm Brass Draincock,Polypipe,19.77,This Polypipe 15mm spigot drain cock is made of brass and used for draining water from a plumbing system.,"Pipe, Valves and Fittings/Plumbers Brassware/Brass Fittings/Brass Fittings.csv -> Polypipe Polyfit 15mm Brass Draincock",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/66/20/NW-516620_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Polypipe_Polyplumb-Polyfit_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Polypipe_Plumbing_Heating_Brochure.pdf,,,,,
37,PN14022,"JET Range GT brass hose tail (BSPT) 1.1/2 x 1.1/2""",JET Range,17.47,"A JET Range GT 1 1/2 x 1 1/2"" hose tail made of brass with BSP tapered x hose union connections.","Pipe, Valves and Fittings/Plumbers Brassware/Brass Fittings/Brass Fittings.csv -> JET Range GT brass hose tail (BSPT) 1.1/2 x 1.1/2""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/40/22/NW-N14020_N14022_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/he/et/N14010_N14024 Datasheet.pdf,,,,,,
