,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Hazardous,Boiler Section,Boiler Range,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Range,Warranty,Depth (mm),Smart,Switch Type,Battery Back Up,Number of Zones,Switching Capacity (amps),Programmable Duration,On / Off Periods per Day,Auto GMT / BST,Dimensions (L x W x D),Dimensions mm (H x W x D),Display Type,Installation Type,Number of Channels,Application,Feature 5,Feature 6,Pack Quantity,Voltage (V),Setting Range,Operating Temperature Range (C),Feature 7,Feature 8,Feature 9,Attachment 5,Attachment 6,Attachment 7,Attachment 8,Diameter,Operating Temperature,Weight,Range For Use With
10,P240708,Honeywell Home hw home st9100s timer 24hr 1 channel si,Honeywell Home,87.63,"Suitable for combi boilers, added zones or the switching of small electric loads, the ST9100S one day timer offers two on/off switching times every day. The unit's wiring sub-base has holes to suit single switch boxes and a provision for surface wiring, providing flexibility and ease of installation. A range of features help landlords to comply with Regulation 36 of the Gas Regulations 1998, including a configurable service interval, with an advance tenant notification period and optional configuration of behaviour once the service interval has expired. Additionally, the LoT display can display a telephone number to make arranging a gas service even simpler.",Heating/Central Heating Controls/Wired Thermostats/Wired Thermostats.csv -> Honeywell Home hw home st9100s timer 24hr 1 channel si,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/07/08/240708_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Honeywell_Heating_Controls_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,P240711,Honeywell Home hw home st9400s progr. 24hr 2 channel si,Honeywell Home,123.92,"Suitable for combi boilers, added zones or the switching of small electric loads, the ST9400S one day timer offers two on/off switching times every day. A range of features help landlords to comply with Regulation 36 of the Gas Regulations 1998, including a configurable service interval, with an advance tenant notification period and optional configuration of behaviour once the service interval has expired. Additionally, the LoT display can display a telephone number to make arranging a gas service even simpler.",Heating/Central Heating Controls/Wired Thermostats/Wired Thermostats.csv -> Honeywell Home hw home st9400s progr. 24hr 2 channel si,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/07/11/240711_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Honeywell_Heating_Controls_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,P318022,Danfoss Control Packs Danfoss Control Packs programmable room thermostats with 2-port valves and ARV22-WB,Danfoss,219.61,"Cost-effective and simple to install, this Danfoss two-port valve ARV22-WB programmable room thermostat pack helps installers to meet 2010 Part L requirements.",Heating/Central Heating Controls/Wired Thermostats/Wired Thermostats.csv -> Danfoss Control Packs Danfoss Control Packs programmable room thermostats with 2-port valves and ARV22-WB,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/80/22/318022_wm.jpg,,,,,N,Control Panel,,087N6520ND,Untimed Control Pack,N,"Convenient, all-in-one solution",Easy to install,Wide range of options available,Cost effective solution,Control Packs,2 years,30,No,SPDT,Yes,2,3 A at 230 VAC,5/2 Days7 Days,6,No,66 x 155 x 30 mm,125x125x323,Digital,4 wire,2,Domestic Central Heating Control,Available in timed and untimed versions,Fully meets requirements of the 2010 Part L legislation,,,,,,,,,,,,,,,
13,P304538,Potterton EP Series 2 1 twin channel timer,Potterton,99.14,"Compatible with backplates from the existing EP range, the Potterton EP series 2 configurable two channel programmer makes installation easy, with no need to carry out additional wiring. This programmer meets central heating demands via 24 hour, 5/2 day or 7 day time settings, allowing the user to select the schedule that suits their weekly or daily requirements.",Heating/Central Heating Controls/Wired Thermostats/Wired Thermostats.csv -> Potterton EP Series 2 1 twin channel timer,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/45/38/NW-304538_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/fl/et/Potterton_EP_Leaflet.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/17/Potterton_HE_Boiler_Range_Guide_2017.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,P305206,Siemens 5/2 or 7 day digital time switch,Siemens,70.6,"Ideal for combi boilers or single zone controls using an appropriate thermostat, this Siemens one channel electronic time switch with 5/2 day or 7 day programming, has up to three on/off periods each day and may also be enabled for service interval operation. The service interval function is enabled and programmed by the installer, maintenance engineer or landlord and is designed to display a message when a boiler service is due and emit an audible alarm every hour between 9am and 9pm until the service is carried out.",Heating/Central Heating Controls/Wired Thermostats/Wired Thermostats.csv -> Siemens 5/2 or 7 day digital time switch,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/52/06/NW-305206_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/305206_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Siemens_Heating_Controls_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Siemens_Quick_Reference_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/305206_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,P306580,Danfoss room thermostat,Danfoss,21.85,"This Danfoss RMT230 room thermostat with accelerator for 240V system includes an SPDT type contact. RMT230 includes a thermometer and night set-back facility, activated by an external time control. Offering accurate, reliable temperature control, the RMT range is suitable for a wide range of uses, from radiator based heating applications to underfloor heating.",Heating/Central Heating Controls/Wired Thermostats/Wired Thermostats.csv -> Danfoss room thermostat,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/65/80/NW-306580_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/gr/am/Danfoss_RMT230_Wiring_Diagram.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Danfoss_DomesticProdSelection_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/Danfoss_RMT_Thermostat_Instructions.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Danfoss_RMT_Thermostat_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,P353120,Eph Controls CP3 CP3 RF room thermostat & receiver,Eph Controls,71.63,"Controlling a single heating zone, the non-programmable EPH Controls CP3 room thermostat and receiver is supplied ready-paired and complete with AAA batteries for easy plug-and-play installation.",Heating/Central Heating Controls/Wired Thermostats/Wired Thermostats.csv -> Eph Controls CP3 CP3 RF room thermostat & receiver,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/31/20/353120_wm.jpg,,,,,N,,,CP3,Wireless Thermostats,N,For domestic use,Controls a single heating zone,Uses a NTC10K sensor to measure temperature,230V receiver can control a boiler directly,,,,,SPDT,,,,,,,,Thermostat 80 x 80 x 26mmreceiver 84 x 86 x 31,,,,Domestic,Also suitable for control of a motorised valve or actuator in a multi-zone system,Non-programmable,50,230Vac,5-35°C,0-45,Clear display indicating temperature,With on/off switch,,,,,,,,,
17,P300663,Drayton LP LP10RF Single Channel Programmer & Digistat+3R Programmer and Digistat+3RF,Drayton,133.54,"Wirelessly bound, the Drayton LP10RF thermostat and Digistat+3RF gives homeowners control of heating and hot water pre-heat. The Digistat+3RF provides flexible 7 day time and temperature scheduling of the heating while LP10RF offers 7 day control of hot water pre-heat. A signal strength indicator promises a reliable connection.",Heating/Central Heating Controls/Wired Thermostats/Wired Thermostats.csv -> Drayton LP LP10RF Single Channel Programmer & Digistat+3R Programmer and Digistat+3RF,,Programmer and Thermostat,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/06/63/NW-300662_300663_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/300663_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Drayton_LP_Clip_In_Control_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Drayton_Product_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,P300662,Drayton LP LP10RF Single Channel Programmer & Digistat +2RF Programmer and Digistat+2RF,Drayton,132.0,"Designed specifically for Worcester boilers, this Drayton LP10RF programmer andDigistat+2RF are wirelessly bound for full programming of heating and hot water pre-heat. A 24 hour programmable room thermostat function provides time and temperature control of the heating while LP10RF gives you 7 day control of the hot water pre-heat. A signal strength indicator promises a reliable connection.",Heating/Central Heating Controls/Wired Thermostats/Wired Thermostats.csv -> Drayton LP LP10RF Single Channel Programmer & Digistat +2RF Programmer and Digistat+2RF,,Programmer and Thermostat,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/06/63/NW-300662_300663_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Drayton_LP_Clip_In_Control_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Drayton_Product_Catalogue.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/300662_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,P353034,Eph Controls EPH R37 3 zone programmer,Eph Controls,115.24,"Controlling three zones in a central heating system, this EPH Controls R37 three-zone programmer offers three operating modes. This means it is able to provide seven day, five/two day and 24 hour programming to suit the homeowner's specific needs.",Heating/Central Heating Controls/Wired Thermostats/Wired Thermostats.csv -> Eph Controls EPH R37 3 zone programmer,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/30/34/353034_wm.jpg,,,,,N,,,R37,3 Zone Programmer,N,3-zone suitable,With 8-pin backplate,LCD display included,Minimum 10-minute programmable duration,,5 Year,104,No,SPDT Volt Free,Y,3,3(1)A 230Vac,Min 10 mins,3,Yes,36x174x104,,LCD,,3,Domestic,5 year warranty,,,,,,,,,,,,,,,,
20,P336029,Drayton Lifestyle LP111 24 hour time switch,Drayton,61.23,"Particularly suitable for elderly users, the Drayton Lifestyle LP111 24 hour time switch provides ultra-simple time control suitable for  combi boilers. With four switching options and an easy to read display, this programmer is extremely user-friendly.",Heating/Central Heating Controls/Wired Thermostats/Wired Thermostats.csv -> Drayton Lifestyle LP111 24 hour time switch,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/60/29/NW-336029_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Drayton_Lifestyle_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Drayton_Product_Catalogue.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Drayton_Lifestyle_LP_LPSI_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,P336033,Drayton Lifestyle LP522 Lp522 Weekday/Weekend Prog,Drayton,58.26,"Allowing for the setting of different programmes for weekends and weekdays, the Drayton Lifestyle LP522 5/2 programmer gives users the option of independent timing of each channel for improved comfort and energy efficiency throughout the week.",Heating/Central Heating Controls/Wired Thermostats/Wired Thermostats.csv -> Drayton Lifestyle LP522 Lp522 Weekday/Weekend Prog,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/60/33/NW-336033_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Drayton_Lifestyle_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Drayton_Product_Catalogue.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Drayton_Lifestyle_LP_LPSI_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,P302052,Drayton RTS2 room thermostat (SPST) plus neon 240v,Drayton,24.88,The Drayton RTS 2 room thermostat with SPST contacts has a simple LED on indicator and employs electronic sensing for highly accurate temperature control.,Heating/Central Heating Controls/Wired Thermostats/Wired Thermostats.csv -> Drayton RTS2 room thermostat (SPST) plus neon 240v,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/20/52/NW-302052_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Drayton_RTS_Thermostat_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/e_/15/Drayton_Product_Catalogue_Issue_15.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Drayton_RTS_Quick_Start_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Drayton_RTS_Thermostat_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
