,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Range,Hazardous,Pack Size,Pack Type,Dimensions (L x W x D),Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Feature 11,Pack Quantity,Attachment 5,Weight,Colour,Physical State / Form,Application,Testing Capability,Battery Life,Power Supply,Feature 12,Feature 13,Feature 14,Feature 15,Feature 16,Connection Size,Diameter,Length (M),Size
10,P689023,Advanced Engineering RTU EC (ready-mixed) evaporator cleaner 1ltr,Advanced Engineering,22.42,"Ideal for use as part of your routine maintenance, Advanced Engineering RTU EC evaporator cleaner effectively removes all common types of dirt and debris. This cleaner has a safe, biodegradable formula that is quick and easy to use.",Trade Essentials/Van and Site Essentials/Van and Site Essentials.csv -> Advanced Engineering RTU EC (ready-mixed) evaporator cleaner 1ltr,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/90/23/NW-689023_wm.jpg,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/AE_RTU_EC_SDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/AE_RTU_ECD_EC_LT_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/AE_RTU_EC_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Aspen_Pumps_APG_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,,,,,
11,P689225,Advanced Engineering EasyClean aerosol 600ml,Advanced Engineering,16.72,"An effective, safe to use solution, Advanced Engineering EasyClean universal coil cleaner is suitable for use on both air cooled evaporator and condenser coils, providing powerful cleaning as part of regular maintenance.",Trade Essentials/Van and Site Essentials/Van and Site Essentials.csv -> Advanced Engineering EasyClean aerosol 600ml,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/92/25/NW-689225_wm.jpg,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/AE_Easy_Clean_600mL_SDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Aspen_Pumps_APG_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
12,P695497,Pump House DiversiTech spray 1ltr,Pump House,46.63,"A fast-acting odour eliminator, Pump House DiversiTech liquid G2G-SmellBuster spray encapsulates and neutralises odours, leaving a fresh scent with no need for heavy perfumes or oils. SmellBuster is biodegradable, non-toxic, non-staining and has been approved for use in commercial and residential air conditioning systems.",Trade Essentials/Van and Site Essentials/Van and Site Essentials.csv -> Pump House DiversiTech spray 1ltr,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/54/97/NW-695497_wm.jpg,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Pump_House_DiversiTech_Catalogue.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Pump_House_DiversiTech_G2GSmell_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/Pump_House_DiversiTech_G2G_Smell_SDS.pdf,,,,,,,,,,,,,,,,,,,,,,,,,
13,P689015,Advanced Engineering EnviroCoil evaporator/condenser cleaner 5ltr,Advanced Engineering,62.98,"With a mild formulation for use in both indoors and outdoors maintenance, Advanced Engineering EnviroCoil universal coil cleaner is a detergent-based cleaner for air conditioning coils. EnviroCoil is environmentally friendly, containing no acids, phosphates or solvents, no sodium hydroxide or potassium hydroxide, and with completely biodegradable surfactants.",Trade Essentials/Van and Site Essentials/Van and Site Essentials.csv -> Advanced Engineering EnviroCoil evaporator/condenser cleaner 5ltr,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/90/15/NW-689015_wm.jpg,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/689015_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Aspen_Pumps_APG_Catalogue.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/AE_VerteX_EnviroCoil_EasyClean_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/AE_EnviroCoil_SDS.pdf,,,,,,,,,,,,,,,,,,,,,,,,
14,P555916,"Center CB rubble sack 21 x 34"" Grey",Center CB,0.71,"Center CB rubble sack is heavy duty, tear resistant sacks useful for carrying sharp or heavy items.","Trade Essentials/Van and Site Essentials/Van and Site Essentials.csv -> Center CB rubble sack 21 x 34"" Grey",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/59/16/NW-555916_wm.jpg,,N,,,533.4 x 863.6 mm,7767,Rubble Sack,N,Ideal for building and landscaping waste,Offer excellent tear resistance for carrying sharp and heavy materials,Reusable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,P689158,Advanced Engineering SuperClean heavy duty condenser cleaner 5 ltr,Advanced Engineering,71.77,"Uniquely strong, this Advanced Engineering SuperClean heavy-duty condenser cleaner offers all of the benefits of a heavy duty acid cleaner but is much safer. Highly concentrated, this effective cleaner safely removes all of the contaminants commonly found in condensers with no damage to the coil, which is left visibly brighter and cleaner.",Trade Essentials/Van and Site Essentials/Van and Site Essentials.csv -> Advanced Engineering SuperClean heavy duty condenser cleaner 5 ltr,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/91/58/NW-689158_wm.jpg,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/AE_SuperClean_HydroFoam2.0_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/AE_SuperClean_SDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Aspen_Pumps_APG_Catalogue.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/689158_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,
16,P625007,Aspen Pumps Unilite 425 lumen rechargable work light,Aspen Pumps,52.49,"This powerful light features a 425 lumen white COB LED, along with a secondary rear 150 lumen white SMD LED and an extra top torch with an 80 lumen SMD LED, all emitting a bright 6500k light. Ultra lightweight and compact, this pocket-sized light is perfect for carrying with you on the go. It also features a 180  vertical folding head, allowing you to adjust the angle of the light to suit your needs. Built to last, the IL-425R has a super tough aluminium and nylon construction, with an IK07 shock resistance that can withstand drops of up to 2m. It also features a useful pocket clip and a super strong magnetic base for easy hands-free use. Powered by a high quality 1100mAh li-ion battery, the IL-425R includes a low battery warning flash that reminds you when charging is needed. With a quick 1A USB-C charging and a 3-hour charge time, this light is always ready to go. Plus, a 1m high quality USB-C cable is included for your convenience.",Trade Essentials/Van and Site Essentials/Van and Site Essentials.csv -> Aspen Pumps Unilite 425 lumen rechargable work light,,Inspection Light;1m USB-C Cable;Sticker;QR code manual card,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/50/07/625007_wm.jpg,Unilite,N,,,147 x 33.5 x 21 mm,IL-425R,Inspection Light,N,425 lumen 6500k white COB LED,"Secondary rear 150 lumen white SMD LED, 6500k  Extra top torch - 80 lumen SMD LED, 6500k",Ultra lightweight compact pocket size,180  vertical folding head,Super tough aluminium & nylon construction,,,,,Useful pocket clip,Super strong magnetic base,High quality 1100mAh li-ion battery,Low battery 3x warning flash - reminds to charge,Quick 1A USB-C charging - 3 hours,1m USB-C cable included,,,,,,,,,,,,,,,,,,
17,P418040,Rothenberger Gas & Water Testing 67017R u-gauge rubber hose 2mtr,Rothenberger,4.36,"Used for pressure testing gas installations with a U-gauge and digital manometer, this 2M long Rothenberger 1/4"" bore hose allows for compliance with Gas Safety Regulations.",Trade Essentials/Van and Site Essentials/Van and Site Essentials.csv -> Rothenberger Gas & Water Testing 67017R u-gauge rubber hose 2mtr,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/80/40/NW-418040_wm.jpg,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Rothenberger_Product_Brochure_2021.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,P613138,Advanced Engineering OdourGuard hvac odour eliminator 1l rtu,Advanced Engineering,22.42,"Offering 360° protection from the unpleasant smells associated with HVAC filters, the Advanced Engineering OdourGuard odour eliminator makes an air conditioning unit easier to live with. Eliminating the nasty smells that can be the result of microbial activity or damp as well as the smoke, mould, mildew, cat litter and pet aromas that are often circulated up by an AC system, OdourGuard's odour absorbing formula is also able to deal with the noxious odours created by organic acids and aldehydes, nitrogen and sulphur-based substances, including ammonia and hydrogen sulphide.",Trade Essentials/Van and Site Essentials/Van and Site Essentials.csv -> Advanced Engineering OdourGuard hvac odour eliminator 1l rtu,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/31/38/613138_wm.jpg,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/AE_OdourGuard_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,P689173,Advanced Engineering TieTite cleaning cover size 2 1100mm (pack of 5),Advanced Engineering,82.3,"Aiding the cleaning of wall-mounted indoor evaporators, this Advanced Engineering TieTite protective cleaning cover reduces the splashing of cleaning product during maintenance, keeping furnishings and wall coverings safe and providing the user with a level of protection.",Trade Essentials/Van and Site Essentials/Van and Site Essentials.csv -> Advanced Engineering TieTite cleaning cover size 2 1100mm (pack of 5),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/91/73/NW-689173_wm.jpg,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/AE_HookTite_TieTite_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Aspen_Pumps_APG_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
20,P689245,Advanced Engineering EasyFoam aerosol 600ml,Advanced Engineering,16.72,"Advanced Engineering EasyFoam foaming condenser cleaner is a heavy duty, ready mixed solution for use on air conditioning condenser coils. With a foaming formulation and powerful aerosol jet EasyFoam is ideal for removing stubborn dirt from deep inside problem coils.",Trade Essentials/Van and Site Essentials/Van and Site Essentials.csv -> Advanced Engineering EasyFoam aerosol 600ml,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/92/45/NW-689245_wm.jpg,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/AE_EasyFoam_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/AE_EasyFoam_GreaseGobbler_RTUCC_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Aspen_Pumps_APG_Catalogue.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/AE_EasyFoam_SDS.pdf,,,,,,,,,,,,,,,,,,,,,,,,
21,P689073,Advanced Engineering AC-Pro gas system labels (30),Advanced Engineering,29.57,These Advanced Engineering F-gas system adhesive labels are a simple way to help you and your clients comply with specific aspects of the F-Gas Regulations.,Trade Essentials/Van and Site Essentials/Van and Site Essentials.csv -> Advanced Engineering AC-Pro gas system labels (30),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/90/73/NW-689073_wm.jpg,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Aspen_Pumps_APG_Catalogue.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Advanced-Engineering_AC-Pro_Tech.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
22,P690064,Pump House DiversiTech acid test kit for POE oil,Pump House,28.67,"Providing a fast, reliable detection of acid in a system, Pump House DiversiTech acid test kit for POE oil is an easy one step process with no chemicals to mix. Evaluation of the results is simple, the colour intensity indicating the amount of acid present in the sample.",Trade Essentials/Van and Site Essentials/Van and Site Essentials.csv -> Pump House DiversiTech acid test kit for POE oil,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/00/64/NW-690064_wm.jpg,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Pump_House_DiversiTech_Catalogue.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/Pump_House_DiversiTech_Test_Kit_SDS.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
23,PC02069,Center multi purpose wipes 100 pack,Center,6.66,"Center multipurpose wipes degrease and clean effectively, removing everything from solvents to paints, silicones, foams and general grime with a quick swipe. A heavy duty 20GSM design manufactured from 100% SMS polypropylene, these wipes are designed with tradespeople in mind, going tough on dirt while protecting the skin with an alcohol-free formulation imbued with lavender and peppermint oils. These strong, all-purpose wipes are suitable for use on hard surfaces, hands, tools and more, making them a tool bag and workshop must-have.",Trade Essentials/Van and Site Essentials/Van and Site Essentials.csv -> Center multi purpose wipes 100 pack,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/20/69/C02069_wm.jpg,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/00/pk/C02069_CENTER_WIPES_DS_100PK.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ip/es/CB_SDS MULTI PURPOSE WIPES.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
