,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Colour,Range,Warranty,Hazardous,Depth (mm),Pre-Drilled Waste Hole,Pre-Drilled Overflow,Anti Slip Surface,Grips or Handles,Material,Number of Tap Holes,Shape,Fittings Included,Supplier Product Code,WEEE Compliant,Capacity Litre,Feature 1,Feature 2,Feature 3,Anti Slip,Grip Holes,Position,Tap Holes,Feature 4,Feature 5,Feature 6,Thickness,Feature 7,Feature 8,Grips/Handles,Type,Material Type,Style,Weight,Height (mm)
10,PB61014,Nabis Steel Bath two tap hole steel bath with anti slip with twin grip 1600 x 700mm White,Nabis,175.03,"This Nabis 1600mm rectangular bath is made using porcelain enamelled steel with a rust-proof coating for aonger, cleanerife and comes complete with bolt-onegs and hand grips for secure use.",Bathrooms and Kitchens/Baths and Bath Panels/Single Ended Baths/Single Ended Baths.csv -> Nabis Steel Bath two tap hole steel bath with anti slip with twin grip 1600 x 700mm White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/15/NW-B61010_B61015_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/Roca_Care_Instructions.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Nabis_Steel_Baths_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,PA47409,Ideal Standard i.Life rectangular bath no tap hole 170 x 70cm White,Ideal Standard,213.78,"The Ideal Standard i.Life 1700 x 700mm rectangular bath is made of acrylic with a neat white finish. Offering a capacity of 176L, this bath is supplied without tapholes, allowing you to choose a wall-mounted filler or standpipe-style tap.",Bathrooms and Kitchens/Baths and Bath Panels/Single Ended Baths/Single Ended Baths.csv -> Ideal Standard i.Life rectangular bath no tap hole 170 x 70cm White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/74/09/A47409_wm.jpg,,,,,White,iLIFE,1 year,N,540,Yes,Yes,No,No,Acrylic,0,Rectangular,No,T477201,N,176 l,Idealform,No taphole,"Manufactured to EN 198:2008, EN14516",,,,,,,,,,,,,,,,
12,PA01892,Twyford Celtic 2 tap hole anti-slip bath including twin grips 1600mm White,Twyford,268.71,"Featuring a slip-resistant surface and twin grips, the 540mm deep Twyford Celtic BS1272WH 1600mm bath provides safe, secure bathing. Built in a robust steel, this two tap hole bath is ideal for over-bath showering and is made to withstand high levels of use.",Bathrooms and Kitchens/Baths and Bath Panels/Single Ended Baths/Single Ended Baths.csv -> Twyford Celtic 2 tap hole anti-slip bath including twin grips 1600mm White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/18/94/NW-A01892_A01894_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Twyford_BS1202WH_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ca/te/Twyford_DOP17_Baths_Certificate.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Twyford_BS1572WH_Instruction.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/wi/ng/Twyford_BS1572WH-BS1502WH_Drawing.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,PJ43500,Kaldewei Eurowa 2 tap hole bath 1700 x 700mm White,Kaldewei,122.95,"Tough andongasting, the Kaldewei Eurowa 312 1700mm bath is made of a highly resistant steel enamel, standing up to scratches, abrasion and acid.",Bathrooms and Kitchens/Baths and Bath Panels/Single Ended Baths/Single Ended Baths.csv -> Kaldewei Eurowa 2 tap hole bath 1700 x 700mm White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/35/00/NW-J43500_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Kaldewei_Eurowa_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,PJ43200,Kaldewei Eurowa 2 tap hole bath 1600 x 700mm White,Kaldewei,122.95,"Tough andongasting, the Kaldewei Eurowa 311 1600mm bath is made of a highly resistant steel enamel, standing up to scratches, abrasion and acid.",Bathrooms and Kitchens/Baths and Bath Panels/Single Ended Baths/Single Ended Baths.csv -> Kaldewei Eurowa 2 tap hole bath 1600 x 700mm White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/32/00/NW-J43200_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Kaldewei_Eurowa_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,PA03069,Nabis Kelly 2 tap hole bath with twin chrome grips 1700 x 700 x 5mm,Nabis,184.88,"Simple and safe, the Nabis Kelly 1700mm acrylic bath comes with built-in twin chrome plated bath grips for safety and stability when getting in and out of the bath. Designed for fast, hassle-free installation, the Kelly is supplied with pre-drilled tap holes, ideal for the contract market.",Bathrooms and Kitchens/Baths and Bath Panels/Single Ended Baths/Single Ended Baths.csv -> Nabis Kelly 2 tap hole bath with twin chrome grips 1700 x 700 x 5mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/30/69/NW-A03069_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_d/wg/Nabis_A03069_DWG.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Nabis_StdDoubleEndLShapeBath_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Nabis_A03068-A03069_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,PA03205,Nabis Bardot single ended bath round 1600x700mm white,Nabis,165.33,"Simple and elegant, the Nabis Bardot 1600mm acrylic bath is designed for maximum comfort. With a single comfortable back rest end, this bath is supplied without tap holes allowing you to select and install your preferred tap set-up, whether deck or wall-mounted, mixer or separates.",Bathrooms and Kitchens/Baths and Bath Panels/Single Ended Baths/Single Ended Baths.csv -> Nabis Bardot single ended bath round 1600x700mm white,,Bath;All fittings,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/32/06/NW-A03204_A03206_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Nabis_A03204_06_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Nabis_Bath_Panel_Matrix_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Nabis_Baths_Screens_Matrix_2020.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,PA03224,Nabis Campbell shower bath right hand J-shape 1700x750mm white,Nabis,223.93,"The understated Nabis Campbell 1700mm acrylic J-shaped right hand bath is designed for modern bathrooms where space is at a premium. With a single comfortable back rest end, this bath is supplied without tap holes allowing you to select and install your preferred tap set-up, whether deck or wall-mounted, mixer or separates.",Bathrooms and Kitchens/Baths and Bath Panels/Single Ended Baths/Single Ended Baths.csv -> Nabis Campbell shower bath right hand J-shape 1700x750mm white,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/32/24/NW-A03223_A03224_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Nabis_CampbellSinglEndBath_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Nabis_StdDoubleEndLShapeBath_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Nabis_Baths-Screens_Matrix_21Feb2020.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Nabis_Shaped_Bath_Panel_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,PC21686,Ideal Standard Concept two tap hole bath 1700 x 750mm White,Ideal Standard,302.97,"Part of the Ideal Standard Concept range, this 750mm width acrylic bath features a gently sloping interior for extra ergonomic comfort.",Bathrooms and Kitchens/Baths and Bath Panels/Single Ended Baths/Single Ended Baths.csv -> Ideal Standard Concept two tap hole bath 1700 x 750mm White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/16/86/NW-C21686_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/IS_E729501_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,PB61001,Nabis Steel Bath 2 tap hole plain steel bath 1700mm White,Nabis,204.23,"Made of porcelain enamelled steel, this Nabis 1700mm rectangular bath has a rustproof coating for an always clean look and long lasting robustness. It is supplied with two pre-drilled tap holes, an overflow and waste hole.",Bathrooms and Kitchens/Baths and Bath Panels/Single Ended Baths/Single Ended Baths.csv -> Nabis Steel Bath 2 tap hole plain steel bath 1700mm White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/01/NW-B61001_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/Roca_Care_Instructions.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/t_/v1/Nabis Steel Bath Product Data Sheet v1.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,PD09655,Ideal Standard Sandringham 21 bath including twin grips and tread 1500mm White,Ideal Standard,162.3,"With its updated interior shape, the 1500mm Ideal Standard Sandringham 21 bath provides the most comfortable bathing position yet. With a tread pattern and chrome-plated handgrips, this bath provides additional stability during use.",Bathrooms and Kitchens/Baths and Bath Panels/Single Ended Baths/Single Ended Baths.csv -> Ideal Standard Sandringham 21 bath including twin grips and tread 1500mm White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/96/55/NW-D09655_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Armitage_Shanks_MENA_Edi1_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/IS_E028601_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,PD00675,Roca Contesa 2 tap hole bath 1700 x 700m White,Roca,197.94,"Made of steel, the hardwearing 1700mm Roca Contesa bath is tough yet elegant with a timeless, refined style. This simple rectangular bath is highly resistant and designed to retain heat, reducing the need to top-up with hot water while you bathe.",Bathrooms and Kitchens/Baths and Bath Panels/Single Ended Baths/Single Ended Baths.csv -> Roca Contesa 2 tap hole bath 1700 x 700m White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/06/75/NW-D00675_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/wi/ng/Roca_235860xx0_Drawing.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Roca_2370K3000_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,PA03068,Nabis Kelly 2 tap hole bath with twin chrome grips 1600 x 700 x 5mm,Nabis,184.88,"Simple and safe, the Nabis Kelly 1600mm acrylic bath comes with built-in twin chrome plated bath grips for safety and stability when getting in and out of the bath. Designed for fast, hassle-free installation, the Kelly is supplied with pre-drilled tap holes, ideal for the contract market.",Bathrooms and Kitchens/Baths and Bath Panels/Single Ended Baths/Single Ended Baths.csv -> Nabis Kelly 2 tap hole bath with twin chrome grips 1600 x 700 x 5mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/30/68/NW-A03068_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Nabis_StdDoubleEndLShapeBath_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Nabis_A03068-A03069_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_d/wg/Nabis_A03068_DWG.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
