,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Hazardous,Model For Use With,Boiler Section,Boiler Range,Supplier Product Code,Type,WEEE Compliant,Part Gas Council number,Attachment 1,By Model Number,Body Material,Attachment 2,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Feature 11,Feature 12,Feature 13,Feature 14,Feature 15,Feature 16,Feature 17,Feature 18,Pack Quantity,Range,Attachment 3,Range For Use With,Weight,Warranty,Depth (mm),Flue Type,Flue Diameter,Flue Length,Flue Size,For Use With
10,P500187,Vaillant 0020010295 valve,Vaillant,51.77,"This Vaillant replacement diverter valve is compatible with ecoTEC VUI (condensing), ecoTEC VUW (condensing) and Guernsey/Jersey only (condensing) boilers. A directional water device in combi boilers, a diverter valve directs hot water into a heating system or a hot water system. This feature means that combis are able to provide both heating and hot water without the need for a storage cylinder.   Manufacturer Part Number: 0020010295  We carry over 300 of the most in demand parts in-branch and stock over 25,000 spare parts available for next-day timed delivery.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Vaillant Boiler Parts/Vaillant Boiler Parts.csv -> Vaillant 0020010295 valve,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/01/87/500187_wm.jpg,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/li/st/Vaillant_ecoTEC_plus_937_Parts_List.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,P411026,Vaillant 20275015 pressure relief valve 3 bar,Vaillant,14.35,"This Vaillant pressure relief valve is a replacement part suitable for use with Guernsey/Jersey only (condensing), ecoFIT VUW (condensing), ecoTEC VU (condensing), ecoTEC VUI (condensing), ecoTEC VUW (condensing), Home (condensing), ecoFIT VU (condensing), VWL (heat pump accessory) and VWL (heat pump) boilers. The pressure relief valve helps to control pressure in a closed system by proportionally opening to relieve excess pressure, preventing catastrophic malfunction.   Manufacturer Part Number: 0020275015  At Wolseley, we carry over 300 of the most in demand parts in-branch and stock over 25,000 spare parts available for next-day timed delivery.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Vaillant Boiler Parts/Vaillant Boiler Parts.csv -> Vaillant 20275015 pressure relief valve 3 bar,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/26/411026_wm.jpg,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Vaillant_eloBLOCK_VE2814RUUA_Install.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,P417863,Vaillant 0010030691 cable,Vaillant,10.34,"A genuine branded spare, this Vaillant cable is for use in the hydroblock of ecoTEC Pro and ecoTEC Plus boilers.  Wires and cables connect the printed circuit board (PCB) to thermostats, switches and sensors, giving it complete control over the boiler's processes and safety protocols.  As the UK’s leading parts specialist, Wolseley carries the widest range of spares, stocking all the big name brands for the trade. Now, to give our customers even more support, we’re adding a greater number of specified parts from leading manufacturers into our branches with the introduction of the Wolseley Branch Parts Accreditation Scheme. Many branches will now be Silver and Gold accredited, a sign that they hold more stock than anyone else, so you can be confident you’ll get the parts you need to fix it first time. Fast.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Vaillant Boiler Parts/Vaillant Boiler Parts.csv -> Vaillant 0010030691 cable,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/78/63/NW-417863_wm.jpg,N,,Hydraulic Parts (Hydroblock),ecoTEC proecoTEC plus,0010030691,,N,n/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,P500169,Vaillant 180984 condensate trap,Vaillant,23.02,"A replacement condensate trap for Vaillant ecoTEC VUW (condensing) boilers. The condensate trap holds discharge that accumulates in the primary heating or cooling system caused by changes in pressure and temperature. A discharge pipe connected to the condensate trap sends held water out of the property. This pipe is ordinarily made of plastic that can withstand the low levels of acid present due to CO2 from the combustion process dissolving in the water.   Manufacturer Part Number: 180984  At Wolseley, we carry over 300 of the most in demand parts in-branch and stock over 25,000 spare parts available for next-day timed delivery.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Vaillant Boiler Parts/Vaillant Boiler Parts.csv -> Vaillant 180984 condensate trap,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/01/69/500169_wm.jpg,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/li/st/Vaillant_ecoTEC_pro_24-28_Parts_List.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,P501386,Vaillant support,Vaillant,9.89,"A Vaillant support designed to fit to the inner side of a boiler casing to hold the control panel in place. This part is compatible with ecoTEC VU (condensing), ecoTEC VUW (condensing) and VWS (heat pump hybrid) boilers.  Casings vary from model to model with designs to suit different locations, offering differing levels of robustness and a variety of finishes.  We carry over 300 of the most in demand parts in-branch and stock over 25,000 spare parts available for next-day timed delivery.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Vaillant Boiler Parts/Vaillant Boiler Parts.csv -> Vaillant support,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/13/86/501386_wm.jpg,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ar/ts/Vaillant_ecoTEC+_824837612637_Parts.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,P500162,Vaillant flow sensor,Vaillant,32.58,"A Vaillant flow sensor for Guernsey/Jersey only (condensing), ecoTEC VUI (condensing) and ecoTEC VUW (condensing) boilers. The sensor or thermistor decreases circuit resistance in line with temperature increases. A boiler's printed control board (PCB) sends a current to the thermistor, deciding whether a decrease or increase in heat is required by reading the relative resistance.   Manufacturer Part Number: 178988  At Wolseley, we carry over 300 of the most in demand parts in-branch and stock over 25,000 spare parts available for next-day timed delivery.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Vaillant Boiler Parts/Vaillant Boiler Parts.csv -> Vaillant flow sensor,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/01/62/500162_wm.jpg,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ar/ts/Vaillant_ecoTEC+_824837612637_Parts.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,P498977,Vaillant 193592 NTC sensor,Vaillant,12.0,"A Vaillant NTC sensor for Guernsey/Jersey only (condensing), ecoFIT VU (condensing), ecoTEC VU (condensing), ecoTEC VUW (condensing), Home (condensing), ecoFIT VUW (condensing) and ecoTEC VUI (condensing) boilers.  The sensor or thermistor decreases circuit resistance in line with temperature increases. A boiler's printed control board (PCB) sends a current to the thermistor, deciding whether a decrease or increase in heat is required by reading the relative resistance.  We carry over 300 of the most in demand parts in-branch and stock over 25,000 spare parts available for next-day timed delivery.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Vaillant Boiler Parts/Vaillant Boiler Parts.csv -> Vaillant 193592 NTC sensor,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/89/77/498977_wm.jpg,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ar/ts/Vaillant_ecoTEC+_824837612637_Parts.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,P475883,Vaillant spark electrode,Vaillant,27.88,"This genuine Vaillant ignition electrode is suitable for use in ecoMAX VU (condensing), ecoMAX VUW (condensing), ecoTEC VUW (condensing), ecoTEC VU (condensing) and ecoTEC VUI (condensing) appliances. An ignition (spark) electrode causes the spark that begins combustion within the burner while flame sensing electrodes are responsible for checking if there is a flame present in the burner to make sure that the boiler doesn't keep supplying gas without a flame.   Manufacturer Part Number: 090709  At Wolseley, we carry over 300 of the most in demand parts in-branch and stock over 25,000 spare parts available for next-day timed delivery.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Vaillant Boiler Parts/Vaillant Boiler Parts.csv -> Vaillant spark electrode,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/58/83/475883_wm.jpg,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/li/st/Vaillant_ecoVSC-SauroVSCD_Parts_List.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,P498903,Vaillant packing ring,Vaillant,9.4,"This Vaillant packing ring is designed for use in the heat exchanger of Guernsey/Jersey only (condensing), ecoFIT VU (condensing), ecoFIT VUW (condensing), ecoTEC VU (condensing), ecoTEC VUW (condensing), ecoTEC VUI (condensing), ecoMAX VU (condensing), ecoMAX VUW (condensing) and 60/100 PP (condensing) boilers.  O-rings, gaskets and washers are used in many different areas of the boiler to join parts to pipework. Among others sections, heat exchangers and gas valves require these parts to prevent gas and water leaks.  We carry over 300 of the most in demand parts in-branch and stock over 25,000 spare parts available for next-day timed delivery.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Vaillant Boiler Parts/Vaillant Boiler Parts.csv -> Vaillant packing ring,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/89/03/498903_wm.jpg,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ar/ts/Vaillant_ecoTEC+_824837612637_Parts.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,P501522,Vaillant control knobs (Pack of 3),Vaillant,10.62,"A genuine Vaillant item, this control knob pack is compatible with ecoTEC VU (condensing), ecoTEC VUI (condensing) and ecoTEC VUW (condensing) boilers.  Attached to the boiler's control panel, control knobs allows for manual control of the appliance's functions.  To help you find the right parts for your jobs, go to the industry leading parts identification tool, PartsArena, giving you quick access to over 20,000 exploded diagrams, 10,000 images & 20,000 products. FREE to Wolseley trade account customers.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Vaillant Boiler Parts/Vaillant Boiler Parts.csv -> Vaillant control knobs (Pack of 3),,3x control knobs,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/15/22/501522_wm.jpg,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/li/st/Vaillant_atmoTEC_Pro_Plus_Parts_List.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,P498946,Vaillant 106563 packing ring,Vaillant,8.9,"This Vaillant packing ring is designed for use in the heat exchanger of 60/100 PP (condensing) boilers.  O-rings, gaskets and washers are used in many different areas of the boiler to join parts to pipework. Among others sections, heat exchangers and gas valves require these parts to prevent gas and water leaks.  We carry over 300 of the most in demand parts in-branch and stock over 25,000 spare parts available for next-day timed delivery.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Vaillant Boiler Parts/Vaillant Boiler Parts.csv -> Vaillant 106563 packing ring,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/89/46/498946_wm.jpg,N,"Bend 87 degree DN 60/100 PP, Extension 1.0 m DN 60 PP white, Horizontal wall terminals 60/100 PP, 45 degree Bend DN 60 Black ( 2 pcs ), Basic Set facade DN 60 PP white, Bend 90 degree DN 60 white, Separator DN 60/100 PP, 45 degree bend DN 60/100 PP ( 2 p",Heat Exchanger,60/100 PP (Condensing),106563,Packing Ring,N,,,"45 degree bend DN 60/100 PP ( 2 pcs ),Extension 1.0 m DN 60 PP black,Mounting clamp ( x 5 ) DN 100,45 degree Bend DN 60 Black ( 2 pcs ),Basic Set facade DN 60 PP white,Bend 90 degree DN 60 white,Extension 2.0 m DN 60/100 PP,Sep,90 degree Bend DN 60 black",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
