,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Colour,Fuel Type,Range,Warranty,Weight,Energy Rating,Hazardous,Seasonal Space Heating Energy Efficiency %,Output,Depth (mm),Dry Weight (kg),Efficiency (SAP 2009),Mounting Type,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Attachment 5,Attachment 6,Water Heating Energy Efficiency Class,Feature 9,Feature 10,Feature 11,Feature 12
10,P333943,Worcester Bosch Greenstar Danesmoor 18/25 2022+ external system boiler,Worcester Bosch,2648.0,"Suitable for heating most properties of most sizes, the Worcester Bosch Greenstar Danesmoor External System 18/25 2022+ system boiler is designed with a tough, weatherproof cabinet for installation outside the house, meaning there's no need to dedicate a whole kitchen cupboard to running your home heating. With a one-piece stainless steel primary baffle and cross firing burner, this 25kW system boiler offers high levels of efficiency and quick, easy servicing to help reduce running and maintenance costs.",Boilers/Oil Boilers/Oil System Boilers/Oil System Boilers.csv -> Worcester Bosch Greenstar Danesmoor 18/25 2022+ external system boiler,,Boiler;Greenstar Danesmoor External installation;Commissioning ;servicing instruction manual;User instructions;Guarantee registration card;Condensate trap;Cabinet key;100mm services duct;Balanced flue kit,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/53/61/115359_115361_wm.jpg,White,Oil,Greenstar Danesmoor,2 years,121 kg,A,N,A,25 kW,780,121,90.9,Floor Standing,333943 PK,System Boiler,N,Floor standing design,With cross firing burner,Suitable for 30°C return temperature to suit modern heating designs,One-piece baffle for faster servicing,Lightweight design makes installation simple,With easy-access oil and hydraulic connections,Durable casing designed to blend into garden environments,80/125mm room sealed flues available in lengths of up to 8M,,,,,,,A,Plume management up to 5M with conventional and flexi-flue kits available,ErP A-rated for efficiency,IP45 protection,2 year warranty
11,P115066,HRM Wallstar 1 low nox boiler 12-16kw,HRM,2169.66,"Built on over twenty years of experience, the HRM Wallstar 1 boiler is the latest in a long line of successful heating appliances. Retaining the same ease of installation and servicing as its predecessors, the Wallstar 1 offers improved space saving and quieter than ever operation, making it ideal for the smallest of homes. This efficient boiler is fitted with a low-NOx burner for reduced emissions, safer operation and compliancy with EU directives.",Boilers/Oil Boilers/Oil System Boilers/Oil System Boilers.csv -> HRM Wallstar 1 low nox boiler 12-16kw,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/50/66/115066_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_e/rp/115066_ErP.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/115066_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/HRM_HANDBOOK_Installation.pdf,,,,,,,,
12,P174937,Warmflow Agentis I26S internal system oil boiler 26kW,Warmflow,1802.78,"Slimline and stylish, the Warmflow Agentis I26S internal system boiler offers a seamless finish in contemporary kitchen and utility room designs. Fitted with powerful components, including a patented heat exchanger, Riello low-NOx burner and reliable Grundfos pump, the Agentis internal range includes the only AA-rated oil boiler currently on the market, averaging a saving of 5L of fuel a week for lower fuel bills and reduced emissions.",Boilers/Oil Boilers/Oil System Boilers/Oil System Boilers.csv -> Warmflow Agentis I26S internal system oil boiler 26kW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/49/37/174936_174937_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_e/rp/Warmflow_Agentis_I26S_ErP.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Warmflow_Agentis_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Warmflow_Oil_Boilers_Guide.pdf,,,,,,,,
13,P117033,Grant Vortex Eco VTXSECO15/21 ERP utility boiler 15/21kw,Grant,1879.71,"Ideal for installation in utility rooms, the Grant Vortex Eco Utility boiler features the cutting edge Vortex stainless steel heat exchanger and up-to-the-minute Riello burner technology for reliable, efficient and powerful home heating. With a plain, simple casing, an easy to use control panel and straightforward pipework arrangement, this 21kW utility boiler provides hassle-free installation and is supplied with a factory-fitted expansion vessel and high efficiency circulating pump, doing away with the requirement for a feed and expansion tank in the loft.",Boilers/Oil Boilers/Oil System Boilers/Oil System Boilers.csv -> Grant Vortex Eco VTXSECO15/21 ERP utility boiler 15/21kw,,Boiler;Expansion vessel;Filling loop;Pressure gauge;Automatic air vent;Pressure relief valve;Circulating pump,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/70/35/117033_117035_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Grant_Vortex_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Grant_Vortex_Eco_Installation.pdf,,,,,,,,,
14,P116277,Grant Vortex Pro Utility System 15/26 ErP kitchen/utility oil boiler,Grant,2151.0,"The unique Grant Vortex Pro Utility 15/26 automatic pressure jet oil boiler is full of inventive features designed to maximise efficiency for lower running costs and an ErP A rating. Designed for use in a fully pumped central heating system with an indirect domestic hot water cylinder, the Vortex Pro is fitted with the highly reliable Riello RDB low-NOx burner and a patented heat exchanger which makes sure that every bit of heat is used to run your central heating system. Attractively designed and quiet in operation, this boiler fits unobtrusively into just about any setting.",Boilers/Oil Boilers/Oil System Boilers/Oil System Boilers.csv -> Grant Vortex Pro Utility System 15/26 ErP kitchen/utility oil boiler,,Boiler only,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/62/79/116271_116279_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Grant_Vortex_Burner_Settings_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Grant_Vortex_Utility_System_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Grant_Vortex_Utility_System_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Grant_Vortex_Oil_Boiler_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Grant_Vortex_Oil-Boiler_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_e/rp/116277_ErP.pdf,,,,,
15,P333939,Worcester Bosch Greenstar Danesmoor 12/18 2022+ utility system boiler,Worcester Bosch,1944.0,"An oil boiler ideal for the kitchen or utility room in homes of almost any size, the Worcester Bosch Greenstar Danesmoor Utility System 12/18 2022+ system boiler has been designed based on customer feedback to deliver on user-friendly performance and ease of installation. Lightweight and flexible, this reliable ErP A-rated boiler is fitted with an easy to remove one-piece primary baffle and cross firing burner and offers effortless access to oil and hydraulic connections.",Boilers/Oil Boilers/Oil System Boilers/Oil System Boilers.csv -> Worcester Bosch Greenstar Danesmoor 12/18 2022+ utility system boiler,,Boiler;Greenstar Danesmoor installation;Commissioning ;servicing instruction manual;User instructions;Fascia information card;Guarantee registration card;BSP plug;ErP label;Flue damper,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/53/58/115356_115358_wm.jpg,White,Oil,Greenstar Danesmoor,2 years,51.3Kg,A,N,A,18 kW,600,112,90.7,Floor Standing,333939 PK,System Boiler,N,Cross firing burner,Accepts a 30°C return temperature making the appliance perfect for modern heating designs,One piece baffle for quick and easy servicing,Lightweight aiding installation,Easy access oil and hydraulic connections,Compatible with solar thermal,80/125mm room sealed flues with lengths of up to 8m available,Plume management of up to 5m with conventional and flexi-flue kits also available,,,,,,,,,,,
16,P117036,Grant Vortex Eco External System 15/21 external sealed system boiler 15/21kw,Grant,2160.66,"The steel-enclosed Grant Vortex Eco External 15/21 condensing boiler is tough and reliable, allowing for installation anywhere outside of the home and standing up to all conditions. With a multi-directional flue and extremely low noise levels, this unit makes installation easy and flexible while cutting edge components such as a Riello RDB low-NOx burner and Grant's own design stainless steel heat exchanger provide ErP A-rated efficiency and reliable operation even under the stresses of inclement weather.",Boilers/Oil Boilers/Oil System Boilers/Oil System Boilers.csv -> Grant Vortex Eco External System 15/21 external sealed system boiler 15/21kw,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/70/38/117036_117038_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Grant_Vortex_Burner_Settings_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Grant_VortexEcoExternalSystem_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Grant_Vortex_Oil_Boiler_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Grant_Vortex_Oil-Boiler_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_e/rp/117036_ErP.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Grant_VortexEcoExternal_Installation.pdf,,,,,
17,P115067,HRM Wallstar 2 low nox boiler 12-20kw,HRM,2297.19,"Part of the next generation of boilers, the HRM Wallstar 2 boiler is designed using the brand's 20 years of boiler build experience. As easy to install and service as its predecessors, the Wallstar 2 has a space-saving design and quieter operation, so while it meets the demand of large homes it requires less installation space. This efficient, ErP A-rated boiler is fitted with a low-NOx burner for reduced emissions, safer operation and compliancy with EU directives.",Boilers/Oil Boilers/Oil System Boilers/Oil System Boilers.csv -> HRM Wallstar 2 low nox boiler 12-20kw,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/50/67/115067_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_e/rp/115067_ErP.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/115067_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/HRM_HANDBOOK_Installation.pdf,,,,,,,,
18,P333942,Worcester Bosch Greenstar Danesmoor External System ErP+ 12/18 oil boiler,Worcester Bosch,2418.0,"Ideal for outdoor installation on properties of almost any size, the Worcester Bosch Greenstar Danesmoor External System 12/18 ErP+ high efficiency system boiler has been designed based on customer feedback to deliver on user-friendly performance and ease of installation. Lightweight yet robustly built with an IP45 powder-coated enclosure designed to withstand inclement weather, this reliable ErP A-rated boiler is fitted with an easy to remove one-piece primary baffle and cross firing burner and offers effortless access to oil and hydraulic connections. Oil-fired, the Danesmoor is compatible with alternative power sources, including Greenskies solar and the Greensource air-to-water pump, providing homeowners with the option to further improve efficiency.",Boilers/Oil Boilers/Oil System Boilers/Oil System Boilers.csv -> Worcester Bosch Greenstar Danesmoor External System ErP+ 12/18 oil boiler,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/no/bg/Dmoor Sys Ext frt nobg_wm.jpg,White,Oil,Greenstar Danesmoor External System ErP+,,,,N,A,,,,,,333942 PK,External Condensing System Boiler Pack,N,"Incorporates many of the components of a traditional heating system for easier, less disruptive installation",Green powder-coated cabinet for protection and seamless integration,Inbuilt frost protection,IP45 ingress protection for reliable performance even in harsh weather conditions,Can be used with Greenskies solar panels for energy and cost savings,Compatible with Worcester Greenstore cylinders,2 year warranty,,,,,,,,,,,,
19,P115068,HRM Wallstar 3 low nox boiler 20-24kw,HRM,2455.92,"The HRM Wallstar 3 boiler is based on the design of previous Wallstar units with improvements incorporating twenty years of boiler design experience. Easy to install and service, just like its predecessors, the Wallstar 3 is more compact and quieter in operation, so its the perfect choice for homes with limited storage space but high heat demand. This efficient boiler is fitted with a low-NOx burner for reduced emissions, safer operation and compliancy with EU directives.",Boilers/Oil Boilers/Oil System Boilers/Oil System Boilers.csv -> HRM Wallstar 3 low nox boiler 20-24kw,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/50/68/115068_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/115068_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_e/rp/115068_ErP.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/HRM_HANDBOOK_Installation.pdf,,,,,,,,
20,P174970,Warmflow Agentis Professional E33SPRO external system oil boiler 33kW,Warmflow,2931.77,"The Warmflow Agentis Pro E33PPRO professional external regular boiler is packed with great features and accessories, including the Adey MagnaClean Pro 2 magnetic cleaning system, which keeps damaging contaminants at bay. Robust and weatherproof, this 33kW unit has a maintenance-free IP45 casing for longevity in even the harshest outdoors conditions and earns an ErP A rating for efficiency thanks to its inbuilt Riello low-NOx tech and a highly efficient heat exchanger.",Boilers/Oil Boilers/Oil System Boilers/Oil System Boilers.csv -> Warmflow Agentis Professional E33SPRO external system oil boiler 33kW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/49/70/174970_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Warmflow_Agentis_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_e/rp/Warmflow_Agentis_E33S_PRO_ErP.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Warmflow_Oil_Boilers_Guide.pdf,,,,,,,,
21,P116266,Grant Vortex Eco 16/21 ErP high efficiency internal wall hung system boiler excluding flue,Grant,2160.66,"Part of the award-winning Vortex range, the Grant Vortex Eco Internal 16/21 automatic pressure jet oil boiler offers a range of flexible fitting options and an ErP A rating for its high levels of energy efficiency. Featuring weather protection for uninterrupted operation in even the worst weather plus Grant's patented stainless steel heat exchanger and turbulator baffle system, the internal Vortex Eco is ultra-reliable for comfort you can rely on all year round.",Boilers/Oil Boilers/Oil System Boilers/Oil System Boilers.csv -> Grant Vortex Eco 16/21 ErP high efficiency internal wall hung system boiler excluding flue,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/62/66/116263_116266_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Grant_Vortex_Burner_Settings_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Grant_VortexEcoWall_Internal_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Grant_Vortex_Oil_Boiler_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Grant_Vortex_Oil-Boiler_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Grant_VortexEcoWHInternalSstem_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_e/rp/116266_ErP.pdf,,,,,
22,P333896,Grant Vortex Eco VTXSECO26/35 ERP floor standing oil boiler,Grant,2114.0,"Ideal for installation in utility rooms, the Grant Vortex Eco Utility boiler features the cutting edge Vortex stainless steel heat exchanger and up-to-the-minute Riello burner technology for reliable, efficient and powerful home heating. With a plain, simple casing, an easy to use control panel and straightforward pipework arrangement, this 35kW utility boiler provides hassle-free installation and is supplied with a factory-fitted expansion vessel and high efficiency circulating pump, doing away with the requirement for a feed and expansion tank in the loft.",Boilers/Oil Boilers/Oil System Boilers/Oil System Boilers.csv -> Grant Vortex Eco VTXSECO26/35 ERP floor standing oil boiler,,Boiler;Expansion vessel;Filling loop;Pressure gauge;Automatic air vent;Pressure relief valve;Circulating pump,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/38/96/333894_333896_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Grant_Vortex_Eco_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Grant_Vortex_Brochure.pdf,,,,,,,,,
23,P333917,Grant Vortex Eco External System 26/35 floor standing oil boiler,Grant,2473.0,"Robustly built to withstand challenging outdoor conditions, the steel-enclosed Grant Vortex Eco External 26/35 condensing boiler is designed for installation outside the home, against a wall or as a freestanding unit. The boiler's multi-directional flue and conveniently quiet operation make siting easy in even the most difficult of locations while internal components, including a tough stainless steel heat exchanger and Riello RDB low-NOx burner, help to achieve an ErP A rating.",Boilers/Oil Boilers/Oil System Boilers/Oil System Boilers.csv -> Grant Vortex Eco External System 26/35 floor standing oil boiler,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/rn/al/Grant_Vortex_Eco_External_wm.jpg,White/Gloss,Oil,Vortex Eco External System,5 Year,15.2Kg,A,N,A,35 kW,800,152,92.4,Floor Standing,333917 PK,External System Boiler Pack,N,Suitable for fitting against a wall or freestanding away from the property,Factory-fitted multi-directional flue for flexible fitting,Exceptionally quiet operation,Galvanised steel enclosure,High quality powder-coated paint finish for weather protection,Fitted with Riello RDB low-NOx burner,Unique Grant Vortex stainless steel heat exchanger,Mains isolating switch and test switch,,,,,,,,Factory-fitted frost stat set to 5°C,5 year warranty available when following Grant installation specification and guidelines,,
24,P111876,Firebird Envirogreen System C26 internal system boiler 20-26kW,Firebird,1801.42,"The Firebird Envirogreen System C26 internal system boiler is a reliable heating and hot water solution for the busiest of homes, supplying uninterrupted hot water in even the most challenging circumstances. Neatly designed to fit under a kitchen countertop, this quiet, easy to install 26kW boiler comes with a range of flueing options and has a durable casing to ensure it looks good for longer. ErP A-rated, the Envirogreen has an inbuilt anti-cycling function and patented heat exchanger for reduced energy waste.",Boilers/Oil Boilers/Oil System Boilers/Oil System Boilers.csv -> Firebird Envirogreen System C26 internal system boiler 20-26kW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/18/78/111875_111878_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/bo/ok/Firebird_Boiler_Handbook.pdf,,,,,,,,,,
25,P115361,Worcester Bosch Greenstar Danesmoor 25/32 2022+ external system boiler,Worcester Bosch,3243.09,"Suitable for heating most properties of most sizes, the Worcester Bosch Greenstar Danesmoor External System 25/32 2022+ system boiler is designed with a tough, weatherproof cabinet for installation outside the house, meaning there's no need to dedicate a whole kitchen cupboard to running your home heating. With a one-piece stainless steel primary baffle and cross firing burner, this 32kW system boiler offers high levels of efficiency and quick, easy servicing to help reduce running and maintenance costs.",Boilers/Oil Boilers/Oil System Boilers/Oil System Boilers.csv -> Worcester Bosch Greenstar Danesmoor 25/32 2022+ external system boiler,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/53/61/115359_115361_wm.jpg,,Oil,Greenstar Danesmoor,2 years,131 kg,A,N,,32 kW,780,115,90.7,Floor Standing,7731600259,System Boiler,N,Floor standing design,With cross firing burner,Suitable for 30°C return temperature to suit modern heating designs,One-piece baffle for faster servicing,Lightweight design makes installation simple,With easy-access oil and hydraulic connections,Durable casing designed to blend into garden environments,80/125mm room sealed flues available in lengths of up to 8M,,,,,,,A,Plume management up to 5M with conventional and flexi-flue kits available,ErP A-rated for efficiency,IP45 protection,2 year warranty
26,P117034,Grant Vortex Eco VTXSECO21/26 ERP utility boiler 21/26kw,Grant,2040.71,"Ideal for installation in utility rooms, the Grant Vortex Eco Utility boiler features the cutting edge Vortex stainless steel heat exchanger and up-to-the-minute Riello burner technology for reliable, efficient and powerful home heating. With a plain, simple casing, an easy to use control panel and straightforward pipework arrangement, this 26kW utility boiler provides hassle-free installation and is supplied with a factory-fitted expansion vessel and high efficiency circulating pump, doing away with the requirement for a feed and expansion tank in the loft.",Boilers/Oil Boilers/Oil System Boilers/Oil System Boilers.csv -> Grant Vortex Eco VTXSECO21/26 ERP utility boiler 21/26kw,,Boiler;Expansion vessel;Filling loop;Pressure gauge;Automatic air vent;Pressure relief valve;Circulating pump,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/70/35/117033_117035_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Grant_Vortex_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Grant_Vortex_Eco_Installation.pdf,,,,,,,,,
27,P117035,Grant Vortex Eco VTXSECO26/35 ERP utility boiler 26/35kw,Grant,2359.49,"Ideal for installation in utility rooms, the Grant Vortex Eco Utility boiler features the cutting edge Vortex stainless steel heat exchanger and up-to-the-minute Riello burner technology for reliable, efficient and powerful home heating. With a plain, simple casing, an easy to use control panel and straightforward pipework arrangement, this 35kW utility boiler provides hassle-free installation and is supplied with a factory-fitted expansion vessel and high efficiency circulating pump, doing away with the requirement for a feed and expansion tank in the loft.",Boilers/Oil Boilers/Oil System Boilers/Oil System Boilers.csv -> Grant Vortex Eco VTXSECO26/35 ERP utility boiler 26/35kw,,Boiler;Expansion vessel;Filling loop;Pressure gauge;Automatic air vent;Pressure relief valve;Circulating pump,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/70/35/117033_117035_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Grant_Vortex_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Grant_Vortex_Eco_Installation.pdf,,,,,,,,,
