,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Attachment 5,Range,Hazardous,Boiler Section,Boiler Range,Part Gas Council number,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Model For Use With,By Model Number,Attachment 6,Attachment 7,Weight,Depth (mm),Dimensions (L x W x D),Range For Use With,Flue Type,Flue Diameter,Flue Length,Warranty,Flue Size
10,P127170,Vaillant Ecomax standard flue kit 1mtr x 125mm,Vaillant,147.69,"This Vaillant 125mm standard flue kit offers a horizontal flue duct with elbow and terminal, all compatible with Ecotec 46kW and Ecotec 65kW boilers. A boiler flue is the outlet through which steam and toxic gases resulting from the boiler's normal operation are safely expelled. Different models of flue are chosen to suit the type and location of the appliance.",Heating/Flue & Chimney Systems/Flue & Chimney Systems.csv -> Vaillant Ecomax standard flue kit 1mtr x 125mm,,Horizontal air/flue duct,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/71/70/NW-127170_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Vaillant_Flue_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,P118854,Baxi Multifit 2 standard horizontal flue including low profile elbow,Baxi,117.78,"With white aluminium on the main pipe, with black terminal end, this robust flue is the standard choice for normal installation through a domestic property wall. Featuring push seal jointing and positive fixing screws, build quality is superb and of the standard you would expect from Baxi & Potterton.",Heating/Flue & Chimney Systems/Flue & Chimney Systems.csv -> Baxi Multifit 2 standard horizontal flue including low profile elbow,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/88/54/118854_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Potterton_Gold_Tita_Guide.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,P119903,Baxi Multifit vertical flue terminal 60/100mm,Baxi,146.87,The Baxi & Potterton Multifit Vertical Flue Kit for safe extraction of exhaust gases from the boiler.,Heating/Flue & Chimney Systems/Flue & Chimney Systems.csv -> Baxi Multifit vertical flue terminal 60/100mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/99/03/119903_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Baxi_Multifit_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Baxi_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,P417416,"Center CB Terminal Guard round 9.5 x 6.5"" Stainless Steel",Center CB,20.49,"Designed to cover the terminal end of a horizontal flue, our Center terminal guards are easy to install and perfect for both condensing and non-condensing gas boiler applications.   Where the outlet is sited in a vulnerable position or to prevent entry of any matter, a Center terminal guard will provide robust protection of the outlet. The guard is manufactured using electropolished 304 stainless steel to provide a professional finish.","Heating/Flue & Chimney Systems/Flue & Chimney Systems.csv -> Center CB Terminal Guard round 9.5 x 6.5"" Stainless Steel",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/74/16/417416_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/CenterCB_417416_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_d/wg/CenterCB_417416_DWG.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,P117241,Grant adjustable vertical balanced flue kit 3mtr,Grant,528.2,"Grant’s low level balanced range of EZ-Flue systems have been developed to make the installation of Grant boilers both quick and simple, whilst ensuring trouble free operation – even in the most exposed site conditions. The round low level kits feature self-sealing ducts requiring no silicone or tape for joints, and the quick-fit connection arrangement ensures a perfect seal every time.  The kits are compatible with all Grant boilers, except external modules.",Heating/Flue & Chimney Systems/Flue & Chimney Systems.csv -> Grant adjustable vertical balanced flue kit 3mtr,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/72/41/117241_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/15/Grant_EZ-Fit_Product_Guide_May-2015.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,P131020,"Tower Flue plastic coated flue circular guard 11.1/2 x 9""",Tower Flue,20.52,Plastic coated circular guard for condensing boilers,"Heating/Flue & Chimney Systems/Flue & Chimney Systems.csv -> Tower Flue plastic coated flue circular guard 11.1/2 x 9""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/20/131020_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/si/on/Tower_Flue_Terminal_Guard_Dimension.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Tower_Flue_CGD_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/li/st/Tower_Flue_Terminal_Guard_Appli_List.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,P417422,"Center CB Terminal Guard round PDK 9.5 x 8"" Stainless Steel",Center CB,53.3,"Designed to cover the terminal end of a horizontal flue, our Center terminal guards are easy to install and perfect for both condensing and non-condensing gas boiler applications.   Where the outlet is sited in a vulnerable position or to prevent entry of any matter, a Center terminal guard will provide robust protection of the outlet. The guard is manufactured using electropolished 304 stainless steel to provide a professional finish.","Heating/Flue & Chimney Systems/Flue & Chimney Systems.csv -> Center CB Terminal Guard round PDK 9.5 x 8"" Stainless Steel",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/74/22/417422_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_d/wg/CenterCB_417422_DWG.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/CenterCB_417422_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,P105495,Worcester short extension kit 60/100mm,Worcester,35.6,"This Worcester 100 x 270mm extension kit with smooth finish is suitable for Greenstar CDI Classic 29, 34 and 38 and LPG 29, 34 and 38.",Heating/Flue & Chimney Systems/Flue & Chimney Systems.csv -> Worcester short extension kit 60/100mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/54/95/NW-105495_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Worcester_WM-gas-combi_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Worcester_Greenstar_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,PF87904,Deks Industries Dektite DFE104B pipe flashing 75-175mm Black (1),Deks Industries,23.04,"A handy all-in-one product, this Deks Industry 75 - 175mm pipe flashing is made of EPDM with a black finish.",Heating/Flue & Chimney Systems/Flue & Chimney Systems.csv -> Deks Industries Dektite DFE104B pipe flashing 75-175mm Black (1),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/79/05/F87903_F87905_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Dektite_Rubber_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,P417418,"Center CB Terminal Guard square 12"" x 12"" x 11"" Stainless Steel",Center CB,33.45,"Designed to cover the terminal end of a horizontal flue, our Center terminal guards are easy to install and perfect for both condensing and non-condensing gas boiler applications.   Where the outlet is sited in a vulnerable position or to prevent entry of any matter, a Center terminal guard will provide robust protection of the outlet. The guard is manufactured using electropolished 304 stainless steel to provide a professional finish.","Heating/Flue & Chimney Systems/Flue & Chimney Systems.csv -> Center CB Terminal Guard square 12"" x 12"" x 11"" Stainless Steel",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/74/18/417418_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/CenterCB_417418_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_d/wg/CenterCB_417418_DWG.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,P105918,Worcester flue terminal guard (for 12 32KW boilers) Stainless Steel,Worcester,34.38,"Offering fast, simple installation, this Worcester terminal guard for Vokera 100 M, 100 S and 50 M is made of tough, corrosion-resistant stainless steel.",Heating/Flue & Chimney Systems/Flue & Chimney Systems.csv -> Worcester flue terminal guard (for 12 32KW boilers) Stainless Steel,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/59/18/NW-105918_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Worcester_Greenstar_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,P182290,Deks Industries Seldek SDA101B number 1 flashing system 50-170mm (5 per box ),Deks Industries,29.54,"Used to install a flash on tile or slate roofs quickly and economically, this Deks Industries Seldek flashing system is suitable for 50 - 170mm flues. Made of aluminium, this weathering slate won't stain or corrode roofs or guttering. The watertight cone is simply trimmed to fit on-site to fit and has been cleverly locked to a high-grade and malleable 99.9% pure aluminium base.",Heating/Flue & Chimney Systems/Flue & Chimney Systems.csv -> Deks Industries Seldek SDA101B number 1 flashing system 50-170mm (5 per box ),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/22/92/NW-182290_182292_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Deks_Industries_Flashing_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Deks_Industrie_Flashing_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,P196074,Alpha concentric flue extension 1mtr,Alpha,62.12,"It may be tempting to opt for a low cost spare part, but do consider the impact that this may have. Counterfeit parts are typically substandard, manufactured from poor quality materials thus impacting on the design and strength of the product. In the event of a system failure or - in a worst case scenario, an accident - the ultimate responsibility lies with the service and repair engineer rather than the product which was ill-chosen for the application. It is always reccommended you go for an official part, such as this one.",Heating/Flue & Chimney Systems/Flue & Chimney Systems.csv -> Alpha concentric flue extension 1mtr,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/60/74/196073_196074_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Alpha_CD_Easy_Flue_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Alpha_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,P105144,Worcester Greenstar Oilfit plume management kit,Worcester,184.17,"This Worcester Greenstar Oilfit plume management kit is suitable for oil boiler use. Plume management kits are used to solve the issue of nuisance pluming, where the plume from a condensing boiler causes an obstruction in a garden, side passage or courtyard. The kit simply redirects the plume away from the property to a more convenient location.",Heating/Flue & Chimney Systems/Flue & Chimney Systems.csv -> Worcester Greenstar Oilfit plume management kit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/51/44/NW-105144_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Worcester_WM-gas-combi_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Worcester_Greenstar_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,P211201,Baxi Multifit 2 standard telescopic flue 60/100 Black,Baxi,118.32,"With white aluminium on the main extension, with Black terminal end, this robust telescopic flue is the standard choice for normal installation through a domestic property wall. Featuring push seal jointing and positive fixing screws, build quality is superb and of the standard you would expect from Baxi.",Heating/Flue & Chimney Systems/Flue & Chimney Systems.csv -> Baxi Multifit 2 standard telescopic flue 60/100 Black,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/12/02/211201_211202_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Potterton_Gold_Tita_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Baxi_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,P127153,Vaillant Ecomax II flue extension kit 470mm,Vaillant,46.86,A Vaillant Ecomax II 100 x 470mm flue extension kit for domestic boilers.,Heating/Flue & Chimney Systems/Flue & Chimney Systems.csv -> Vaillant Ecomax II flue extension kit 470mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/71/53/NW-127153_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Vaillant_Flue_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,P417421,"Center CB Terminal Guard square 18 x 8 x 18"" Stainless Steel",Center CB,42.53,"Designed to cover the terminal end of a horizontal flue, our Center terminal guards are easy to install and perfect for both condensing and non-condensing gas boiler applications.   Where the outlet is sited in a vulnerable position or to prevent entry of any matter, a Center terminal guard will provide robust protection of the outlet. The guard is manufactured using electropolished 304 stainless steel to provide a professional finish.","Heating/Flue & Chimney Systems/Flue & Chimney Systems.csv -> Center CB Terminal Guard square 18 x 8 x 18"" Stainless Steel",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/74/21/417421_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/CenterCB_417421_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_d/wg/CenterCB_417421_DWG.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
