,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Colour,Range,Warranty,Hazardous,Depth (mm),Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Attachment 3,Feature 4
10,PA05045,Center CB single function handset Chrome,Center,4.53,This simple Center CB 80mm single function shower handset is finished in a smart chrome.,Showering/Shower Parts and Accessories/Handheld Shower Heads/Handheld Shower Heads.csv -> Center CB single function handset Chrome,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/50/45/NW-A05045_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Center_CB_A05044_A05058_Instruction.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Nabis_A05033-A05060_Shower_Technical.pdf,,,,,,,,,,,,,
11,PA05613,Nabis Ossia/Galene shower handset,Nabis,5.08,This Nabis Ossia/Galene shower handset with smart chrome finish provides an easy upgrade to existing Ossia or Galene showers.,Showering/Shower Parts and Accessories/Handheld Shower Heads/Handheld Shower Heads.csv -> Nabis Ossia/Galene shower handset,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/75/02/597502_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/in/fo/Nabis_Bathroom_Tap_Info.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Nabis_Tap Spares Matrix_2021.pdf,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/li/st/Nabis_Bathroom_Spare_Parts_List.pdf,
12,PA05448,Nabis Regal A05448 hand shower,Nabis,8.17,This Nabis 100mm shower handset with chrome finish is designed for use with the A05403 deck-mounted bath/shower mixer.,Showering/Shower Parts and Accessories/Handheld Shower Heads/Handheld Shower Heads.csv -> Nabis Regal A05448 hand shower,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/74/85/597485_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Nabis_Tap Spares Matrix_2021.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/li/st/Nabis_Bathroom_Spare_List.pdf,,,,,,,,,,,,,
13,PA05038,* NAB ROUND SHOWER HANDSET,Nabis,4.92,"Made of robust plastic with a chrome finish, this Nabis round shower handset is supplied with a 1/2"" BSP male connection.",Showering/Shower Parts and Accessories/Handheld Shower Heads/Handheld Shower Heads.csv -> * NAB ROUND SHOWER HANDSET,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/50/38/NW-A05038_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Nabis_Shower_Technical.pdf,,,,,,,,,,,,,,
14,PJ98984,Grohe Grohtherm 500 500 Therm Exp Bar Vlv&Kit Lp,Grohe,99.99,"Supplied with a Tempesta 100 shower rail set with 620mm rail, the Grohe Grohtherm 500 1/2"" thermostatic shower mixer provides a single generous spray. Stylishly designed with a chrome finish, this shower works on a minimum recommend pressure of 0.5 bar.",Showering/Shower Parts and Accessories/Handheld Shower Heads/Handheld Shower Heads.csv -> Grohe Grohtherm 500 500 Therm Exp Bar Vlv&Kit Lp,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/89/84/NW-J98984_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Grohe_Shower_Mixer_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/J98984_Technical.pdf,,,,,,,,,,,,,
15,PD61484,Mira Logic shower head White,Mira,28.5,"The Mira Logic white four spray showerhead includes a water-saving economy setting for eco-friendly peace of mind. It’s easy to clean too, thanks to limescale-busting rub clean rubber nozzles while rubberised finger grips help maintain your hold even with soapy hands.",Showering/Shower Parts and Accessories/Handheld Shower Heads/Handheld Shower Heads.csv -> Mira Logic shower head White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/14/84/NW-D61484_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Mira_Shower_Access_Fittings_Brochure.pdf,,,,,,,,,,,,,,
16,PA05482,Nabis Regal A05482 hand shower,Nabis,18.89,This Nabis replacement shower handset with chrome finish is suitable for the A05430 bath/shower mixer.,Showering/Shower Parts and Accessories/Handheld Shower Heads/Handheld Shower Heads.csv -> Nabis Regal A05482 hand shower,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/75/48/597548_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Nabis_Tap Spares Matrix_2021.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/li/st/Nabis_Bathroom_Spare_List.pdf,,,,,,,,,,,,,
17,PQ97150,Hansgrohe Crometta 85 28561000 green eco smart hand shower,Hansgrohe,40.53,"Offering a large 85mm diameter and single spray pattern, this Hansgrohe Crometta 85 handheld shower is a convenient choice for rinsing tasks. Designed with internal water conduction and featuring an easy to clean dirt filter, the Crometta shower is finished in a glossy chrome plating.",Showering/Shower Parts and Accessories/Handheld Shower Heads/Handheld Shower Heads.csv -> Hansgrohe Crometta 85 28561000 green eco smart hand shower,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/71/50/NW-Q97150_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Hansgrohe_28561000_instruction.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Hansgrohe_28561000_Technical.pdf,,,,,,,,,,,,,
18,PD66981,Mira Advance SPR advance showerhead,Mira,56.58,"This Mira Advance 3 spare Mode L21A showerhead headset includes a key for spray plate removal, allowing for easier cleaning.",Showering/Shower Parts and Accessories/Handheld Shower Heads/Handheld Shower Heads.csv -> Mira Advance SPR advance showerhead,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/69/81/D66981_wm.jpg,,,Black/White,Advance,1 year,N,N/A,4.1876.147,Handset,N,3 spray modes,Wipe clean nozzles for easy limescale removal,Removable spray plate to allow deep cleaning (key tool provided),,1 year warranty
19,PD61465,Mira Response shower head Chrome Plated,Mira,33.41,"The chrome Mira Response showerhead offers four generous spray modes for a shower to suit your mood. Easy to clean, the Response has limescale-resistant rub-clean nozzles.",Showering/Shower Parts and Accessories/Handheld Shower Heads/Handheld Shower Heads.csv -> Mira Response shower head Chrome Plated,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/14/65/NW-D61465_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Mira_Shower_Access_Fittings_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Mira_ResponseShowerFitting_Install.pdf,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Mira_ResponseSF_Installation.pdf,
20,PD61771,Mira Nectar single mode shower head Chrome Plated,Mira,33.41,The simple Mira Nectar chrome single spray showerhead incorporates a large 90mm spray plate for generous coverage and easy cleaning functions. It has a universal fit and will work on any shower system.,Showering/Shower Parts and Accessories/Handheld Shower Heads/Handheld Shower Heads.csv -> Mira Nectar single mode shower head Chrome Plated,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/17/71/NW-D61771_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Mira_Shower_Access_Fittings_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Mira_Nectar_Showerhead_Install.pdf,,,,,,,,,,,,,
21,PD61770,Mira Nectar single mode shower head White,Mira,22.61,The simple Mira Nectar white single spray showerhead incorporates a large 90mm spray plate for generous coverage and easy cleaning functions. It has a universal fit and will work on any shower system.,Showering/Shower Parts and Accessories/Handheld Shower Heads/Handheld Shower Heads.csv -> Mira Nectar single mode shower head White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/17/70/NW-D61770_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Mira_Shower_Access_Fittings_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Mira_Nectar_Showerhead_Install.pdf,,,,,,,,,,,,,
22,PD50662,Aqualisa Varispray 215023 handset Chrome Plated,Aqualisa,124.87,"A smart, chrome-plated handheld unit, this Aqualisa Varispray 90mm showerhead offers three generous spray patterns - full, relaxer and focus.",Showering/Shower Parts and Accessories/Handheld Shower Heads/Handheld Shower Heads.csv -> Aqualisa Varispray 215023 handset Chrome Plated,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/06/62/NW-D50662_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Aqualisa_Brochure.pdf,,,,,,,,,,,,,,
23,PC15705,Grohe Tempesta 100 handshower,Grohe,18.4,The Grohe Tempesta 100 handheld shower offers Grohe's trademark Rain spray for a refreshing shower delivered via balanced DreamSpray technology. This handset has a StarLight chrome finish and easy-clean limescale-resistant nozzles for effortless maintenance.,Showering/Shower Parts and Accessories/Handheld Shower Heads/Handheld Shower Heads.csv -> Grohe Tempesta 100 handshower,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/57/05/NW-C15705_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Grohe_28214003_Technical.pdf,,,,,,,,,,,,,,
24,PA05474,Nabis Regal A05474 Spare Square Shower Handset,Nabis,8.38,This Nabis replacement shower handset with chrome finish is suitable for the A05423 and A05428 bath/shower mixers.,Showering/Shower Parts and Accessories/Handheld Shower Heads/Handheld Shower Heads.csv -> Nabis Regal A05474 Spare Square Shower Handset,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/75/47/597547_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Nabis_Tap Spares Matrix_2021.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/li/st/Nabis_Bathroom_Spare_List.pdf,,,,,,,,,,,,,
25,PC98096,Ideal Standard Sandringham 21 fixed height wall bracket shower head chrome,Ideal Standard,3.93,"Chrome-plated, this Ideal Standard Sandringham21 fixed height hand spray showerhead bracket is part of the wider Sandringham21 bathroom range.",Showering/Shower Parts and Accessories/Handheld Shower Heads/Handheld Shower Heads.csv -> Ideal Standard Sandringham 21 fixed height wall bracket shower head chrome,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/80/96/NW-C98096_wm.jpg,,,Chrome,Sandringham21,2 years,N,47,B9908AA,Hand Spray holder,N,"Stylish,Designs available for both public and private bathrooms",,,,
26,PD63754,Ideal Standard Idealrain S3 3 function shower kit handset 80mm Chrome Plated,Ideal Standard,74.0,"The Ideal Standard Idealrain S3 shower kit includes a 600mm chrome sliding rail, 80mm three function handset, hose and soap dish.",Showering/Shower Parts and Accessories/Handheld Shower Heads/Handheld Shower Heads.csv -> Ideal Standard Idealrain S3 3 function shower kit handset 80mm Chrome Plated,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/37/54/NW-D63753_D63754_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/IS_B9410_Technical.pdf,,,,,,,,,,,,,,
27,PD61761,Mira Beat single mode shower head White,Mira,21.62,"An effortless shower upgrade, the Mira Beat single spray showerhead combines a unique spray experience with a smart white, easy-clean finish.",Showering/Shower Parts and Accessories/Handheld Shower Heads/Handheld Shower Heads.csv -> Mira Beat single mode shower head White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/17/61/NW-D61761_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Mira_Shower_Access_Fittings_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Mira_Beat_Showerhead_Fitting_Install.pdf,,,,,,,,,,,,,
28,PD61763,Mira Beat multi mode shower head White,Mira,31.45,"Delivering a unique spray experience, the luxuriant Mira Beat four spray showerhead is compatible with all hoses and works on any system. Finished in clean white, this showerhead is easy to maintain thanks to limescale-busting rub-clean nozzles.",Showering/Shower Parts and Accessories/Handheld Shower Heads/Handheld Shower Heads.csv -> Mira Beat multi mode shower head White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/17/63/NW-D61763_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Mira_Shower_Access_Fittings_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Mira_Beat_Showerhead_Fitting_Install.pdf,,,,,,,,,,,,,
29,PA05051,* CENTER SHOWER HANDSET AND WALL BRACKET,Center CB,10.8,"Finished in chrome, this Center CB 80mm single function shower handset is supplied with a 1.5M stainless steel shower hose and wall bracket.",Showering/Shower Parts and Accessories/Handheld Shower Heads/Handheld Shower Heads.csv -> * CENTER SHOWER HANDSET AND WALL BRACKET,,HandsetWall bracketShower hose,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/50/51/NW-A05051_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/rc/tn/Center_CB_A05044_A05058_Fit_Instrctn.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Nabis_Shower_Technical.pdf,,,,,,,,,,,,,
