,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Attachment 5,Colour,Flow Rate,Min System Pressure Cold (Bar),Operating Temperature,Projection Depth,Range,Style,Warranty,Hazardous,Sector,Depth (mm),Pressure (Low / Med / High),Tank,Mains,Cartridge,Spout Type,Fitting / Mounting Type,Handle Type,Material,Number of Tap Holes,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Feature 11,Feature 12,Feature 13
10,PD61183,Rada Thermotap-3 thermostatic mixing tap with long lever,Rada,302.44,"Easy to use, the Rada Thermotap-3L thermostatic mixing tap has a 150mm long lever control offering single sequential lever control from cold through to a pre-set maximum temperature. Installation of this deck-mounted tap is easy and quick while day-to-day care is equally simple thanks to the durable easy-clean chrome finish.",Commercial Plumbing/Commercial Brassware/Commercial Brassware.csv -> Rada Thermotap-3 thermostatic mixing tap with long lever,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/11/83/NW-D61182_D61183_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/wi/ng/Rada_Thermotap_3_Drawing.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/at/ic/Rada_Thermotap_3_Schematic.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Rada_Thermotap_3_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Rada_Thermotap_3_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,PC66102,Saracen SARACEN INFRARED BASIN MIXER mains supply infra red basin mixer,Saracen,162.16,"Allowing for hands-free operation, the Saracen infrared basin mixer is designed to be used in applications where cross-contamination could be a problem. Supporting infection control measures, this tap employs an infrared proximity sensor and has an automatic switch-off to help save on water waste. This mixer tap is suitable for connection to a mains power supply only.",Commercial Plumbing/Commercial Brassware/Commercial Brassware.csv -> Saracen SARACEN INFRARED BASIN MIXER mains supply infra red basin mixer,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/61/02/NW-C66102_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Saracen_C66102_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Saracen_C66102_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,PB62122,Ideal Standard Markwik 21+ tap hole panel mounted with lever operation and spout,Ideal Standard,623.56,"Offering sequential control, the Ideal Standard Markwik 21+ thermostatic basin mixer with lever draws comfortably mixed hot and cold water with each use. Designed for safety, this smart mixer uses insulated technology for a safe-touch surface as well as providing a built-in thermal cleanse and BioGuard outlet for a reduced risk of contamination. Suitable for use in clinical settings, this mixer tap has a detachable spout for sterilisation using an autoclave or washer disinfector.",Commercial Plumbing/Commercial Brassware/Commercial Brassware.csv -> Ideal Standard Markwik 21+ tap hole panel mounted with lever operation and spout,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/21/22/NW-B62122_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/IS_Markwik_21+_Mixer_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/IS_Spares_Catalogue_2019.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/IS_Markwik_21+_A6682AA_Tech.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,PC29082,Ideal Standard Starlite 1 tap hole hairdressers mixer tap and kit Chrome Plated,Ideal Standard,224.85,"Designed for use in salons, the Ideal Standard Starlite hairdresser's mixer includes sturdy metal handles, a flexible hose and metal sleeve and a handspray for targeted rinsing. Hardwearing, this deck-mounted mixer is finished in glossy chrome.",Commercial Plumbing/Commercial Brassware/Commercial Brassware.csv -> Ideal Standard Starlite 1 tap hole hairdressers mixer tap and kit Chrome Plated,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/90/82/NW-C29082_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/IS_Starlite_S7450AA_Tech.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,PC16907,Delabie Tempomatic Mix 3 bath shower mixer (MIX3) with stop cock 15mm 6v,Delabie,423.79,"Designed for safety, hygiene and economy, the Delabie Tempomatic Mix 3 electronic bath/shower mixer tap uses a movement sensor to predict just when to turn on. Ideal for users with reduced mobility or for use in commercial premises where water waste is a concern, this deck-mounted 120mm tap is fitted with a scale-resistant flow straightener and reduced stagnation solenoid valve for safer, cleaner operation and robust longevity. An optional anti-bacterial duty flush and anti-blocking security measures are also included.",Commercial Plumbing/Commercial Brassware/Commercial Brassware.csv -> Delabie Tempomatic Mix 3 bath shower mixer (MIX3) with stop cock 15mm 6v,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/69/07/NW-C16907_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Delabie_Tempomatic_Mix_3_4_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Delabie_Tempomatic_Mix_3_Mixer_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Delabie_US_Eng_49200615_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Delabie_NT490_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,PJ23369,Ideal Standard Avon 21 self closing basin mixer tap Chrome Plated,Ideal Standard,396.97,"The smartly designed Ideal Standard Avon 21 washbasin mixer with self closing push button is ideal for commercial use. This chrome deck-mounted tap incorporates an anti-vandal design, flow regulator for reduced waste and variable temperature control.",Commercial Plumbing/Commercial Brassware/Commercial Brassware.csv -> Ideal Standard Avon 21 self closing basin mixer tap Chrome Plated,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/33/69/NW-J23369_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/IS_Avon_21_B8861AA_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/14/IS_Brassware_Brochur_2014.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,PC16906,TEMPOMATIC MIX 4 BASM 6V BAT15MM +STOPCK,Delabie,333.28,"Offering touch-free hygiene, the Delabie Tempomatic Mix 4 electronic tap incorporates a movement sensor for waste-free delivery and a range of features designed to promote safe, clean use. This chrome-plated, deck-mounted tap includes a scale-resistant flow straightener and reduced stagnation solenoid valve as well as the option of an antibacterial duty flush.",Commercial Plumbing/Commercial Brassware/Commercial Brassware.csv -> TEMPOMATIC MIX 4 BASM 6V BAT15MM +STOPCK,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/69/06/NW-C16906_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Delabie_US_Eng_49000615_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Delabie_NT490_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,PD64414,Intatec Non Concussive basin mounted non-concealed taps,Intatec,72.09,"Designed for use with thermostatic mixing valves, this pair of Intatec 110mm height basin-mounted taps combine manual operation with automatic closing, helping to reduce water waste. Easy to operate via simple knobs, these taps offer convenience for those with limited mobility and are suitable for use in public changing rooms and bathrooms.",Commercial Plumbing/Commercial Brassware/Commercial Brassware.csv -> Intatec Non Concussive basin mounted non-concealed taps,,2x basin mounted taps,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/44/14/NW-D64414_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Intatec_NC162CP_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Intatec_NC162CP_Spare_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Intatec_NC162CP_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,PN24072,Delabie Tempomatic 3 basin tap 15mm 6v,Delabie,389.58,"Offering touch-free hygiene, the Delabie Tempomatic 3 electronic tap incorporates a movement sensor for waste-free delivery and a range of features designed to promote safe, clean use. This chrome-plated, deck-mounted tap includes a scale-resistant flow straightener and reduced stagnation solenoid valve as well as the option of an antibacterial duty flush.",Commercial Plumbing/Commercial Brassware/Commercial Brassware.csv -> Delabie Tempomatic 3 basin tap 15mm 6v,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/40/72/NW-N24072_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Delabie_US_Eng_442006_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Delabie_NT490_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,PD27226,Bristan Infrared infra red automatic swan basin spout,Bristan,270.0,"Designed to support infection control measures, this Bristan Infrared swan necked basin spout offers hygienic and convenient touch-free operation. This motion sensor tap is suitable for high pressure plumbing systems and is compatible with mains or battery power, providing a range of installation options. Made of highly robust brass with a chrome finish, this deck-mounted tap has automatic timed turn-off for water economy.",Commercial Plumbing/Commercial Brassware/Commercial Brassware.csv -> Bristan Infrared infra red automatic swan basin spout,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/72/26/NW-D27226_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/D27226_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ar/es/D27226_Spares.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Bristan_Infrared_Spout_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Bristan_TapsShowersAccers_Brchr_2020.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,PC98032,Ideal Standard Sensorflow 21 basin electronic spout with exposed mains box 230mm,Ideal Standard,445.06,"The compact, water saving Ideal Standard Sensorflow 21 tubular panel-mounted spout provides sensor operated hands-free electronic hand washing with vandal-resistant build for practical public use.",Commercial Plumbing/Commercial Brassware/Commercial Brassware.csv -> Ideal Standard Sensorflow 21 basin electronic spout with exposed mains box 230mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/80/33/NW-C98032_C98033_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/IS_Spares_Catalogue_2019.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/IS_Sensorflow21_Comapct_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/IS_Sensorflow_21_A4849AA_Tech.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
