,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Colour,Hazardous,Bend (in degrees),Material,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Attachment 1,Attachment 2,Attachment 3,Dimensions (L x W x D)
10,P800151,"Stadium BM72/1 louvre ventilator 10"" x 7""",Stadium,3.78,"Measuring 10 x 7"", this Stadium BM72/1 face-fitting fixed louvred grille is suitable for plastering into a wall.","Bathrooms and Kitchens/Bathroom Ventilation/Bathroom Ventilation.csv -> Stadium BM72/1 louvre ventilator 10"" x 7""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/01/51/NW-800151_wm.jpg,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Stadium_Product_Guide.pdf,,,
11,PG76780,Domus EasiPipe 100 circular reducer 125-100mm,Domus,5.32,Part of the rigid duct range this Domus EasiPipe 100 round-to-round in-line adapter makes changing to an alternative ducting size or profile simple.,Bathrooms and Kitchens/Bathroom Ventilation/Bathroom Ventilation.csv -> Domus EasiPipe 100 circular reducer 125-100mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/67/80/G76780_wm.jpg,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Domus_Ventilation_Guide_2020.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Polypipe_Domus_Brochure.pdf,,
12,PG76769,Domus EasiPipe 100 adjustable hose clip 100mm,Domus,1.94,"This aluminium Domus EasiPipe 100 diameter adjustable hose clip promises a secure, air-tight connection for flexible hose.",Bathrooms and Kitchens/Bathroom Ventilation/Bathroom Ventilation.csv -> Domus EasiPipe 100 adjustable hose clip 100mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/67/69/G76769_wm.jpg,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Domus_Ventilation_Guide_2020.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Polypipe_Domus_Brochure.pdf,,
13,PG75926,Domus Supertube flat channel end cap,Domus,6.4,"This Domus SuperTube rigid duct end cap is fast and simple to install, securely terminating a duct run with an air-tight seal.",Bathrooms and Kitchens/Bathroom Ventilation/Bathroom Ventilation.csv -> Domus Supertube flat channel end cap,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/59/26/G75926_wm.jpg,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Domus_Ventilation_Guide_2020.pdf,,,
14,P800247,"Stadium BM473 plastic hit & miss vents 9"" x 3""",Stadium,2.58,These Stadium 241 x 89mm hit and miss ventilators are made of white plastic and are supplied with integral flyscreens.,"Bathrooms and Kitchens/Bathroom Ventilation/Bathroom Ventilation.csv -> Stadium BM473 plastic hit & miss vents 9"" x 3""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/02/47/NW-800247_wm.jpg,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Stadium_Product_Guide.pdf,,,
15,PG75836,Domus EasiPipe 150 straight pipe connector 150mm White,Domus,10.09,The Domus EasiPipe 150 rigid duct straight connector is designed to help you to achieve the highest possible energy efficiency from the brand's ventilation appliances. It is the ideal choice for joining multiple duct lengths into longer runs or for connecting directly to an MVHR or MEV whole house appliance.,Bathrooms and Kitchens/Bathroom Ventilation/Bathroom Ventilation.csv -> Domus EasiPipe 150 straight pipe connector 150mm White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/58/36/G75836_wm.jpg,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Domus_Ventilation_Guide_2020.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Polypipe_Domus_Brochure.pdf,,
16,PG15976,Domus single metal airbrick 220 x 126mm Brown,Domus,110.4,"Non-combustible, the Domus Ventilation Solis 220 x 126mm single metal air brick in brown is designed to maintain low resistance while complying with the latest standards found in Approved Document B (fire safety).",Bathrooms and Kitchens/Bathroom Ventilation/Bathroom Ventilation.csv -> Domus single metal airbrick 220 x 126mm Brown,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/59/76/G15976_wm.jpg,Brown,N,,Metal,SOL-AB-220X126B,Non Combustible Metal Air Brick,N,Low resistance,Compatible with Domus Rigid and Thermal ducting ranges,Air brick material 1.5mm galvanised steel meets fire class A1 ‘no contribution to fire',Non-combustible as set out in Approved Document B (fire safety),"Air brick powder coating pre-qualified to EN13501-1 classification A2-s1,d0",,,,,,
17,PG75900,"Domus Supertube super vertical 45 degree bend 5"" 125mm",Domus,17.83,This 45° vertical-angled Domus SuperTube rigid duct bend is designed to help you to achieve the highest possible energy efficiency from the brand's ventilation appliances.,"Bathrooms and Kitchens/Bathroom Ventilation/Bathroom Ventilation.csv -> Domus Supertube super vertical 45 degree bend 5"" 125mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/59/00/G75900_wm.jpg,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Domus_Ventilation_Guide_2020.pdf,,,
18,PG75895,"Domus Supertube super 45deg horizontal bend 5"" White",Domus,24.44,This 45° horizontal-angled Domus SuperTube rigid duct bend is designed to help you to achieve the highest possible energy efficiency from the brand's ventilation appliances.,"Bathrooms and Kitchens/Bathroom Ventilation/Bathroom Ventilation.csv -> Domus Supertube super 45deg horizontal bend 5"" White",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/58/95/G75895_wm.jpg,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Domus_Ventilation_Guide_2020.pdf,,,
19,PG75908,Domus MegaDuct super tube to MD220 adapter,Domus,6.24,Part of the rigid duct range this Domus MegaDuct rectangular-to-rectangular in-line adapter makes changing to an alternative ducting profile simple.,Bathrooms and Kitchens/Bathroom Ventilation/Bathroom Ventilation.csv -> Domus MegaDuct super tube to MD220 adapter,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/59/08/G75908_wm.jpg,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Domus_Ventilation_Guide_2020.pdf,,,
20,PG15969,Domus metal sleeve 220 x 126mm 500mm,Domus,40.98,"Measuring 220 x 126 x 500mm, the Domus metal duct sleeve is designed to be used with the brand's Solis air brick.",Bathrooms and Kitchens/Bathroom Ventilation/Bathroom Ventilation.csv -> Domus metal sleeve 220 x 126mm 500mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/90/46/579046_wm.jpg,Metal / Silver,N,,Metal,SOL-DUCT-220X126,Non-Combustible Metal Duct,N,Non-combustible design,Metal with untreated finish,For use with Solis air brick,,,,,,,,
21,PG82280,Domus Supertube 45deg vertical bend ducting insulation,Domus,4.13,"This Domus SuperTube rigid duct insulation with 45° vertical bend is part of a patented system designed to significantly improve domestic thermal insulation ducting, reducing heat loss and preventing condensation.",Bathrooms and Kitchens/Bathroom Ventilation/Bathroom Ventilation.csv -> Domus Supertube 45deg vertical bend ducting insulation,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/22/80/G82280_wm.jpg,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Domus_Ventilation_Guide_2020.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/Domus_SynthosSilver_MSDS.pdf,,
22,PG76729,"Domus Supertube horizontal tail piece 5""",Domus,38.45,"The Domus SuperTube rigid duct horizontal T-piece is designed to help you to achieve the highest possible energy efficiency from the brand's ventilation appliances while providing additional flexibility, allowing you to branch off and incorporate additional duct runs.","Bathrooms and Kitchens/Bathroom Ventilation/Bathroom Ventilation.csv -> Domus Supertube horizontal tail piece 5""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/67/29/G76729_wm.jpg,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Domus_Ventilation_Guide_2020.pdf,,,
23,PG76881,Domus EasiPipe 125 elbow bend 125mm,Domus,15.32,A Domus EasiPipe 125 rigid duct offset rotating spigot plenum for use with EasiPipe rigid ducts.,Bathrooms and Kitchens/Bathroom Ventilation/Bathroom Ventilation.csv -> Domus EasiPipe 125 elbow bend 125mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/68/81/G76881_wm.jpg,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Domus_Ventilation_Guide_2020.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Polypipe_Domus_Brochure.pdf,,
24,PG76295,Domus MegaDuct equal tail piece MD220,Domus,28.99,"The Domus MegaDuct rigid duct horizontal T-piece is designed to help you to achieve the highest possible energy efficiency from the brand's ventilation appliances while providing additional flexibility, allowing you to branch off and incorporate additional duct runs.",Bathrooms and Kitchens/Bathroom Ventilation/Bathroom Ventilation.csv -> Domus MegaDuct equal tail piece MD220,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/62/95/G76295_wm.jpg,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Domus_Ventilation_Guide_2020.pdf,,,
25,PG76990,Domus Supertube flat channel clip 125mm,Domus,2.04,"This Domus SuperTube rigid duct clip is a useful part for quick, simple installation in a duct system, securely holding duct runs in place and preventing them from bending.",Bathrooms and Kitchens/Bathroom Ventilation/Bathroom Ventilation.csv -> Domus Supertube flat channel clip 125mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/69/90/G76990_wm.jpg,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Domus_Ventilation_Guide_2020.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Polypipe_Domus_Brochure.pdf,,
26,PG75660,Domus MegaDuct 90deg horizontal bend,Domus,18.47,This 90° horizontal-angled Domus MegaDuct rigid duct bend is designed to help you to achieve the highest possible energy efficiency from the brand's ventilation appliances.,Bathrooms and Kitchens/Bathroom Ventilation/Bathroom Ventilation.csv -> Domus MegaDuct 90deg horizontal bend,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/56/60/G75660_wm.jpg,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Domus_Ventilation_Guide_2020.pdf,,,
27,PG76113,Domus Supertube thermal shell for 550,Domus,6.38,"This Domus SuperTube rigid duct insulation with 90° horizontal bend is part of a patented system designed to significantly improve domestic thermal insulation ducting, reducing heat loss and preventing condensation.",Bathrooms and Kitchens/Bathroom Ventilation/Bathroom Ventilation.csv -> Domus Supertube thermal shell for 550,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/61/13/G76113_wm.jpg,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Domus_Ventilation_Guide_2020.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/Domus_SynthosSilver_MSDS.pdf,,
28,PG82281,Domus Supertube thermal shell 204 x 60mm (Pair),Domus,6.37,"This Domus SuperTube rigid duct insulation with fixed spigot plenus is part of a patented system designed to significantly improve domestic thermal insulation ducting, reducing heat loss and preventing condensation.",Bathrooms and Kitchens/Bathroom Ventilation/Bathroom Ventilation.csv -> Domus Supertube thermal shell 204 x 60mm (Pair),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/22/81/G82281_wm.jpg,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Domus_Ventilation_Guide_2020.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/Domus_SynthosSilver_MSDS.pdf,,
29,PG76705,Domus System 100 90deg system horizontal bend,Domus,5.43,This 90° horizontal-angled Domus System 100 rigid duct bend is designed to help you to achieve the highest possible energy efficiency from the brand's ventilation appliances.,Bathrooms and Kitchens/Bathroom Ventilation/Bathroom Ventilation.csv -> Domus System 100 90deg system horizontal bend,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/67/05/G76705_wm.jpg,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Domus_Ventilation_Guide_2020.pdf,,,
30,PG75897,Domus MegaDuct MD220 45deg horizontal bend,Domus,16.61,This 45° horizontal-angled Domus MegaDuct rigid duct bend is designed to help you to achieve the highest possible energy efficiency from the brand's ventilation appliances.,Bathrooms and Kitchens/Bathroom Ventilation/Bathroom Ventilation.csv -> Domus MegaDuct MD220 45deg horizontal bend,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/58/97/G75897_wm.jpg,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Domus_Ventilation_Guide_2020.pdf,,,
