,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Pack Quantity,Range,Hazardous,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Attachment 1,Attachment 2,Attachment 3,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Feature 11,Feature 12,Feature 13,Feature 14,Feature 15,Attachment 4,Attachment 5,Colour,Diameter,Material,Size,Connection Type,Approvals,Equal / Unequal,End Connection A size,End Connection C size,Connection Type 1,Depth (mm),Material Type,Warranty,Finish,Weight,Dimensions mm (H x W x D),Design Type,Shape,Fittings Included
10,PB92914,Thomas Dudley Universal Syphon Repair Kit,Thomas Dudley,41.0,This Dudley Thomas siphon repair kit includes an adjustable siphon and telescopic compact float valve as well as a cistern lever.,Parts and Spares/sub_categories/Plumbing Parts and Spares/Plumbing Parts and Spares.csv -> Thomas Dudley Universal Syphon Repair Kit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/29/13/2 -B92913_wm.jpg,,,N,372687,Repair Kit,N,Turbo Edge fits all syphon ceramic and plastic WC cisterns,Height adjustable from 7 ½” (191mm) to 9 ½” (241mm),Retrofits onto existing Dudley downlegs,"Turbo 88 (adjustable and fixed heights), S44R and S1-11 Syphon downlegs",,,,The best performing syphon that fits all cisterns,User-friendly light-tough operation,"Fully captive yellow fixing pin does not need to be removed to install syphon, easing installation",Water saving Duoflush as standard,Convertible to single flush,6/7/9 litre volume adjustment guaranteeing optimum flush performance,WRAS approved product,"Hydroflo Compact Float will not catch on tight cistern installations where the inlet valve is close to the syphon or outlet valve, ensuring perfect operation","Professional ½"" brass tail",Water saving delay fill action,Patented integrated quiet fill action,,,,,,,,,,,,,,,,,,,,,
11,PB92104,Thomas Dudley Turbo 88 telescopic duo flush syphon 191-241mm,Thomas Dudley,19.75,"This Thomas Dudley Turbo 88 high adjustable two part siphon is supplied as standard in Dudley Tri-Shell cisterns and available as an optional extra in many others so it's ideal for retrofit and replacement. With its two part design there's no need to disconnect the water supply or take the cistern apart, simply pull out the siphon body for service in under five minutes.",Parts and Spares/sub_categories/Plumbing Parts and Spares/Plumbing Parts and Spares.csv -> Thomas Dudley Turbo 88 telescopic duo flush syphon 191-241mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/21/05/NW-B92100_B92105_wm.jpg,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Thomas_Dudley_Product_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,PB12973,Dudley Turbo Edge compact syphon,Dudley,21.75,"Extremely compact, the Dudley Turbo Edge adjustable siphon fits into just about any siphon flush ceramic or plastic WC cistern with no loss of flush performance. This versatile siphon is easy to fit, even in challenging locations, and offers hassle-free servicing.",Parts and Spares/sub_categories/Plumbing Parts and Spares/Plumbing Parts and Spares.csv -> Dudley Turbo Edge compact syphon,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/29/73/NW-B12973_wm.jpg,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Dudley_Turbo_Edge_Syphon_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/he/et/Thomas Dudley_B12973_Datasheet.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Dudley_TurboEdge_Syphon_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,PB92115,Thomas Dudley Hydroflo 324301 telescopic delay bottom inlet valve,Thomas Dudley,21.99,This Thomas Dudley Hydroflo telescopic delay fill bottom inlet valve with brass tail is suitable for low and high pressure water supplies and has been pressure tested from 0.1 - 20 bar.,Parts and Spares/sub_categories/Plumbing Parts and Spares/Plumbing Parts and Spares.csv -> Thomas Dudley Hydroflo 324301 telescopic delay bottom inlet valve,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/21/15/B92115_wm.jpg,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Thomas_Dudley_Product_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,P171088,"Fluidmaster Pro Series side entry float valve 1/2"" shank Brass",Fluidmaster,14.75,"A favourite of professional plumbers, the Fluidmaster Pro Series side entry fill valve with heavy duty brass shank fills a toilet tank with water from the water supply line after flushing. More efficient and easier to install than a ballcock, this valve maximises toilet performance and saves on water.","Parts and Spares/sub_categories/Plumbing Parts and Spares/Plumbing Parts and Spares.csv -> Fluidmaster Pro Series side entry float valve 1/2"" shank Brass",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/88/NW-171088_wm.jpg,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/13/Fluidmaster_Opella_Catalogue_2013.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/171088_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/va/lv/Fluidmaster_Toilet_Symptom_Fill_Valv.pdf,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/18/Fluidmaster_UK_Catalogue_2018.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/lu/nk/Fluidmaster_Toilet_Symptom_Clunk.pdf,,,,,,,,,,,,,,,,,,,
15,P257471,Center WC cistern close coupling kit,Center,6.25,"Containing all you'll need for a securely watertight toilet connection, this Center WC cistern close coupling kit incorporates a 1 1/2"" cranked steel plate, 1 1/2"" rubber doughnut washer and nuts, bolts and washers.",Parts and Spares/sub_categories/Plumbing Parts and Spares/Plumbing Parts and Spares.csv -> Center WC cistern close coupling kit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/74/71/257471_wm.jpg,,,N,PPSCCK374425,Cistern Kit,N,For close-coupled WCs,"For cisterns with 1 1/2"" outlet",Includes cranked steel plate,"With nuts, bolts and washers",,,,Includes doughnut washer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,PB90530,Thomas Dudley Dudley wall duct lever kit A for up to 390mm Chrome,Thomas Dudley,21.0,This Thomas Dudley lever assembly with lift arm kit is suitable for walls and ducts up to 390mm.,Parts and Spares/sub_categories/Plumbing Parts and Spares/Plumbing Parts and Spares.csv -> Thomas Dudley Dudley wall duct lever kit A for up to 390mm Chrome,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/05/30/NW-B90530_wm.jpg,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Thomas Dudley_B90530_User Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/TDudley_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Thomas Dudley_B90530_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,PB92116,Thomas Dudley Hydroflo 324298 delay bottom side inlet valve,Thomas Dudley,16.99,This Thomas Dudley Hydroflo side inlet valve with delay fill tail is suitable for low and high pressure water supplies and has been pressure tested from 0.1 - 20 bar.,Parts and Spares/sub_categories/Plumbing Parts and Spares/Plumbing Parts and Spares.csv -> Thomas Dudley Hydroflo 324298 delay bottom side inlet valve,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/21/16/B92116_wm.jpg,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Thomas_Dudley_Product_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,P103681,"Fluidmaster Pro Series dual flush split adjustable syphon 7.1/12 -9.1/2""",Fluidmaster,19.25,"The Fluidmaster Pro Series universal dual split flush siphon is a fit for nearly all 1 1/2"" lever operated toilet cisterns.","Parts and Spares/sub_categories/Plumbing Parts and Spares/Plumbing Parts and Spares.csv -> Fluidmaster Pro Series dual flush split adjustable syphon 7.1/12 -9.1/2""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/36/81/NW-103681_wm.jpg,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Fluidmaster_Pro_Ultra_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/18/Fluidmaster_UK_Catalogue_2018.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,PD32484,Ideal Standard cistern cover button dual flush long ratchet,Ideal Standard,14.99,This Ideal Standard dual push button is designed for dual flush Armitage Shanks toilet models. It includes two metal elements for a variable flush.,Parts and Spares/sub_categories/Plumbing Parts and Spares/Plumbing Parts and Spares.csv -> Ideal Standard cistern cover button dual flush long ratchet,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/24/84/NW-D32484_wm.jpg,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/IS_Spares_Catalogue_2019.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,P257472,"Center internal flushpipe connector 1 1/2""",Center,3.77,"Simply pushing on for a reliable leak-proof seal, the Center 1 1/2"" internal flush pipe connector is for use in internal WC plumbing. Manufactured in robust PVC in a white finish to suit most bathroom suites, this standard size connector is designed to fit most sanitaryware.","Parts and Spares/sub_categories/Plumbing Parts and Spares/Plumbing Parts and Spares.csv -> Center internal flushpipe connector 1 1/2""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/74/72/257472_wm.jpg,,,N,PPSFLS374452,Flush Pipe Connector,N,PVC construction,White colour,For internal use,Suitable for 38mm connections,,,,Suits most sanitaryware,Easy installation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,P171192,Fluidmaster Pro Series compact syphon-8,Fluidmaster,7.99,"The Fluidmaster Pro Series 8"" dual flush compact siphon is robust, easy to use and provides simple installation and servicing with high fault tolerance.",Parts and Spares/sub_categories/Plumbing Parts and Spares/Plumbing Parts and Spares.csv -> Fluidmaster Pro Series compact syphon-8,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/11/92/NW-171192_wm.jpg,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/13/Fluidmaster_Opella_Catalogue_2013.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/18/Fluidmaster_UK_Catalogue_2018.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,PB92913,Thomas Dudley Unviersal Flush Valve Repair Kit,Thomas Dudley,35.75,"Containing a Victoria dual flush valve and compact telescopic float valve, this Dudley Thomas flush valve repair kit also contains fixings and a close coupling kit.",Parts and Spares/sub_categories/Plumbing Parts and Spares/Plumbing Parts and Spares.csv -> Thomas Dudley Unviersal Flush Valve Repair Kit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/29/14/2 - B92914_wm.jpg,,,N,372686,Repair Kit,N,Victoria Cable operation allows button to be located on front or top of cistern,Attractive chrome plated pushbutton,Water saving full and reduced flush,Bayonet fixing enables valve body to be simply serviced in under five minutes,,,,290mm 11 ½”) cable length,"Supplied with adaptor for 51mm (2"") outlet",38mm (1 ½”) outlet,"Hydroflo Compact Float will not catch on tight cistern installations where the inlet valve is close to the syphon or outlet valve, ensuring perfect operation",Telescopic height adjustment 203 (8”) – 292mm (11.5”),"Professional ½"" brass tail",Water saving delay fill action,Patented integrated quiet fill action,"The Cistern to Pan Bolt Sets includes all the nuts, bolts and washers required for connecting your cistern to the pan","Our Close Coupling Kits includes 1.1/2 cranked plate, nuts, bolts and 1.1/2” rubber doughnut washer",,,,,,,,,,,,,,,,,,,,,,
23,PC58935,"Thomas Dudley Dudley close coupled flat plate kit 1.5""",Thomas Dudley,6.84,"This complete flat plate close coupled kit contains everything you'll need to seal an Ideal Standard cistern to a pan with a reliable, watertight connection.","Parts and Spares/sub_categories/Plumbing Parts and Spares/Plumbing Parts and Spares.csv -> Thomas Dudley Dudley close coupled flat plate kit 1.5""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/89/35/NW-C58935_wm.jpg,,Dudley,N,PTOCCK363770,Close Coupling Kit,N,"Supplied with 1 1/2"" flat plate, nuts, bolts and I.S sealing ring","For cisterns with 1 1/2"" outlet",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,PC50190,"Nabis sink basket strainer waste 3 1/2"" Stainless Steel",Nabis,10.49,This Nabis sink basket strainer waste is made of stainless steel.,"Parts and Spares/sub_categories/Plumbing Parts and Spares/Plumbing Parts and Spares.csv -> Nabis sink basket strainer waste 3 1/2"" Stainless Steel",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/01/90/C50190_wm.jpg,,,N,WSB02WS,Sink Basket Strainer Waste,N,"Includes sink basket strainer waste, aperture and flange",Stainless steel,"3 1/2"" size",White body,,,,2 year warranty,,,,,,,,,,,,,White/Stainless Steel,113.52 mm,Stainless Steel,3.1/2,,,,,,,,,,,,,,,
25,PC58986,Masefield Delchem bottom inlet with adjustable plastic arm,Masefield,8.52,A Masefield Delchem bottom inlet cistern float valve with adjustable arm.,Parts and Spares/sub_categories/Plumbing Parts and Spares/Plumbing Parts and Spares.csv -> Masefield Delchem bottom inlet with adjustable plastic arm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/89/86/NW-C58986_wm.jpg,,Delchem,N,367016,Float Valve,N,Supplied with adjustable float arm extendable 152 - 229mm,"1/2"" plastic tail",Float supplied separately,Fits most cisterns,,,,Approved to BS1212 Part 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,P173001,"Wirquin plastic float with insert (bsw) 4.1/2"" 5/16"" Brass",Wirquin,2.13,"These Wirquin 4 1/2 x 5/16"" plastic floats include brass inserts and offer compatibility with most toilet cisterns.","Parts and Spares/sub_categories/Plumbing Parts and Spares/Plumbing Parts and Spares.csv -> Wirquin plastic float with insert (bsw) 4.1/2"" 5/16"" Brass",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/30/01/NW-173001_wm.jpg,,,N,DBS042WC,Float with Insert,N,Pack of 10,Plastic float,For use with toilets,"With 5/16"" brass insert",,,,Blue colour,,,,,,,,,,,,,,4.5,Plastic,4-1/2 x 5/16,Float,Brass insert,Unequal,4-1/2,5/16,BSW,,,,,,,,,
