,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Colour,Diameter,Length (M),Pack Quantity,Hazardous,Approvals,Gender,Material,Size,Wall Thickness (mm),Connection Type 1,Connection Type 2,Supplier Product Code,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Feature 11,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Weight,Range
10,PP31018,M OF GF ABS CL E PIPE 169018082 6M   3/4,Georg Fischer,17.0,"Withstanding a wide temperature range and offering exceptionally high notched impact strength values, even at low temperatures, this Georg Fischer Class E 3/4"" ABS pipe, supplied in a 6M length is part of a highly robust range. The Georg Fischer ABS piping system is highly compliant and extremely efficient, making it ideal for demanding low temperature industrial applications, including refrigeration and cooling.","Pipe, Valves and Fittings/Plastic Pipe/ABS Pipe/ABS Pipe.csv -> M OF GF ABS CL E PIPE 169018082 6M   3/4",,1 length of pipe,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/bs/_1/ABS 1_wm.jpg,Grey,3/4,6,Per Metre,N,"WRAS, DWI",male,ABS,3/4 in,2.5,Spigot,Spigot,169018082,N,Excellent resistance to abrasion,Low thermal conductivity,High impact resistance,"Offers safe, easy jointing",Maximum working pressure of 15 bar,Lightweight design,Low pressure losses,Suitable for temperatures of -50 to 60°C,WRAS approved,DWI approved,"Meets ISO, EN ISO, BS, DIN and DVS requirements",,,,,0.21000,
11,PP31031,M OF GF ABS CL T PIPE 169018107 6M   3/4,Georg Fischer,21.44,"Withstanding a wide temperature range and offering exceptionally high notched impact strength values, even at low temperatures, this Georg Fischer Class T 3/4"" ABS pipe, supplied in a 6M length is part of a highly robust range. The Georg Fischer ABS piping system is highly compliant and extremely efficient, making it ideal for demanding low temperature industrial applications, including refrigeration and cooling.","Pipe, Valves and Fittings/Plastic Pipe/ABS Pipe/ABS Pipe.csv -> M OF GF ABS CL T PIPE 169018107 6M   3/4",,1 length of pipe,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/03/P31003_wm.jpg,Grey,3/4,6,Per Metre,N,"WRAS, DWI",male,ABS,3/4 in,3.6,Spigot,Spigot,169018107,N,Excellent resistance to abrasion,Low thermal conductivity,High impact resistance,"Offers safe, easy jointing",Maximum working pressure of 15 bar,Lightweight design,Low pressure losses,Suitable for temperatures of -50 to 60°C,WRAS approved,DWI approved,"Meets ISO, EN ISO, BS, DIN and DVS requirements",,,,,,
12,PP31034,M OF GF ABS CL T PIPE 169018110 6M 1.1/2,Georg Fischer,54.29,"Withstanding a wide temperature range and offering exceptionally high notched impact strength values, even at low temperatures, this Georg Fischer Class T 1 1/2"" ABS pipe, supplied in a 6M length is part of a highly robust range. The Georg Fischer ABS piping system is highly compliant and extremely efficient, making it ideal for demanding low temperature industrial applications, including refrigeration and cooling.","Pipe, Valves and Fittings/Plastic Pipe/ABS Pipe/ABS Pipe.csv -> M OF GF ABS CL T PIPE 169018110 6M 1.1/2",,1 length of pipe,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/03/P31003_wm.jpg,Grey,1 1/2,6,Per Metre,N,"WRAS, DWI",male,ABS,1 1/2 in,6,Spigot,Spigot,169018110,N,Excellent resistance to abrasion,Low thermal conductivity,High impact resistance,"Offers safe, easy jointing",Maximum working pressure of 15 bar,Lightweight design,Low pressure losses,Suitable for temperatures of -50 to 60°C,WRAS approved,DWI approved,"Meets ISO, EN ISO, BS, DIN and DVS requirements",,,,,,
13,PP31006,M OF GF ABS CL C PIPE 169018036 6M     2,Georg Fischer,41.61,"Withstanding a wide temperature range and offering exceptionally high notched impact strength values, even at low temperatures, this Georg Fischer Class C 2"" ABS pipe, supplied in a 6M length is part of a highly robust range. The Georg Fischer ABS piping system is highly compliant and extremely efficient, making it ideal for demanding low temperature industrial applications, including refrigeration and cooling.","Pipe, Valves and Fittings/Plastic Pipe/ABS Pipe/ABS Pipe.csv -> M OF GF ABS CL C PIPE 169018036 6M     2",,1 length of pipe,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/03/P31003_wm.jpg,Grey,2,6,Per Metre,N,"WRAS, DWI",male,ABS,2 in,3.6,Spigot,Spigot,169018036,N,Excellent resistance to abrasion,Low thermal conductivity,High impact resistance,"Offers safe, easy jointing",Maximum working pressure of 15 bar,Lightweight design,Low pressure losses,Suitable for temperatures of -50 to 60°C,WRAS approved,DWI approved,"Meets ISO, EN ISO, BS, DIN and DVS requirements",,,,,,
14,PP57937,"Georg Fischer TP abs pipe - class c - 6mtr x 6"" (Per Metre)",Georg Fischer,478.52,"Made of ABS, this Georg Fischer TP 6"" pipe offers high impact resistance and elasticity, performing throughout a wide temperature range and at pressures up to 15 bar. This 6M long pipe is resistant to a range of acids, bases, salts and oils.","Pipe, Valves and Fittings/Plastic Pipe/ABS Pipe/ABS Pipe.csv -> Georg Fischer TP abs pipe - class c - 6mtr x 6"" (Per Metre)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/79/37/NW-P57937_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Georg_Fischer_TP_Product_Catalogue.pdf,,,,,
15,PP57924,"Georg Fischer TP ABS pipe (class E) 6mtr x 1.1/2""",Georg Fischer,75.44,"Made of ABS, this Georg Fischer TP 1 1/2"" pipe offers high impact resistance and elasticity, performing throughout a wide temperature range and at pressures up to 15 bar. This 6M long pipe is resistant to a range of acids, bases, salts and oils.","Pipe, Valves and Fittings/Plastic Pipe/ABS Pipe/ABS Pipe.csv -> Georg Fischer TP ABS pipe (class E) 6mtr x 1.1/2""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/79/25/NW-P57922_P57925_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Georg_Fischer_TP_Product_Catalogue.pdf,,,,,
16,PP31024,M OF GF ABS CL E PIPE 169018088 6M     3,Georg Fischer,111.09,"A real all-rounder, this Georg Fischer 3"" pipe is made of 8.3mm grey ABS, offering versatility and durability in a wide range of situations. This pipe is supplied in a 6M length.","Pipe, Valves and Fittings/Plastic Pipe/ABS Pipe/ABS Pipe.csv -> M OF GF ABS CL E PIPE 169018088 6M     3",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/24/NW-P31024_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Georg_Fischer_ABS_Pipe_Technical.pdf,,,,,
17,PP31005,M OF GF ABS CL C PIPE 169018035 6M 1.1/2,Georg Fischer,30.92,"Withstanding a wide temperature range and offering exceptionally high notched impact strength values, even at low temperatures, this Georg Fischer Class C 1 1/2"" ABS pipe, supplied in a 6M length is part of a highly robust range. The Georg Fischer ABS piping system is highly compliant and extremely efficient, making it ideal for demanding low temperature industrial applications, including refrigeration and cooling.","Pipe, Valves and Fittings/Plastic Pipe/ABS Pipe/ABS Pipe.csv -> M OF GF ABS CL C PIPE 169018035 6M 1.1/2",,1 length of pipe,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/03/P31003_wm.jpg,Grey,1 1/2,6,Per Metre,N,"WRAS, DWI",male,ABS,1 1/2 in,2.8,Spigot,Spigot,169018035,N,Excellent resistance to abrasion,Low thermal conductivity,High impact resistance,"Offers safe, easy jointing",Maximum working pressure of 15 bar,Lightweight design,Low pressure losses,Suitable for temperatures of -50 to 60°C,WRAS approved,DWI approved,"Meets ISO, EN ISO, BS, DIN and DVS requirements",,,,,,
18,PP31032,M OF GF ABS CL T PIPE 169018108 6M     1,Georg Fischer,30.68,"Withstanding a wide temperature range and offering exceptionally high notched impact strength values, even at low temperatures, this Georg Fischer Class T 3/4"" ABS pipe, supplied in a 6M length is part of a highly robust range. The Georg Fischer ABS piping system is highly compliant and extremely efficient, making it ideal for demanding low temperature industrial applications, including refrigeration and cooling.","Pipe, Valves and Fittings/Plastic Pipe/ABS Pipe/ABS Pipe.csv -> M OF GF ABS CL T PIPE 169018108 6M     1",,1 length of pipe,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/03/P31003_wm.jpg,Grey,1,6,Per Metre,N,"WRAS, DWI",male,ABS,1 in,4.3,Spigot,Spigot,169018108,N,Excellent resistance to abrasion,Low thermal conductivity,High impact resistance,"Offers safe, easy jointing",Maximum working pressure of 15 bar,Lightweight design,Low pressure losses,Suitable for temperatures of -50 to 60°C,WRAS approved,DWI approved,"Meets ISO, EN ISO, BS, DIN and DVS requirements",,,,,,
19,PP57935,"Georg Fischer TP abs pipe - class c - 6mtr x 4""",Georg Fischer,241.94,"Made of ABS, this Georg Fischer TP 4"" pipe offers high impact resistance and elasticity, performing throughout a wide temperature range and at pressures up to 15 bar. This 6M long pipe is resistant to a range of acids, bases, salts and oils.","Pipe, Valves and Fittings/Plastic Pipe/ABS Pipe/ABS Pipe.csv -> Georg Fischer TP abs pipe - class c - 6mtr x 4""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/79/35/NW-P57931_P57935_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Georg_Fischer_TP_Product_Catalogue.pdf,,,,,
20,PP56416,"Durapipe Astore ABS pipe class C 6"" x 6mtr (Per Metre)",Durapipe,138.2,"Supplied in 6M lengths, this Durapipe Astore 6"" pipe is suitable for use in pressurised irrigation systems, drinking water applications, chemical installations and for water treatment. Made of 9.9mm thick ABS, this lightweight pipe offers simple installation, saving on time and costs when compared to traditional pipe materials.","Pipe, Valves and Fittings/Plastic Pipe/ABS Pipe/ABS Pipe.csv -> Durapipe Astore ABS pipe class C 6"" x 6mtr (Per Metre)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/64/16/NW-P56416_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/17/Durapipe_Astore_Technical_May2017.pdf,,,,,
21,PP57923,"Georg Fischer TP ABS pipe (class E) 6mtr x 1.1/4""",Georg Fischer,57.3,"Made of ABS, this Georg Fischer TP 1 1/4"" pipe offers high impact resistance and elasticity, performing throughout a wide temperature range and at pressures up to 15 bar. This 6M long pipe is resistant to a range of acids, bases, salts and oils.","Pipe, Valves and Fittings/Plastic Pipe/ABS Pipe/ABS Pipe.csv -> Georg Fischer TP ABS pipe (class E) 6mtr x 1.1/4""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/79/25/NW-P57922_P57925_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Georg_Fischer_TP_Product_Catalogue.pdf,,,,,
22,PP31025,M OF GF ABS CL E PIPE 169018089 6M     4,Georg Fischer,178.88,"Withstanding a wide temperature range and offering exceptionally high notched impact strength values, even at low temperatures, this Georg Fischer Class E 4"" ABS pipe, supplied in a 6M length is part of a highly robust range. The Georg Fischer ABS piping system is highly compliant and extremely efficient, making it ideal for demanding low temperature industrial applications, including refrigeration and cooling.","Pipe, Valves and Fittings/Plastic Pipe/ABS Pipe/ABS Pipe.csv -> M OF GF ABS CL E PIPE 169018089 6M     4",,1 length of pipe,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/03/P31003_wm.jpg,Grey,4,6,Per Metre,N,"WRAS, DWI",male,ABS,4 in,10.6,Spigot,Spigot,169018089,N,Excellent resistance to abrasion,Low thermal conductivity,High impact resistance,"Offers safe, easy jointing",Maximum working pressure of 15 bar,Lightweight design,Low pressure losses,Suitable for temperatures of -50 to 60°C,WRAS approved,DWI approved,"Meets ISO, EN ISO, BS, DIN and DVS requirements",,,,,,
23,PP10021,Durapipe SuperFlo ABS pipe 10 bar 25mm x 5m,Durapipe,6.67,This 5M length of Durapipe SuperFlo 25mm grey pipe is made of 1.5mm thick ABS material and offers plain press-fit connections.,"Pipe, Valves and Fittings/Plastic Pipe/ABS Pipe/ABS Pipe.csv -> Durapipe SuperFlo ABS pipe 10 bar 25mm x 5m",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/00/21/NW-P10020_P10021_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Durapipe_Superfloabs_Product_Guide.pdf,,,,,
24,PP31019,M OF GF ABS CL E PIPE 169018083 6M     1,Georg Fischer,22.48,"A real all-rounder, this Georg Fischer 1"" pipe is made of 3.1mm grey ABS, offering versatility and durability in a wide range of situations. This pipe is supplied in a 6M length.","Pipe, Valves and Fittings/Plastic Pipe/ABS Pipe/ABS Pipe.csv -> M OF GF ABS CL E PIPE 169018083 6M     1",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/19/NW-P31019_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Georg_Fischer_ABS_Pipe_Technical.pdf,,,,,
25,PP56428,"Durapipe Astore abs pipe - class e - 1"" x 6mtr (Per Metre)",Durapipe,11.07,"Easy to install, lightweight Durapipe Astore 1"" pipe is manufactured in 2mm thick Class E ABS and supplied in a length of 6M. Suitable for use in pressurised irrigation systems, drinking water, chemical installations and for water treatment, this pipe saves on fitting time and costs compared to traditional pipe materials.","Pipe, Valves and Fittings/Plastic Pipe/ABS Pipe/ABS Pipe.csv -> Durapipe Astore abs pipe - class e - 1"" x 6mtr (Per Metre)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/64/28/NW-P56428_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/17/Durapipe_Astore_Technical_May2017.pdf,,,,,
