,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Hazardous,Model For Use With,Boiler Section,Boiler Range,Part Gas Council number,By Model Number,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Pack Quantity,For Use With,Attachment 2,Attachment 3,Attachment 4,Range
10,P443711,Glow-worm 0020020731 electrode,Glow-worm,20.57,"This Glow-worm electrode is designed for Flexicom, Ultimate and British Gas boilers.  An ignition (spark) electrode causes the spark that begins combustion within the burner while flame sensing electrodes are responsible for checking if there is a flame present in the burner to make sure that the boiler doesn't keep supplying gas without a flame.  As the leading supplier of parts for all the major boiler manufacturers we’ve got a wealth of experience and knowledge in this area, and with over 450 branches we carry more heating spare parts in more places than any other merchant to help you improve your first time fix rate.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Glow Worm Boiler Parts/Glow Worm Boiler Parts.csv -> Glow-worm 0020020731 electrode,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/37/11/443711_wm.jpg,,N,"24CX, 24H, BG330+, 30SX, 24HX, 35HX, 18HX, 30CX, 35CX, 30HX, 12HX, 15HX, 18SX",Gas Assembly,"Flexicom, Ultimate, British Gas",H42720,"18HX,24CX,35CX,15HX,24HX,35HX,30CX,12HX,24H,BG330,30SX,30HX,18SX",0020020731,Electrode,N,,,,,,,,
11,P440442,Glow-worm filling loop,Glow-worm,88.19,"A genuine Glow-worm spare, this filling loop is compatible with C-CI, Xtramax, CXI and Eden boilers.  For use in central heating boilers and systems, allowing the user to manually top-up the amount of water in the system if the pressure drops. External loops are usually removable in keeping with regulations, while internal filling loops normally feature a key that can be removed to interrupt the connection after use.  We know you’re busy and need to get repair jobs done quickly and efficiently. Your local parts specialist is always on hand to support you. They offer help, advice and they can get you the part you need.  Your local branch stocks an in-depth range of domestic gas and oil spare parts from leading manufacturers, so you can fix it first time.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Glow Worm Boiler Parts/Glow Worm Boiler Parts.csv -> Glow-worm filling loop,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/04/42/440442_wm.jpg,,N,"23C, Xtramax HE, 24CI, 38CXI, 30CXI, 30CI, 30CI PLUS, Cb, 35CI, 24CXI",Isolation Valve,"C-CI, Xtramax, CXI, Eden",796265,"30CI PLUS,23C,30CXI,30CI,Xtramax HE,38CXI,24CXI,35CI,Cb,24CI",2000802600,Filling Loop,N,,,,,,,,
12,P411459,Glow-worm water pressure sensor,Glow-worm,32.9,"A Glow-worm part, this replacement sensor fits the control panel of Betacom, Essential, Home, Energy 7, Ultimate 3, Energy, MicraCom, Ultimate 2, Easicom, Sustain and Energy 2 boilers.  The boiler control panel usually features control knobs and a digital display for switching the boiler on and off, viewing fault info and setting modes.  As the leading supplier of parts for all the major boiler manufacturers we’ve got a wealth of experience and knowledge in this area, and with over 450 branches we carry more heating spare parts in more places than any other merchant to help you improve your first time fix rate.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Glow Worm Boiler Parts/Glow Worm Boiler Parts.csv -> Glow-worm water pressure sensor,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/14/59/411459_wm.jpg,,N,"Betacom 4 24C, 24c, 25s, Betacom 3 30C, Betacom 4 30C, 30c, 28c, Ultimate 3 25s, Ultimate 3 35c, 18s, 25c, 24c, 35c, Ultimate 3 30c, Easicom 2 24, Easicom 3 28c, 12s, 15s, 25s, 25c, 25c, 35c, 30c P, 12s, 25s, 24c P, 12s, 15s, 25s, Betacom 3 24C, Easicom",Control Panel,"Betacom, Essential, Home, Energy 7, Ultimate 3, Energy, MicraCom, Ultimate 2, Easicom, Sustain, Energy 2",J27549,,0020069021,Sensor,N,,,,,,,,
13,P410645,Glow-worm sensor flow,Glow-worm,44.46,"A Glow-worm flow switch sensor for Ultracom2 appliances.  The flow switch, or flow meter, has an inbuilt sensor that sits inside heating or hot water system pipework as an important safety mechanism. Designed to sense water flow, the switch feeds information to the boiler's printed circuit board (PCB) to ensure that the burner is not activated when the system is low on water or dry.  As the UK’s leading parts specialist, Wolseley carry the widest range of spares, stocking all the big name brands for the trade. Now, to give our customers even more support, we’re adding a greater number of specified parts from leading manufacturers into our branches with the introduction of the Wolseley Branch Parts Accreditation Scheme. Many branches will now be Silver and Gold accredited, a sign that they hold more stock than anyone else, so you can be confident you’ll get the parts you need to fix it first time. Fast.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Glow Worm Boiler Parts/Glow Worm Boiler Parts.csv -> Glow-worm sensor flow,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/06/45/410645_wm.jpg,,N,"24 CXi, 35 CXi, 30 CXi",Control Panel,Ultracom 2,H82881,"30CXI,35 CXi,24CXI",0020097207,Sensor,N,,,,,,,,
14,P443699,Glow-worm automatic air vent,Glow-worm,21.66,"An automatic air vent designed for the pump section of Glow-worm Sustain, Ultrapower, Easicom, Energy, Flexicom, Miscellaneous, Ultimate 2, Ultracom, Energy 7, Essential, Home, Ultimate 3, Betacom, Envirosorb and Energy 2 boilers.  A central heating safety device, the air vent releases built up air. As water flows through the system, a float opens or closes the vent depending on the water level. When the system is full the float is pushed to the top, closing the vent until the water level drops.  As the UK’s leading parts specialist, Wolseley carry the widest range of spares, stocking all the big name brands for the trade. Now, to give our customers even more support, we’re adding a greater number of specified parts from leading manufacturers into our branches with the introduction of the Wolseley Branch Parts Accreditation Scheme. Many branches will now be Silver and Gold accredited, a sign that they hold more stock than anyone else, so you can be confident you’ll get the parts you need to fix it first time.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Glow Worm Boiler Parts/Glow Worm Boiler Parts.csv -> Glow-worm automatic air vent,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/36/99/443699_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Glow-worm_Ultrapower_SXI_Install.pdf,,,,,,,,,,,,,,,,,
15,P443706,Glow-worm domestic hot water heat exchanger,Glow-worm,155.26,"This Glow-worm 16 plate DHW heat exchanger is a genuine replacement part for Flexicom and Ultracom appliances.  The heat exchanger transfers heat from a boiler's burner to water. A primary heat exchanger is found in all boilers, using heat from a burner to raise the temperature of the water in the system while a secondary heat exchanger is present only in combis and allows the heat to be transferred between closed systems.  We know you’re busy and need to get repair jobs done quickly and efficiently. Your local parts specialist is always on hand to support you. They offer help, advice and they can get you the part you need.  Your local branch stocks an in-depth range of domestic gas and oil spare parts from leading manufacturers, so you can fix it first time.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Glow Worm Boiler Parts/Glow Worm Boiler Parts.csv -> Glow-worm domestic hot water heat exchanger,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/37/06/443706_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Glow-worm_Flexicom_Installation.pdf,,,,,,,,,,,,,,,,,
16,P417907,Glow-worm 0010030631 pump,Glow-worm,300.93,"A genuine Glow-worm spare part, this pump is designed for use in the brand's Flexicom, Ultracom and Ultrapower boilers.  The pump moves heated water around a boiler, via the heat exchangers and into the radiators or hot taps. The pump is normally located before the diverter valve in a combi to allow circulation through a heating and hot water system.  As the UK’s leading parts specialist, Wolseley carries the widest range of spares, stocking all the big name brands for the trade. Now, to give our customers even more support, we’re adding a greater number of specified parts from leading manufacturers into our branches with the introduction of the Wolseley Branch Parts Accreditation Scheme. Many branches will now be Silver and Gold accredited, a sign that they hold more stock than anyone else, so you can be confident you’ll get the parts you need to fix it first time. Fast.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Glow Worm Boiler Parts/Glow Worm Boiler Parts.csv -> Glow-worm 0010030631 pump,,Pumpgasketsclipsplug,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/79/07/417907_wm.jpg,,N,,Hydraulics,"Flexicom, Ultracom, Ultrapower",n/a,,0010030631,,N,,,,,,,,
17,P410796,Glow-worm 0020097266 heat exchanger,Glow-worm,633.95,"A Glow-worm heat exchanger suitable for Betacom, Ultimate and Ultracom2 boilers.  The heat exchanger transfers heat from a boiler's burner to water. A primary heat exchanger is found in all boilers, using heat from a burner to raise the temperature of the water in the system while a secondary heat exchanger is present only in combis and allows the heat to be transferred between closed systems.  We carry over 300 of the most in demand parts in-branch and stock over 25,000 spare parts available for next-day timed delivery.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Glow Worm Boiler Parts/Glow Worm Boiler Parts.csv -> Glow-worm 0020097266 heat exchanger,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/07/96/410796_wm.jpg,,N,"Betacom 28A, 30C, 30 CXi",Heat Exchanger,"Betacom, Ultimate, Ultracom2",H82960,,0020097266,Heat Exchanger,N,,,,,,,,
18,P442195,Glow-worm gas valve kit,Glow-worm,333.72,"This Glow-worm gas valve replacement kit is a spare part for HXI and Eden boilers.  The gas valve is employed in the distribution of gas. When gas is required in the burner the printed circuit board (PCB) sends a signal to the gas valve, which opens to allow gas to flow into the burner or the pilot assembly (depending on the model of the appliance).  As the UK’s leading parts specialist, Wolseley carry the widest range of spares, stocking all the big name brands for the trade. Now, to give our customers even more support, we’re adding a greater number of specified parts from leading manufacturers into our branches with the introduction of the Wolseley Branch Parts Accreditation Scheme. Many branches will now be Silver and Gold accredited, a sign that they hold more stock than anyone else, so you can be confident you’ll get the parts you need to fix it first time. Fast.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Glow Worm Boiler Parts/Glow Worm Boiler Parts.csv -> Glow-worm gas valve kit,,"Gas valve, connection pipe, union nut and grommet",https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/21/95/442195_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Glow-worm_DungsGasValve_Instruction.pdf,,,,,,,,,,,,,,,,,
19,P417927,Glow-worm 0010032795 pump,Glow-worm,254.76,"A genuine Glow-worm spare part, this pump is designed for use in the brand's domestic boiler units.  The pump moves heated water around a boiler, via the heat exchangers and into the radiators or hot taps. The pump is normally located before the diverter valve in a combi to allow circulation through a heating and hot water system.  As the UK’s leading parts specialist, Wolseley carries the widest range of spares, stocking all the big name brands for the trade. Now, to give our customers even more support, we’re adding a greater number of specified parts from leading manufacturers into our branches with the introduction of the Wolseley Branch Parts Accreditation Scheme. Many branches will now be Silver and Gold accredited, a sign that they hold more stock than anyone else, so you can be confident you’ll get the parts you need to fix it first time. Fast.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Glow Worm Boiler Parts/Glow Worm Boiler Parts.csv -> Glow-worm 0010032795 pump,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/79/27/417927_wm.jpg,,N,,,,,,0010032795,,N,,,,,,,,
20,P410629,Glow-worm printed circuit,Glow-worm,243.49,"This Glow-worm printed circuit board is a genuine spare part for Ultracom2 boilers.  The control centre of a boiler, the printed circuit board (PCB) monitors and controls every process occurring throughout a system via switches, thermostats and sensors. It enforces safety measures too, shutting down boiler functions if internal readings indicate any fault such as high pressure or low water levels.  To help you find the right parts for your jobs, go to the industry leading parts identification tool, PartsArena, giving you quick access to over 20,000 exploded diagrams, 10,000 images & 20,000 products. FREE to Wolseley trade account customers.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Glow Worm Boiler Parts/Glow Worm Boiler Parts.csv -> Glow-worm printed circuit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/06/29/410629_wm.jpg,,N,"30 CXi, 24 CXi, 18 SXi, 35 CXi, 30 SXi, 12 SXi",Control Panel,Ultracom 2,H82819,"18SXI,30CXI,30SXI,35 CXi,12 SXi,24CXI",0020097400,Printed Circuit Board,N,,,,,,,,
21,P410646,Glow-worm diverter vale 3 way,Glow-worm,84.15,"This Glow-worm diverter valve is suitable for Energy, Energy 7, MicraCom, Easicom, Sustain, Ultimate 2, Betacom, Essential, Home, Ultracom2, Ultimate 3 and Energy 2 boilers. A directional water device in combi boilers, a diverter valve directs hot water into a heating system or a hot water system. This feature means that combis are able to provide both heating and hot water without the need for a storage cylinder.   Manufacturer Part Number: 0020097214  As the UK’s leading parts specialist, Wolseley carry the widest range of spares, stocking all the big name brands for the trade. Now, to give our customers even more support, we’re adding a greater number of specified parts from leading manufacturers into our branches with the introduction of the Wolseley Branch Parts Accreditation Scheme. Many branches will now be Silver and Gold accredited, a sign that they hold more stock than anyone else, so you can be confident you’ll get the parts you need to fix it first time. Fast.",Parts and Spares/sub_categories/Domestic Boiler Parts/sub_categories/Glow Worm Boiler Parts/Glow Worm Boiler Parts.csv -> Glow-worm diverter vale 3 way,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/06/46/410646_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Glow-worm_Ultracom2_cxi_Installation.pdf,,,,,,,,,,,,,,,,,
