,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Connection Size,Connection Type,Diameter,Weight,Hazardous,Approvals,Equal / Unequal,End Connection A size,End Connection C size,Material,Size,Connection Type 1,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Angle,Range,Body Material,Handle Type,Seal Material,Feature 7,Feature 8,End Connection B size,Connection Type 2,Material Type
10,PP96629,"TP RB0.GOL 90deg abs elbow 4""",TP,132.25,"This TP RB0.GOL 4 x 4"" 90° elbow is made of high impact, highly elastic ABS. Pressure ratings for thermoplastic pipe and fittings carrying water are quoted at 20°C and where the temperature increases, the working pressure must be reduced. ABS is resistant to most diluted inorganic acids, bases and salts and most animal oils and fats.","Pipe, Valves and Fittings/Plastic Pipe Fittings/ABS Pipe Fittings/ABS Pipe Fittings.csv -> TP RB0.GOL 90deg abs elbow 4""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/66/30/NW-P96621_P96630_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/P57811_P57903_Georg Fischer_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,PP16450,VULC L191 45D ENF DBL SOCKET BEND     38,Durapipe,34.28,This Durapipe Vulcathene L191 38 x 38mm 45° double socket slow bend is made of virgin-grade polypropylene and includes an Enfusion socket at each end.,"Pipe, Valves and Fittings/Plastic Pipe Fittings/ABS Pipe Fittings/ABS Pipe Fittings.csv -> VULC L191 45D ENF DBL SOCKET BEND     38",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/64/53/NW-P16450_P16453_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Durapipe_Vulcathene_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Durapipe_Vulcathene_Brochure_2019.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,PP47808,Durapipe VXE ABS/EPDM ball valve 20mm,Durapipe,60.7,"Suitable for chilled and cold water applications, this Durapipe SuperFLO ABS 20mm ball valve with EPDM seals is part of a WRAS approved range for low temperature fluid transport. The SuperFLO range is ideal for multistorey buildings, care homes, student accommodation and other multi-occupancy dwellings, providing a wide operational temperature range as well as resistance to corrosion and limescale. These practical features ensure that SuperFLO systems maintain consistent flow rates throughout their lifetime of use.","Pipe, Valves and Fittings/Plastic Pipe Fittings/ABS Pipe Fittings/ABS Pipe Fittings.csv -> Durapipe VXE ABS/EPDM ball valve 20mm",,1 Valve,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/ma/ge/ABS VXE image_wm.jpg,,,20mm,Solvent weld,20,0.48087,N,,,,,,,,H0XEA306,Ball Valve,N,Compatible with low temperature fluid media,Lightweight ABS construction,Easy installation,Ductile down to -40°C,Corrosion resistant,Resistant to impacts,,VXE,ABS,Lever,EPDM,Common Arrangements of Works Systems (CAWS) applicable to T50 and S753,WRAS approved,,,
13,PP96635,"TP RB0.GYL 45deg abs elbow 1.1/2""",TP,24.66,"This TP RB0.GYL 1 1/2 x 1 1/2"" 45° elbow is made of high impact, highly elastic ABS. Pressure ratings for thermoplastic pipe and fittings carrying water are quoted at 20°C and where the temperature increases, the working pressure must be reduced. ABS is resistant to most diluted inorganic acids, bases and salts and most animal oils and fats.","Pipe, Valves and Fittings/Plastic Pipe Fittings/ABS Pipe Fittings/ABS Pipe Fittings.csv -> TP RB0.GYL 45deg abs elbow 1.1/2""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/66/39/NW-P96631_P96639_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/P57811_P57903_Georg Fischer_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,PP56130,"Durapipe 90degree abs equal tee 1.1/2""",Durapipe,5.41,"Suitable for pressurised irrigation, this Durapipe ABS 1 1/2"" 90° equal tee can also be used in water treatment and chemical installations as well as in drinking water systems, thanks to its WRAS approval. Ductile at low temperatures, this robust fitting has solvent weld connections for secure installation.","Pipe, Valves and Fittings/Plastic Pipe Fittings/ABS Pipe Fittings/ABS Pipe Fittings.csv -> Durapipe 90degree abs equal tee 1.1/2""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/ma/ge/Astore ABS Tee image_wm.jpg,,,1-1/2 in,Solvent weld,1 1/2,0.38217,N,WRAS,Equal,1-1/2,1 1/2,ABS (Acrylonitrile Butadiene Styrene),1 1/2,Solvent Weld,STI40500,tee,N,Lightweight ABS construction,Ductile at low temperatures,Solvent weld connections,No need for hot works permit,WRAS approved,50 year design life,90,,,,,,,1.1/2,,
15,PP56063,"Durapipe 45degree abs elbow 3""",Durapipe,16.93,"Suitable for pressurised irrigation, this Durapipe ABS 3"" 45° elbow can also be used in water treatment and chemical installations as well as in drinking water systems, thanks to its WRAS approval. Ductile at low temperatures, this robust fitting has solvent weld connections for secure installation.","Pipe, Valves and Fittings/Plastic Pipe Fittings/ABS Pipe Fittings/ABS Pipe Fittings.csv -> Durapipe 45degree abs elbow 3""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/ma/ge/Astore ABS 45d elbow image_wm.jpg,,,3 in,Solvent weld,3,0.27231,N,WRAS,Equal,3,3,ABS (Acrylonitrile Butadiene Styrene),3,Solvent Weld,SGY40900,Elbow,N,Lightweight ABS construction,Ductile at low temperatures,Solvent weld connections,No need for hot works permit,WRAS approved,50 year design life,45,,,,,,,,,
16,PP56205,"Durapipe abs reducing bush 2 x 1.1/4""",Durapipe,2.6,"Suitable for pressurised irrigation, this Durapipe ABS 2 x 1 1/4"" reducing bush can also be used in water treatment and chemical installations as well as in drinking water systems, thanks to its WRAS approval. Ductile at low temperatures, this robust fitting has solvent weld connections for secure installation.","Pipe, Valves and Fittings/Plastic Pipe Fittings/ABS Pipe Fittings/ABS Pipe Fittings.csv -> Durapipe abs reducing bush 2 x 1.1/4""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/ma/ge/Astore ABS redbush image_wm.jpg,,,2 in x 1-1/4 in,Solvent weld,2 x 1.1/4,0.11423,N,WRAS,Equal,2,1 1/4,ABS (Acrylonitrile Butadiene Styrene),2,Solvent Weld,SRC4063E,Reducing Bush,N,Lightweight ABS construction,Ductile at low temperatures,Solvent weld connections,No need for hot works permit,WRAS approved,50 year design life,,,,,,,,,,
17,PP16470,VULC L211 45D ENF SGL SOCKET BEND     38,Durapipe,22.9,"Manufactured from polypropylene, this Durapipe Vulcathene L211 45° single socket slow bend is for standard 38 - 152mm pipe. It is equipped with an enfusion socket at one end and a plain spigot at the other end. Chemical-resistant, this plug is part of a purpose-designed plumbing system is suitable for labs in schools, universities, hospitals and research facilities.","Pipe, Valves and Fittings/Plastic Pipe Fittings/ABS Pipe Fittings/ABS Pipe Fittings.csv -> VULC L211 45D ENF SGL SOCKET BEND     38",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/64/70/NW-P16470_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Vulcathene_Technical_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,PP56206,"Durapipe abs reducing bush 2 x 1.1/2""",Durapipe,2.6,"Suitable for pressurised irrigation, this Durapipe ABS 2 x 1 1/2"" reducing bush can also be used in water treatment and chemical installations as well as in drinking water systems, thanks to its WRAS approval. Ductile at low temperatures, this robust fitting has solvent weld connections for secure installation.","Pipe, Valves and Fittings/Plastic Pipe Fittings/ABS Pipe Fittings/ABS Pipe Fittings.csv -> Durapipe abs reducing bush 2 x 1.1/2""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/ma/ge/Astore ABS redbush image_wm.jpg,,,2 in x 1-1/2 in,Solvent weld,2 x 1.1/2,0.11423,N,WRAS,Equal,2,1 1/2,ABS (Acrylonitrile Butadiene Styrene),2,Solvent Weld,SRC4063F,Reducing Bush,N,Lightweight ABS construction,Ductile at low temperatures,Solvent weld connections,No need for hot works permit,WRAS approved,50 year design life,,,,,,,,,,
19,PP96653,"TP RB0.TIL 90deg abs equal tee 1""",TP,12.21,"This TP RB0.TIL 1 x 1 x 1"" 90° equal tee is made of high impact, highly elastic ABS. Pressure ratings for thermoplastic pipe and fittings carrying water are quoted at 20°C and where the temperature increases, the working pressure must be reduced. ABS is resistant to most diluted inorganic acids, bases and salts and most animal oils and fats.","Pipe, Valves and Fittings/Plastic Pipe Fittings/ABS Pipe Fittings/ABS Pipe Fittings.csv -> TP RB0.TIL 90deg abs equal tee 1""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/66/59/NW-P96651_P96659_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/P57811_P57903_Georg Fischer_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,PP56201,"Durapipe abs reducing bush 1.1/2 x 1.1/4""",Durapipe,1.94,"Suitable for pressurised irrigation, this Durapipe ABS 1 1/2 x 1 1/4"" reducing bush can also be used in water treatment and chemical installations as well as in drinking water systems, thanks to its WRAS approval. Ductile at low temperatures, this robust fitting has solvent weld connections for secure installation.","Pipe, Valves and Fittings/Plastic Pipe Fittings/ABS Pipe Fittings/ABS Pipe Fittings.csv -> Durapipe abs reducing bush 1.1/2 x 1.1/4""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/ma/ge/Astore ABS redbush image_wm.jpg,,,1-1/2 in x 1-1/4 in,Solvent weld,1.1/2 x 1.1/4,0.11423,N,WRAS,Equal,1-1/2,1 1/4,ABS (Acrylonitrile Butadiene Styrene),1 1/2,Solvent Weld,SRC4050E,Reducing Bush,N,Lightweight ABS construction,Ductile at low temperatures,Solvent weld connections,No need for hot works permit,WRAS approved,50 year design life,,,,,,,,,,
21,PP56014,"Durapipe abs socket 4""",Durapipe,18.85,"Suitable for pressurised irrigation, this Durapipe ABS 4"" socket can also be used in water treatment and chemical installations as well as in drinking water systems, thanks to its WRAS approval. Ductile at low temperatures, this robust fitting has solvent weld connections for secure installation.","Pipe, Valves and Fittings/Plastic Pipe Fittings/ABS Pipe Fittings/ABS Pipe Fittings.csv -> Durapipe abs socket 4""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/ma/ge/Astore ABS Socket image_wm.jpg,,,4 in,Solvent weld,4,0.16296,N,WRAS,Equal,4,4,ABS (Acrylonitrile Butadiene Styrene),4,Solvent Weld,SMA41100,Pipe Socket,N,Lightweight ABS construction,Ductile at low temperatures,Solvent weld connections,No need for hot works permit,WRAS approved,50 year design life,,,,,,,,,,
22,PP16471,VULC L212 45D ENF SGL SOCKET BEND     51,Durapipe,28.8,This Durapipe Vulcathene L212 51 x 51mm 45° single socket slow bend is made of virgin-grade polypropylene with an Enfusion socket at one end and a plain spigot at the other.,"Pipe, Valves and Fittings/Plastic Pipe Fittings/ABS Pipe Fittings/ABS Pipe Fittings.csv -> VULC L212 45D ENF SGL SOCKET BEND     51",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/64/71/NW-P16471_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Durapipe_Vulcathene_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Durapipe_Vulcathene_Brochure_2019.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,PP56128,"Durapipe 90degree abs equal tee 1""",Durapipe,2.6,"Suitable for pressurised irrigation, this Durapipe ABS 1"" 90° equal tee can also be used in water treatment and chemical installations as well as in drinking water systems, thanks to its WRAS approval. Ductile at low temperatures, this robust fitting has solvent weld connections for secure installation.","Pipe, Valves and Fittings/Plastic Pipe Fittings/ABS Pipe Fittings/ABS Pipe Fittings.csv -> Durapipe 90degree abs equal tee 1""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/ma/ge/Astore ABS Tee image_wm.jpg,,,1 in,Solvent weld,1,0.38217,N,WRAS,Equal,1,1,ABS (Acrylonitrile Butadiene Styrene),1,Solvent Weld,STI40320,tee,N,Lightweight ABS construction,Ductile at low temperatures,Solvent weld connections,No need for hot works permit,WRAS approved,50 year design life,90,,,,,,,1,,
24,PP96655,"TP RB0.TIL 90deg abs equal tee 1.1/2""",TP,25.57,"This TP RB0.TIL 1 1/2 x 1 1/2 x 1 1/2"" 90° equal tee is made of high impact, highly elastic ABS. Pressure ratings for thermoplastic pipe and fittings carrying water are quoted at 20°C and where the temperature increases, the working pressure must be reduced. ABS is resistant to most diluted inorganic acids, bases and salts and most animal oils and fats.","Pipe, Valves and Fittings/Plastic Pipe Fittings/ABS Pipe Fittings/ABS Pipe Fittings.csv -> TP RB0.TIL 90deg abs equal tee 1.1/2""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/66/59/NW-P96651_P96659_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/P57811_P57903_Georg Fischer_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,PP16453,VULC L194 45D ENF DBL SOCKET BEND    102,Durapipe,70.73,This Durapipe Vulcathene L194 102 x 102mm 45° double socket slow bend is made of virgin-grade polypropylene and includes an Enfusion socket at each end.,"Pipe, Valves and Fittings/Plastic Pipe Fittings/ABS Pipe Fittings/ABS Pipe Fittings.csv -> VULC L194 45D ENF DBL SOCKET BEND    102",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/64/53/NW-P16450_P16453_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Durapipe_Vulcathene_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Durapipe_Vulcathene_Brochure_2019.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,PP56168,"Durapipe abs cap 1""",Durapipe,1.23,"Suitable for pressurised irrigation, this Durapipe ABS 1"" cap can also be used in water treatment and chemical installations as well as in drinking water systems, thanks to its WRAS approval. Ductile at low temperatures, this robust fitting has solvent weld connections for secure installation.","Pipe, Valves and Fittings/Plastic Pipe Fittings/ABS Pipe Fittings/ABS Pipe Fittings.csv -> Durapipe abs cap 1""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/ma/ge/Astore ABS Cap image_wm.jpg,,,,,1,0.17030,N,WRAS,Equal,1,1,ABS (Acrylonitrile Butadiene Styrene),1,Solvent Weld,SCA40320,Cap,N,Lightweight ABS construction,Ductile at low temperatures,Solvent weld connections,No need for hot works permit,WRAS approved,50 year design life,,,,,,,,,,
27,PP56227,"Durapipe ABS barrel nipple 3/4""",Durapipe,2.19,"Suitable for pressurised irrigation, this Durapipe ABS 3/4"" barrel nipple can also be used in water treatment and chemical installations as well as in drinking water systems, thanks to its WRAS approval. Ductile at low temperatures, this robust fitting has solvent weld connections for secure installation.","Pipe, Valves and Fittings/Plastic Pipe Fittings/ABS Pipe Fittings/ABS Pipe Fittings.csv -> Durapipe ABS barrel nipple 3/4""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/_b/n6/S BN6_wm.jpg,,,,,,0.21608,N,WRAS,Equal,3/4,3/4,ABS (Acrylonitrile Butadiene Styrene),3/4,Solvent Weld,SBN60250,Barrel Nipple,N,Lightweight ABS construction,Ductile at low temperatures,Solvent weld connections,No need for hot works permit,WRAS approved,50 year design life,,,,,,,,,,
