,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Hazardous,Model For Use With,Boiler Section,Boiler Range,Part Gas Council number,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Connection Size,Material Type,Material,By Model Number,Attachment 2,Weight
10,P801337,Vokera conveyor,Vokera,63.26,"This Vokera conveyor kit is suitable for use in boilers in the Mynute HE, Procombi, Unica and Easi-Heat Plus appliances.  We know you’re busy and need to get repair jobs done quickly and efficiently. Your local parts specialist is always on hand to support you. They offer help, advice and they can get you the part you need.  Your local branch stocks an in-depth range of domestic gas and oil spare parts from leading manufacturers, so you can fix it first time.",Parts and Spares/Domestic Boiler Parts/Vokera Boiler Parts/Vokera Boiler Parts.csv -> Vokera conveyor,,ConveyorSealsO-rings,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/13/37/801337_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ar/ts/Vokera_Procombi_A28_A32_A36_Parts.pdf,,,,,,,,,,,,,,,,,,,
11,P479261,Vokera 3 port valve kit,Vokera,99.92,"This Vokera three-way port valve kit is suitable for Compact, Linea, Sabre, Unica, Excel and Vision boilers.  A directional water device in combi boilers, a diverter valve directs hot water into a heating system or a hot water system. This feature means that combis are able to provide both heating and hot water without the need for a storage cylinder.  We know you’re busy and need to get repair jobs done quickly and efficiently. Your local parts specialist is always on hand to support you. They offer help, advice and they can get you the part you need.  Your local branch stocks an in-depth range of domestic gas and oil spare parts from leading manufacturers, so you can fix it first time.",Parts and Spares/Domestic Boiler Parts/Vokera Boiler Parts/Vokera Boiler Parts.csv -> Vokera 3 port valve kit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/92/61/479261_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/li/st/Vokera_Unica_32HE_36HE_Parts_List.pdf,,,,,,,,,,,,,,,,,,,
12,P801308,Vokera 10030505 printed circuit board,Vokera,399.46,"This Vokera printed circuit board is a genuine replacement part for use in Compact, Mynute EHE, Rain, Sabre and Procombi boilers.  The control centre of a boiler, the printed circuit board (PCB) monitors and controls every process occurring throughout a system via switches, thermostats and sensors. It enforces safety measures too, shutting down boiler functions if internal readings indicate any fault such as high pressure or low water levels.  As the leading supplier of parts for all the major boiler manufacturers we’ve got a wealth of experience and knowledge in this area, and with over 450 branches we carry more heating spare parts in more places than any other merchant to help you improve your first time fix rate.",Parts and Spares/Domestic Boiler Parts/Vokera Boiler Parts/Vokera Boiler Parts.csv -> Vokera 10030505 printed circuit board,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/13/08/801308_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ar/ts/Vokera_Compact_25HE_29HE_35HE_Parts.pdf,,,,,,,,,,,,,,,,,,,
13,P479698,Vokera main PCB,Vokera,203.54,"This Vokera PCB is a genuine replacement part suitable for Linea SE boilers.  The control centre of a boiler, the printed circuit board (PCB) monitors and controls every process occurring throughout a system via switches, thermostats and sensors. It enforces safety measures too, shutting down boiler functions if internal readings indicate any fault such as high pressure or low water levels.  We carry over 300 of the most in demand parts in-branch and stock over 25,000 spare parts available for next-day timed delivery.",Parts and Spares/Domestic Boiler Parts/Vokera Boiler Parts/Vokera Boiler Parts.csv -> Vokera main PCB,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/96/98/479698_wm.jpg,,N,,Control Panel,Linea SE,,20205196,,N,,,,,,,,,,,
14,P126652,Vokera radio frequency room thermostat,Vokera,83.73,"Durably built and simple to use, this Vokera radio frequency (RF) room thermostat gives homeowners control over heating timings and temperatures for improved comfort every single day.",Parts and Spares/Domestic Boiler Parts/Vokera Boiler Parts/Vokera Boiler Parts.csv -> Vokera radio frequency room thermostat,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/66/52/126652_wm.jpg,,N,Boilers,Control Panel,,,20101743,Room Thermostat,N,7 day timing and temperature scheduling,Turns boiler on and off in order to reach desired temperature,Compatible with Vokera's compact A combi range,Official Vokera spare,Made using quality materials,,,,,,
15,P800038,Vokera supply inlet valve,Vokera,31.71,"This replacement Vokera supply inlet valve is compatible with Hydra, Linea, Syntesi, Unica and Vision boilers.  Usually situated underneath heating appliances, the isolation valve lets the user regulate the flow of gas and water into a central heating system. It also allows the user to stop the flow in case of a leak or emergency.  We know you’re busy and need to get repair jobs done quickly and efficiently. Your local parts specialist is always on hand to support you. They offer help, advice and they can get you the part you need.  Your local branch stocks an in-depth range of domestic gas and oil spare parts from leading manufacturers, so you can fix it first time.",Parts and Spares/Domestic Boiler Parts/Vokera Boiler Parts/Vokera Boiler Parts.csv -> Vokera supply inlet valve,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/00/38/800038_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Vokera_Syntesi_Installation.pdf,,,,,,,,,,,,,,,,,,,
16,P479459,Vokera 10028456 fan,Vokera,387.13,"This Vokera replacement fan is a genuine branded part for use in Mynute HE, Procombi, Unica, Verve, Easi-Heat Plus, Mynute VHE and Linea boilers.  The fan introduces fresh air into a boiler's combustion chamber, ensuring that gas is burnt correctly and extracting burnt gas at the end of the combustion process. Your boiler's safety parameters ensure that no gas passes through to the main burner if the fan is not functioning correctly.  As the leading supplier of parts for all the major boiler manufacturers we’ve got a wealth of experience and knowledge in this area, and with over 450 branches we carry more heating spare parts in more places than any other merchant to help you improve your first time fix rate.",Parts and Spares/Domestic Boiler Parts/Vokera Boiler Parts/Vokera Boiler Parts.csv -> Vokera 10028456 fan,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/94/59/479459_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Vokera_Unica_HE_Installation.pdf,,,,,,,,,,,,,,,,,,,
17,P478173,Vokera 20035533 gas valve,Vokera,199.75,"This Vokera motorised valve is suitable for use in Linea, Mynute EHE, Compact and Mynute boilers.  The gas valve is employed in the distribution of gas. When gas is required in the burner the printed circuit board (PCB) sends a signal to the gas valve, which opens to allow gas to flow into the burner or the pilot assembly (depending on the model of the appliance).  To help you find the right parts for your jobs, go to the industry leading parts identification tool, PartsArena, giving you quick access to over 20,000 exploded diagrams, 10,000 images & 20,000 products. FREE to Wolseley trade account customers.",Parts and Spares/Domestic Boiler Parts/Vokera Boiler Parts/Vokera Boiler Parts.csv -> Vokera 20035533 gas valve,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/81/73/478173_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Vokera_Compact_28SE_Installation.pdf,,,,,,,,,,,,,,,,,,,
18,P478093,Vokera 10023907 fan assembly,Vokera,183.18,"This Vokera replacement fan assembly is suitable for use in Compact, Rain, Sabre and AquaNova boilers.  The fan introduces fresh air into a boiler's combustion chamber, ensuring that gas is burnt correctly and extracting burnt gas at the end of the combustion process. Your boiler's safety parameters ensure that no gas passes through to the main burner if the fan is not functioning correctly.  As the leading supplier of parts for all the major boiler manufacturers we’ve got a wealth of experience and knowledge in this area, and with over 450 branches we carry more heating spare parts in more places than any other merchant to help you improve your first time fix rate.",Parts and Spares/Domestic Boiler Parts/Vokera Boiler Parts/Vokera Boiler Parts.csv -> Vokera 10023907 fan assembly,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/80/93/478093_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Vokera_Compact_SE_Installation.pdf,,,,,,,,,,,,,,,,,,,
19,P479326,Vokera motorised valve,Vokera,84.17,"This Vokera motorised valve is suitable for use in the diverter valve of Compact, Sabre, Unica, Procombi and Linea boilers.  A directional water device in combi boilers, a diverter valve directs hot water into a heating system or a hot water system. This feature means that combis are able to provide both heating and hot water without the need for a storage cylinder.  We know you’re busy and need to get repair jobs done quickly and efficiently. Your local parts specialist is always on hand to support you. They offer help, advice and they can get you the part you need.  Your local branch stocks an in-depth range of domestic gas and oil spare parts from leading manufacturers, so you can fix it first time.",Parts and Spares/Domestic Boiler Parts/Vokera Boiler Parts/Vokera Boiler Parts.csv -> Vokera motorised valve,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/93/26/479326_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ar/ts/Vokera_Procombi_85_100_120_HE_Parts.pdf,,,,,,,,,,,,,,,,,,,
20,P801486,Vokera fan,Vokera,310.75,"This Vokera replacement fan is suitable for use in Vision, Mynute, Procombi, Sabre, Compact, Excel, Unica and Mynute i boilers.  The fan introduces fresh air into a boiler's combustion chamber, ensuring that gas is burnt correctly and extracting burnt gas at the end of the combustion process. Your boiler's safety parameters ensure that no gas passes through to the main burner if the fan is not functioning correctly.  As the leading supplier of parts for all the major boiler manufacturers we’ve got a wealth of experience and knowledge in this area, and with over 450 branches we carry more heating spare parts in more places than any other merchant to help you improve your first time fix rate.",Parts and Spares/Domestic Boiler Parts/Vokera Boiler Parts/Vokera Boiler Parts.csv -> Vokera fan,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/14/86/801486_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Vokera_Compact_A_Installation.pdf,,,,,,,,,,,,,,,,,,,
21,P411851,Vokera PCB MP08,Vokera,142.59,"This Vokera MP08 printed circuit board is a genuine brand spare part compatible with the Compact 24 SE and 28 SE boilers.  The control centre of a boiler, the printed circuit board (PCB) monitors and controls every process occurring throughout a system via switches, thermostats and sensors. It enforces safety measures too, shutting down boiler functions if internal readings indicate any fault such as high pressure or low water levels.  To help you find the right parts for your jobs, go to the industry leading parts identification tool, PartsArena, giving you quick access to over 20,000 exploded diagrams, 10,000 images & 20,000 products. FREE to Wolseley trade account customers.",Parts and Spares/Domestic Boiler Parts/Vokera Boiler Parts/Vokera Boiler Parts.csv -> Vokera PCB MP08,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/18/51/411851_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Vokera_Compact_28SE_Installation.pdf,,,,,,,,,,,,,,,,,,,
22,P411854,Vokera control main board,Vokera,149.97,"This Vokera main control board is a suitable replacement part for use in Vision range boilers.  The boiler control panel usually features control knobs and a digital display for switching the boiler on and off, viewing fault info and setting modes.  We know you’re busy and need to get repair jobs done quickly and efficiently. Your local parts specialist is always on hand to support you. They offer help, advice and they can get you the part you need.  Your local branch stocks an in-depth range of domestic gas and oil spare parts from leading manufacturers, so you can fix it, first time.",Parts and Spares/Domestic Boiler Parts/Vokera Boiler Parts/Vokera Boiler Parts.csv -> Vokera control main board,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/18/54/411854_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ar/ts/Vokera_Vision_30C_Spare_Parts.pdf,,,,,,,,,,,,,,,,,,,
23,P479208,Vokera 10024035 fan assembly,Vokera,227.57,"This Vokera replacement fan assembly is suitable for use in Mynute EHE, Syntesi, Compact, Sabre, Linea, Procombi and Synergy boilers.  The fan introduces fresh air into a boiler's combustion chamber, ensuring that gas is burnt correctly and extracting burnt gas at the end of the combustion process. Your boiler's safety parameters ensure that no gas passes through to the main burner if the fan is not functioning correctly.  As the leading supplier of parts for all the major boiler manufacturers we’ve got a wealth of experience and knowledge in this area, and with over 450 branches we carry more heating spare parts in more places than any other merchant to help you improve your first time fix rate.",Parts and Spares/Domestic Boiler Parts/Vokera Boiler Parts/Vokera Boiler Parts.csv -> Vokera 10024035 fan assembly,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/92/08/479208_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Vokera_Compact_HE_Installation.pdf,,,,,,,,,,,,,,,,,,,
24,P800561,Vokera conveyor,Vokera,81.05,"This Vokera conveyor kit is suitable for use in boilers in the Mynute HE, Unica, Verve, Linea and Procombi ranges.  To help you find the right parts for your jobs, go to the industry leading parts identification tool, PartsArena, giving you quick access to over 20,000 exploded diagrams, 10,000 images & 20,000 products. FREE to Wolseley trade account customers.",Parts and Spares/Domestic Boiler Parts/Vokera Boiler Parts/Vokera Boiler Parts.csv -> Vokera conveyor,,ConveyorSealsFittings,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/05/61/800561_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/li/st/Vokera_Mynute_35HE_ERP_Parts_List.pdf,,,,,,,,,,,,,,,,,,,
25,P479461,Vokera flame detection electrode,Vokera,29.23,"This Vokera flame detection electrode is designed for use in Mynute VHE, Unica, Mynute HE, Procombi, Easi-Heat Plus, Linea and Verve boilers.  An ignition (spark) electrode causes the spark that begins combustion within the burner while flame sensing electrodes are responsible for checking if there is a flame present in the burner to make sure that the boiler doesn't keep supplying gas without a flame.  As the leading supplier of parts for all the major boiler manufacturers we’ve got a wealth of experience and knowledge in this area, and with over 450 branches we carry more heating spare parts in more places than any other merchant to help you improve your first time fix rate.",Parts and Spares/Domestic Boiler Parts/Vokera Boiler Parts/Vokera Boiler Parts.csv -> Vokera flame detection electrode,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/94/61/479461_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Vokera_Unica_HE_Installation.pdf,,,,,,,,,,,,,,,,,,,
26,P801490,Vokera 3-way valve motor,Vokera,44.43,"This Vokera three-way valve motor is suitable for use in the diverter valve section of Unica, Vision, Excel and Compact boilers.  A directional water device in combi boilers, a diverter valve directs hot water into a heating system or a hot water system. This feature means that combis are able to provide both heating and hot water without the need for a storage cylinder.  We know you’re busy and need to get repair jobs done quickly and efficiently. Your local parts specialist is always on hand to support you. They offer help, advice and they can get you the part you need.  Your local branch stocks an in-depth range of domestic gas and oil spare parts from leading manufacturers, so you can fix it first time.",Parts and Spares/Domestic Boiler Parts/Vokera Boiler Parts/Vokera Boiler Parts.csv -> Vokera 3-way valve motor,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/14/90/801490_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/li/st/Vokera_Vision_30C_Spare_Parts_List.pdf,,,,,,,,,,,,,,,,,,,
