,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Range,Hazardous,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Application,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Feature 11,Range For Use With,Boiler Section,Boiler Range,Attachment 4,Attachment 5,Attachment 6,Attachment 7,Pack Quantity,Pack Type,Weight,Connection Size,Connection Type
10,P609277,Adey MagnaClean Professional2 filter and chemical pack,Adey,78.0,"Removing almost 100% of the suspended black oxide sludge found in your heating system, the Adey MagnaClean Professional2 filter and chemical pack helps to extend the life of your system and improve efficiency. For easy installation, the dual-action filter can be installed anywhere on the main circuit, although for best protection, it's advised to fit MagnaClean Pro between the last radiator and the boiler.",Heating/Water Treatment Products/Central Heating Filters/Central Heating Filters.csv -> Adey MagnaClean Professional2 filter and chemical pack,,MagnaClean Professional2 filter;MC1 protector;MC3 cleaner,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/92/77/NW-609277_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Adey_Domestic_Product_Range_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Adey_MagnaCleanProf2_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,P608158,Fernox TF1 Tf1 Sigma 22mm Slipsocket Install Pack (4),Fernox,142.49,"The Fernox TF1 Sigma Filter Installer Pack includes everything needed to successfully clean and protect a domestic central heating system in line with BS 7593:2019 and the Benchmark Commissioning Checklist. It includes the industry leading TF1 Sigma Filter with 22mm slip socket connection, Fernox Cleaner F3 and Fernox Protector F1 265ml. The complete solution to cleaning, protecting and guarding central heating systems.",Heating/Water Treatment Products/Central Heating Filters/Central Heating Filters.csv -> Fernox TF1 Tf1 Sigma 22mm Slipsocket Install Pack (4),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/81/58/NW-608158_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Fernox_62509_SigmaInstalle_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/he/et/608158_Fernox_Datasheet.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/fl/et/608154_608158_Fernox_Leaflet.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,P609281,Adey MagnaClean Professional2 filter 22mm pack,Adey,74.0,"Capturing the maximum amount of magnetite possible, the Adey MagnaClean Professional2 22mm filter provides reliable protection from potentially damaging debris, helping to extend the life of your central heating system.",Heating/Water Treatment Products/Central Heating Filters/Central Heating Filters.csv -> Adey MagnaClean Professional2 filter 22mm pack,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/92/81/NW-609281_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Adey_Domestic_Product_Range_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Adey_MagnaCleanProf2_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,P610106,Adey Magna Clean Atom SL Compliance Pack,Adey,132.53,"Protecting heating systems and helping with Building Regulations Part L compliance, the Adey MagnaClean AtomSL Compliance Pack includes the MagnaClean AtomSL filter, MC1+ inhibitor, MC3+ cleaner, ProCheck water test strips and, optionally, the Electroscale2 or Magnascale2 scale reducer. Using the items in this pack and following Adey's best guidance could reduce heating bills by up to 7% while also improving efficiency and minimising the risk of breakdown due to damaging limescale and other contaminants.",Heating/Water Treatment Products/Central Heating Filters/Central Heating Filters.csv -> Adey Magna Clean Atom SL Compliance Pack,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/01/06/610106_wm.jpg,,,,,N,FL1-03-06484,Central heating water filters,N,Immediate test results using ADEY ProCheck,Compact design,Domestic,"Bi-directional, either port can be an inlet",Rotatable filter can be fitted at any angle,Supplied ready for quick installation,Easy access to air vent and drain valve for ease of servicing,ProCheck water test results via ADEY Sense portal,Flushing adapter available,Internal water operating temperature 3°C - 95°C,Internal operating water pressure up to 4.5 bar,Maximum flow rate of 50LPM,,,,,,,,,,,,
14,P609494,Adey MagnaClean Professional2XP filter 28mm,Adey,183.75,The Adey MagnaClean Professional2XP 28mm filter offers additional filtering capacity to help deal with the larger volume of debris found in larger central heating systems.,Heating/Water Treatment Products/Central Heating Filters/Central Heating Filters.csv -> Adey MagnaClean Professional2XP filter 28mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/94/94/NW-609494_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Adey_MagnaClean_Pro2XP_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Adey_Domestic_Product_Range_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Adey_Magna_Professional2XP_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,P609280,Adey MagnaClean Micro2 filter,Adey,79.25,"The compact Adey MagnaClean Micro2 filter is designed for installation in the smallest spaces. Though small in size, this filter delivers powerful protection from damaging magnetite and other system debris.",Heating/Water Treatment Products/Central Heating Filters/Central Heating Filters.csv -> Adey MagnaClean Micro2 filter,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/92/80/NW-609280_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Adey_Domestic_Product_Range_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,P608043,Adey MagnaClean DualXP FL1-0-02028 XP dual filter 35/42mm,Adey,708.14,"Designed to eliminate the magnetite and debris commonly created by larger systems, the Adey MagnaClean DualXP 35/42mm filter incorporates two powerful magnetic capture zones. This effective system offers reliable protection from the damaging effects of black iron oxide sludge and non-magnetic debris.",Heating/Water Treatment Products/Central Heating Filters/Central Heating Filters.csv -> Adey MagnaClean DualXP FL1-0-02028 XP dual filter 35/42mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/80/43/NW-608043_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Adey_MagnaCleandualXP_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,P333077,Worcester Bosch Greenstar system filter pack 28mm,Worcester Bosch,200.5,"Informed by installer feedback, the Worcester Bosch Greenstar 28mm system filter pack provides easier installation and simpler servicing compared to the brand's previous model.",Heating/Water Treatment Products/Central Heating Filters/Central Heating Filters.csv -> Worcester Bosch Greenstar system filter pack 28mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/30/77/NW-333077_wm.jpg,,,,Greenstar,N,333077 PK,System Filter Pack,N,Removable lid prevents over-tightening and damage to O-ring seal,Eliminates risk of leaks,Suitable for Central Heating Systems,Isolation valves can be activated using a 90° turn,Allows bi-directional flow,Install anywhere on return circulation pipework between last radiator and boiler,"Large, powerful internal magnet safeguards boiler and components",,,,,,,,,,,,,,,,,
18,P333150,Worcester Bosch Greenstar system filter only pack 22mm,Worcester Bosch,133.5,"Helping to improve installation and servicing for a faster, simpler job, the Worcester Bosch Greenstar 22mm system filter pack uses a powerful internal magnet to protect both a boiler and its associated heating system.",Heating/Water Treatment Products/Central Heating Filters/Central Heating Filters.csv -> Worcester Bosch Greenstar system filter only pack 22mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/lt/er/Worcester_System Filter_wm.jpg,,,,Greenstar,N,333150 PK,System Filter Only Pack,N,"Removable lid designed to prevent over-tightening and damage to O-ring seal, eliminating risk of leaks",Isolation valves are activated using a single 90° turn,Suitable for Heating Systems,Red and green indicators indicate when the filter is in operation,Engineered to allow bi-directional flow for installation anywhere along return circulation pipework between last radiator and boiler,"Large, powerful internal magnet safeguards the boiler and wider system components",,,,,,,Greenstar Ri ErP,Pump,Greenstar,,,,,,,,,
19,P610104,Adey MagnaClean Atom Magnaclean Atom Filter - Black,Adey,99.99,"This Adey MagnaClean Atom filter is designed to protect a central heating system against the potentially damaging effects of black iron oxide sludge. With an ultra-compact design, this filter can be installed in spaces previously unsuitable for a filter.",Heating/Water Treatment Products/Central Heating Filters/Central Heating Filters.csv -> Adey MagnaClean Atom Magnaclean Atom Filter - Black,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/01/04/NW-610104_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Adey_Domestic_Product_Range_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Adey_MagnaCleanAtom_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,P608001,Adey MagnaClean Professional filter 22mm Black,Adey,152.73,"An efficient magnetic filter, the Adey MagnaClean Professional 22mm filter is suitable for installation in any existing or new domestic central heating system. It removes almost all suspended black iron oxide and some non-magnetic debris for greater system efficiency.",Heating/Water Treatment Products/Central Heating Filters/Central Heating Filters.csv -> Adey MagnaClean Professional filter 22mm Black,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/80/01/NW-608001_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Adey_MagnaClean_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Adey_MCProfessional_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,P602531,Fernox TF1 Tf1 Compact Filter 22mm,Fernox,102.63,A high performance in-line system filter,Heating/Water Treatment Products/Central Heating Filters/Central Heating Filters.csv -> Fernox TF1 Tf1 Compact Filter 22mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/25/31/NW-602531_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Fernox_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Fernox_62131_Compactfilter_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Fernox_TF1_Range_Installation.pdf,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/fl/et/TF1 Range Installer Leaflet.pdf,,,,,,,,
22,P606204,Fernox TF1 filter with slip socket connections 22mm,Fernox,76.0,"Ideal for installation in even the most restricted spots, the Fernox TF1 22mm filter with slip socket connection is a compact, easy to fit filter unit for central heating systems. Removing both magnetic and non-magnetic debris, this robust nickel-plated brass filter uses hydronic particle separation for highly effective protection from damage. The sealed, inline TF1 is easy to maintain too, with no need to dismantle the unit or replace O-rings when it's time to service.",Heating/Water Treatment Products/Central Heating Filters/Central Heating Filters.csv -> Fernox TF1 filter with slip socket connections 22mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/89/55/NW-608955_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/TF1_Omega_Filter_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Fernox_62248_Omegafilter_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,P608955,Fernox TF1 Omeg Tf1 Filter 22mm/Slipsocket Connct,Fernox,89.29,"Specifically designed for small or restricted access spaces, the Fernox TF1 Omega 22mm filter with slip socket connections is an easy to install sealed, in-line system filter. Manufactured from robust nickel-plated brass, this award-winning filter uses hydronic particle separation (HPS) technology along with magnetic filtration to remove both magnetic and-non magnetic debris from the central heating system. Offering simple cleaning, there's no need to dismantle the unit or replace O-rings during servicing.",Heating/Water Treatment Products/Central Heating Filters/Central Heating Filters.csv -> Fernox TF1 Omeg Tf1 Filter 22mm/Slipsocket Connct,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/89/55/NW-608955_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/TF1_Omega_Filter_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Fernox_62248_Omegafilter_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,P609278,Adey MagnaClean Micro2 filter and chemical pack,Adey,129.14,"The Adey MagnaClean Micro2 filter and chemical pack contains Magnaclean Micro2 with two essential installation chemicals, the MC1 protector and MC3 cleaner make installing a new central heating system simple.",Heating/Water Treatment Products/Central Heating Filters/Central Heating Filters.csv -> Adey MagnaClean Micro2 filter and chemical pack,,MagnaClean Professional2 filter;MC1 protector;MC3 cleaner,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/92/78/NW-609278_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Adey_Domestic_Product_Range_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,P114170,Keston system filter 28mm,Keston,191.0,"Designed for use specifically with Keston Heat boilers, this Keston 28mm system filter uses magnet technology to help protect heating systems from damaging contaminants. Easy to install, this compact filter can be fitted on horizontal or vertical pipework in either flow direction.",Heating/Water Treatment Products/Central Heating Filters/Central Heating Filters.csv -> Keston system filter 28mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/41/70/NW-114170_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Keston_System_Filter_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Keston_28mm_Filter_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,P609533,Adey MagnaClean Professional2 Magnaclean Profession 2 22Mm Blk,Adey,92.98,"Capturing the maximum amount of magnetite possible, the Adey MagnaClean Professional2 22mm filter provides reliable protection from potentially damaging debris, helping to extend the life of your central heating system.",Heating/Water Treatment Products/Central Heating Filters/Central Heating Filters.csv -> Adey MagnaClean Professional2 Magnaclean Profession 2 22Mm Blk,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/95/33/NW-609533_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Adey_Domestic_Product_Range_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Adey_MagnaCleanProf2_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,P608195,Sentinel Vortex300 filter with brass T-piece and direct fit 22mm 300ml,Sentinel,151.34,The Sentinel Vortex300 22mm filter with brass T-piece and direct fit protects your central heating system from damage caused by all types of debris.,Heating/Water Treatment Products/Central Heating Filters/Central Heating Filters.csv -> Sentinel Vortex300 filter with brass T-piece and direct fit 22mm 300ml,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/81/95/NW-608195_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Sentinel_Vortex300_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
