,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Colour,Diameter,Weight,Hazardous,Model For Use With,Boiler Section,Boiler Range,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Attachment 1,Attachment 2,Part Gas Council number,By Model Number,Attachment 3
10,P427555,Baxi Multifit horizontal flue with inline elbow,Baxi,119.74,"This Baxi flue and elbow is for use with the brand's Combi, Duo-tec, Megaflo, Platinum, Main Combi/Combi HE, Main Eco, Main Eco Elite, Main HE, Gold, Heatmax, Performa, Performa SL, Promax and Suprima boilers. A boiler flue is the outlet through which steam and toxic gases resulting from the boiler's normal operation are safely expelled. Different models of flue are chosen to suit the type and location of the appliance. We know you’re busy and need to get repair jobs done quickly and efficiently. Your local parts specialist is always on hand to support you. They offer help, advice and they can get you the part you need. Your local branch stocks an in-depth range of domestic gas and oil spare parts from leading manufacturers, so you can fix it first time.",Boilers/sub_categories/Domestic Boiler Flues & Accessories/sub_categories/Baxi Flues/Baxi Flues.csv -> Baxi Multifit horizontal flue with inline elbow,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/75/55/427555_wm.jpg,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Baxi_Combi_105_Installation.pdf,,,,
11,P211191,Baxi Multifit plume displacement kit terminal 1mtr extension 60/100mm Black,Baxi,36.98,"This Baxi 20mm black plume displacement kit for telescopic flues is supplied with a terminal and brackets. It is used to redirect a nuisance gas and steam plume where an outlet is inconveniently located. 1M in length, this kit is suitable for use with Promax Combi, Platinum, Duo-Tec, Megaflow, EcoBlue, EcoBlue+, EcoBlue Advance Combi, System and Regular boilers.",Boilers/sub_categories/Domestic Boiler Flues & Accessories/sub_categories/Baxi Flues/Baxi Flues.csv -> Baxi Multifit plume displacement kit terminal 1mtr extension 60/100mm Black,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/11/91/NW-211191_wm.jpg,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Baxi_Flue_Solutions_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Baxi_Brochure.pdf,,,
12,P410139,Baxi 5112369 flue adaptor he (no seals),Baxi,15.33,"This Baxi flue adaptor is for use with the brand's Combi, Duo-tec, Duo-tec ErP, Ecogen, Megaflo, Megaflo ErP, Platinum, Platinum ErP, System IE, Main Combi/Combi HE, Main Eco, Main Eco Elite, Main Eco Elite ErP, Main HE, Apollo, Gold, Gold ErP, Heatmax, Performa, Promax, Promax ErP, Titanium and Titanium ErP boilers. A boiler flue is the outlet through which steam and toxic gases resulting from the boiler's normal operation are safely expelled. Different models of flue are chosen to suit the type and location of the appliance. We know you’re busy and need to get repair jobs done quickly and efficiently. Your local parts specialist is always on hand to support you. They offer help, advice and they can get you the part you need. Your local branch stocks an in-depth range of domestic gas and oil spare parts from leading manufacturers, so you can fix it first time.",Boilers/sub_categories/Domestic Boiler Flues & Accessories/sub_categories/Baxi Flues/Baxi Flues.csv -> Baxi 5112369 flue adaptor he (no seals),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/01/39/410139_wm.jpg,,,,N,"Combi 105 HE, Combi Instant 105 HE, Combi Instant 80 HE, 24 HE, 24 HE A, 24 HE LPG, 28 HE, 28 HE A, 28 HE LPG, 33 HE, 33 HE A, 33 HE LPG, 40 HE, 40 HE A, Duo-tec 24 Combi ErP, Duo-tec 28 Combi ErP, Duo-tec 28 LPG Combi ErP, Duo-tec 33 Combi ErP, Duo-tec",Flue,"Combi, Duo-tec, Duo-tec ErP, Ecogen, Megaflo, Megaflo ErP, Platinum, Platinum ErP, System IE, Main Combi/ Combi HE, Main Eco, Main Eco Elite, Main Eco Elite ErP, Main HE, Apollo, Gold, Gold ErP, Heatmax, Performa, Promax, Promax ErP, Tit",5112369,Flue Adaptor,N,Baxi spare part,,,,,H28923,"40HE,Megaflo System ErP 15,24 HE LPG,28 HE LPG,28 HE A System,32 HE System,Combi 24 HE,15 HE Megaflo System,32 HE A System,Combi 40 HE,Platinum 40 Combi ErP,28 HE,Megaflo System ErP 32,24HE A,28 HE A,33 HE A,24 HE System,Duo-tec 28 Combi ErP,33 HE LPG",
13,P424737,Baxi flue terminal - plastic,Baxi,9.18,"This Baxi flue terminal is for use with Baxi Combi, System, Main Combi/Combi HE and Performa boilers. A boiler flue is the outlet through which steam and toxic gases resulting from the boiler's normal operation are safely expelled. Different models of flue are chosen to suit the type and location of the appliance. As the leading supplier of parts for all the major boiler manufacturers we’ve got a wealth of experience and knowledge in this area, and with over 450 branches we carry more heating spare parts in more places than any other merchant to help you improve your first time fix rate.",Boilers/sub_categories/Domestic Boiler Flues & Accessories/sub_categories/Baxi Flues/Baxi Flues.csv -> Baxi flue terminal - plastic,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/47/37/424737_wm.jpg,,,,N,"Combi 105E, Combi 80 Eco, Combi 80 Maxflue, Combi 80E, Combi Instant 105E, Combi Instant 80E, Maxflow Combi Fs, Maxflow Combi Wm, System 35/60, System 60/100, Combi 24, Performa 24, Performa 28, Performa 28i, Performa System 12E, Performa System 18E, Per",Flue,"Combi, System, Main Combi/ Combi HE, Performa",247761,Flue Terminal,N,Baxi spare part,,,,,E59939,"Maxflow Combi Fs,Performa System 12E,Performa System 24E,Combi 80 Eco,Performa 28i,Combi Instant 105E,System 35/60,Combi 105E,Performa 24,Combi 24,Performa 28,Maxflow Combi Wm,System 60/100,Combi 80E,Performa System 18E,Combi 80 Maxflue,Combi Instant 80E",
14,P333680,Baxi Multifit 2 standard telescopic flue 60/100mm Black / White,Baxi,97.0,"With white aluminium on the main extension, with Black terminal end, this robust telescopic flue is the standard choice for normal installation through a domestic property wall. Featuring push seal jointing and positive fixing screws, build quality is superb and of the standard you would expect from Baxi.",Boilers/sub_categories/Domestic Boiler Flues & Accessories/sub_categories/Baxi Flues/Baxi Flues.csv -> Baxi Multifit 2 standard telescopic flue 60/100mm Black / White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/12/02/211201_211202_wm.jpg,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Baxi_Brochure.pdf,,,,
15,P211209,Baxi Multifit vertical ridge flue terminal 60/100mm,Baxi,148.67,"Made of white aluminium but finished in brown to blend in with most building materials, the Baxi Multifit 60/100mm vertical ridge flue terminal is easy to cut and incorporates a polyphenylene sulphide (PPS) inner material.",Boilers/sub_categories/Domestic Boiler Flues & Accessories/sub_categories/Baxi Flues/Baxi Flues.csv -> Baxi Multifit vertical ridge flue terminal 60/100mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/12/09/NW-211209_wm.jpg,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Baxi_Flue_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Baxi_EcoBlue_Range_Guide.pdf,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Baxi_Flue_Solutions_Technical.pdf
16,P333831,Baxi rear telescopic flue pack 220 - 345mm,Baxi,101.0,The Baxi Multifit telescopic rear flue kit measures 100 mm in diameter and adjustable in length from 220 mm to 345 mm. Its designed for use with the Baxi Multifit 60 mm x 100 mm flue system for Potterton Titanium heat only boiler range.,Boilers/sub_categories/Domestic Boiler Flues & Accessories/sub_categories/Baxi Flues/Baxi Flues.csv -> Baxi rear telescopic flue pack 220 - 345mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/38/31/NW-333831_wm.jpg,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/he/et/Logic_Max_System_Specsheet.pdf,,,,
17,P118453,Baxi multifit IFOS system kit,Baxi,55.56,"This in-flue outdoor sensor, or IFOS, kit is suitable for use with Baxi system boilers with either horizontal or vertical flue terminals. Designed to position a weather temperature compensation control, with an IFOS customers can enjoy the benefits of a system that adjusts in reaction to outside temperature readings.",Boilers/sub_categories/Domestic Boiler Flues & Accessories/sub_categories/Baxi Flues/Baxi Flues.csv -> Baxi multifit IFOS system kit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/84/53/118453_wm.jpg,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/Baxi_Flue_Solutions.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/118453_Installation.pdf,,,
18,P118757,Baxi Multifit flue internal fixing kit,Baxi,56.36,"Under the Multifit brand, the telescopic flue kit for Baxi boilers provides a length of 350 - 500 mm, and flue lengths are available in 0.25 metre, 0.5 metre and 1 metre.  This means that there is hardly ever a need to cut a length of flue, reducing installation time and wastage, which is a particular consideration for new build.  The flue sections are joined using a simple push seal mechanism with two positive screw connections giving reassurance that the joint will not come apart. By popular demand, white, black and brown terminal options are now available to better blend into the building.  Where pluming is likely to be a nuisance, a new plume management kit has been introduced.  Available in black or white, the new kit can be retrofitted to the flue terminal and is competitively priced and easy to fit.  And for even greater flexibility, a new ridge tile terminal is available.",Boilers/sub_categories/Domestic Boiler Flues & Accessories/sub_categories/Baxi Flues/Baxi Flues.csv -> Baxi Multifit flue internal fixing kit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/87/57/118757_wm.jpg,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/n_/he/Baxi_Combi_105_Installation_HE.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Baxi_Brochure.pdf,,,
19,P787649,Baxi kit flue terminal,Baxi,315.62,"This Baxi flue terminal condensing kit is for use with Baxi 100 He, 50 He, 80 He, Barcelona, Combi (Condensing), Platinum, Solo HE and HE A, Main Combi/Combi HE, Main HE A, Main Heat ErP, Gold, Gold ErP, Precision, Promax, Promax SL and Promax SL ErP boilers. This vent makes sure that steam and toxic gases resulting from the boiler's normal operation are safely expelled. Different models of flue are chosen to suit the type and location of the appliance. As the leading supplier of parts for all the major boiler manufacturers we’ve got a wealth of experience and knowledge in this area, and with over 450 branches we carry more heating spare parts in more places than any other merchant to help you improve your first time fix rate.",Boilers/sub_categories/Domestic Boiler Flues & Accessories/sub_categories/Baxi Flues/Baxi Flues.csv -> Baxi kit flue terminal,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/76/49/787649_wm.jpg,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Baxi_Combi_133-80_HE_Plus_Installation.pdf,,,,
20,P788916,Baxi flue sample plug,Baxi,4.05,"This genuine Baxi M14 x 1 flue sample plug is for use in the flue section of the Baxi Combi, System, Main Combi/Combi HE and Performa boilers. A boiler flue is the outlet through which steam and toxic gases resulting from the boiler's normal operation are safely expelled. Different models of flue are chosen to suit the type and location of the appliance. We carry over 300 of the most in demand parts in-branch and stock over 25,000 spare parts available for next-day timed delivery.",Boilers/sub_categories/Domestic Boiler Flues & Accessories/sub_categories/Baxi Flues/Baxi Flues.csv -> Baxi flue sample plug,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/89/16/788916_wm.jpg,,,,N,"Combi 105E, Combi 80 Eco, Combi 80 Maxflue, Combi 80E, Combi Instant 105E, Combi Instant 80E, Maxflow Combi Fs, Maxflow Combi Wm, System 35/60, System 60/100, Combi 24, Performa 24, Performa 28, Performa 28i, Performa System 12E, Performa System 18E, Per",Flue,"Combi, System, Main Combi/ Combi HE, Performa",248429,Plug,N,Baxi spare part,,,,,798827,"Maxflow Combi Fs,Performa System 24E,Combi 80 Eco,Performa 28i,Combi Instant 105E,System 35/60,Combi 105E,Combi 24,Maxflow Combi Wm,Combi 80E,Sirius FS 130-160,Sirius FS 50-70,Combi 80 Maxflue,Sirius FS 90-105,Performa System 28E,+ System,Combi Instant 80E",
21,P118738,Baxi Multifit 93deg bend and plume dispersal kit,Baxi,47.4,"This Baxi Multifit telescopic flue kit ensures you have the exact flue length you require for the day's installation jobs to hand, meaning faster working and less mess with no need to cut flues to size.",Boilers/sub_categories/Domestic Boiler Flues & Accessories/sub_categories/Baxi Flues/Baxi Flues.csv -> Baxi Multifit 93deg bend and plume dispersal kit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/87/38/118738_wm.jpg,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Baxi_Range_Guide.pdf,,,,
22,P427561,Baxi Multifit plume displacement terminal kit,Baxi,352.72,"This Baxi plume displacement terminal kit is suitable for use with Duo-tec, Megaflo, Platinum, Main HE, Heatmax, Performa, Performa SL, Promax, Combi, Main Eco, Gold, Suprima and Main Combi/Combi HE boilers.  This kit contains a 0.9m 60/100 concentric flue, 1m 60mm diameter exhaust flue pipe, adaptor, 60mm diameter support brackets, 93° elbow/plume outlet assembly, flexible flue trim, elbow, O-rings and jubilee clip for fast, hassle-free installation.  Recommended where a condensate plume from the flue might cause a nuisance, the terminal should be positioned outside a building with the air inlet facing down and outlet connection facing upwards. The outlet must be at least 45° to the wall with the 'peak' uppermost to avoid rain entering the opening. It must be installed at least 2m above ground level and be secured. The plume outlet should be 500mm minimum in any direction from the air inlet.  As the UK’s leading parts specialist, Wolseley carry the widest range of spares, stocking all the big name brands for",Boilers/sub_categories/Domestic Boiler Flues & Accessories/sub_categories/Baxi Flues/Baxi Flues.csv -> Baxi Multifit plume displacement terminal kit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/75/61/427561_wm.jpg,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Baxi_Combi_105_Installation.pdf,,,,
23,P211193,Baxi Multifit 93deg plume bend 60/100mm Black,Baxi,43.3,"Designed with an easy to cut white aluminium outer, this Baxi Multifit 93° concentric plume displacement bend has a PPS inner. It is used to redirect a nuisance gas and steam plume where an outlet is inconveniently located. Provided with a push-seal and positive screw fixings for all connections, this elbow is suitable for use with GA Combi and System boilers.",Boilers/sub_categories/Domestic Boiler Flues & Accessories/sub_categories/Baxi Flues/Baxi Flues.csv -> Baxi Multifit 93deg plume bend 60/100mm Black,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/11/93/NW-211193_wm.jpg,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Baxi_GA_Combi_System_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Baxi_Flue_Solutions_Technical.pdf,,,
