,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Range,Weight,Defrost,Hazardous,Power Supply,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Attachment 2,Attachment 3,Cable Length (m),IP Rating
10,P675070,Danfoss AKS11 temperature sensor cable 3.5mtr,Danfoss,37.28,"Supplied fully adjusted, the Danfoss AKS11 temperature sensor is designed for temperature logging and monitoring alongside Danfoss controllers. It is suitable for use in heating, air conditioning and refrigeration applications.",Refrigeration/Controls/Refrigeration Sensors/Refrigeration Sensors.csv -> Danfoss AKS11 temperature sensor cable 3.5mtr,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/50/70/NW-675070_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/RK0YG502_Technical.pdf,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Danfoss_AKS11_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Danfoss_AKS11_Installation.pdf,,
11,P673952,Eliwell SN7 PTC sensor with cable 3mtr -20/+80c,Eliwell,5.38,"Detecting temperatures in a chosen application, the Eliwell SN7 PTC sensor should be selected based on precise criteria, bearing in mind the characteristics of the probe itself. Accurate selection minimises the risk of errors and potential breakdown.",Refrigeration/Controls/Refrigeration Sensors/Refrigeration Sensors.csv -> Eliwell SN7 PTC sensor with cable 3mtr -20/+80c,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/39/52/673952_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Eliwell_SN7_SN8_Brochure.pdf,,,,,,,,,,,,,,,,,,,
12,P668674,Carel NTC015WH01 negative temperature coefficient sensor,Carel,10.67,"A high quality passive temperature probe, this Carel NTC sensor senses the value of the heater, converting it into a temperature via the electronic control. Suitable for use in HVAC/R, this NTC sensor is part of a range designed to meet the various needs of different installations.",Refrigeration/Controls/Refrigeration Sensors/Refrigeration Sensors.csv -> Carel NTC015WH01 negative temperature coefficient sensor,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/86/74/NW-668674_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Carel_Sensor_Brochure.pdf,,,,,,,,,,,,,,,,,,,
13,P678837,Danfoss AKS32R transducer 1-12bar,Danfoss,164.39,"The Danfoss AKS32R -1 to 12 bar pressure transmitter is suitable for use in CO2 or refrigeration plants, air conditioning systems, process control or labs. With a radio metric output suitable for systems with radio metric A/D converters, this transmitter converts measured pressure into a linear output signal. This signal is relative to the supply voltage, making the minimum pressure output 10% of the actual supply voltage, while the maximum pressure output is 90% of the actual supply voltage.",Refrigeration/Controls/Refrigeration Sensors/Refrigeration Sensors.csv -> Danfoss AKS32R transducer 1-12bar,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/88/37/NW-678837_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Danfoss_AKS_Brochure.pdf,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Danfoss_AKS_Installation.pdf,,,
14,P684193,Beermaster MK2 defrost sensor (BMI),Beermaster,43.25,"This efficient Beermaster defrost sensor is fitted to ensure accuracy. Where a controller set point is reduced to a temperature of below 8°C without a fitted defrost sensor, the set point will automatically default to 8°C.",Refrigeration/Controls/Refrigeration Sensors/Refrigeration Sensors.csv -> Beermaster MK2 defrost sensor (BMI),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/41/93/NW-684193_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Beermaster_R407C_Brochure.pdf,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Beermaster_BMIE-BMO_Installation.pdf,,,
15,P673884,Eliwell SN7 PTC sensor with cable 3mtr -50/140c,Eliwell,8.61,"Detecting temperatures in a chosen application, the Eliwell SN7 PTC sensor should be selected based on precise criteria, bearing in mind the characteristics of the probe itself. Accurate selection minimises the risk of errors and potential breakdown.",Refrigeration/Controls/Refrigeration Sensors/Refrigeration Sensors.csv -> Eliwell SN7 PTC sensor with cable 3mtr -50/140c,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/38/84/NW-673884_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Eliwell_SN7_SN8_Brochure.pdf,,,,,,,,,,,,,,,,,,,
16,P692383,Alco PT4-M15 Cable/Plug Assembly,Alco,8.33,This Alco PT4 M15 1.5M cable/plug assembly is designed for use with Alco models EXV4 through to EXV8.,Refrigeration/Controls/Refrigeration Sensors/Refrigeration Sensors.csv -> Alco PT4-M15 Cable/Plug Assembly,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/23/83/NW-692383_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Alco_PT5N_Brochure.pdf,,,,,,,,,,,,,,,,,,,
17,P692153,Tektroniks Pt1000 refrigeration temperature sensor 6mtr cable,Tektroniks,21.72,"Compatible with controls from all major manufacturers, this Tektroniks replacement temperature sensor incorporates a 6 x 35mm, 316 grade stainless steel bullet end and an arctic-quality PVC two-core cable. It is finished to bare wire ends.",Refrigeration/Controls/Refrigeration Sensors/Refrigeration Sensors.csv -> Tektroniks Pt1000 refrigeration temperature sensor 6mtr cable,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/21/53/NW-692153_wm.jpg,,,,,N,,M22BLU06M0,Temperature Sensor,N,Equivalent of RDM and Danfoss (Pt1000) probes,Low thermal time constant,Use for sensing air temperature or coil temperature,Blue colour,With 6M cable,,,,,6,IP68
18,P675422,Alco PT5N PT5N-18M suction pressure transducer,Alco,110.22,"The Alco PT5N-18M 0 to 18 bar pressure transmitter is built to convert pressure into a linear electrical 4 to 20 mA output signal. This signal can control simple compressor and fan switching, converting it to superheat modulation of an electronic control valve. Featuring an easy installation pre-fabricated M12 cable assembly and 7/16"" UNF connection, the PT5N transmitter is an affordable and high performing  choice for heat pump, refrigeration and air conditioning use.",Refrigeration/Controls/Refrigeration Sensors/Refrigeration Sensors.csv -> Alco PT5N PT5N-18M suction pressure transducer,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/54/23/NW-675421_675423_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Alco_PT5N_Brochure.pdf,,,,,,,,,,,,,,,,,,,
19,P668675,Carel NTC030WH01 negative temperature coefficient sensor,Carel,14.04,"A high quality passive temperature probe, this Carel NTC sensor senses the value of the heater, converting it into a temperature via the electronic control. Suitable for use in HVAC/R, this NTC sensor is part of a range designed to meet the various needs of different installations.",Refrigeration/Controls/Refrigeration Sensors/Refrigeration Sensors.csv -> Carel NTC030WH01 negative temperature coefficient sensor,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/86/76/NW-668675_668676_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Carel_Sensor_Brochure.pdf,,,,,,,,,,,,,,,,,,,
20,P675423,Alco PT5N PT5N-30M discharge pressure transducer,Alco,110.22,"The Alco PT5N-30M 0 to 30 bar pressure transmitter is built to convert pressure into a linear electrical 4 to 20 mA output signal. This signal can control simple compressor and fan switching, converting it to superheat modulation of an electronic control valve. Featuring an easy installation pre-fabricated M12 cable assembly and 7/16"" UNF connection, the PT5N transmitter is an affordable and high performing  choice for heat pump, refrigeration and air conditioning use.",Refrigeration/Controls/Refrigeration Sensors/Refrigeration Sensors.csv -> Alco PT5N PT5N-30M discharge pressure transducer,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/54/23/NW-675421_675423_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Alco_PT5N_Brochure.pdf,,,,,,,,,,,,,,,,,,,
