,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Colour,Pack Quantity,Warranty,Hazardous,Sector,Depth (mm),Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Diameter,Material,Feature 4,Feature 5,Feature 6,Attachment 3,Attachment 4
10,PD12203,Saracen AE100022 vinyl curtain 1800 x 1800mm White,Saracen,13.82,"Measuring 1.8 x 1.8M, this white vinyl Saracen shower curtain is a simple, classy choice for any bathroom. Fully waterproof on one side and featuring tear-resistant eyelets, this shower curtain is machine washable for convenience.",Showering/Shower Curtains and Screens/Shower Curtains /Shower Curtains .csv -> Saracen AE100022 vinyl curtain 1800 x 1800mm White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/22/03/NW-D12203_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/D12203_Saracen_Technical.pdf,,,,,,,,,,,,,,,,,,,,
11,PD12206,Saracen shower curtain rings White (Pack of 12),Saracen,2.98,A pack of 12 Saracen white shower curtain rings.,Showering/Shower Curtains and Screens/Shower Curtains /Shower Curtains .csv -> Saracen shower curtain rings White (Pack of 12),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/22/06/NW-D12206_wm.jpg,,,White,pack of 12,n/a,N,Hotels/Leisure,N/A,GP90051PCC,Shower Curtain Ring,N,Pack of 12 rings,White colour,For use with curtain rods up to 29mm diameter,,,,,,,
12,PD12218,Saracen GP89500 curtain rod 2000mm Stainless Steel,Saracen,42.76,This trimmable Saracen curtain rod is made of durable stainless steel with a chrome wall bracket for reliably strong shower curtain hanging.,Showering/Shower Curtains and Screens/Shower Curtains /Shower Curtains .csv -> Saracen GP89500 curtain rod 2000mm Stainless Steel,,Curtain rodAll fixings,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/22/18/NW-D12218_wm.jpg,,,Steel,,,N,"Healthcare,Assisted Living,Hotels/Leisure,Sport/Fitness",,GP89500PCC,Curtain Rod,N,Stainless steel rod,Chrome-plated zinc wall bracket,2000mm standard size,25 mm,Stainless Steel,Can be trimmed to size,25mm diameter,All fixings are included,,
13,PD12211,"Saracen straight rail 915mm, Silver",Saracen,21.73,Saracen straight rail is made up of aluminium. Behind every shower curtain is a great way to hang it up. Croydex rod and rail comes in a range of styles and offer several choices to complete bathroom look.,"Showering/Shower Curtains and Screens/Shower Curtains /Shower Curtains .csv -> Saracen straight rail 915mm, Silver",,Straight railTwelve hooksGlidersAll fixings,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/22/11/NW-D12207_D12211_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/D12211_Saracen_Instructions.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/D12211_Saracen_Technical.pdf,,,,,,,,,,,,,,,,,,,
14,PC93058,AKW 24083 2.4M X 2M SHOWER CURTAIN,AKW,25.48,"Machine washable and hardwearing, this AKW 2400 x 2000mm heavy duty shower curtain in white is made with heavyweight woven polyester with a weighted hem, keeping it contained within the shower area, reducing splashes and flooding with no annoying clinging. Breathable yet completely waterproof, this practical shower curtain helps to keep your bathroom neat and safe during and after showering.",Showering/Shower Curtains and Screens/Shower Curtains /Shower Curtains .csv -> AKW 24083 2.4M X 2M SHOWER CURTAIN,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/30/58/NW-C93058_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/AKW_HD_Curtains_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/AKW_BathroomProducts_Technical.pdf,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/AKW_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/AKW_HD curtains_Technical.pdf
15,PD29400,Croydex Slenderline shower rail kit Silver,Croydex,32.79,"This Croydex Slenderline aluminium rail system is supplied complete with ceiling support, hooks and gliders. Used to create any one of four assembly options, this flexible, cuttable shower rail is strong yet lightweight, so it's easy to work with and install.",Showering/Shower Curtains and Screens/Shower Curtains /Shower Curtains .csv -> Croydex Slenderline shower rail kit Silver,,Shower rail ;fixings,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/94/00/NW-D29400_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Croydex_Product_Catalogue_2019.pdf,,,,,,,,,,,,,,,,,,,,
16,PD12216,Saracen telescopic rod 1100 - 2600mm Chrome,Saracen,20.46,This Saracen 1100-2600mm telescopic shower curtain rod is made from ABS with a chrome finish.,Showering/Shower Curtains and Screens/Shower Curtains /Shower Curtains .csv -> Saracen telescopic rod 1100 - 2600mm Chrome,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/22/17/NW-D12216_D12217_wm.jpg,,,Chrome,,,N,"Healthcare,Hotels/Leisure,Assisted Living,Sport/Fitness",,AD109541PCC,Telescopic Rod,N,Abs chrome plated wall bracketsbright anodised aluminium tubetelescopicadhesive pads for additional support,,,,,,,,,
17,PD12213,Saracen spare hooks and gliders (Pack of 12),Saracen,4.01,Saracen hooks and gliders available in 12 per pack. Suitable for use with both Profile 400 and 800 rails where more than one shower curtain is required.,Showering/Shower Curtains and Screens/Shower Curtains /Shower Curtains .csv -> Saracen spare hooks and gliders (Pack of 12),,12x hooks and gliders,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/22/13/NW-D12213_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/D12213_Saracen_Technical.pdf,,,,,,,,,,,,,,,,,,,,
18,PD30322,Croydex high performance textile shower curtain White,Croydex,34.31,"Designed for long-lasting use, this Croydex clean, bright white shower curtain is made from 100% polyester with a Proseal coating for unbeatable water repellency. Machine washable and strong, this ready-to-hang shower curtain remains opaque even when wet for added privacy.",Showering/Shower Curtains and Screens/Shower Curtains /Shower Curtains .csv -> Croydex high performance textile shower curtain White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/03/22/UP-D30322_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Croydex_Product_Catalogue_2019.pdf,,,,,,,,,,,,,,,,,,,,
19,PD12210,Saracen angled rail 915 x 915mm Silver,Saracen,35.72,Saracen angled rail is made up of aluminium. Behind every shower curtain is a great way to hang it up. Croydex rod and rail comes in a range of styles and offer several choices to complete bathroom look.,Showering/Shower Curtains and Screens/Shower Curtains /Shower Curtains .csv -> Saracen angled rail 915 x 915mm Silver,,Angled railTwelve hooksGlidersAll fixings,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/22/11/NW-D12207_D12211_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/D12210_Saracen_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/D12210_Saracen_Instructions.pdf,,,,,,,,,,,,,,,,,,,
20,PD47300,Croydex PVC curtain White,Croydex,10.55,"This Croydex shower curtain is made of a clean white PVC designed to suit any bathroom. Easy to clean and ready to hang, this tear-resistant curtain is entirely waterproof to prevent leaks.",Showering/Shower Curtains and Screens/Shower Curtains /Shower Curtains .csv -> Croydex PVC curtain White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/73/00/UP-D47300_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Croydex_Product_Catalogue_2019.pdf,,,,,,,,,,,,,,,,,,,,
21,PD12209,Saracen straight rail 2135mm Silver,Saracen,32.16,Saracen straight rail is made up of aluminium. Behind every shower curtain is a great way to hang it up. Croydex rod and rail comes in a range of styles and offer several choices to complete bathroom look.,Showering/Shower Curtains and Screens/Shower Curtains /Shower Curtains .csv -> Saracen straight rail 2135mm Silver,,Straight railTwelve hooksGlidersAll fixings,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/22/11/NW-D12207_D12211_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/D12209_Saracen_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/D12209_Saracen_Instructions.pdf,,,,,,,,,,,,,,,,,,,
22,PD12202,Saracen AF160000 textile curtain 1800 x 1800mm White,Saracen,19.41,"Measuring 1.8 x 1.8M, this white textile Saracen shower curtain is a simple, classy choice for any bathroom. Fully waterproof on one side and featuring tear-resistant eyelets, this shower curtain is machine washable for convenience.",Showering/Shower Curtains and Screens/Shower Curtains /Shower Curtains .csv -> Saracen AF160000 textile curtain 1800 x 1800mm White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/22/02/NW-D12202_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/D12202_Saracen_Technical.pdf,,,,,,,,,,,,,,,,,,,,
23,PD30020,Croydex bendy shower rail 2000mm Silver,Croydex,48.82,"This 2M Croydex silver bendy shower rail is supplied with ceiling support, hooks, gliders. With two separate aluminium extrusions and a central flexible PVC core, this rail can be bent at any point to follow the curve of a bath or shower.",Showering/Shower Curtains and Screens/Shower Curtains /Shower Curtains .csv -> Croydex bendy shower rail 2000mm Silver,,Bendy rail;2 piece wall brackets;24 piece gliders;26 piece hooks;Ceiling hanger support;Ceiling support bracket;2 piece end stop;2 piece fixing nut;5 piece wall plug;No.6 x 1 inch self tapping screw;No.4 x 1/4 inch self tapping screw;5 piece No.8 x 1-1/4,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/00/20/UP-D30020_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Croydex_Product_Catalogue_2019.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Croydex_BendyRail_Installation.pdf,,,,,,,,,,,,,,,,,,,
24,PD12217,Saracen telescopic rod 1100 - 1830mm Chrome,Saracen,12.97,This Saracen 1100-1830mm telescopic shower curtain rod is made from ABS with a chrome finish.,Showering/Shower Curtains and Screens/Shower Curtains /Shower Curtains .csv -> Saracen telescopic rod 1100 - 1830mm Chrome,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/22/17/NW-D12216_D12217_wm.jpg,,,Chrome,,,N,"Healthcare,Hotels/Leisure,Assisted Living,Sport/Fitness",,AD109641PCC,Telescopic Rod,N,Abs chrome plated wall bracketsbright anodised aluminium tubetelescopicadhesive pads for additional support,,,,,,,,,
25,PD30242,Croydex Profile 800 shower rail 2135mm Silver,Croydex,34.39,"The lightweight and strong 2135mm Croydex Profile 800 straight shower rail is a professional rail system designed to effortlessly hold a shower curtain. Supplied with hooks and gliders, this curtain rail is pre-formed and incorporates a rigid H section for bends without sagging.",Showering/Shower Curtains and Screens/Shower Curtains /Shower Curtains .csv -> Croydex Profile 800 shower rail 2135mm Silver,,Straight shower rail;Wall plugs x 4-10;No.8 x 1 1/4 inch screws x 4 -10;No.6 x 1 inch self tapping screw x 1 or 2;No.4 x 1/4 inch self tapping screw x 1 or 2;Gliders ;hooks x 12 - 24;End stop ;fixing nut x 1 or 2;Ceiling hanger support x 1 or 2;Ceiling s,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/02/42/UP-D30242_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Croydex_SlenderlineKit_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Croydex_Product_Catalogue_2019.pdf,,,,,,,,,,,,,,,,,,,
26,PD47409,Croydex high performance curtain,Croydex,27.47,"Designed for long-lasting use, this Croydex clean, bright white shower curtain is made from 100% polyester with a Proseal coating for unbeatable water repellency. Machine washable and strong, this ready-to-hang shower curtain remains opaque even when wet for added privacy.",Showering/Shower Curtains and Screens/Shower Curtains /Shower Curtains .csv -> Croydex high performance curtain,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/74/09/UP-D47409_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Croydex_Product_Catalogue_2019.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Croydex_ShowerCurtains_Brochure.pdf,,,,,,,,,,,,,,,,,,,
27,PD47376,Croydex shower curtain rings,Croydex,3.68,Add an understated finishing touch to any bathroom with this pack of 12 Croydex clear button-style shower curtain rings.,Showering/Shower Curtains and Screens/Shower Curtains /Shower Curtains .csv -> Croydex shower curtain rings,,Button curtain ring;Full colour polybag with Euro slot,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/73/76/UP-D47376_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Croydex_Product_Catalogue_2019.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/17/Croydex_Product_Catalogue_2017.pdf,,,,,,,,,,,,,,,,,,,
28,PD30449,Croydex Profile 800 shower rail 760 x 1675mm Silver,Croydex,46.06,"The lightweight and strong 760 x 1675mm Croydex Profile 800 L-shaped shower rail is a professional rail system designed to effortlessly hold a shower curtain. Supplied with hooks and gliders, this curtain rail is pre-formed and incorporates a rigid H section for bends without sagging.",Showering/Shower Curtains and Screens/Shower Curtains /Shower Curtains .csv -> Croydex Profile 800 shower rail 760 x 1675mm Silver,,L shaped shower rail;Wall plugs x 4-10;No.8 x 1 1/4 inch screws x 4 -10;No.6 x 1 inch self tapping screw x 1 or 2;No.4 x 1/4 inch self tapping screw x 1 or 2;Gliders and hooks x 12 - 24;End stop and fixing nut x 1 or 2;Ceiling hanger support x 1 or 2;Cei,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/04/49/UP-D30449_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Croydex_SlenderlineKit_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Croydex_Product_Catalogue_2019.pdf,,,,,,,,,,,,,,,,,,,
