,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Connection Size,Connection Type,Diameter,Operating Temperature,Range,Hazardous,Approvals,Equal / Unequal,Angle,End Connection A size,End Connection C size,Gender,Material,Size,Connection Type 1,Connection Type 2,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,End Connection B size,Attachment 2,Attachment 3,Attachment 4,Attachment 5,Attachment 6,Attachment 7,Attachment 8,Attachment 9,Colour,Feature 9,Feature 10,Feature 11,Feature 12,Feature 13,Feature 14,Feature 15,Feature 16,Feature 17,Feature 18,Feature 19,Wall Thickness (mm),Weight,Material Type,Grade,Min Outlet Pressure,Max Outlet Pressure,Connection Gender,Standards,Attachment 10,Connection Size (mm),Actuator Type,Handle Type,Number of Ports,Operator Type,Seal Material
10,P635780,Center CB End Feed CB-EFTE0221522 end feed one end reduced tee 22 x 15 x 22mm,Center CB,2.58,"Compact and lightweight, this Center CB end feed reducing tee with 22 x 15 x 22mm female connections is designed for ease of handling and straightforward installation, even in awkward spaces. A smooth design helps to minimise flow restrictions while also ensuring the fitting looks neat when installed on exposed pipelines. Center CB's end feed general range is suitable for use with soft or hard solder, or brazing alloy. A solder joint is created through the principle of capillary action. When fitting and tube are heated to the correct temperature, the solder becomes molten, allowing it to be drawn into the gap between the two for a tough, reliable joint.","School's Out/Pipe, Valves & Fittings | Maintenance Projects/Pipe, Valves & Fittings | Maintenance Projects.csv -> Center CB End Feed CB-EFTE0221522 end feed one end reduced tee 22 x 15 x 22mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/57/80/635780_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/635780_Center_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,P635745,Center CB End Feed CB-EFELS015 end feed street elbow 15mm,Center CB,0.7,"Compact and lightweight, this Center CB end feed 90° street elbow with 15mm plain male x female connections is designed for ease of handling and straightforward installation, even in awkward spaces. A smooth design helps to minimise flow restrictions while also ensuring the fitting looks neat when installed on exposed pipelines. Center CB's end feed general range is suitable for use with soft or hard solder, or brazing alloy. A solder joint is created through the principle of capillary action. When fitting and tube are heated to the correct temperature, the solder becomes molten, allowing it to be drawn into the gap between the two for a tough, reliable joint.","School's Out/Pipe, Valves & Fittings | Maintenance Projects/Pipe, Valves & Fittings | Maintenance Projects.csv -> Center CB End Feed CB-EFELS015 end feed street elbow 15mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/57/49/NW-635745_635749_wm.jpg,,15mm,Plain,15 mm,-40 to 110,End Feed,N,WRASBSI KitemarkEN 1254-1,Equal,90,15mm,15mm,Male x Female,Copper,15 mm,End Feed,End Feed,CB-EFELS015,Elbow,N,Easy to install,Copper construction,Contains precision amount of lead-free solder,Solder creates perfect joint,Compatible with copper tube to BS/EN 1057,WRAS approved,BSI Kitemarked,Meets EN 1254-1 standard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,P635715,Center CB End Feed CB-EFRED02822 end feed reducer 28 x 22mm,Center CB,1.33,"Compact and lightweight, this Center CB end feed reducer with 28mm male x 22mm female connections is designed for ease of handling and straightforward installation, even in awkward spaces. A smooth design helps to minimise flow restrictions while also ensuring the fitting looks neat when installed on exposed pipelines. Center CB's end feed general range is suitable for use with soft or hard solder, or brazing alloy. A solder joint is created through the principle of capillary action. When fitting and tube are heated to the correct temperature, the solder becomes molten, allowing it to be drawn into the gap between the two for a tough, reliable joint.","School's Out/Pipe, Valves & Fittings | Maintenance Projects/Pipe, Valves & Fittings | Maintenance Projects.csv -> Center CB End Feed CB-EFRED02822 end feed reducer 28 x 22mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/57/27/NW-635710_635727_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/635715_Center_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,P635694,Center CB End Feed CB-EFCP028 end feed straight coupling 28mm,Center CB,1.16,"Compact and lightweight, this Center CB end feed straight coupling with 28mm female connections is designed for ease of handling and straightforward installation, even in awkward spaces. A smooth design helps to minimise flow restrictions while also ensuring the fitting looks neat when installed on exposed pipelines. Center CB's end feed general range is suitable for use with soft or hard solder, or brazing alloy. A solder joint is created through the principle of capillary action. When fitting and tube are heated to the correct temperature, the solder becomes molten, allowing it to be drawn into the gap between the two for a tough, reliable joint.","School's Out/Pipe, Valves & Fittings | Maintenance Projects/Pipe, Valves & Fittings | Maintenance Projects.csv -> Center CB End Feed CB-EFCP028 end feed straight coupling 28mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/56/97/NW-635690_635697_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/635694_Center_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,P635747,Center CB End Feed CB-EFELS028 end feed street elbow 28mm,Center CB,2.7,"Compact and lightweight, this Center CB end feed 90° street elbow with 28mm plain male x female connections is designed for ease of handling and straightforward installation, even in awkward spaces. A smooth design helps to minimise flow restrictions while also ensuring the fitting looks neat when installed on exposed pipelines. Center CB's end feed general range is suitable for use with soft or hard solder, or brazing alloy. A solder joint is created through the principle of capillary action. When fitting and tube are heated to the correct temperature, the solder becomes molten, allowing it to be drawn into the gap between the two for a tough, reliable joint.","School's Out/Pipe, Valves & Fittings | Maintenance Projects/Pipe, Valves & Fittings | Maintenance Projects.csv -> Center CB End Feed CB-EFELS028 end feed street elbow 28mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/57/49/NW-635745_635749_wm.jpg,,28 mm,Plain,28 mm,-40 to 110,End Feed,N,WRASBSI KitemarkEN 1254-1,Equal,90,28mmØ,28mmØ,Male x Female,Copper,28 mm,End Feed,End Feed,CB-EFELS028,Elbow,N,Easy to install,Copper construction,Contains precision amount of lead-free solder,Solder creates perfect joint,Compatible with copper tube to BS/EN 1057,WRAS approved,BSI Kitemarked,Meets EN 1254-1 standard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,P635740,Center CB End Feed CB-EFEL02245 end feed obtuse elbow 22mm,Center CB,1.36,"Compact and lightweight, this Center CB end feed 45° obtuse elbow with 22mm plain connections is designed for ease of handling and straightforward installation, even in awkward spaces. A smooth design helps to minimise flow restrictions while also ensuring the fitting looks neat when installed on exposed pipelines. Center CB's end feed general range is suitable for use with soft or hard solder, or brazing alloy. A solder joint is created through the principle of capillary action. When fitting and tube are heated to the correct temperature, the solder becomes molten, allowing it to be drawn into the gap between the two for a tough, reliable joint.","School's Out/Pipe, Valves & Fittings | Maintenance Projects/Pipe, Valves & Fittings | Maintenance Projects.csv -> Center CB End Feed CB-EFEL02245 end feed obtuse elbow 22mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/57/44/NW-635739_635744_wm.jpg,,22 mm,Plain,22 mm,-40 to 110,End Feed,N,WRASBSI KitemarkEN 1254-1,Equal,45,22mm,22mmØ,female,Copper,22 mm,End Feed,End Feed,CB-EFEL02245,Elbow,N,Easy to install,Copper construction,Contains precision amount of lead-free solder,Solder creates perfect joint,Compatible with copper tube to BS/EN 1057,WRAS approved,BSI Kitemarked,Meets EN 1254-1 standard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,P635761,Center CB End Feed CB-EFTE028 end feed equal tee 28mm,Center CB,4.09,"Compact and lightweight, this Center CB end feed equal tee with 28mm female connections is designed for ease of handling and straightforward installation, even in awkward spaces. A smooth design helps to minimise flow restrictions while also ensuring the fitting looks neat when installed on exposed pipelines. Center CB's end feed general range is suitable for use with soft or hard solder, or brazing alloy. A solder joint is created through the principle of capillary action. When fitting and tube are heated to the correct temperature, the solder becomes molten, allowing it to be drawn into the gap between the two for a tough, reliable joint.","School's Out/Pipe, Valves & Fittings | Maintenance Projects/Pipe, Valves & Fittings | Maintenance Projects.csv -> Center CB End Feed CB-EFTE028 end feed equal tee 28mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/57/64/NW-635758_635764_wm.jpg,,28 x 28 x 28mm,End Feed,28 mm,-40 to 110,End Feed,N,WRASBSI KitemarkEN 1254-1,Equal,,28mmØ,28mmØ,female,Copper,28 mm,End Feed,End Feed,CB-EFTE028,tee,N,Easy to install,Copper construction,Contains precision amount of lead-free solder,Solder creates perfect joint,Compatible with copper tube to BS/EN 1057,WRAS approved,BSI Kitemarked,Meets EN 1254-1 standard,28mmØ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,P635741,Center CB End Feed CB-EFEL02845 end feed obtuse elbow 28mm,Center CB,1.77,"Compact and lightweight, this Center CB end feed 45° obtuse elbow with 28mm plain connections is designed for ease of handling and straightforward installation, even in awkward spaces. A smooth design helps to minimise flow restrictions while also ensuring the fitting looks neat when installed on exposed pipelines. Center CB's end feed general range is suitable for use with soft or hard solder, or brazing alloy. A solder joint is created through the principle of capillary action. When fitting and tube are heated to the correct temperature, the solder becomes molten, allowing it to be drawn into the gap between the two for a tough, reliable joint.","School's Out/Pipe, Valves & Fittings | Maintenance Projects/Pipe, Valves & Fittings | Maintenance Projects.csv -> Center CB End Feed CB-EFEL02845 end feed obtuse elbow 28mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/57/44/NW-635739_635744_wm.jpg,,28 mm,Plain,28 mm,-40 to 110,End Feed,N,WRASBSI KitemarkEN 1254-1,Equal,45,28mmØ,28mmØ,female,Copper,28 mm,End Feed,End Feed,CB-EFEL02845,Elbow,N,Easy to install,Copper construction,Contains precision amount of lead-free solder,Solder creates perfect joint,Compatible with copper tube to BS/EN 1057,WRAS approved,BSI Kitemarked,Meets EN 1254-1 standard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,P635729,"Center CB End Feed CB-EFCP0223/4 end feed imperial to metric adaptor coupling 22mm x 3/4""",Center CB,1.41,"Compact and lightweight, this Center CB end feed metric to imperial coupler with 22mm end feed x 3/4"" threaded female connections is designed for ease of handling and straightforward installation, even in awkward spaces. A smooth design helps to minimise flow restrictions while also ensuring the fitting looks neat when installed on exposed pipelines. Center CB's end feed general range is suitable for use with soft or hard solder, or brazing alloy. A solder joint is created through the principle of capillary action. When fitting and tube are heated to the correct temperature, the solder becomes molten, allowing it to be drawn into the gap between the two for a tough, reliable joint.","School's Out/Pipe, Valves & Fittings | Maintenance Projects/Pipe, Valves & Fittings | Maintenance Projects.csv -> Center CB End Feed CB-EFCP0223/4 end feed imperial to metric adaptor coupling 22mm x 3/4""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/57/30/NW-635728_635730_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/635729_Center_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,P635703,Center CB End Feed CB-EFEC022 end feed stop end 22mm,Center CB,1.37,"Designed for ease of handling and installation, this Center CB end feed stop end with 22mm female connections is lightweight and compact, making it ideal for more challenging installations. The fitting's smooth design minimises flow restrictions and looks neat and tidy on exposed pipelines.  Center CB's end feed general range is suitable for use with soft or hard solder, or brazing alloy. A solder joint is created through the principle of capillary action. When fitting and tube are heated to the correct temperature, the solder becomes molten, allowing it to be drawn into the gap between the two for a tough, reliable joint.","School's Out/Pipe, Valves & Fittings | Maintenance Projects/Pipe, Valves & Fittings | Maintenance Projects.csv -> Center CB End Feed CB-EFEC022 end feed stop end 22mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/70/07/NW-635700_6357007_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/635703_Center_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,P635739,Center CB End Feed CB-EFEL01545 end feed obtuse elbow 15mm,Center CB,0.86,"Compact and lightweight, this Center CB end feed 45° obtuse elbow with 15mm plain connections is designed for ease of handling and straightforward installation, even in awkward spaces. A smooth design helps to minimise flow restrictions while also ensuring the fitting looks neat when installed on exposed pipelines. Center CB's end feed general range is suitable for use with soft or hard solder, or brazing alloy. A solder joint is created through the principle of capillary action. When fitting and tube are heated to the correct temperature, the solder becomes molten, allowing it to be drawn into the gap between the two for a tough, reliable joint.","School's Out/Pipe, Valves & Fittings | Maintenance Projects/Pipe, Valves & Fittings | Maintenance Projects.csv -> Center CB End Feed CB-EFEL01545 end feed obtuse elbow 15mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/57/44/NW-635739_635744_wm.jpg,,15mm,Plain,15 mm,-40 to 110,End Feed,N,WRASBSI KitemarkEN 1254-1,Equal,45,15mm,15mm,female,Copper,15 mm,End Feed,End Feed,CB-EFEL01545,Elbow,N,Easy to install,Copper construction,Contains precision amount of lead-free solder,Solder creates perfect joint,Compatible with copper tube to BS/EN 1057,WRAS approved,BSI Kitemarked,Meets EN 1254-1 standard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
