,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Hazardous,Supplier Product Code,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Connection Size,Operator Type,Type,Colour,Connection Type,Material Type,Warranty,Material,Size,Range,Body Material,Grade,Diameter,Operating Temperature,Feature 7,Feature 8,Finish,Length (M),Pack Quantity,Attachment 3,Attachment 4,Attachment 5,Attachment 6,Connection Type 1,Connection Type 2,Approvals,Equal / Unequal,End Connection A size,End Connection C size,Gender,Seat Material,Weight,Thickness,Single / Double,Thread Size,Standards,Number of Ports,Seal Material,Feature 9,Feature 10,Feature 11,Feature 12,Feature 13,Feature 14,Feature 15
10,P250276,Tradefix brass plain shank drain cock (Type-A) 15mm,Tradefix,2.91,"Allowing for the draining of a central heating system for maintenance, this Tradefix 15mm capillary solder drain cock is designed for soldering into 15mm copper pipe. A serrated outlet nozzle makes connecting a hose pipe possible for easier, directed drainage. Hardwearing and tough, the main body of the valve is manufactured from hot-forged brass.","Pipe, Valves and Fittings/Plumbers Brassware/Plumbers Brassware.csv -> Tradefix brass plain shank drain cock (Type-A) 15mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/02/76/250276_wm.jpg,,,N,BFDOCTA-15,N,Heavy pattern,Complies with BS 2879/2,12 month warranty,,,,15mm,,Drain Cock,,Threaded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,P255698,"Midland Brass hose union bib tap and double check valve 1/2""",Midland Brass,7.75,"Manufactured in brass with a metallic finish, this lever-operated Midland Brass bibcock and double check valve is fitted with a 1/2"" hose union x threaded connection.","Pipe, Valves and Fittings/Plumbers Brassware/Plumbers Brassware.csv -> Midland Brass hose union bib tap and double check valve 1/2""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/56/98/NW-255698_wm.jpg,,,N,CMBFHUBDC-D,N,,,,,,,1/2 inch,,Bibcock and Double Check Valve,,Hose Union x Threaded,,,,,,Brass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,P172124,Midland Brass brass extended plain shank drain cock (Type-A) 15mm,Midland Brass,4.85,"This Midland Brass brass drain cock provides a handy draw-off point in a pipe, system or tank. It is installed with a 15mm threaded connection.","Pipe, Valves and Fittings/Plumbers Brassware/Plumbers Brassware.csv -> Midland Brass brass extended plain shank drain cock (Type-A) 15mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/21/24/NW-172124_wm.jpg,,,N,MBFDOCTAEX-15,N,Brass construction,Metallic finish,12 month warranty,,,,15mm,,Drain Cock,,Threaded,,,,,,,CW617N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,P255687,Midland Brass double check valve (DZR) 15mm,Midland Brass,4.14,"WRAS approved, this Midland Brass 15mm check valve is made of tough DZR brass.  A check valve, sometimes called a non-return valve, is designed to ensure that liquid or gas fluid flows in only one direction, depending on flow and velocity to close automatically, preventing backflow.","Pipe, Valves and Fittings/Plumbers Brassware/Plumbers Brassware.csv -> Midland Brass double check valve (DZR) 15mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/56/87/NW-255687_wm.jpg,,,N,CMBFDCV-15,N,WRAS approved,,,,,,15mm,,Check Valve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,P236569,Center Brass Compression Stop Cock 22mm,Center,8.75,"Suitable for use in hot or cold water systems, this Center 22mm compression stop cock is manufactured in robust brass and has a tap handle for shut-off.","Pipe, Valves and Fittings/Plumbers Brassware/Plumbers Brassware.csv -> Center Brass Compression Stop Cock 22mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/65/69/236569_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/65/69/236569.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/k_/v2/ 236570 Brass Stopcock v2.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,P236547,Center WRAS 30 cm flexible tap connectors 15 x 1/2 2pk,Center,3.19,"Suitable for an operating pressure of 10 bar and a maximum temperature of 85°C, these 300mm long Center 15mm x 1/2"" flexible tap connectors can be used in both hot and cold water systems.","Pipe, Valves and Fittings/Plumbers Brassware/Plumbers Brassware.csv -> Center WRAS 30 cm flexible tap connectors 15 x 1/2 2pk",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/65/47/236547_wm.jpg,,,N,CMFTCW-15D300,N,Pack of 2,Stainless steel construction,EPDM inner tube,Compression connections,WRAS approved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,P255682,Midland Brass Navigator double check valve (DZR) 15mm,Midland Brass,4.14,"Made of DZR brass, this Midland Brass 15mm check valve is designed for spanner operation.  A check valve, sometimes called a non-return valve, is designed to ensure that liquid or gas fluid flows in only one direction, depending on flow and velocity to close automatically, preventing backflow.","Pipe, Valves and Fittings/Plumbers Brassware/Plumbers Brassware.csv -> Midland Brass Navigator double check valve (DZR) 15mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/56/82/NW-255682_wm.jpg,,,N,TBFDCV-15,N,DZR brass construction,15mm size,,,,,15mm,,Check Valve,,,,,,,Navigator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,P255688,Midland Brass double check valve (DZR) 22mm,Midland Brass,6.49,"Made of reliable DZR brass, this Midland Brass 22mm check valve is designed for spanner operation.  A check valve, sometimes called a non-return valve, is designed to ensure that liquid or gas fluid flows in only one direction, depending on flow and velocity to close automatically, preventing backflow.","Pipe, Valves and Fittings/Plumbers Brassware/Plumbers Brassware.csv -> Midland Brass double check valve (DZR) 22mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/56/89/NW-255688_255689_wm.jpg,,,N,CMBFDCV-22,N,Size: 22mm,,,,,,22 mm,,Check Valve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,P236562,Center Brass Gate Valve with Red Wheel Handle 22mm,Center,6.25,"Suitable for use in hot or cold water systems, this Center 22mm gate valve is wheelhead-operated. A gate valve, also known as a sluice valve, opens by lifting a barrier out of the path of a fluid. Gate valves normally require minimal space along the pipe axis and offer minimal flow restriction when fully open. A multi-turn valve, operation of a gate valve  is carried out via a threaded stem, turning multiple times to change position.","Pipe, Valves and Fittings/Plumbers Brassware/Plumbers Brassware.csv -> Center Brass Gate Valve with Red Wheel Handle 22mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/65/62/236562_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/65/62/236562.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/e_/v1/ 236563 Gate Valve v1.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,P327863,Center CB ISOGAS fan keys gas isolation valve 15mm,Center CB,4.32,"Built by Tesla UK Ltd, this Center CB ISOGAS fan key isolation valve is used to isolate the gas supply to appliances, allowing for maintenance. Made of brass, it offers a 15mm threaded connection.","Pipe, Valves and Fittings/Plumbers Brassware/Plumbers Brassware.csv -> Center CB ISOGAS fan keys gas isolation valve 15mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/78/64/NW-327861_327864_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Center_EN331_Mini_Ball_Valve_Install.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,PC50651,"Tesla Gas Product gas meter blanking disc 1""",Tesla,1.05,"This Tesla 1"" gas meter sealing disc is made of brass.","Pipe, Valves and Fittings/Plumbers Brassware/Plumbers Brassware.csv -> Tesla Gas Product gas meter blanking disc 1""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/06/51/NW-C50650_C50651_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/17/Tesla_Product_Guide_2017.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,P255684,Midland Brass single check valve 15mm,Midland Brass,4.06,"This Midland Brass 15mm check valve is made of robust brass.  A check valve, sometimes called a non-return valve, is designed to ensure that liquid or gas fluid flows in only one direction, depending on flow and velocity to close automatically, preventing backflow.","Pipe, Valves and Fittings/Plumbers Brassware/Plumbers Brassware.csv -> Midland Brass single check valve 15mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/56/84/NW-255684_wm.jpg,,,N,CMBFSCV-15,N,Brass construction,15mm size,,,,,15mm,,Check Valve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,P236567,"Center Chrome Straight Service Valve 15mm x 1/2""",Center,2.26,"Suitable for use in hot and cold water systems, this Center 15mm x 1/2"" straight service valve in chrome isolates part of a water system, reducing the need for complete drainage.","Pipe, Valves and Fittings/Plumbers Brassware/Plumbers Brassware.csv -> Center Chrome Straight Service Valve 15mm x 1/2""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/65/67/236567_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/t_/v2/236567 Data Sheet v2.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,PC51133,Salvus Bayonet straight gas hose 1.25mtr,Salvus,13.99,"This Salvus 1.25M length of gas hose is fitted with a 1/2"" straight bayonet fitting. Made of stainless steel, this gas approved hose has a high-quality polymeric coating.","Pipe, Valves and Fittings/Plumbers Brassware/Plumbers Brassware.csv -> Salvus Bayonet straight gas hose 1.25mtr",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/11/33/NW-C51132_C51133_wm.jpg,,,N,BFGHENB2-125,N,Universal fuel (natural gas and LPG),Black and yellow colour,Tested to 650°,BSI and CE approved (KM702966),1 year warranty,,,,Gas Hose,,,,,,,Bayonet,,,1/2 inch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,PC50641,"Tesla Gas Product gas meter union and washer 1"" x 28mm Brass (1)",Tesla,5.49,"This Tesla 1"" x 28mm meter union is made of brass and grooved, allowing for the fitting of meter brackets.","Pipe, Valves and Fittings/Plumbers Brassware/Plumbers Brassware.csv -> Tesla Gas Product gas meter union and washer 1"" x 28mm Brass (1)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/06/41/NW-C50640_C50641_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/17/Tesla_Product_Guide_2017.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,P236549,Center WRAS 30 cm flexible tap connectors 22 x 3/4 2pk,Center,7.49,"Suitable for an operating pressure of 10 bar and a maximum temperature of 85°C, these 300mm long Center 22mm x 3/4"" flexible tap connectors can be used in both hot and cold water systems.","Pipe, Valves and Fittings/Plumbers Brassware/Plumbers Brassware.csv -> Center WRAS 30 cm flexible tap connectors 22 x 3/4 2pk",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/65/49/236549_wm.jpg,,,N,CMFTCW-22E300,N,Pack of 2,Stainless steel construction,EPDM inner tube,Compression connections,WRAS approved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,P255691,"Midland Brass hose union bib tap 1/2""",Midland Brass,7.49,"This Midland Brass bibcock has a 1/2"" threaded connection. It is made of brass with a metallic finish.","Pipe, Valves and Fittings/Plumbers Brassware/Plumbers Brassware.csv -> Midland Brass hose union bib tap 1/2""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/56/91/255691_wm.jpg,,,N,TBFHUB-D,N,,,,,,,1/2 inch,,Bibcock,,Threaded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,P236545,Center WRAS 30 cm flexible tap connectors 15 x 3/4 2pk,Center,4.81,"Suitable for an operating pressure of 10 bar and a maximum temperature of 85°C, these 300mm long Center 15mm x 3/4"" flexible tap connectors can be used in both hot and cold water systems.","Pipe, Valves and Fittings/Plumbers Brassware/Plumbers Brassware.csv -> Center WRAS 30 cm flexible tap connectors 15 x 3/4 2pk",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/65/45/236545_wm.jpg,,,N,CMFTCW-15E300,N,Pack of 2,Stainless steel construction,EPDM inner tube,Compression connections,WRAS approved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,PU64295,"Midland Brass PT1 high pressure ball valve (BS1212) 1/2""",Midland Brass,7.0,"This Midland Brass 1/2"" ball valve is manufactured in brass with BSP connections.  A ball valve is a type of quarter-turn valve featuring a hollow, perforated ball that pivots to control the flow of a fluid. The valve is open when the ball's hole is in line with flow and closed when","Pipe, Valves and Fittings/Plumbers Brassware/Plumbers Brassware.csv -> Midland Brass PT1 high pressure ball valve (BS1212) 1/2""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/42/95/NW-U64295_wm.jpg,,,N,MBFBVHPP1-D,N,Brass construction,12 month warranty,,,,,1/2 inch,Float,Ball Valve,,BSP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,P505454,Center CB Brass Hexagon Bush 1/2 x 1/4,Center CB,0.96,"Made of hardwearing brass, this Navigator MSL 1/2 x 1/4"" threaded hexagonal bush is suitable for use in domestic plumbing systems.","Pipe, Valves and Fittings/Plumbers Brassware/Plumbers Brassware.csv -> Center CB Brass Hexagon Bush 1/2 x 1/4",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/54/19/505419_wm.jpg,,,N,CMBRBUSH-DB,N,Suitable for use in hot and cold water,For use in domestic systems,Brass construction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,PC50640,"Tesla Gas Product gas meter union and washer 1"" x 22mm Brass (10)",Tesla,4.3,"This Tesla 1"" x 22mm meter union is made of brass and grooved, allowing for the fitting of meter brackets.","Pipe, Valves and Fittings/Plumbers Brassware/Plumbers Brassware.csv -> Tesla Gas Product gas meter union and washer 1"" x 22mm Brass (10)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/06/41/NW-C50640_C50641_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/17/Tesla_Product_Guide_2017.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,P255685,Midland Brass single check valve 22mm,Midland Brass,5.49,"This Midland Brass 22mm check valve is made of robust brass.  A check valve, sometimes called a non-return valve, is designed to ensure that liquid or gas fluid flows in only one direction, depending on flow and velocity to close automatically, preventing backflow.","Pipe, Valves and Fittings/Plumbers Brassware/Plumbers Brassware.csv -> Midland Brass single check valve 22mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/56/85/255685_wm.jpg,,,N,CMBFSCV-22,N,Brass construction,22mm size,,,,,22 mm,,Check Valve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
