,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Hazardous,Dimensions mm (H x W x D),By Model Number,Supplier Product Code,Type,WEEE Compliant,Application,Feature 1,Range,Feature 2,Feature 3,Feature 4,Feature 5,Attachment 2,Feature 6,Feature 7,Feature 8,Feature 9,Pack Quantity
16,PU88437,Riello 3013073 control box,Riello,241.96,"This Riello control box is used in the start-up and supervision of single or multistage forced draft burners in intermittent operation, with a minimum of one controlled shutdown every 24 hours. When firing on gas, the flame is supervised with an Ionisation probe or flame detector QRA. This part is suitable for use in residential, commercial and industrial systems.",Heating/Burner Parts/Burner Controls/Burner Controls.csv -> Riello 3013073 control box,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/84/37/NW-U88437_wm.jpg,,N,x  x,,87161108210,Control Box,N,ResidentialCommercialIndustrial,"Compatible with RS40, RS34, RS28, RS38 and RS44",,"Compatible with RS50, RS70, RS100, RS130 and RS90",,,,,,,,,
17,P448497,Nu-Way Kanthol probe (B),Nu-Way,30.0,"A Nuway Kanthol 1/4"" x 7.5mm probe for the MOQ 150.",Heating/Burner Parts/Burner Controls/Burner Controls.csv -> Nu-Way Kanthol probe (B),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/84/97/NW-448497_wm.jpg,,N,x  x,,G06010F,Probe,N,,"Leading supplier and manufacturer of spare parts and oil, gas and dual fuel burners",Kanthol,,,,,,,,,,
18,P448509,Nu-Way insulation,Nu-Way,14.28,"Suitable for use in a variety of units, this Nuway 250 x 210 x 120mm insulation is suitable for NG and gas NGN models.",Heating/Burner Parts/Burner Controls/Burner Controls.csv -> Nu-Way insulation,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/85/09/448509_wm.jpg,,N,25 x 21 x 12 cm,,G06022X,Insulation,N,,Suitable for use with NG and gas NGN appliances,,Insulation only,,,,,,,,,
19,P419386,Satronic gas control box 240v,Satronic,106.99,"The Satronic DKG 972 oil burner safety control box controls and supervises atmospheric burners for gas. A microprocessor-based programming sequence provides stable timings independent of voltage variations, ambient temperature and switch-on cycles. The built-in information system provides continuous monitoring of the box and provides information as to the cause of a lock-out, saving those details for easy retrieval after power loss.",Heating/Burner Parts/Burner Controls/Burner Controls.csv -> Satronic gas control box 240v,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/93/87/NW-419386_419387_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Satronic_DKG72_Technical.pdf,,,,,,,,,,,,,,,,,,,
20,P456043,Nu-Way P30067F NG35 ignition electrode,Nu-Way,108.08,"This Nuway ignition electrode, designed to generate the spark that begins combustion, is compatible with NG35-100 and A4-3143.",Heating/Burner Parts/Burner Controls/Burner Controls.csv -> Nu-Way P30067F NG35 ignition electrode,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/60/43/NW-456043_wm.jpg,,N,x  x,,P30067F,IGNITION ELECTRODE,N,,"Leading supplier and manufacturer of spare parts and oil, gas and dual fuel burners",,,,,,,,,,,
21,P498115,Riello Riello Spares burner gasket,Riello,10.32,"This Riello 170 x 170 burner gasket is suitable for use in R40 GS 20, R40 GS20M, R40 FS20, R40 GS20D and R40 FS20D. O-rings, gaskets and washers are used to join parts to pipework, preventing leaks.",Heating/Burner Parts/Burner Controls/Burner Controls.csv -> Riello Riello Spares burner gasket,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/81/15/NW-498115_wm.jpg,,N,170 x 170,,87161113590,Burner Gasket,N,,Spare for Riello boilers,Riello Spares,Suitable for a variety of ranges,,,,,,,,,
22,P798280,Riello burner ionisation probe,Riello,40.48,"This Riello burner ionisation probe is suitable for residential, commercial and industrial use and offers compatibility with RS28, RS28/1, RS38, RS38/1 and RS50.",Heating/Burner Parts/Burner Controls/Burner Controls.csv -> Riello burner ionisation probe,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/82/80/NW-798280_wm.jpg,,N,x  x,,87161108080,Burner Ionisation Probe,N,ResidentialCommercialIndustrial,"For single stage, two stage and modulating operation",,,,,,,,,,,
23,P157927,Nu-Way MGN ionisation electrode,Nu-Way,40.91,A Nuway MGN ionisation electrode.,Heating/Burner Parts/Burner Controls/Burner Controls.csv -> Nu-Way MGN ionisation electrode,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/79/27/NW-157927_wm.jpg,,N,x  x,,GS475024456,Ionisation Electrode,N,,Reliable design,MGN,For use with MGN420 and 530,,,,,,,,,
24,P456767,Riello probe,Riello,20.15,"Detecting the presence of a steady flame in a boiler, this Riello probe operates alongside a photocell to ensure that a system's burner is working correctly. This replacement part is suitable for residential, commercial or industrial use.",Heating/Burner Parts/Burner Controls/Burner Controls.csv -> Riello probe,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/67/67/NW-456767_wm.jpg,,N,x  x,,87161107350,Probe,N,ResidentialCommercialIndustrial,"For single stage, two stage and modulating operation",,,,,,,,,,,
25,P466597,Ecoflam probe Blue,Ecoflam,14.86,This Ecoflam BFE01031/2 Ionis probe is compatible with a wide range of Blu gas burners.,Heating/Burner Parts/Burner Controls/Burner Controls.csv -> Ecoflam probe Blue,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/65/97/NW-466597_wm.jpg,,N,x  x,,65322159,Probe,N,CommercialDomestic,"Suitable for Blu 170 AB, Blu 170 AB Multiblock Blu 170 and Blu 170 Multiblock",,"Suitable for Blu 250 AB, Blu 250 AB Multiblock, Blu 250 and Blu 250 Multiblock","Suitable for Blu 350 AB, Blu 350 AB Multiblock, Blu 350 and Blu 350 Multiblock",,,,,,,,
26,P798268,Riello Riello Spares gasket,Riello,9.63,"This Riello gasket is compatible with a wide range of units, including Greenstar Heatslave, Gulliver and Warmflow models. O-rings, gaskets and washers are used to join parts to pipework, preventing leaks.",Heating/Burner Parts/Burner Controls/Burner Controls.csv -> Riello Riello Spares gasket,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/82/68/NW-798268_wm.jpg,,N,x  x,,87161093100,Gasket,N,,Spare for Riello boilers,Riello Spares,Suitable for a variety of ranges,,,,,,,,,
27,P448448,Enertech pressure switch (NB50),Enertech,90.82,"Designed for automatic burner controls, this Enertech adjustable pressure switch is used in ventilation or air conditioning systems to switch a circuit on, off or over in response to changes in actual pressure value relative to the set reference value.",Heating/Burner Parts/Burner Controls/Burner Controls.csv -> Enertech pressure switch (NB50),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/84/48/NW-448448_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Enertech_C50077L_Brochure.pdf,,,,,,,,,,,,,,,,,,,
28,P448389,Nu-Way pressure gauge manifold,Nu-Way,45.59,"Displaying a clear visual measurement of the pressure in a boiler, this Nuway 1/2"" pressure gauge manifold provides early notice of a potential leak in a system, giving homeowners the opportunity to take action before serious damage occurs.",Heating/Burner Parts/Burner Controls/Burner Controls.csv -> Nu-Way pressure gauge manifold,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/83/89/NW-448389_wm.jpg,,N,x  x,,E16001L,Pressure Gauge Manifold,N,,For use with pressure gauge,,Offers visual feedback,For early leak recognition,,,,,,,,
29,P448314,Nu-Way Punker fan impeller (B),Nu-Way,75.2,"A Nuway Punker 180 x 92 x 12.7"" fan impeller (B).",Heating/Burner Parts/Burner Controls/Burner Controls.csv -> Nu-Way Punker fan impeller (B),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/83/14/NW-448314_wm.jpg,,N,180 x 92 x 12.7 inch,,D07007W,Impeller,N,,Reliable design,Punker,For use with NGN9 and NGN13,,,,,,,,,
30,P455469,Eogb water detecting paste,Eogb,8.22,This Eogb water detecting paste has a green colour.,Heating/Burner Parts/Burner Controls/Burner Controls.csv -> Eogb water detecting paste,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/54/69/NW-455469_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/Eogb_Water_Detecting_Paste_SDS.pdf,,,,,,,,,,,,,,,,,,,
31,P456450,Riello 3008645 fan,Riello,50.07,"With a 120mm overall diameter and 13mm shaft, this Riello steel-built fan is compatible with RDB2 Neutral, RDB2 Vortex 36 Grant, RDB2 90-120 Warmflow, RDB2 110-140 Grant and RDB2 90-120 Grant units.",Heating/Burner Parts/Burner Controls/Burner Controls.csv -> Riello 3008645 fan,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/64/50/NW-456450_wm.jpg,,N,40 (Dia),,87161092010,Fan,N,,120 (Dia) mm,,13 (Dia) mm Shaft,,,,,,,,,
32,P419387,Satronic gas control box 240v,Satronic,131.55,"The Satronic DKG 972 oil burner safety control box controls and supervises atmospheric burners for gas. A microprocessor-based programming sequence provides stable timings independent of voltage variations, ambient temperature and switch-on cycles. The built-in information system provides continuous monitoring of the box and provides information as to the cause of a lock-out, saving those details for easy retrieval after power loss.",Heating/Burner Parts/Burner Controls/Burner Controls.csv -> Satronic gas control box 240v,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/93/87/NW-419386_419387_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Satronic_DKG72_Technical.pdf,,,,,,,,,,,,,,,,,,,
33,P455541,Eogb burner 90w,Eogb,88.79,"Compatible with X400, X400-N, X500 and X600, this Eogb burner motor offers 90W power and has a 8 x 26mm shaft.",Heating/Burner Parts/Burner Controls/Burner Controls.csv -> Eogb burner 90w,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/55/41/NW-455541_wm.jpg,,N,x  x,"X400-N,X400,X500,X600",M02-1-90-18,Burner Motor,N,,8 (Dia) x 26 (L) mm shaft,,Power: 90W,,,,,,,,,
34,P456451,Riello Riello Spares air damper assembly 21 kW,Riello,99.47,"Measuring 175 x 170 x 60mm, this Riello air damper assembly is compatible with a variety of units, including Greenstar, Warmflow and Firebird models. This part is used to regulate the flow of air into a burner.",Heating/Burner Parts/Burner Controls/Burner Controls.csv -> Riello Riello Spares air damper assembly 21 kW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/64/51/NW-456451_wm.jpg,,N,175 x 170 x 60,,87161092140,Air Damper Assembly,N,,Damper regulates the flow of air into the burner,Riello Spares,,,,,,,,,,
35,P419118,Siemens LME 22.331 C2 burner control box,Siemens,118.62,"Suitable for the start-up and supervision of one or two stage gas burners or for burners in intermittent operation, the Siemens LME burner control box provides flame supervision using an ionisation probe or a QRA flame detector with AGQ3.xA27 ancillary unit for forced draft gas burners. In the case of blue-burning flames, a QRC blue flame detector supplies flame supervision.",Heating/Burner Parts/Burner Controls/Burner Controls.csv -> Siemens LME 22.331 C2 burner control box,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/91/18/NW-419117_419118_wm.jpg,,N,14cm x 9cm x 9cm,,65324042,Gas Burner Control,N,,Applications in accordance with EN 676: Automatic forced draft burners for gaseous fuels,,Type-tested and approved in accordance with DIN EN 298,Undervoltage detection,Air pressure supervision with functional check of the air pressure switch during startup and operation,Electrical remote reset facility,,Multicolor indication of fault status and operational status messages,Limitation of the number of repetitions,Accurate control sequence thanks to digital signal handling,Controlled intermittent operation after a maximum 24 hours of continuous operation,
36,P408378,Riello digital control box,Riello,234.63,"This Riello digital control box is suitable for residential, commercial and industrial applications.",Heating/Burner Parts/Burner Controls/Burner Controls.csv -> Riello digital control box,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/83/78/NW-408378_wm.jpg,,N,x  x,"Heatslave II 12/18 External,Heatslave II 18/25 External,Heatslave II 12/18,Heatslave II 25/32 External,Heatslave II 25/32,Heatslave II 18/25",87186894930,Digital Control Box,N,ResidentialCommercialIndustrial,They also manufacture gas boosters for applications where the mains gas pressure available needs to be increased.,,,,,,,,,,,
37,P421715,Atkinson Tankmaster body unit,Atkinson,71.6,"Made of white UPVC, the Atkinson Tankmaster TM 1370mm sight tube assembly has a pull-to-read valve to isolate flow into the tube during rest.",Heating/Burner Parts/Burner Controls/Burner Controls.csv -> Atkinson Tankmaster body unit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/17/15/NW-421715_wm.jpg,,N,x  x,,TM4790,Assembly,N,,On/off hand wheel,Tankmaster,Eutectic solder fire valve built into hand wheel,10mm brass compression fitting outlet,Replaceable 52 micron nylon filter,Reversible body for left or right hand exit of compression fitting,,Stand-off clip for mounting top of tube to top of tank,"1/2"" BSP male tank/extension fitting",,,
38,P421700,Atkinson PBG push button sight gauge 4ft,Atkinson,37.15,"Made of UPVC, this Atkinson 1370mm x 1/2"" sight gauge offers a clear reading of the level of contents in a tank via unbreakable sight tubes.",Heating/Burner Parts/Burner Controls/Burner Controls.csv -> Atkinson PBG push button sight gauge 4ft,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/17/01/NW-421700_421701_wm.jpg,,N,x  x,,SG1550,Sight Gauge,N,,Produced to BS799,,Features a push-to-read button which isolates flow into the tube when released,Made in England,,,,,,,,
39,P455295,Oh Products oil contents gauge 0-4ft,Oh Products,42.64,An Oh Products 4ft oil tank sight gauge.,Heating/Burner Parts/Burner Controls/Burner Controls.csv -> Oh Products oil contents gauge 0-4ft,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/52/95/NW-455295_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/455295_Oh Products_Information.pdf,,,,,,,,,,,,,,,,,,,
40,P421710,Atkinson Tankmaster sight gauge 4ft,Atkinson,15.3,"Made of UPVC, this Atkinson Tankmaster 4ft 6"" sight tube is supplied with a UPVC shield.",Heating/Burner Parts/Burner Controls/Burner Controls.csv -> Atkinson Tankmaster sight gauge 4ft,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/17/11/NW-421710_421711_wm.jpg,,N,x  x,,TM4480,Sight Tube,N,,Atkinson spare part,Tankmaster,,,,,,,,,,
