,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Warranty,Hazardous,Depth (mm),Supplier Product Code,Type,WEEE Compliant,Capacity Litre,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Colour,Connection Size,Connection Type,Pack Quantity,Attachment 3,Attachment 4,Attachment 5,Attachment 6
12,P187001,"Polytank rectangular tank and insulation 24 x 16 x 15"" 12gallon",Polytank,122.31,"Designed for ease of installation, the Polytank 24 x 16 x 15"" 12 gallon rectangular tank is supplied with everything you'll need for in-one-go fitting, including internal components and instructions. Also included is a snap-on lid, ball valve and tank connector as well as insulation.","Water Heating and Storage/Cold Water Tank Supplies & Accessories/Cold Water Tank Supplies & Accessories.csv -> Polytank rectangular tank and insulation 24 x 16 x 15"" 12gallon",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/70/01/187001_wm.jpg,,,12 Month Manufactureres Warranty,N,610,PT2000 24X16X15,Water Stotage Tank,N,5.5 l,With snap-on polylid,With byelaw fitting instructions,"With 1/2"" BS1212 part 2 ball valve and backplate","Includes 4 1/2"" float",With 22mm compression tank connector,"With 155mm x 1/2"" angled service valve",Includes insulation and ties,WRAS approved,Kitemarked to BS4213:2004,12 month warranty,,,,,,,,
13,P180208,Kingspan Ferham FC25GC Circular  Cold Water Cistern Kit 114ltr,Kingspan,64.15,"This Kingspan Ferham 114L capacity circular open top (stackable) FC25GC cistern is intended for the storage and supply of cold potable water to an open-vented cylinder or for use as an expansion tank in vented heating systems.  This kit includes the plastic water tank and lids, along with all the necessary tank accessories for a complete installation.",Water Heating and Storage/Cold Water Tank Supplies & Accessories/Cold Water Tank Supplies & Accessories.csv -> Kingspan Ferham FC25GC Circular  Cold Water Cistern Kit 114ltr,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/02/08/180208_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Kingspan_Ferham_Circular_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Kingspan_Ferham_Tank_Guide.pdf,,,,,,,,,,,,,,,,,,,,,,,,,
14,P180216,Kingspan Ferham FC25GL 114ltr Low Level Cistern Kit,Kingspan,245.65,"The Kingspan Ferham FC25GL low level cistern kit is a lightweight, space-saving solution for storing and supplying cold potable water to an open-vented cylinder or for use as an expansion tank in vented heating systems. It comes complete with a variety of accessories for easy installation, including snap-fit lids for convenient access.",Water Heating and Storage/Cold Water Tank Supplies & Accessories/Cold Water Tank Supplies & Accessories.csv -> Kingspan Ferham FC25GL 114ltr Low Level Cistern Kit,,Cistern;Fitting lid;22mm Byelaw 30 fittings;Backing plate;60mm insulation jacket;Ties,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/02/17/180216_180217_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Kingspan_Ferham_Coffin_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Kingspan_Ferham_Tank_Guide.pdf,,,,,,,,,,,,,,,,,,,,,,,,,
15,P250277,"Tradefix float valve (part1) 1/2"" (50)",Tradefix,7.22,"Made of brass, this Tradefix float valve has a 8 3/4"" arm, 1/2"" threaded connection and 1 1/4"" tail/","Water Heating and Storage/Cold Water Tank Supplies & Accessories/Cold Water Tank Supplies & Accessories.csv -> Tradefix float valve (part1) 1/2"" (50)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/02/77/NW-250277_wm.jpg,,,,N,,PBRINL366803,Float Valve,N,,Brass Body,"8 3/4"" Arm length","1 1/4"" Tail",,,,,,,,Metal/s,1/2 inch,Threaded,50,,,,
16,P180213,Kingspan Ferham Fc25G 114L Cist Oval Inc Bl Kit,Kingspan,123.76,"Supplied with a range of accessories, this 114L capacity Kingspan Ferham FC25G open top oval (stackable) cistern kit is intended for the storage and supply of cold potable water to an open-vented cylinder or for use as an expansion tank in vented heating systems.",Water Heating and Storage/Cold Water Tank Supplies & Accessories/Cold Water Tank Supplies & Accessories.csv -> Kingspan Ferham Fc25G 114L Cist Oval Inc Bl Kit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/02/15/180212_180215_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Kingspan_Ferham_Oval_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Kingspan_Ferham_Tank_Guide.pdf,,,,,,,,,,,,,,,,,,,,,,,,,
17,P180217,Kingspan Ferham FC40GL 182ltr Low Level Cistern Kit,Kingspan,352.14,"The Kingspan Ferham FC40GL cistern kit is a multi-purpose 182L container that offers a perfect blend of functionality and convenience. With its lightweight design, it's easy to install and manoeuvre. Whether you need it for your home's plumbing system or for general storage, the FC40GL delivers reliable performance. As a water storage solution, it's ideal for keeping a reserve of cold drinking water thanks to its use of safe, potable materials. In vented heating systems, it functions effectively as an expansion tank.  The secure snap-fit lid ensures a tight seal, preventing leaks and keeping the contents protected.",Water Heating and Storage/Cold Water Tank Supplies & Accessories/Cold Water Tank Supplies & Accessories.csv -> Kingspan Ferham FC40GL 182ltr Low Level Cistern Kit,,Cistern;Fitting lid;22mm Byelaw 30 fittings;Backing plate;60mm insulation jacket;Ties,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/02/17/180216_180217_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Kingspan_Ferham_Coffin_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Kingspan_Ferham_Tank_Guide.pdf,,,,,,,,,,,,,,,,,,,,,,,,,
18,P191025,Kingspan Ferham FC25G Oval  Cold Water Cistern Kit 114ltr,Kingspan,81.39,"Designed for the approved hygienic storage and supply of cold potable water to an open-vented cylinder, the Kingspan Ferham 114L cold water cistern pack is manufactured in a robust, WRAS-approved polypropylene. Designed with an open top, fitting components into this cistern is simple for faster, cost-saving installation. As well as supplying water to open-vented cylinders, this 114L cistern pack can be used as an expansion tank in a vented heating system, its lidless, oval design making it more compact for fitting through some loft hatches.",Water Heating and Storage/Cold Water Tank Supplies & Accessories/Cold Water Tank Supplies & Accessories.csv -> Kingspan Ferham FC25G Oval  Cold Water Cistern Kit 114ltr,,Cistern;Fitting lid;22mm Byelaw 30 fittings;Backing plate;60mm insulation jacket;Ties,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/25/NW-191025_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Kingspan_Ferham_Product_Guide.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
19,P187145,Polytank air gap chamber,Polytank,134.68,"Accommodating a 7"" float, the Polytank A30 air gap chamber is compatible with all Polytanks except 18 x 12 x 12 and 24 x 12 x 12 sizes. A30 is designed for a maximum flow rate of 62LPM, or a BS 1212 part 2 float-operated valve with no. 9 3/8"" bore seat.",Water Heating and Storage/Cold Water Tank Supplies & Accessories/Cold Water Tank Supplies & Accessories.csv -> Polytank air gap chamber,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/71/45/187145_wm.jpg,,,,N,,XPA30,AB Air Gap,N,,,,,,,,,,,,,,,,,,,
20,PK72849,Keraflo Aylesbury KAX type float valve 25mm,Keraflo,436.0,"This Keraflo Aylesbury KAX-type mechanical float valve with 25mm connection is designed especially for use in commercial water systems, providing accurate and efficient control over the level of stored cold water in tanks with raised float valve chambers. This precision engineered patented float valve is built to last, operating for long periods of time without maintenance and the valve's adjustable weighted float allows a tank's stored water level to be modified with ease.",Water Heating and Storage/Cold Water Tank Supplies & Accessories/Cold Water Tank Supplies & Accessories.csv -> Keraflo Aylesbury KAX type float valve 25mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/28/50/NW-K72848_K72850_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Keraflo_Spares_Kit_Quick_Ref_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Keraflo_Specification_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/fl/et/Keraflo_Aylesbury_ValveSales_Leaflet.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Keraflo_Specification_Wording_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Keraflo_Product_Range_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Keraflo_Aylesbury_KAX_Valve_Install.pdf
21,PK72693,Keraflo Aylesbury KB type float valve (standard flow) 50mm,Keraflo,1478.0,"This Keraflo Aylesbury KB-type fully variable float valve with 50mm connection is designed especially for use in commercial water systems, providing accurate and efficient control over the level of stored cold water in tanks with or without raised float valve chambers. This precision engineered patented float valve is built to last, operating for long periods of time without maintenance.",Water Heating and Storage/Cold Water Tank Supplies & Accessories/Cold Water Tank Supplies & Accessories.csv -> Keraflo Aylesbury KB type float valve (standard flow) 50mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/26/93/NW-K72688_K72693_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Keraflo_Spares_Kit_Quick_Ref_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Keraflo_Specification_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/fl/et/Keraflo_Aylesbury_ValveSales_Leaflet.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Keraflo_Aylesbury_KB_Valve_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Keraflo_Specification_Wording_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Keraflo_Product_Range_Guide.pdf
