,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Range,Warranty,Hazardous,Depth (mm),Overheat Protection,Pre-Wired,Boiler Section,Boiler Range,Material,Part Gas Council number,By Model Number,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Fuel Type,Attachment 2,Attachment 3,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9
16,P181060,"Heatrae Sadia RDT RDT 7"" horizontal resettable immersion heater thermostat 7""",Heatrae Sadia,19.92,"This 7"" horizontal Heatrae Sadia RDT domestic immersion heater includes a RDT combined thermostat and resettable safety cut-out. The RDT resettable thermostat provides useful protection against boiling steam with no need to drain down the hot water cylinder. The thermostat's manual reset incorporates patented MFS technology for single pole safety operation.","Water Heating and Storage/Hot Water Cylinders/Immersion Heaters/Immersion Heaters.csv -> Heatrae Sadia RDT RDT 7"" horizontal resettable immersion heater thermostat 7""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/63/181060_181063_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Heatrae Sadia_Immersion_Brochure.pdf,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Heatrae_Sadia_Immersion_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Heatrae_Sadia_Immersion_Brochure.pdf,,,,,
17,P181334,"Tesla TIH 572PI immersion heater and thermostat 1 3/4"" x 14""",Tesla,63.04,"Designed for use in medium-to-hard water areas, this 14"", 3kW titanium Tesla TIH572PI immersion heater is suitable for use in unvented non-stainless steel cylinders.","Water Heating and Storage/Hot Water Cylinders/Immersion Heaters/Immersion Heaters.csv -> Tesla TIH 572PI immersion heater and thermostat 1 3/4"" x 14""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/13/34/181333_181334_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Tesla_Imm_Heater_Prod_Guide.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
18,P427630,Heatrae Sadia Multipoint ECO immersion heater assembly 3.0kW,Heatrae Sadia,80.57,"This Heatrae Sadia immersion heater is suitable for Multipoint, Multipoint Eco, Heatstore, Express and Hotflo appliances.  The immersion heater increases water temperature within a cylinder for use in radiators and hot water systems. The element also helps the cylinder to hold water temperature at a set temperature for on-demand use.  As the leading supplier of parts for all the major boiler manufacturers we’ve got a wealth of experience and knowledge in this area, and with over 450 branches we carry more heating spare parts in more places than any other merchant to help you improve your first time fix rate.",Water Heating and Storage/Hot Water Cylinders/Immersion Heaters/Immersion Heaters.csv -> Heatrae Sadia Multipoint ECO immersion heater assembly 3.0kW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/76/30/427630_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/HS_Express_50_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
19,P181092,"Tesla TIH 585 titanium immersion heater and radiator thermostat 27""",Tesla,46.81,"Designed to stand up to corrosion in hard-to-aggressive water areas, this 27"", 3kW titanium Tesla TIH585 immersion heater is supplied with a 7"" dual safety thermostat.","Water Heating and Storage/Hot Water Cylinders/Immersion Heaters/Immersion Heaters.csv -> Tesla TIH 585 titanium immersion heater and radiator thermostat 27""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/92/181090_181092_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Tesla_Imm_Heater_Prod_Guide.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
20,P181331,"Tesla TIH 640 all incoloy immersion heater and radiator thermostat 11""",Tesla,22.4,"Designed for use in medium-to-hard water areas, this 11"", 3kW Incoloy Tesla TIH640 immersion heater is supplied with a 7"" dual safety thermostat.","Water Heating and Storage/Hot Water Cylinders/Immersion Heaters/Immersion Heaters.csv -> Tesla TIH 640 all incoloy immersion heater and radiator thermostat 11""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/13/32/181331_181332_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Tesla_Imm_Heater_Prod_Guide.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
21,P453197,Advanced Water 580 -255-0002 immersion 3kw,Advanced Water,139.07,"Designed for use in any standard domestic water area, the Advanced Water Thermowatt 3kW immersion heater incorporates a combined operating and safety cut-out, situated in a plug-in, plus a high temperature range thermostat. Suitable for normal use in limescale-prone hard water areas, this 16"" immersion heater is made in robust Incoloy 800. In areas where water conditions are especially aggressive or where usage is unusually high, however, a titanium element may be advisable.",Water Heating and Storage/Hot Water Cylinders/Immersion Heaters/Immersion Heaters.csv -> Advanced Water 580 -255-0002 immersion 3kw,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/31/97/NW-453197_wm.jpg,,580,1 year,N,85,Yes,No,,,Incoloy,,,580-255-0002,Domestic Boiler Parts,N,For domestic use,Incoloy construction,"14"" element length",8mm element diameter,,,,"With 1 3/4"" head",Includes combined plug-in Thermowatt RTS-3 dual function high temperature range thermostat,1 year warranty,,
22,P493543,Advanced Water Tornado SHELINK14SSUNV immersion heater,Advanced Water,105.77,"This Telford 14"", 3kW copper immersion heater is designed for use with a stainless steel unvented cylinder.",Water Heating and Storage/Hot Water Cylinders/Immersion Heaters/Immersion Heaters.csv -> Advanced Water Tornado SHELINK14SSUNV immersion heater,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/35/43/493543_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Telford_Copper_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
23,P445499,Gledhill Pulsacoil XB080 immersion heater,Gledhill,80.52,"This Gledhill PulsaCoil 2000 XB080 immersion heater is compatible with PulsaCoil 185, 215, 235 and 145 mains pressure hot water systems and comes with the PC2000 thermostat for convenient operation.",Water Heating and Storage/Hot Water Cylinders/Immersion Heaters/Immersion Heaters.csv -> Gledhill Pulsacoil XB080 immersion heater,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/54/99/445499_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/li/st/Gledhill_Spares_List.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
24,P474444,Santon EY311C immersion water heater with thermostat,Santon,107.33,"This twin stat heater element is for use in Santon R Units boilers.  The element is used to heat water in a cylinder to warm radiators and provide domestic hot water. The element also maintains water temperature in the cylinder, keeping hot water at a set temperature ready for use.  As the UK’s leading parts specialist, Wolseley carry the widest range of spares, stocking all the big name brands for the trade. Now, to give our customers even more support, we’re adding a greater number of specified parts from leading manufacturers into our branches with the introduction of the Wolseley Branch Parts Accreditation Scheme. Many branches will now be Silver and Gold accredited, a sign that they hold more stock than anyone else, so you can be confident you’ll get the parts you need to fix it first time. Fast.",Water Heating and Storage/Hot Water Cylinders/Immersion Heaters/Immersion Heaters.csv -> Santon EY311C immersion water heater with thermostat,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/44/44/474444_wm.jpg,,,12 Months,N,345,Yes,No,,R Units,N/A,,"R Units,Rectangular Combinatin Water Heaters Models R25, R70 and R115, R45",EY311C,Heater Element,N,N/A,,,,Electric,,,,,,,
25,PD74610,Heatrae Sadia PremierPlus immersion heater,Heatrae Sadia,22.63,"A Heatrae Sadia immersion heater designed for the Miscellaneous, Elson Cylinder, Zircon, Megalife HE, Premier Plus ErP, Heatstore Premier, Main Unvented, Pullin, Premier Plus, Sapphire Unvented Direct/Indirect, Coral, Heatstore, CenterStore and Express ranges.  The immersion heater increases water temperature within a cylinder for use in radiators and hot water systems. The element also helps the cylinder to hold water temperature at a set temperature for on-demand use.  As the UK’s leading parts specialist, Wolseley carry the widest range of spares, stocking all the big name brands for the trade. Now, to give our customers even more support, we’re adding a greater number of specified parts from leading manufacturers into our branches with the introduction of the Wolseley Branch Parts Accreditation Scheme. Many branches will now be Silver and Gold accredited, a sign that they hold more stock than anyone else, so you can be confident you’ll get the parts you need to fix it first time. Fast.",Water Heating and Storage/Hot Water Cylinders/Immersion Heaters/Immersion Heaters.csv -> Heatrae Sadia PremierPlus immersion heater,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/46/10/D74610_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/HS_PremierPlus_Unvented_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
