,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Pack Quantity,Range,Hazardous,Dimensions (L x W x D),Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Attachment 1,Colour,Material,Size,Application,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Weight,Power Supply,Feature 10,Feature 11,Feature 12,Feature 13,Attachment 2,Diameter,Connection Type,Length (M),Warranty
10,PN53898,Rothenberger Rocut pex plastic pipe cutter 28mm,Rothenberger,15.03,"Simple and effective, this Rothenberger Rocut 52003R pipe shear cuts most plastic piping up to 28mm. Comfortable to hold and operate, the Rocut has a V-shaped blade designed to cut PEX and other plastics accurately and squarely, providing the best possible finish for pipe connections.",Trade Essentials/Hand Tools/Plumbing Tools & Equipment/Plumbing Tools & Equipment.csv -> Rothenberger Rocut pex plastic pipe cutter 28mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/38/98/NW-N53898_wm.jpg,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Rothenberger_Product_Brochure_2021.pdf,,,,,,,,,,,,,,,,,,,,,
11,P581063,Center CB abrasive mini pads medium grade (Pack of 5),Center CB,12.59,"Cleaning pipework fast, these Center CB medium grade abrasive mini pad are a convenient alternative to steel wool.",Trade Essentials/Hand Tools/Plumbing Tools & Equipment/Plumbing Tools & Equipment.csv -> Center CB abrasive mini pads medium grade (Pack of 5),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/63/NW-581063_wm.jpg,Pack of 5,,N,,SEL0307CB,Abrasive Mini Pad,N,5 pads,Suitable for use in wet and dry conditions,,,,,,,,,,,,,,,,,,,,,,,
12,PT85875,Rothenberger Plasticut Pro cutting tool 15 - 22mm,Rothenberger,15.67,"Suitable for cutting different sizes and types of plastic pipe, the Rothenberger Plasticut Pro 15 - 22mm cutting tool is a unique rotary pipe cutter with an easy to change blade. Supplied with a handy replacement blade, the Plasticut Pro has a simple hinged body that fits two different pipe profiles. Cutting cleanly and squarely, the tool's re-engineered blade will not deform a pipe.",Trade Essentials/Hand Tools/Plumbing Tools & Equipment/Plumbing Tools & Equipment.csv -> Rothenberger Plasticut Pro cutting tool 15 - 22mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/58/75/T85875_wm.jpg,,Plasticut Pro,N,,1000003041,Plasticut Pro,N,Cuts both 15mm and 22mm pipe,New hinged design,Simple and safe to use,,Red,Plastic,118(L)x50(W)x183(H) mm,Pipe Cutter,Clean square cuts,Minimum pipe deformation,With 1 replacement blade,Easy change blade,Replacement blades available,Cuts barrier pipe,,,,,,,,,,,
13,PS12430,Rems Mini-Press mini-press 15-22-28mm,Rems,2611.88,"Ultra-compact, measuring just 33cm with Mini V22 pliers, this REMS Mini-Press super-action promo pack includes an efficient electro-hydraulic drive with powerful motor on a 14.4V Li-Ion battery. This lightweight tool offers ultra-fast crimping of a complete 22mm copper connection in around four seconds. It incorporates a wide range of handy features including an audible signal and automatic piston return at completion, a 360° swivel head, an electronic battery charge level control with deep discharge protection and an integrated LED to illuminate your work area during use.",Trade Essentials/Hand Tools/Plumbing Tools & Equipment/Plumbing Tools & Equipment.csv -> Rems Mini-Press mini-press 15-22-28mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/24/30/NW-S12430_wm.jpg,,Mini-Press,N,,578X04,Promo Pack,N,Real radial handling pressing with one hand,Only 2.4kg,For general use up to diameter 40mm,,,,,,Fast and easy to use,Rotating 360°,Rechargeable Li-Ion batteries 14.4 V capacity 1.6 or 3.2Ah for long life,"For more than 300 pressers, Viega Profipress DN15 per battery charge 2",High strength,Low weight,2kg,14.4 V,Extended operating temperature range -10 to 60°C,Deep discharge and overload protection with cell tracking,Temperature monitoring during charging process,Short charging times,,,,,
14,PN20132,Rothenberger set of 3 flux brushes,Rothenberger,2.3,"These Rothenberger flux brushes are designed for the accurate application of flux or glue to fittings and threads. Saving on waste, these reusable brushes help keep your working area neat and clean.",Trade Essentials/Hand Tools/Plumbing Tools & Equipment/Plumbing Tools & Equipment.csv -> Rothenberger set of 3 flux brushes,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/01/32/NW-N20132_wm.jpg,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Rothenberger_Product_Brochure_2021.pdf,,,,,,,,,,,,,,,,,,,,,
15,PN01710,Rothenberger ropump super plus,Rothenberger,130.45,"This Rothenberger force pump cleaner removes obstructions in basins, bowls, tubs and toilets using water pressure.",Trade Essentials/Hand Tools/Plumbing Tools & Equipment/Plumbing Tools & Equipment.csv -> Rothenberger ropump super plus,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/17/10/NW-N01710_wm.jpg,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/nu/al/Rothenberger_072070X_Manual.pdf,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Rothenberger_Product_Brochure_2021.pdf,,,,
16,P510078,Rothenberger automatic copper tube cutter 6-67mm,Rothenberger,146.12,"With an integrated telescopic ratchet guide, this Rothenberger automatic tube cutter quickly and easily cuts copper, brass, aluminium and thin-walled steel as well as sound-insulated pipes with 6 - 67mm diameters.",Trade Essentials/Hand Tools/Plumbing Tools & Equipment/Plumbing Tools & Equipment.csv -> Rothenberger automatic copper tube cutter 6-67mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/00/78/NW-510078_wm.jpg,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Rothenberger_Product_Brochure_2021.pdf,,,,,,,,,,,,,,,,,,,,,
17,PN20136,Rothenberger water pressure gauge 0-10bar,Rothenberger,16.74,"Check water pressure quickly and easily with this Rothenberger 67025 water pressure gauge with 3/4"" BSPT female connector, suitable for fitting onto an outside bib tap. The tool's pressure readings indicate whether enough pressure is available for an appliance to be installed or whether a pressure reducing valve is required where pressure is too high. The gauge is protected by a rubber boot while a flexible hose assists with flexibility and ease of reading.",Trade Essentials/Hand Tools/Plumbing Tools & Equipment/Plumbing Tools & Equipment.csv -> Rothenberger water pressure gauge 0-10bar,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/01/36/NW-N20136_wm.jpg,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Rothenberger_Product_Brochure_2021.pdf,,,,,,,,,,,,,,,,,,,,,
18,PN45476,Virax PC32 plastic pipe cutting shears,Virax,11.65,These Virax pipe cutting shears can cut plastic pipes up to 32mm in diameter.,Trade Essentials/Hand Tools/Plumbing Tools & Equipment/Plumbing Tools & Equipment.csv -> Virax PC32 plastic pipe cutting shears,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/54/76/NW-N45476_wm.jpg,,,N,,215099,Pipe Cutting Shear,N,For cutting PVC cable channels,For cutting plastic pipes,Cutting capacity up to 32mm,,,,32 mm (Dia) x 32 mm (L),For up to 42mm Dia Plastic Pipes,,,,,,,,,,,,,,32 mm,,,
19,PN13835,Nerrad NT2022 copper tube cutter 22mm,Nerrad,13.99,"Designed for 22mm copper pipe, this Nerrad copper tube cutter offers fast, clean, burr-free cutting. Self-adjusting and self-locking, this cutter is easy to use thanks to its unique anti-slip grip.",Trade Essentials/Hand Tools/Plumbing Tools & Equipment/Plumbing Tools & Equipment.csv -> Nerrad NT2022 copper tube cutter 22mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/38/36/NW-N13834_N13836_wm.jpg,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/Nerrad_Product_Catalogue_2016.pdf,,,,,,,,,,,,,,,,,,,,,
20,PN13834,Nerrad NT2015 copper tube cutter 15mm,Nerrad,11.99,"Designed for 15mm copper pipe, this Nerrad copper tube cutter offers fast, clean, burr-free cutting. Self-adjusting and self-locking, this cutter is easy to use thanks to its unique anti-slip grip.",Trade Essentials/Hand Tools/Plumbing Tools & Equipment/Plumbing Tools & Equipment.csv -> Nerrad NT2015 copper tube cutter 15mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/38/36/NW-N13834_N13836_wm.jpg,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/Nerrad_Product_Catalogue_2016.pdf,,,,,,,,,,,,,,,,,,,,,
21,PN16996,Nerrad Tapex Advanced Tap Wrench Technology,Nerrad,163.05,"A handy 18-piece set, this robust Nerrad Tappex advanced tap wrench kit includes unique chrome vanadium sockets for 1/2 and 3/4"" back and supply nuts.",Trade Essentials/Hand Tools/Plumbing Tools & Equipment/Plumbing Tools & Equipment.csv -> Nerrad Tapex Advanced Tap Wrench Technology,,6x extra long flank style forged sockets3/8 inch to 8mm Hex adapter socketPlastic handleSliding T Bar 165mm3/8-1/4 inch reducer 100mm3/8 inch drive extendable ratchet 190-248mm3/8 inch universal joint1/4 inch universal joint3/8 inch drive adjustable exte,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/69/96/NW-N16996_wm.jpg,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/0_/21/Nerrad_Product_Catalogue_2020_21.pdf,,,,,,,,,,,,,,,,,,,,,
22,P519383,Wavin Wavin Hep2O HX79/15W hepkey plus 15mm,Wavin,0.4,"Made of polybutylene (PB), this Wavin Hep2O HX79 15mm HepKey Plus demounting tool is suitable for use in hot and cold flexible plumbing systems accepting push-fit connections. The HepKey allows for easy demounting and adjusting of Hep2O connectors.",Trade Essentials/Hand Tools/Plumbing Tools & Equipment/Plumbing Tools & Equipment.csv -> Wavin Wavin Hep2O HX79/15W hepkey plus 15mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/93/83/NW-519383_wm.jpg,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Wavin_Hep2O_Pushfit_Plumbing_Install.pdf,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Wavin_Hep2O_Push-Fit_Plumbing_Guide.pdf,,,,
23,P519384,Wavin Wavin Hep2O HX79/22W hepkey plus 22mm,Wavin,0.39,"Made of polybutylene (PB), this Wavin Hep2O HX79 22mm HepKey Plus demounting tool is suitable for use in hot and cold flexible plumbing systems accepting push-fit connections. The HepKey allows for easy demounting and adjusting of Hep2O connectors.",Trade Essentials/Hand Tools/Plumbing Tools & Equipment/Plumbing Tools & Equipment.csv -> Wavin Wavin Hep2O HX79/22W hepkey plus 22mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/93/84/NW-519384_wm.jpg,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Wavin_Hep2O_Pushfit_Plumbing_Install.pdf,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Wavin_Hep2O_Push-Fit_Plumbing_Guide.pdf,,,,
24,PN13836,Nerrad NT2028 copper tube cutter 28mm,Nerrad,25.99,"Designed for 28mm copper pipe, this Nerrad copper tube cutter offers fast, clean, burr-free cutting. Self-adjusting and self-locking, this cutter is easy to use thanks to its unique anti-slip grip.",Trade Essentials/Hand Tools/Plumbing Tools & Equipment/Plumbing Tools & Equipment.csv -> Nerrad NT2028 copper tube cutter 28mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/38/36/NW-N13834_N13836_wm.jpg,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/Nerrad_Product_Catalogue_2016.pdf,,,,,,,,,,,,,,,,,,,,,
25,PH79851,Monument master plunger,Monument,17.11,"Used to remove blockages in pipes by building pressure, this Monument MON1459 master plunger has patented bellows for more displacement than traditional force cups.",Trade Essentials/Hand Tools/Plumbing Tools & Equipment/Plumbing Tools & Equipment.csv -> Monument master plunger,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/98/51/NW-H79851_wm.jpg,,,N,,MON1459,Master Plunger,N,Easy to clean,Removable handle,Durable plastic,,Blue,Plastic,125 mm (Dia),,,,,,,,0.13643,,,,,,,,,,
26,PM90771,Geberit Mapress 91088 pipe cutter 12-54mm,Geberit,121.99,"Made of steel, this Geberit Mapress pipe cutter cuts pipes with 12 - 54mm diameters. A spare cutting wheel is contained in the handle for convenience.",Trade Essentials/Hand Tools/Plumbing Tools & Equipment/Plumbing Tools & Equipment.csv -> Geberit Mapress 91088 pipe cutter 12-54mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/07/71/NW-M90771_wm.jpg,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Geberit_Tooling_ProductGuide_Apr2019.pdf,,,,,,,,,,,,,,,,,,,,,
27,PP95591,Geberit Mapress set of cutting wheels 12-54mm,Geberit,29.14,"Made of steel, this Geberit Mapress cutting wheel set is suitable for use in industrial applications and in critical installations in a range of settings such as hospitals or hotels. With an extensive range of piping materials and fitting types, the Mapress system is suitable for transporting service water, compressed air, gases and chemicals and for safe and reliable drinking water installations too.",Trade Essentials/Hand Tools/Plumbing Tools & Equipment/Plumbing Tools & Equipment.csv -> Geberit Mapress set of cutting wheels 12-54mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/55/91/NW-P95591_wm.jpg,,Mapress,N,,91092,Cutting Wheel Set,N,Made of steel,Suitable for Geberit products,,,,Steel,12 x 54 mm,,,,,,,,,,,,,,,12 x 54 mm,,,
28,PN13837,Nerrad cutting wheel copper nt2015/2022/2028,Nerrad,2.99,"This Nerrad replacement cutting wheel is suitable for Nerrad NT2015 15mm, NT2022 22mm and NT2028 28mm copper tube cutters.",Trade Essentials/Hand Tools/Plumbing Tools & Equipment/Plumbing Tools & Equipment.csv -> Nerrad cutting wheel copper nt2015/2022/2028,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/38/37/NW-N13837_wm.jpg,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/Nerrad_Product_Catalogue_2016.pdf,,,,,,,,,,,,,,,,,,,,,
29,PT86378,Rothenberger brass radiator air key,Rothenberger,2.49,These Rothenberger clock-type air bleed keys allow users to bleed radiators via a bleed valve.,Trade Essentials/Hand Tools/Plumbing Tools & Equipment/Plumbing Tools & Equipment.csv -> Rothenberger brass radiator air key,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/63/78/NW-T86378_wm.jpg,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Rothenberger_Product_Brochure_2021.pdf,,,,,,,,,,,,,,,,,,,,,
30,PT85773,"Rothenberger spare multibender guide 15mm (1/2"")",Rothenberger,14.14,"This precision-made Rothenberger 80175 multibender guide is made of strong aluminium and offers clean, strong bends.","Trade Essentials/Hand Tools/Plumbing Tools & Equipment/Plumbing Tools & Equipment.csv -> Rothenberger spare multibender guide 15mm (1/2"")",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/57/73/NW-T85773_wm.jpg,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Rothenberger_Product_Brochure_2021.pdf,,,,,,,,,,,,,,,,,,,,,
31,P418051,Rothenberger manhole lifting key (D handle),Rothenberger,6.11,"With a 520mm length, this Rothenberger manhole lifting key has an ultra-strong lifting capacity of 30kg combined with comfortable manoeuvrability. Traditionally designed, this key is suitable for lifting a range of different sized covers, including water meter covers and heavy manhole covers.",Trade Essentials/Hand Tools/Plumbing Tools & Equipment/Plumbing Tools & Equipment.csv -> Rothenberger manhole lifting key (D handle),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/80/51/NW-418051_wm.jpg,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Rothenberger_Product_Brochure_2021.pdf,,,,,,,,,,,,,,,,,,,,,
