,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Range,Hazardous,Boiler Section,Supplier Product Code,Type,WEEE Compliant,Attachment 1,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Attachment 2,Attachment 3,Connection Size,Connection Type,Pack Quantity,Feature 6,For Use With,Boiler Range
10,P468861,Advanced Water 012-468-0602 pressure relief valve,Advanced Water,32.32,"This Kingspan Albion 15mm 6 bar pressure relief valve is suitable for use in Albion stainless unvented cylinders  The relief valve is designed to safely relieve over pressure.  To help you find the right parts for your jobs, go to the industry leading parts identification tool, PartsArena, giving you quick access to over 20,000 exploded diagrams, 10,000 images & 20,000 products. FREE to Wolseley trade account customers.",Water Heating and Storage/Hot Water Cylinders/Cylinder Parts and Accessories/Cylinder Parts and Accessories.csv -> Advanced Water 012-468-0602 pressure relief valve,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/88/61/468861_wm.jpg,,N,Gas Assembly,012-468-0602,Relief Valve,N,,,,,,,,,,,,,,
11,P470545,Oso Hotwater OSO Hotwater Spares 80030 surface mounted thermostat,Oso Hotwater,65.33,"This easy-install Oso Hotwater surface-mounted coil thermostat is compatible with a range of Oso's unvented cylinders, including those in the brand's Ecoline and Slimline ranges.",Water Heating and Storage/Hot Water Cylinders/Cylinder Parts and Accessories/Cylinder Parts and Accessories.csv -> Oso Hotwater OSO Hotwater Spares 80030 surface mounted thermostat,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/05/45/470545_wm.jpg,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Oso_Hotwater_EPCI_Installation.pdf,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Oso_Hotwater_Multibloc_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Oso_Hotwater_Ecoline_Geo_Install.pdf,,,,,,
12,P493563,Ariston Andris Lux 406801 water heater kit A- 2 litre expansion vessel and non-return valve 406801,Ariston,57.62,"The Ariston Andris Lux optional kit A includes an expansion vessel and non-return valves. While the expansion vessel prevents the build-up of pressure in a domestic hot water system, the non-return valve keeps hot water from flowing back into the cold water main.",Water Heating and Storage/Hot Water Cylinders/Cylinder Parts and Accessories/Cylinder Parts and Accessories.csv -> Ariston Andris Lux 406801 water heater kit A- 2 litre expansion vessel and non-return valve 406801,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/35/63/NW-493563_wm.jpg,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Ariston_Pocket_Range_Guide.pdf,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Ariston_Andris_Lux_Technical.pdf,,,,,,,
13,P181336,Tesla N/A expansion vessel service valve,Tesla,15.76,"Making vessel isolation simple, with no need to drain down and re-add inhibitor, this Tesla expansion vessel service valve makes servicing and recharging simple. Suitable for membrane expansion vessels in sealed heating and cooling systems, this shut off and drain is compatible with the Tesla EVCKIT sealed system installation kit.",Water Heating and Storage/Hot Water Cylinders/Cylinder Parts and Accessories/Cylinder Parts and Accessories.csv -> Tesla N/A expansion vessel service valve,,Expansion vessel service valve;Washer;Locking wire,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/13/36/181336_wm.jpg,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Tesla_Expansion_Vessel_Valve_Tech.pdf,,,,,,,,,,,,,
14,P488919,Advanced Water 012-388-0801 manifold pressure relief valve,Advanced Water,189.75,"This Kingspan Albion 3/6 bar inlet control group multibloc is suitable for use in Albion stainless unvented cylinders.  The relief valve is designed to safely relieve over pressure.  To help you find the right parts for your jobs, go to the industry leading parts identification tool, PartsArena, giving you quick access to over 20,000 exploded diagrams, 10,000 images & 20,000 products. FREE to Wolseley trade account customers.",Water Heating and Storage/Hot Water Cylinders/Cylinder Parts and Accessories/Cylinder Parts and Accessories.csv -> Advanced Water 012-388-0801 manifold pressure relief valve,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/89/19/488919_wm.jpg,,N,Gas Assembly,012-388-0801,Relief Valve,N,,,,,,,,,,,,,,
15,P891332,FLAMCO PRESSURE VACUUM DEGASSER EQUIPMNT,Flamco,5901.15,"This compact, fully enclosed Flamco Flexfiller Plus pressurisation degasser equipment combines a digital pressurisation unit with vacuum degasser for convenient use on sealed systems to provide a minimum system pressure requirement and effectively remove dissolved gas to protect the system from damage and corrosion.",Water Heating and Storage/Hot Water Cylinders/Cylinder Parts and Accessories/Cylinder Parts and Accessories.csv -> FLAMCO PRESSURE VACUUM DEGASSER EQUIPMNT,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/13/32/891332_wm.jpg,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/18/Flamco_Product_Overview_2018.pdf,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Flamco_Pressurisation_Equipment_Tech.pdf,,,,,,,
16,P176296,Essex Partners CF1/R flange non stop flat and curved 22mm (1),Essex Partners,50.06,"The Essex Partners CF1/R 22mm flange can be fitted entirely from the outside of a cylinder or tank, requiring only the drilling or cutting of a single round hole.",Water Heating and Storage/Hot Water Cylinders/Cylinder Parts and Accessories/Cylinder Parts and Accessories.csv -> Essex Partners CF1/R flange non stop flat and curved 22mm (1),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/62/96/NW-176295_176296_wm.jpg,CF1/R,N,,CF1/R NS,Flange,N,,Non-stop flat and curved flange,With rubber washer,Maximum 60°C compression boss,Easy connections for all sizes of pipework,Suitable for immersion heaters,,,22 mm,Compression,1,"To fit in challenging spots cut hole and fit from one side, no need to remove vessel",,
17,P468703,Advanced Water PremierPlus 218-632-0006 premier control valve,Advanced Water,208.28,"A control valve suitable for Heatrae Sadia's PremierPlus range.  We carry over 300 of the most in demand parts in-branch and stock over 25,000 spare parts available for next-day timed delivery.",Water Heating and Storage/Hot Water Cylinders/Cylinder Parts and Accessories/Cylinder Parts and Accessories.csv -> Advanced Water PremierPlus 218-632-0006 premier control valve,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/87/03/468703_wm.jpg,PremierPlus,N,Gas Assembly,218-632-0006,Control Valve,N,,,,,,,,,,,,,"100i, 120i, 150i, 170i, 210i, 250i, 250i 6kW, 300i, 300i 6kW, 100d, 120d, 150d, 170d, 210d, 250d, 250d 9Kw, 300d, 300d 9kW",PremierPlus
18,P493485,Advanced Water 366-475-0001 pressure temperature relief valve,Advanced Water,85.79,"This RWC pressure and temperature relief valve is designed to safely relieve over pressure in case of input temperature or pressure control failure.  As the UK’s leading parts specialist, Wolseley carry the widest range of spares, stocking all the big name brands for the trade. Now, to give our customers even more support, we’re adding a greater number of specified parts from leading manufacturers into our branches with the introduction of the Wolseley Branch Parts Accreditation Scheme. Many branches will now be Silver and Gold accredited, a sign that they hold more stock than anyone else, so you can be confident you’ll get the parts you need to fix it first time. Fast.",Water Heating and Storage/Hot Water Cylinders/Cylinder Parts and Accessories/Cylinder Parts and Accessories.csv -> Advanced Water 366-475-0001 pressure temperature relief valve,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/34/85/493485_wm.jpg,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/RWC_TPR15_TPR22_Technical.pdf,,,,,,,,,,,,,
19,P468705,Advanced Water 022-388-0801 safety device pack,Advanced Water,177.82,"An Ariston spare part, this 3.5 to 5 bar multibloc inlet control group valve  is supplied with a 15mm x 22mm plastic tundish. It is suitable for use in Classico and Primo unvented cylinders.  We know you’re busy and need to get repair jobs done quickly and efficiently. Your local parts specialist is always on hand to support you. They offer help, advice and they can get you the part you need.  Your local branch stocks an in-depth range of domestic gas and oil spare parts from leading manufacturers, so you can fix it first time.",Water Heating and Storage/Hot Water Cylinders/Cylinder Parts and Accessories/Cylinder Parts and Accessories.csv -> Advanced Water 022-388-0801 safety device pack,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/87/05/468705_wm.jpg,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ar/ts/Ariston_Classico_Spare_Parts.pdf,,,,,,,,,,,,,
20,P493562,"Advanced Water Megaflo HE, Megatech, Elson Cylinder - Olympic Village Only, Megalife 95605021 cold water combi valve",Advanced Water,163.5,"A multibloc control valve suitable for Heatrae Sadia Megaflo HE, Megatech, Elson Cylinder (Olympic Village only) and Megalife ranges.  We carry over 300 of the most in demand parts in-branch and stock over 25,000 spare parts available for next-day timed delivery.","Water Heating and Storage/Hot Water Cylinders/Cylinder Parts and Accessories/Cylinder Parts and Accessories.csv -> Advanced Water Megaflo HE, Megatech, Elson Cylinder - Olympic Village Only, Megalife 95605021 cold water combi valve",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/35/62/493562_wm.jpg,"Megaflo HE, Megatech, Elson Cylinder - Olympic Village Only, Megalife",N,Gas Assembly,218-388-0003,Control Valve,N,,,,,,,,,,,,,"Megaflo CL125HE, Megaflo CL145HE, Megaflo CL170HE, Megaflo CL250HE, Megaflo CL300HE, Megaflo CL70HE, Megaflo D70HE, Megaflo DD125HE, Megaflo DD145HE, Megaflo DD170HE, Megaflo DD210HE, Megaflo DD250HE, Megaflo DD300HE, Megaflo DDD210HE, Megaflo DDD250HE,","Megaflo HE, Megatech, Elson Cylinder - Olympic Village Only, Megalife"
21,P468879,Advanced Water 012-475-0001 pressure temperature relief valve 3.5bar,Advanced Water,126.63,"This Kingspan Albion 22mm pressure and temperature relief valve is suitable for use in Albion Mercury Gold and Saturn unvented cylinders.  The relief valve is designed to safely relieve over pressure.  To help you find the right parts for your jobs, go to the industry leading parts identification tool, PartsArena, giving you quick access to over 20,000 exploded diagrams, 10,000 images & 20,000 products. FREE to Wolseley trade account customers.",Water Heating and Storage/Hot Water Cylinders/Cylinder Parts and Accessories/Cylinder Parts and Accessories.csv -> Advanced Water 012-475-0001 pressure temperature relief valve 3.5bar,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/88/79/468879_wm.jpg,,N,Gas Assembly,012-475-0001,Relief Valve,N,,,,,,,,,,,,,,
22,P493496,Advanced Water 512-468-0001 pressure relief valve,Advanced Water,53.36,"This Range O-ring type 6 bar pressure relief valve is designed for Range Tribune HE (Caleffi control gear) cylinders.  A pressure relief valve is designed to safely relieve over pressure.  As the leading supplier of parts for all the major boiler manufacturers we’ve got a wealth of experience and knowledge in this area, and with over 450 branches we carry more heating spare parts in more places than any other merchant to help you improve your first time fix rate.",Water Heating and Storage/Hot Water Cylinders/Cylinder Parts and Accessories/Cylinder Parts and Accessories.csv -> Advanced Water 512-468-0001 pressure relief valve,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/34/96/493496_wm.jpg,,N,Gas Assembly,512-468-0001,Relief Valve,N,,,,,,,,,,,,,,
23,P468697,Heatrae Sadia 218-583-0012 thermostat,Heatrae Sadia,79.58,"This Heatrae Sadia 11"" rod type thermostat is suitable for cylinders and is compatible with Express, Sapphire Professional Choice Unvented Direct/Indirect, Premier Plus, Pullin, Gold, CenterStore, Megaflo Eco Plus, Megaflo Eco Plus Flexistor, Megaflo HE, Main Unvented, Electromax, Electromax Solar, Heat Merchants, Miscellaneous, Megalife and Megalife Solar units.  We know you’re busy and need to get repair jobs done quickly and efficiently. Your local parts specialist is always on hand to support you. They offer help, advice and they can get you the part you need.  Your local branch stocks an in-depth range of domestic gas and oil spare parts from leading manufacturers, so you can fix it first time.",Water Heating and Storage/Hot Water Cylinders/Cylinder Parts and Accessories/Cylinder Parts and Accessories.csv -> Heatrae Sadia 218-583-0012 thermostat,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/86/97/468697_wm.jpg,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/HS_Megaflo_Eco_Solar_Installation.pdf,,,,,,,,,,,,,
24,P468691,Advanced Water 218-467-0010 pressure reducing valve,Advanced Water,87.43,"This Heatrae Sadia 3 bar pressure reducing valve with push-fit inlet connection and male screw fit outlet connection is suitable for use in Megaflo eco, Megaflo eco Solar, Megaflo Eco SystemReady SB, Megaflo eco SolaReady, Megaflo Eco Systemfit ErP, Megaflo Eco Systemfit ErP (package with Hi-Max Store), Megaflo Eco Slimline, Megaflo Eco Solar PV Ready (inc iBoost & iBuddy), Megaflo Compact, Megaflo Compact Systemfit, Megaflo Compact SystemReady, Megaflo and utility cupboard hot water heat interface units appliances.  The pressure relief valve is designed to control pressure in a closed system, relieving a build-up to avoid damage or malfunction.  To help you find the right parts for your jobs, go to the industry leading parts identification tool, PartsArena, giving you quick access to over 20,000 exploded diagrams, 10,000 images & 20,000 products. FREE to Wolseley trade account customers.",Water Heating and Storage/Hot Water Cylinders/Cylinder Parts and Accessories/Cylinder Parts and Accessories.csv -> Advanced Water 218-467-0010 pressure reducing valve,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/86/91/468691_wm.jpg,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/HS_Megaflo_EcoSystemFit_Installation.pdf,,,,,,,,,,,,,
25,P468869,Advanced Water 520-468-0764 pressure relief valve,Advanced Water,123.91,"This RWC 8 bar core unit pressure relief expansion manifold has a 3/4"" male inlet and 22mm compression outlet connections and stainless steel seat. It is designed for use with RWC unvented cylinders.  As the UK’s leading parts specialist, Wolseley carry the widest range of spares, stocking all the big name brands for the trade. Now, to give our customers even more support, we’re adding a greater number of specified parts from leading manufacturers into our branches with the introduction of the Wolseley Branch Parts Accreditation Scheme. Many branches will now be Silver and Gold accredited, a sign that they hold more stock than anyone else, so you can be confident you’ll get the parts you need to fix it first time. Fast.",Water Heating and Storage/Hot Water Cylinders/Cylinder Parts and Accessories/Cylinder Parts and Accessories.csv -> Advanced Water 520-468-0764 pressure relief valve,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/88/69/468869_wm.jpg,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/RWC_312_Compact_Brochure.pdf,,,,,,,,,,,,,
26,P176295,Essex Partners CF1/R flange non stop flat and curved 15mm (1),Essex Partners,43.54,"The Essex Partners CF1/R 15mm flange can be fitted entirely from the outside of a cylinder or tank, requiring only the drilling or cutting of a single round hole.",Water Heating and Storage/Hot Water Cylinders/Cylinder Parts and Accessories/Cylinder Parts and Accessories.csv -> Essex Partners CF1/R flange non stop flat and curved 15mm (1),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/62/96/NW-176295_176296_wm.jpg,CF1/R,N,,176295*,Flange,N,,Non-stop flat and curved flange,With rubber washer,Maximum 60°C compression boss,Easy connections for all sizes of pipework,Suitable for immersion heaters,,,15mm,Compression,1,"To fit in challenging spots cut hole and fit from one side, no need to remove vessel",,
