,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Diameter,Pack Quantity,Range,Hazardous,Material,Supplier Product Code,WEEE Compliant,Dimensions (L x W x D),Type,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Feature 11,Feature 12,Feature 13
10,PS18881,Fischer DuoLine DuoPower universal wall plug and screw 8 x 40mm (50),Fischer,9.35,"Self-activating, these Fischer DuoLine DuoPower 8 x 40mm universal wall plugs and screws can expand, fold and knot, depending on the substrate they're used in, making them the ideal choice for a wide range of applications. With a shorter length these plugs and screws, supplied in a pack of fifty, fix fast and need less drilling and they won't rotate during installation either. Clear feedback makes knowing that the DuoPower plug is installed correctly obvious while smooth running openings ensure safe and easy installation of the steel screw into the nylon plug.",Trade Essentials/Fixings and Fasteners/Fixings/Wall Plugs/Wall Plugs.csv -> Fischer DuoLine DuoPower universal wall plug and screw 8 x 40mm (50),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/88/81/S18881_wm.jpg,,,8 mm,50,DuoLine,N,Nylon/Steel,535460,N,,,,,,,,,,,,,,,
11,PS18859,Fischer DuoSeal 557727 wall plug 6x38mm with a2 screw (50),Fischer,40.45,"Ideal for wet tiled areas, Fischer DuoSeal 6 x 38mm wall plugs with A2 screws are recommended for fitting jobs in bathrooms, kitchens, spas, swimming pools, laundry rooms and sports facilities. Comprising two components, DuoSeal is able to reliably seal drill holes with no need for sealing compound. Meeting sealing standards for wet areas, using these plugs with the supplied screws ensures suitability for areas exposed to splashing and accumulating water.",Trade Essentials/Fixings and Fasteners/Fixings/Wall Plugs/Wall Plugs.csv -> Fischer DuoSeal 557727 wall plug 6x38mm with a2 screw (50),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/88/59/S18859_wm.jpg,,,,50,DuoSeal,N,,557727,N,6 x 38mm,Wall Plug,Pack of 50,No need for additional sealing compound,Prevents structural damage caused by moisture,Ideal for tiled surfaces exposed to splashing and accumulated water,Can be installed in tiles with little effort,Red component ensures secure hold in all building materials,Achieves same load values as conventional nylon plugs,Included stainless steel screw won't rust in wet areas,Soft plastic rim closes drill hole completely,Rim flexibly adapts to shape of attachment part,Independently tested by Testing and Certification Institute of the Säure Fliesner Vereinigung e. V.,Watertightness in accordance with ETAG 022 and DIN 18534 up to water exposure class W3-I,Please take note of national regulations on the use of plugs in wet areas
12,PS18853,Fischer DuoPower 545020 universal wall plug 6x30mm (25),Fischer,2.48,"With self-activating functions, these Fischer DuoPower 6 x 30mm universal wall plugs can expand, fold and even knot, depending on the substrate they're used in, making them suitable for a variety of applications. Offering reliably clear feedback, the installer should be able to feel exactly when a plug is installed correctly. Smooth running, these rotation-free plugs ensure safe and easy installation into a screw channel.",Trade Essentials/Fixings and Fasteners/Fixings/Wall Plugs/Wall Plugs.csv -> Fischer DuoPower 545020 universal wall plug 6x30mm (25),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/88/53/S18853_wm.jpg,,,,25,DuoPower,N,,545020,N,6 x 30mm,Wall Plug,Pack of 25,Short plug length for quick fixing,Short length means less drilling and shorter screws,Combines soft and hard materials for optimal screw-in and tightening torque,Red expansion wings for safe expansion,"Depending on building material, main body automatically activates best function","For permanent, safe hold",Narrow plug rim prevents slipping in drill hole,,,,,
13,PS18873,Fischer DuoLine DuoPower universal wall plug and screw 14 x 70mm (8),Fischer,16.79,"Self-activating, these Fischer DuoLine DuoPower 14 x 70mm universal wall plugs and screws can expand, fold and knot, depending on the substrate they're used in, making them the ideal choice for a wide range of applications. With a shorter length these plugs and screws,  supplied in a pack of eight, fix fast and need less drilling and they won't rotate during installation either. Clear feedback makes knowing that the DuoPower plug is installed correctly obvious while smooth running openings ensure safe and easy installation of the steel screw into the nylon plug.",Trade Essentials/Fixings and Fasteners/Fixings/Wall Plugs/Wall Plugs.csv -> Fischer DuoLine DuoPower universal wall plug and screw 14 x 70mm (8),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/88/73/S18873_wm.jpg,,,14 mm,8,DuoLine,N,Nylon/Steel,538249,N,,,,,,,,,,,,,,,
14,PS18874,Fischer DuoLine FixTainer DuoPower universal wall plug short/long 6x30/6x50/8x40/8x65mm (210),Fischer,38.39,"Self-activating, these Fischer DuoLine DuoPower 6/8 x 30/40/50/65mm short/long universal wall plugs and screws can expand, fold and knot, depending on the substrate they're used in, making them the ideal choice for a wide range of applications. With a shorter length these plugs and screws, supplied in a pack of 210, fix fast and need less drilling and they won't rotate during installation either. Clear feedback makes knowing that the DuoPower plug is installed correctly obvious while smooth running openings ensure safe and easy installation of the steel screw into the nylon plug.",Trade Essentials/Fixings and Fasteners/Fixings/Wall Plugs/Wall Plugs.csv -> Fischer DuoLine FixTainer DuoPower universal wall plug short/long 6x30/6x50/8x40/8x65mm (210),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/88/74/S18874_wm.jpg,,,68 mm,210,DuoLine,N,Nylon,541105,N,,,,,,,,,,,,,,,
15,P511704,Talon Wall Plugs uncarded pack of plugs Brown,Talon,12.26,"Supplied uncarded, this pack of Talon fixing plugs contains 1000 premium grade polymer plugs. Designed to expand in two directions, these plugs ensure rapid fixing and high pull-out value. The plugs are moulded with protruding side fins to restrict rotation and prevent fall-out when fixed overhead.",Trade Essentials/Fixings and Fasteners/Fixings/Wall Plugs/Wall Plugs.csv -> Talon Wall Plugs uncarded pack of plugs Brown,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/17/04/NW-511704_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Talon_Fixing_Plugs_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,
16,PS18866,Fischer DuoLine DuoPower universal wall plug 10 x 80mm (25),Fischer,9.15,"Self-activating, these Fischer DuoLine DuoPower 10 x 80mm universal wall plugs and screws can expand, fold and knot, depending on the substrate they're used in, making them the ideal choice for a wide range of applications. With a shorter length these plugs and screws, supplied in a pack of twenty five, fix fast and need less drilling and they won't rotate during installation either. Clear feedback makes knowing that the DuoPower plug is installed correctly obvious while smooth running openings ensure safe and easy installation of the steel screw into the nylon plug.",Trade Essentials/Fixings and Fasteners/Fixings/Wall Plugs/Wall Plugs.csv -> Fischer DuoLine DuoPower universal wall plug 10 x 80mm (25),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/88/66/S18866_wm.jpg,,,10 mm,25,DuoLine,N,Nylon,538242,N,,,,,,,,,,,,,,,
17,PS18879,Fischer DuoLine DuoPower universal wall plug and screw 5 x 25mm (50),Fischer,6.18,"Self-activating, these Fischer DuoLine DuoPower 5 x 25mm universal wall plugs and screws can expand, fold and knot, depending on the substrate they're used in, making them the ideal choice for a wide range of applications. With a shorter length these plugs and screws, supplied in a pack of fifty, fix fast and need less drilling and they won't rotate during installation either. Clear feedback makes knowing that the DuoPower plug is installed correctly obvious while smooth running openings ensure safe and easy installation of the steel screw into the nylon plug.",Trade Essentials/Fixings and Fasteners/Fixings/Wall Plugs/Wall Plugs.csv -> Fischer DuoLine DuoPower universal wall plug and screw 5 x 25mm (50),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/88/79/S18879_wm.jpg,,,5mm,50,DuoLine,N,Nylon/Steel,535458,N,,,,,,,,,,,,,,,
18,PS18860,Fischer DuoSeal 557731 wall plug 6x38mm with a2 screw (4),Fischer,5.51,"Ideal for wet tiled areas, Fischer DuoSeal 6 x 38mm wall plugs with A2 screws are recommended for fitting jobs in bathrooms, kitchens, spas, swimming pools, laundry rooms and sports facilities. Comprising two components, DuoSeal is able to reliably seal drill holes with no need for sealing compound. Meeting sealing standards for wet areas, using these plugs with the supplied screws ensures suitability for areas exposed to splashing and accumulating water.",Trade Essentials/Fixings and Fasteners/Fixings/Wall Plugs/Wall Plugs.csv -> Fischer DuoSeal 557731 wall plug 6x38mm with a2 screw (4),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/88/60/S18860_wm.jpg,,,,4,DuoSeal,N,,557731,N,6 x 38mm,Wall Plug,Pack of 4,No need for additional sealing compound,Prevents structural damage caused by moisture,Ideal for tiled surfaces exposed to splashing and accumulated water,Can be installed in tiles with little effort,Red component ensures secure hold in all building materials,Achieves same load values as conventional nylon plugs,Included stainless steel screw won't rust in wet areas,Soft plastic rim closes drill hole completely,Rim flexibly adapts to shape of attachment part,Independently tested by Testing and Certification Institute of the Säure Fliesner Vereinigung e. V.,Watertightness in accordance with ETAG 022 and DIN 18534 up to water exposure class W3-I,Please take note of national regulations on the use of plugs in wet areas
19,PS18867,Fischer DuoLine DuoPower universal wall plug 12 x 60mm (25),Fischer,7.26,"Self-activating, these Fischer DuoLine DuoPower 12 x 60mm universal wall plugs and screws can expand, fold and knot, depending on the substrate they're used in, making them the ideal choice for a wide range of applications. With a shorter length these plugs and screws, supplied in a pack of twenty five, fix fast and need less drilling and they won't rotate during installation either. Clear feedback makes knowing that the DuoPower plug is installed correctly obvious while smooth running openings ensure safe and easy installation of the steel screw into the nylon plug.",Trade Essentials/Fixings and Fasteners/Fixings/Wall Plugs/Wall Plugs.csv -> Fischer DuoLine DuoPower universal wall plug 12 x 60mm (25),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/88/67/S18867_wm.jpg,,,12 mm,25,DuoLine,N,Nylon,538253,N,,,,,,,,,,,,,,,
20,PS18880,Fischer DuoLine DuoPower universal wall plug and screw 6 x 30mm (50),Fischer,6.42,"Self-activating, these Fischer DuoLine DuoPower 6 x 30mm universal wall plugs and screws can expand, fold and knot, depending on the substrate they're used in, making them the ideal choice for a wide range of applications. With a shorter length these plugs and screws, supplied in a pack of fifty, fix fast and need less drilling and they won't rotate during installation either. Clear feedback makes knowing that the DuoPower plug is installed correctly obvious while smooth running openings ensure safe and easy installation of the steel screw into the nylon plug.",Trade Essentials/Fixings and Fasteners/Fixings/Wall Plugs/Wall Plugs.csv -> Fischer DuoLine DuoPower universal wall plug and screw 6 x 30mm (50),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/88/80/S18880_wm.jpg,,,6 mm,50,DuoLine,N,Nylon/Steel,535459,N,,,,,,,,,,,,,,,
21,PS18862,Fischer DuoLine FixTainer DuoPower universal wall plugs and screws 6/8/10mm (210),Fischer,37.95,"Self-activating, these Fischer DuoLine FixTainer DuoPower 6/8/10mm x 30/40/50mm universal wall plugs and screws can expand, fold and knot, depending on the substrate they're used in, making them the ideal choice for a wide range of applications. With a shorter length these plugs and screws, supplied in a pack of 210, fix fast and need less drilling and they won't rotate during installation either. Clear feedback makes knowing that the DuoPower plug is installed correctly obvious while smooth running openings ensure safe and easy installation of the steel screw into the nylon plug.",Trade Essentials/Fixings and Fasteners/Fixings/Wall Plugs/Wall Plugs.csv -> Fischer DuoLine FixTainer DuoPower universal wall plugs and screws 6/8/10mm (210),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/88/62/S18862_wm.jpg,,,6/8/10mm,210,DuoLine,N,Nylon/Steel,536162,N,,,,,,,,,,,,,,,
22,PS18878,Fischer DuoLine DuoPower universal wall plug 10 x 50mm (50),Fischer,8.99,"Self-activating, these Fischer DuoLine DuoPower 10 x 50mm universal wall plugs and screws can expand, fold and knot, depending on the substrate they're used in, making them the ideal choice for a wide range of applications. With a shorter length these plugs and screws, supplied in a pack of fifty, fix fast and need less drilling and they won't rotate during installation either. Clear feedback makes knowing that the DuoPower plug is installed correctly obvious while smooth running openings ensure safe and easy installation of the steel screw into the nylon plug.",Trade Essentials/Fixings and Fasteners/Fixings/Wall Plugs/Wall Plugs.csv -> Fischer DuoLine DuoPower universal wall plug 10 x 50mm (50),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/88/78/S18878_wm.jpg,,,10 mm,50,DuoLine,N,Nylon,535456,N,,,,,,,,,,,,,,,
23,PS18869,Fischer DuoLine DuoPower universal wall plug and screw 6 x 50mm (50),Fischer,12.29,"Self-activating, these Fischer DuoLine DuoPower 6 x 50mm universal wall plugs and screws can expand, fold and knot, depending on the substrate they're used in, making them the ideal choice for a wide range of applications. With a shorter length these plugs and screws, supplied in a pack of fifty, fix fast and need less drilling and they won't rotate during installation either. Clear feedback makes knowing that the DuoPower plug is installed correctly obvious while smooth running openings ensure safe and easy installation of the steel screw into the nylon plug.",Trade Essentials/Fixings and Fasteners/Fixings/Wall Plugs/Wall Plugs.csv -> Fischer DuoLine DuoPower universal wall plug and screw 6 x 50mm (50),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/88/69/S18869_wm.jpg,,,6 mm,50,DuoLine,N,Nylon/Steel,538255,N,,,,,,,,,,,,,,,
24,PS18854,DUOPOWER UNI WALL PLUG 8X40MM (25),Fischer,2.48,"With self-activating functions, these Fischer DuoPower 8 x 40mm universal wall plugs can expand, fold and even knot, depending on the substrate they're used in, making them suitable for a variety of applications. Offering reliably clear feedback, the installer should be able to feel exactly when a plug is installed correctly. Smooth running, these rotation-free plugs ensure safe and easy installation into a screw channel.",Trade Essentials/Fixings and Fasteners/Fixings/Wall Plugs/Wall Plugs.csv -> DUOPOWER UNI WALL PLUG 8X40MM (25),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/88/54/S18854_wm.jpg,,,,25,DuoPower,N,,545021,N,8 x 40mm,Wall Plug,Pack of 25,Short plug length for quick fixing,Short length means less drilling and shorter screws,Combines soft and hard materials for optimal screw-in and tightening torque,Red expansion wings for safe expansion,"Depending on building material, main body automatically activates best function","For permanent, safe hold",Narrow plug rim prevents slipping in drill hole,,,,,
25,PS18868,Fischer DuoLine DuoPower universal wall plug 14 x 70mm (20),Fischer,11.76,"Self-activating, these Fischer DuoLine DuoPower 14 x 70mm universal wall plugs and screws can expand, fold and knot, depending on the substrate they're used in, making them the ideal choice for a wide range of applications. With a shorter length these plugs and screws, supplied in a pack of twenty, fix fast and need less drilling and they won't rotate during installation either. Clear feedback makes knowing that the DuoPower plug is installed correctly obvious while smooth running openings ensure safe and easy installation of the steel screw into the nylon plug.",Trade Essentials/Fixings and Fasteners/Fixings/Wall Plugs/Wall Plugs.csv -> Fischer DuoLine DuoPower universal wall plug 14 x 70mm (20),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/88/68/S18868_wm.jpg,,,14 mm,20,DuoLine,N,Nylon,538254,N,,,,,,,,,,,,,,,
26,PS18850,Fischer DuoPower 555005 universal wall plug 5x25mm (100),Fischer,4.29,"With self-activating functions, these Fischer DuoPower 5 x 25mm universal wall plugs can expand, fold and even knot, depending on the substrate they're used in, making them suitable for a variety of applications. Offering reliably clear feedback, the installer should be able to feel exactly when a plug is installed correctly. Smooth running, these rotation-free plugs ensure safe and easy installation into a screw channel.",Trade Essentials/Fixings and Fasteners/Fixings/Wall Plugs/Wall Plugs.csv -> Fischer DuoPower 555005 universal wall plug 5x25mm (100),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/88/50/S18850_wm.jpg,,,,100,DuoPower,N,,535452,N,5 x 25mm,Wall Plug,Pack of 100,Short plug length for quick fixing,Short length means less drilling and shorter screws,Combines soft and hard materials for optimal screw-in and tightening torque,Red expansion wings for safe expansion,"Depending on building material, main body automatically activates best function","For permanent, safe hold",Narrow plug rim prevents slipping in drill hole,,,,,
27,PS18882,Fischer DuoLine DuoPower universal wall plug and screw 10 x 50mm (25),Fischer,16.74,"Self-activating, these Fischer DuoLine DuoPower 10 x 50mm universal wall plugs and screws can expand, fold and knot, depending on the substrate they're used in, making them the ideal choice for a wide range of applications. With a shorter length these plugs and screws, supplied in a pack of twenty five, fix fast and need less drilling and they won't rotate during installation either. Clear feedback makes knowing that the DuoPower plug is installed correctly obvious while smooth running openings ensure safe and easy installation of the steel screw into the nylon plug.",Trade Essentials/Fixings and Fasteners/Fixings/Wall Plugs/Wall Plugs.csv -> Fischer DuoLine DuoPower universal wall plug and screw 10 x 50mm (25),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/88/82/S18882_wm.jpg,,,10 mm,25,DuoLine,N,Nylon/Steel,535461,N,,,,,,,,,,,,,,,
