,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Pack Quantity,Range,Hazardous,Screw / Bolt Type,Nut Types,Set Type,Screw / Bolt Length,Screw / Bolt Sizes,Drive,Material,Size,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Material Type
10,PT87194,JET Range XOX bright zinc plated nut and bolt (grade 8.8) 100mm (m24) (15 per bag),JET Range,20.78,Jet XOX nut and bolt is made of steel material with bright zinc plated finish.,"Trade Essentials/Fixings and Fasteners/Nuts, Bolts and Washers/Assortment Sets/Assortment Sets.csv -> JET Range XOX bright zinc plated nut and bolt (grade 8.8) 100mm (m24) (15 per bag)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/71/94/NW-T87191_T87194_wm.jpg,,15 per bag,XOX,N,Hex Head Bolt,Hex Nut,Nut and Bolt,100,M24,Hexagon,Steel,M24 x 100mm,HTBMET02400100Z,Assortment Sets,N,Reliable,Easy to replace,Made of grade 8.8 steel,Bright zinc plated,
11,PT87159,JET Range XOX bright zinc plated nut and bolt (grade 8.8) 90mm (m16) (25 per bag),JET Range,6.47,Jet XOX nut and bolt is made of steel material with bright zinc plated finish.,"Trade Essentials/Fixings and Fasteners/Nuts, Bolts and Washers/Assortment Sets/Assortment Sets.csv -> JET Range XOX bright zinc plated nut and bolt (grade 8.8) 90mm (m16) (25 per bag)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/71/65/NW-T87150_T87165_wm.jpg,,25 per bag,XOX,N,Hex Head Bolt,Hex Nut,Nut and Bolt,90,M16,Hexagon,Steel,M16 x 90mm,HTBMET01600090Z,Assortment Sets,N,Reliable,Easy to replace,Made of grade 8.8 steel,Bright zinc plated,BZP Steel
12,PT87171,JET Range XOX bright zinc plated nut and bolt (grade 8.8) 50mm (m20) (25 per bag),JET Range,8.69,Jet XOX nut and bolt is made of steel material with bright zinc plated finish.,"Trade Essentials/Fixings and Fasteners/Nuts, Bolts and Washers/Assortment Sets/Assortment Sets.csv -> JET Range XOX bright zinc plated nut and bolt (grade 8.8) 50mm (m20) (25 per bag)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/71/79/NW-T87170_T87179_wm.jpg,,25 per bag,XOX,N,Hex Head Bolt,Hex Nut,Nut and Bolt,50,M20,Hexagon,Steel,M20 x 50mm,HTBMET02000050Z,Assortment Sets,N,Reliable,Easy to replace,Made of grade 8.8 steel,Bright zinc plated,BZP Steel
13,PT87178,JET Range XOX bright zinc plated nut and bolt (grade 8.8) 90mm (m20) (25 per bag),JET Range,12.03,Jet XOX nut and bolt is made of steel material with bright zinc plated finish.,"Trade Essentials/Fixings and Fasteners/Nuts, Bolts and Washers/Assortment Sets/Assortment Sets.csv -> JET Range XOX bright zinc plated nut and bolt (grade 8.8) 90mm (m20) (25 per bag)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/71/79/NW-T87170_T87179_wm.jpg,,25 per bag,XOX,N,Hex Head Bolt,Hex Nut,Nut and Bolt,90,M20,Hexagon,Steel,M20 x 90 mm,HTXOXM0200090Z,Assortment Sets,N,Reliable,Easy to replace,Made of grade 8.8 steel,Bright zinc plated,
14,PT87134,JET Range XOX bright zinc plated nut and bolt (grade 8.8) 50mm (m12) (100 per bag),JET Range,2.25,Jet XOX nut and bolt is made of steel material with bright zinc plated finish.,"Trade Essentials/Fixings and Fasteners/Nuts, Bolts and Washers/Assortment Sets/Assortment Sets.csv -> JET Range XOX bright zinc plated nut and bolt (grade 8.8) 50mm (m12) (100 per bag)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/71/38/NW-T87132_T87138_wm.jpg,,100 per bag,XOX,N,Hex Head Bolt,Hex Nut,Nut and Bolt,50,M12,Hexagon,Steel,M12 x 50 mm,HTBMET01200050Z,Assortment Sets,N,Reliable,Easy to replace,Made of grade 8.8 steel,Bright zinc plated,BZP Steel
15,PT87165,JET Range XOX bright zinc plated nut and bolt (grade 8.8) 150mm (m16) (25 per bag),JET Range,10.25,Jet XOX nut and bolt is made of steel material with bright zinc plated finish.,"Trade Essentials/Fixings and Fasteners/Nuts, Bolts and Washers/Assortment Sets/Assortment Sets.csv -> JET Range XOX bright zinc plated nut and bolt (grade 8.8) 150mm (m16) (25 per bag)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/71/65/NW-T87150_T87165_wm.jpg,,25 per bag,XOX,N,Hex Head Bolt,Hex Nut,Nut and Bolt,150,M16,Hexagon,Steel,M16 x 150mm,HTBMET01600150Z,Assortment Sets,N,Reliable,Easy to replace,Made of grade 8.8 steel,Bright zinc plated,BZP Steel
16,PN57079,Owlett Jaton Gutter Bolts gutter bolt comes with nut zinc plated m6 x 30mm (200),Owlett Jaton,0.27,"Made of steel, these Owlett Jaton M6, 30mm gutter bolt and nuts are finished with a bright zinc plating.","Trade Essentials/Fixings and Fasteners/Nuts, Bolts and Washers/Assortment Sets/Assortment Sets.csv -> Owlett Jaton Gutter Bolts gutter bolt comes with nut zinc plated m6 x 30mm (200)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/70/79/NW-N57079_wm.jpg,,200,Gutter Bolts,N,Gutter,square,Bolt and Nut,30,M6,Slotted,Steel,,IS-OJ210780,Assortment Set,N,Box of 200,Steel construction,Bright zinc-plated,Countersunk bolt,
17,PT87138,JET Range XOX bright zinc plated nut and bolt (grade 8.8) 70mm (m12) (100 per bag),JET Range,2.71,Jet XOX nut and bolt is made of steel material with bright zinc plated finish.,"Trade Essentials/Fixings and Fasteners/Nuts, Bolts and Washers/Assortment Sets/Assortment Sets.csv -> JET Range XOX bright zinc plated nut and bolt (grade 8.8) 70mm (m12) (100 per bag)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/71/38/NW-T87132_T87138_wm.jpg,,100 per bag,XOX,N,Hex Head Bolt,Hex Nut,Nut and Bolt,70,M12,Hexagon,Steel,M12 x 70mm,HTBMET01200070Z,Assortment Sets,N,Reliable,Easy to replace,Made of grade 8.8 steel,Bright zinc plated,BZP Steel
18,PT87161,JET Range XOX bright zinc plated nut and bolt (grade 8.8) 110mm (m16) (25 per bag),JET Range,7.14,Jet XOX nut and bolt is made of steel material with bright zinc plated finish.,"Trade Essentials/Fixings and Fasteners/Nuts, Bolts and Washers/Assortment Sets/Assortment Sets.csv -> JET Range XOX bright zinc plated nut and bolt (grade 8.8) 110mm (m16) (25 per bag)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/71/65/NW-T87150_T87165_wm.jpg,,25 per bag,XOX,N,Hex Head Bolt,Hex Nut,Nut and Bolt,110,M16,Hexagon,Steel,M16 x 110mm,HTBMET01600110Z,Assortment Sets,N,Reliable,Easy to replace,Made of grade 8.8 steel,Bright zinc plated,BZP Steel
19,PT87176,JET Range XOX bright zinc plated nut and bolt (grade 8.8) 75mm (m20) (25 per bag),JET Range,11.03,Jet XOX nut and bolt is made of steel material with bright zinc plated finish.,"Trade Essentials/Fixings and Fasteners/Nuts, Bolts and Washers/Assortment Sets/Assortment Sets.csv -> JET Range XOX bright zinc plated nut and bolt (grade 8.8) 75mm (m20) (25 per bag)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/71/79/NW-T87170_T87179_wm.jpg,,25 per bag,XOX,N,Hex Head Bolt,Hex Nut,Nut and Bolt,75,M20,Hexagon,Steel,M20 x 75mm,HTXOXM0200075Z,Assortment Sets,N,Reliable,Easy to replace,Made of grade 8.8 steel,Bright zinc plated,
20,PT87174,JET Range XOX bright zinc plated nut and bolt (grade 8.8) 65mm (m20) (25 per bag),JET Range,9.69,Jet XOX nut and bolt is made of steel material with bright zinc plated finish.,"Trade Essentials/Fixings and Fasteners/Nuts, Bolts and Washers/Assortment Sets/Assortment Sets.csv -> JET Range XOX bright zinc plated nut and bolt (grade 8.8) 65mm (m20) (25 per bag)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/71/79/NW-T87170_T87179_wm.jpg,,25 per bag,XOX,N,Hex Head Bolt,Hex Nut,Nut and Bolt,65,M20,Hexagon,Steel,M20 x 65mm,HTBMET02000065Z,Assortment Sets,N,Reliable,Easy to replace,Made of grade 8.8 steel,Bright zinc plated,
21,PT87177,JET Range XOX bright zinc plated nut and bolt (grade 8.8) 80mm (m20) (25 per bag),JET Range,11.64,Jet XOX nut and bolt is made of steel material with bright zinc plated finish.,"Trade Essentials/Fixings and Fasteners/Nuts, Bolts and Washers/Assortment Sets/Assortment Sets.csv -> JET Range XOX bright zinc plated nut and bolt (grade 8.8) 80mm (m20) (25 per bag)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/71/79/NW-T87170_T87179_wm.jpg,,25 per bag,XOX,N,Hex Head Bolt,Hex Nut,Nut and Bolt,80,M20,Hexagon,Steel,M20 x 80mm,HTXOXM0200080Z,Assortment Sets,N,Reliable,Easy to replace,Made of grade 8.8 steel,Bright zinc plated,
22,PT87193,JET Range XOX bright zinc plated nut and bolt (grade 8.8) 90mm (m24) (25 per bag),JET Range,20.51,Jet XOX nut and bolt is made of steel material with bright zinc plated finish.,"Trade Essentials/Fixings and Fasteners/Nuts, Bolts and Washers/Assortment Sets/Assortment Sets.csv -> JET Range XOX bright zinc plated nut and bolt (grade 8.8) 90mm (m24) (25 per bag)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/71/94/NW-T87191_T87194_wm.jpg,,25 per bag,XOX,N,Hex Head Bolt,Hex Nut,Nut and Bolt,90,M24,Hexagon,Steel,M24 x 90mm,HTBMET02400090Z,Assortment Sets,N,Reliable,Easy to replace,Made of grade 8.8 steel,Bright zinc plated,
23,PT87150,JET Range XOX bright zinc plated nut and bolt (grade 8.8) 40mm (m16) (50 per bag),JET Range,4.18,Jet XOX nut and bolt is made of steel material with bright zinc plated finish.,"Trade Essentials/Fixings and Fasteners/Nuts, Bolts and Washers/Assortment Sets/Assortment Sets.csv -> JET Range XOX bright zinc plated nut and bolt (grade 8.8) 40mm (m16) (50 per bag)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/71/65/NW-T87150_T87165_wm.jpg,,50 per bag,XOX,N,Hex Head Bolt,Hex Nut,Nut and Bolt,40,M16,Hexagon,Steel,M16 x 40mm,HTBMET01600040Z,Assortment Sets,N,Reliable,Easy to replace,Made of grade 8.8 steel,Bright zinc plated,BZP Steel
24,PT87125,JET Range XOX bright zinc plated nut and bolt (grade 8.8) 50mm x M10 (100 per bag),JET Range,1.87,Jet XOX nut and bolt is made of steel material with bright zinc plated finish.,"Trade Essentials/Fixings and Fasteners/Nuts, Bolts and Washers/Assortment Sets/Assortment Sets.csv -> JET Range XOX bright zinc plated nut and bolt (grade 8.8) 50mm x M10 (100 per bag)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/71/25/NW-T87125_wm.jpg,,100 per bag,XOX,N,Hex Head Bolt,Hex Nut,Nut and Bolt,50,M10,Hexagon,Steel,M10 x 50mm,HTBMET01000050Z,Assortment Sets,N,Reliable,Easy to replace,Made of grade 8.8 steel,Bright zinc plated,BZP Steel
25,PT87160,JET Range XOX bright zinc plated nut and bolt (grade 8.8) 100mm (m16) (25 per bag),JET Range,7.03,Jet XOX nut and bolt is made of steel material with bright zinc plated finish.,"Trade Essentials/Fixings and Fasteners/Nuts, Bolts and Washers/Assortment Sets/Assortment Sets.csv -> JET Range XOX bright zinc plated nut and bolt (grade 8.8) 100mm (m16) (25 per bag)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/71/65/NW-T87150_T87165_wm.jpg,,25 per bag,XOX,N,Hex Head Bolt,Hex Nut,Nut and Bolt,100,M16,Hexagon,Steel,M16 x 100mm,HTBMET01600100Z,Assortment Sets,N,Reliable,Easy to replace,Made of grade 8.8 steel,Bright zinc plated,BZP Steel
26,PT87162,JET Range XOX bright zinc plated nut and bolt (grade 8.8) 120mm (m16) (25 per bag),JET Range,8.24,Jet XOX nut and bolt is made of steel material with bright zinc plated finish.,"Trade Essentials/Fixings and Fasteners/Nuts, Bolts and Washers/Assortment Sets/Assortment Sets.csv -> JET Range XOX bright zinc plated nut and bolt (grade 8.8) 120mm (m16) (25 per bag)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/71/65/NW-T87150_T87165_wm.jpg,,25 per bag,XOX,N,Hex Head Bolt,Hex Nut,Nut and Bolt,120,M16,Hexagon,Steel,M16 x 120mm,HTBMET01600120Z,Assortment Sets,N,Reliable,Easy to replace,Made of grade 8.8 steel,Bright zinc plated,BZP Steel
27,PT87015,JET Range XOX nut and bolt (grade 8.8) 65mm (m16) Black (25 per bag),JET Range,6.49,Jet XOX nut and bolt is made of steel material with plain finish.,"Trade Essentials/Fixings and Fasteners/Nuts, Bolts and Washers/Assortment Sets/Assortment Sets.csv -> JET Range XOX nut and bolt (grade 8.8) 65mm (m16) Black (25 per bag)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/70/15/NW-T87014_T87015_wm.jpg,,25 per bag,XOX,N,Hex Head Bolt,Hex Nut,Nut and Bolt,65,M16,Hexagon,Steel,M16 x 65mm,HTBMET01600065S,Assortment Sets,N,Reliable,Easy to replace,Made of grade 8.8 steel,Plain finish,Black Steel
28,PT87151,JET Range XOX bright zinc plated nut and bolt (grade 8.8) 45mm (m16) (50 per bag),JET Range,4.75,Jet XOX nut and bolt is made of steel material with bright zinc plated finish.,"Trade Essentials/Fixings and Fasteners/Nuts, Bolts and Washers/Assortment Sets/Assortment Sets.csv -> JET Range XOX bright zinc plated nut and bolt (grade 8.8) 45mm (m16) (50 per bag)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/71/65/NW-T87150_T87165_wm.jpg,,50 per bag,XOX,N,Hex Head Bolt,Hex Nut,Nut and Bolt,45,M16,Hexagon,Steel,M16 x 45mm,HTBMET01600045Z,Assortment Sets,N,Reliable,Easy to replace,Made of grade 8.8 steel,Bright zinc plated,BZP Steel
29,PT87156,JET Range XOX bright zinc plated nut and bolt (grade 8.8) 70mm (m16) (25 per bag),JET Range,5.87,Jet XOX nut and bolt is made of steel material with bright zinc plated finish.,"Trade Essentials/Fixings and Fasteners/Nuts, Bolts and Washers/Assortment Sets/Assortment Sets.csv -> JET Range XOX bright zinc plated nut and bolt (grade 8.8) 70mm (m16) (25 per bag)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/71/65/NW-T87150_T87165_wm.jpg,,25 per bag,XOX,N,Hex Head Bolt,Hex Nut,Nut and Bolt,70,M16,Hexagon,Steel,M16 x 70mm,HTXOXM01600070Z,Assortment Sets,N,Reliable,Easy to replace,Made of grade 8.8 steel,Bright zinc plated,BZP Steel
30,PT87132,JET Range XOX bright zinc plated nut and bolt (grade 8.8) 40mm (m12) (100 per bag),JET Range,1.97,Jet XOX nut and bolt is made of steel material with bright zinc plated finish.,"Trade Essentials/Fixings and Fasteners/Nuts, Bolts and Washers/Assortment Sets/Assortment Sets.csv -> JET Range XOX bright zinc plated nut and bolt (grade 8.8) 40mm (m12) (100 per bag)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/71/38/NW-T87132_T87138_wm.jpg,,100 per bag,XOX,N,Hex Head Bolt,Hex Nut,Nut and Bolt,40,M12,Hexagon,Steel,M12 x 40mm,HTBMET01200040Z,Assortment Sets,N,Reliable,Easy to replace,Made of grade 8.8 steel,Bright zinc plated,BZP Steel
31,PT87157,JET Range XOX bright zinc plated nut and bolt (grade 8.8) 75mm (m16) (25 per bag),JET Range,6.21,Jet XOX nut and bolt is made of steel material with bright zinc plated finish.,"Trade Essentials/Fixings and Fasteners/Nuts, Bolts and Washers/Assortment Sets/Assortment Sets.csv -> JET Range XOX bright zinc plated nut and bolt (grade 8.8) 75mm (m16) (25 per bag)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/71/65/NW-T87150_T87165_wm.jpg,,25 per bag,XOX,N,Hex Head Bolt,Hex Nut,Nut and Bolt,75,M16,Hexagon,Steel,M16 x 75mm,HTBMET01600075Z,Assortment Sets,N,Reliable,Easy to replace,Made of grade 8.8 steel,Bright zinc plated,BZP Steel
32,PT87154,JET Range XOX nut and bolt grade 8.8 M16 x 60mm BZP (50 per bag),JET Range,5.3,Jet XOX nut and bolt is made of steel material with bright zinc plated finish.,"Trade Essentials/Fixings and Fasteners/Nuts, Bolts and Washers/Assortment Sets/Assortment Sets.csv -> JET Range XOX nut and bolt grade 8.8 M16 x 60mm BZP (50 per bag)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/71/65/NW-T87150_T87165_wm.jpg,,50 per bag,XOX,N,Hex Head Bolt,Hex Nut,Nut and Bolt,60,M16,Hexagon,Steel,M16 x 60mm,HTBMET01600060Z,Assortment Sets,N,Reliable,Easy to replace,Made of grade 8.8 steel,Bright zinc plated,BZP Steel
33,PT87136,JET Range XOX bright zinc plated nut and bolt (grade 8.8) 60mm (m12) (100 per bag),JET Range,2.66,Jet XOX nut and bolt is made of steel material with bright zinc plated finish.,"Trade Essentials/Fixings and Fasteners/Nuts, Bolts and Washers/Assortment Sets/Assortment Sets.csv -> JET Range XOX bright zinc plated nut and bolt (grade 8.8) 60mm (m12) (100 per bag)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/71/38/NW-T87132_T87138_wm.jpg,,100 per bag,XOX,N,Hex Head Bolt,Hex Nut,Nut and Bolt,60,M12,Hexagon,Steel,M12 x 60mm,HTBMET01200060Z,Assortment Sets,N,Reliable,Easy to replace,Made of grade 8.8 steel,Bright zinc plated,BZP Steel
