,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Pack Quantity,Hazardous,Drive,Material,Supplier Product Code,Type,WEEE Compliant,Feature 1,Dimensions mm (H x W x D),Range,Pack Type,Feature 2,Feature 3,Feature 4,Diameter,Head Type,Feature 5,Attachment 2,Warranty
10,P459045,"Regin Screws self tapping pozi screw  1/2"" x 8mm (Pack of 30)",Regin,2.48,"A pack of Regin 8mm x 1/2"" self-tapping Pozi drive screws made of steel.","Trade Essentials/Fixings and Fasteners/Screws/Screws.csv -> Regin Screws self tapping pozi screw  1/2"" x 8mm (Pack of 30)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/90/45/NW-459045_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/Regin_Products_Brochure_2015-2016.pdf,,,,,,,,,,,,,,,,,,,
11,PV48024,Owlett Jaton Unifix pan head self drilling pozi screw 4.2 x 13mm (200),Owlett Jaton,0.05,"Self-drilling, these Owlett-Jaton 4.2 x 13mm Pozi drive pan head screws have a zinc-plated finish. They contain a minimum of 8µm steel-to-steel.",Trade Essentials/Fixings and Fasteners/Screws/Screws.csv -> Owlett Jaton Unifix pan head self drilling pozi screw 4.2 x 13mm (200),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/80/24/NW-V48024_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Owlett_Jaton_Product_Catalogue_2019.pdf,,,,,,,,,,,,,,,,,,,
12,P400860,ARROW GR020 DELRIN HINGE FIXINGS,Arrow,3.23,This Arrow hinge fixing is made of Delrin.,Trade Essentials/Fixings and Fasteners/Screws/Screws.csv -> ARROW GR020 DELRIN HINGE FIXINGS,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/08/60/400860_wm.jpg,,,N,,,GR020,Fixing,N,,x  x,,,,,,,,,,
13,PN32996,JCP Unifix screw cover dome cap (20),JCP,4.2,"Supplied in a handy bag of 20, these JCP Unifix screw cover dome caps and washers in white are used to cover screw heads once a job is complete, ensuring a neat, seamless finish wherever screws are used.",Trade Essentials/Fixings and Fasteners/Screws/Screws.csv -> JCP Unifix screw cover dome cap (20),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/29/96/N32996_wm.jpg,,20,N,,,UB2006,Screw Cover Domecap,N,Pack of 20,,Unifix,Retail Bag,Plastic construction,White colour,Easy to apply,,,,,
14,PIS5484,"Owlett Jaton zinc plated countersunk pozi woodscrew 8mm x 1.1/4"" (Pack of 200)",Owlett Jaton,7.25,"Made of hardened steel, these Owlett-Jaton Twinquick 8mm x 1 1/4"" countersunk recessed woodscrews have a bright zinc-plated finish. Ideal for use in softwood, the screws have twin threads for faster installation.","Trade Essentials/Fixings and Fasteners/Screws/Screws.csv -> Owlett Jaton zinc plated countersunk pozi woodscrew 8mm x 1.1/4"" (Pack of 200)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/54/84/NW-IS5484_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Owlett_Jaton_Product_Catalogue_2019.pdf,,,,,,,,,,,,,,,,,,,
15,PT83755,JET Range bright zinc plated set screw (grade 8.8) 30mm (m16) (50 per bag),JET Range,2.88,This JET Range set M16 x 30mm screw is made of steel with a bright zinc-plated (BZP) finish.,Trade Essentials/Fixings and Fasteners/Screws/Screws.csv -> JET Range bright zinc plated set screw (grade 8.8) 30mm (m16) (50 per bag),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/37/58/NW-T83755_T83758_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Wolseley_Exclusive_Range_Guide.pdf,,,,,,,,,,,,,,,,,,,
16,PT83723,JET Range bright zinc plated set screw (grade 8.8) 20mm (m10) (200 per bag),JET Range,0.78,This JET Range set M10 x 20mm screw is made of steel with a bright zinc-plated (BZP) finish.,Trade Essentials/Fixings and Fasteners/Screws/Screws.csv -> JET Range bright zinc plated set screw (grade 8.8) 20mm (m10) (200 per bag),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/37/27/NW-T83723_T83727_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Wolseley_Exclusive_Range_Guide.pdf,,,,,,,,,,,,,,,,,,,
17,PT83940,JET Range zinc plated high tensile screw set (grade 8.8) 60mm (m24) (25 per bag),JET Range,10.7,This JET Range set M24 x 60mm screw is made of heat-treated steel with a bright zinc-plated (BZP) finish.,Trade Essentials/Fixings and Fasteners/Screws/Screws.csv -> JET Range zinc plated high tensile screw set (grade 8.8) 60mm (m24) (25 per bag),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/39/44/NW-T83940_T83944_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Wolseley_Exclusive_Range_Guide.pdf,,,,,,,,,,,,,,,,,,,
18,PT83757,JET Range bright zinc plated set screw (grade 8.8) 45mm (m16) (50 per bag),JET Range,3.31,This JET Range set M16 x 45mm screw is made of steel with a bright zinc-plated (BZP) finish.,Trade Essentials/Fixings and Fasteners/Screws/Screws.csv -> JET Range bright zinc plated set screw (grade 8.8) 45mm (m16) (50 per bag),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/37/58/NW-T83755_T83758_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Wolseley_Exclusive_Range_Guide.pdf,,,,,,,,,,,,,,,,,,,
19,PT83739,JET Range bright zinc plated set screw (grade 8.8) 30mm (m12) (100 per bag),JET Range,1.3,This JET Range set M12 x 30mm screw is made of steel with a bright zinc-plated (BZP) finish.,Trade Essentials/Fixings and Fasteners/Screws/Screws.csv -> JET Range bright zinc plated set screw (grade 8.8) 30mm (m12) (100 per bag),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/37/39/NW-T83738_T83739_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Wolseley_Exclusive_Range_Guide.pdf,,,,,,,,,,,,,,,,,,,
20,PT83712,JET Range bright zinc plated set screw (grade 8.8) 25mm (m8) (200 per bag),JET Range,0.57,This JET Range set M8 x 25mm screw is made of steel with a bright zinc-plated (BZP) finish.,Trade Essentials/Fixings and Fasteners/Screws/Screws.csv -> JET Range bright zinc plated set screw (grade 8.8) 25mm (m8) (200 per bag),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/37/13/NW-T83712_T83713_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Wolseley_Exclusive_Range_Guide.pdf,,,,,,,,,,,,,,,,,,,
21,PT83741,JET Range bright zinc plated set screw (grade 8.8) 40mm (m12) (100 per bag),JET Range,1.47,This JET Range set M12 x 40mm screw is made of steel with a bright zinc-plated (BZP) finish.,Trade Essentials/Fixings and Fasteners/Screws/Screws.csv -> JET Range bright zinc plated set screw (grade 8.8) 40mm (m12) (100 per bag),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/37/41/NW-T83741_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Wolseley_Exclusive_Range_Guide.pdf,,,,,,,,,,,,,,,,,,,
22,PT83921,JET Range half turn screw set grade 8.8 M16 x 60mm Zinc Plated (50 per bag),JET Range,3.95,This JET Range set M16 x 60mm screw is made of heat-treated steel with a bright zinc-plated (BZP) finish.,Trade Essentials/Fixings and Fasteners/Screws/Screws.csv -> JET Range half turn screw set grade 8.8 M16 x 60mm Zinc Plated (50 per bag),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/39/23/NW-T83920_T83923_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Wolseley_Exclusive_Range_Guide.pdf,,,,,,,,,,,,,,,,,,,
23,PT83920,JET Range half turn screw set grade 8.8 M16 x 55mm Zinc Plated (50 per bag),JET Range,3.67,This JET Range set M16 x 55mm screw is made of heat-treated steel with a bright zinc-plated (BZP) finish.,Trade Essentials/Fixings and Fasteners/Screws/Screws.csv -> JET Range half turn screw set grade 8.8 M16 x 55mm Zinc Plated (50 per bag),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/39/23/NW-T83920_T83923_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Wolseley_Exclusive_Range_Guide.pdf,,,,,,,,,,,,,,,,,,,
24,PT83772,JET Range bright zinc plated screw set (grade 8.8) 50mm (m20) (25 per bag),JET Range,7.09,This JET Range set M20 x 50mm screw is made of steel with a bright zinc-plated (BZP) finish.,Trade Essentials/Fixings and Fasteners/Screws/Screws.csv -> JET Range bright zinc plated screw set (grade 8.8) 50mm (m20) (25 per bag),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/37/75/NW-T83770_T83775_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Wolseley_Exclusive_Range_Guide.pdf,,,,,,,,,,,,,,,,,,,
25,PT83758,JET Range bright zinc plated set screw (grade 8.8) 50mm (m16) (50 per bag),JET Range,3.6,This JET Range set M16 x 50mm screw is made of steel with a bright zinc-plated (BZP) finish.,Trade Essentials/Fixings and Fasteners/Screws/Screws.csv -> JET Range bright zinc plated set screw (grade 8.8) 50mm (m16) (50 per bag),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/37/58/NW-T83755_T83758_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Wolseley_Exclusive_Range_Guide.pdf,,,,,,,,,,,,,,,,,,,
26,PT83726,JET Range bright zinc plated screw (grade 8.8) 35mm (m10) (100 per bag),JET Range,1.06,This JET Range set M10 x 35mm screw is made of steel with a bright zinc-plated (BZP) finish.,Trade Essentials/Fixings and Fasteners/Screws/Screws.csv -> JET Range bright zinc plated screw (grade 8.8) 35mm (m10) (100 per bag),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/37/27/NW-T83723_T83727_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Wolseley_Exclusive_Range_Guide.pdf,,,,,,,,,,,,,,,,,,,
27,PT83715,JET Range bright zinc plated set screw (grade 8.8) 40mm (m8) (200 per bag),JET Range,0.65,This JET Range set M8 x 40mm screw is made of steel with a bright zinc-plated (BZP) finish.,Trade Essentials/Fixings and Fasteners/Screws/Screws.csv -> JET Range bright zinc plated set screw (grade 8.8) 40mm (m8) (200 per bag),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/37/15/NW-T83715_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Wolseley_Exclusive_Range_Guide.pdf,,,,,,,,,,,,,,,,,,,
28,PIS5489,"Unifix TwinQwik zinc plated countersunk pozi woodscrew 8mm x 2.1/2"" (Pack of 200)",Unifix,14.25,"Suitable for use in softwood applications, these Unifix TwinQwik 2 1/2 x 8"" Pozi countersunk woodscrews are made of hardened steel with a bright zinc-plated finish. Twin threads make for faster, more precise installation.","Trade Essentials/Fixings and Fasteners/Screws/Screws.csv -> Unifix TwinQwik zinc plated countersunk pozi woodscrew 8mm x 2.1/2"" (Pack of 200)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/54/90/NW-IS5489_IS5490_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Owlett_Jaton_Product_Catalogue_2019.pdf,,,,,,,,,,,,,,,,,,,
29,PT83725,JET Range bright zinc plated set screw (grade 8.8) 30mm (m10) (200 per bag),JET Range,0.89,This JET Range set M10 x 30mm screw is made of steel with a bright zinc-plated (BZP) finish.,Trade Essentials/Fixings and Fasteners/Screws/Screws.csv -> JET Range bright zinc plated set screw (grade 8.8) 30mm (m10) (200 per bag),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/37/27/NW-T83723_T83727_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Wolseley_Exclusive_Range_Guide.pdf,,,,,,,,,,,,,,,,,,,
30,PT83738,JET Range bright zinc plated set screw (grade 8.8) 25mm (m12) (100 per bag),JET Range,1.26,This JET Range set M12 x 25mm screw is made of steel with a bright zinc-plated (BZP) finish.,Trade Essentials/Fixings and Fasteners/Screws/Screws.csv -> JET Range bright zinc plated set screw (grade 8.8) 25mm (m12) (100 per bag),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/37/39/NW-T83738_T83739_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Wolseley_Exclusive_Range_Guide.pdf,,,,,,,,,,,,,,,,,,,
31,PT83913,JET Range zinc plated high tensile screw set (grade 8.8) 60mm (m12) (100 per bag),JET Range,2.09,This JET Range set M12 x 60mm screw is made of heat-treated steel with a bright zinc-plated (BZP) finish.,Trade Essentials/Fixings and Fasteners/Screws/Screws.csv -> JET Range zinc plated high tensile screw set (grade 8.8) 60mm (m12) (100 per bag),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/39/13/NW-T83913_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Wolseley_Exclusive_Range_Guide.pdf,,,,,,,,,,,,,,,,,,,
32,PT83770,JET Range bright zinc plated screw set (grade 8.8) 45mm (m20) (25 per bag),JET Range,6.96,This JET Range set M20 x 45mm screw is made of steel with a bright zinc-plated (BZP) finish.,Trade Essentials/Fixings and Fasteners/Screws/Screws.csv -> JET Range bright zinc plated screw set (grade 8.8) 45mm (m20) (25 per bag),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/37/75/NW-T83770_T83775_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Wolseley_Exclusive_Range_Guide.pdf,,,,,,,,,,,,,,,,,,,
33,PT83743,JET Range bright zinc plated set screw (grade 8.8) 50mm (m12) (100 per bag),JET Range,1.89,This JET Range set M12 x 50mm screw is made of steel with a bright zinc-plated (BZP) finish.,Trade Essentials/Fixings and Fasteners/Screws/Screws.csv -> JET Range bright zinc plated set screw (grade 8.8) 50mm (m12) (100 per bag),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/37/43/NW-T83743_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Wolseley_Exclusive_Range_Guide.pdf,,,,,,,,,,,,,,,,,,,
34,PT83724,JET Range bright zinc plated set screw (grade 8.8) 25mm (m10) (200 per bag),JET Range,0.82,This JET Range set M10 x 25mm screw is made of steel with a bright zinc-plated (BZP) finish.,Trade Essentials/Fixings and Fasteners/Screws/Screws.csv -> JET Range bright zinc plated set screw (grade 8.8) 25mm (m10) (200 per bag),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/37/27/NW-T83723_T83727_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Wolseley_Exclusive_Range_Guide.pdf,,,,,,,,,,,,,,,,,,,
35,PT83910,JET Range half turn screw set grade 8.8 M10 x 60mm Zinc Plated (100 per bag),JET Range,1.75,This JET Range set M10 x 60mm screw is made of heat-treated steel with a bright zinc-plated (BZP) finish.,Trade Essentials/Fixings and Fasteners/Screws/Screws.csv -> JET Range half turn screw set grade 8.8 M10 x 60mm Zinc Plated (100 per bag),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/39/10/NW-T83910_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Wolseley_Exclusive_Range_Guide.pdf,,,,,,,,,,,,,,,,,,,
