,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Hazardous,Dimensions (L x W x D),Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Model For Use With,Power Supply,Attachment 1,Attachment 2,Warranty,Phase,Feature 3
16,P684225,Beermaster fan speed controller (BMO),Beermaster,248.29,This Beermaster 1P fan speed controller modulates both fans on the BMO 350 to 550 models. The full acoustic kit incorporates fan speed controller 684223 or 684224.,Refrigeration/Refrigeration Parts and Accessories/Heat Exchanger Spare Parts/Heat Exchanger Spare Parts.csv -> Beermaster fan speed controller (BMO),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/42/25/NW-684225_wm.jpg,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Beermaster_R407C_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Beermaster_BMIE-BMO_Installation.pdf,,,
17,P681734,Beermaster series solenoid valve lead,Beermaster,14.53,A Beermaster BME Series solenoid valve lead.,Refrigeration/Refrigeration Parts and Accessories/Heat Exchanger Spare Parts/Heat Exchanger Spare Parts.csv -> Beermaster series solenoid valve lead,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/17/34/NW-681734_wm.jpg,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Beermaster_R407C_Brochure.pdf,,,,
18,P677969,Kelvion 215-210-440 drain pan heater,Kelvion,47.57,"The Kelvion Searle 215-210-440 230V, 530W drain pan heater fits post-1998 KME80 and KME95 models with round fan guards.",Refrigeration/Refrigeration Parts and Accessories/Heat Exchanger Spare Parts/Heat Exchanger Spare Parts.csv -> Kelvion 215-210-440 drain pan heater,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/79/69/NW-677969_wm.jpg,N,,100461633,Drain Pan Heater,N,To fit KM8095 (from 1998 - round fan guards),Models with round fan guards,KME80KME95,"230 V, 530 W",,,,,
19,P681731,Beermaster CME231-206-103 printed circuit control board and probe,Beermaster,460.93,A Beermaster CME231-206-103 PCB board and probe.,Refrigeration/Refrigeration Parts and Accessories/Heat Exchanger Spare Parts/Heat Exchanger Spare Parts.csv -> Beermaster CME231-206-103 printed circuit control board and probe,,PCB board;Probe,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/17/31/NW-681731_wm.jpg,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Beermaster_R407C_Brochure.pdf,,,,
20,P684222,Beermaster universal wall mounting kit,Beermaster,132.37,"The Beermaster universal wall-mounting kit is suitable for use in any BMO condensing unit or BMIE evaporator. Easy to assemble and install with a minimised profile, it is ideal for those areas where space is at a premium.",Refrigeration/Refrigeration Parts and Accessories/Heat Exchanger Spare Parts/Heat Exchanger Spare Parts.csv -> Beermaster universal wall mounting kit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/42/22/NW-684222_wm.jpg,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Beermaster_R407C_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Beermaster_BMIE-BMO_Installation.pdf,,,
21,P681916,Beermaster BMO150 / 231-940-106 1/3 fan set,Beermaster,296.59,This Beermaster BMO150/231-940-106 1P fan set offers reduced noise during operation and high levels of efficiency. It is compatible with BMO-150-1 and BMO150-3.,Refrigeration/Refrigeration Parts and Accessories/Heat Exchanger Spare Parts/Heat Exchanger Spare Parts.csv -> Beermaster BMO150 / 231-940-106 1/3 fan set,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/19/16/NW-681916_wm.jpg,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Beermaster_R407C_Brochure.pdf,,,,
22,P681656,Beermaster expansion valve no.2 orifice,Beermaster,21.68,This Beermaster no.2 orifice expansion valve is compatible with BMI407-37 and BMIE407-37.,Refrigeration/Refrigeration Parts and Accessories/Heat Exchanger Spare Parts/Heat Exchanger Spare Parts.csv -> Beermaster expansion valve no.2 orifice,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/16/56/NW-681656_wm.jpg,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Beermaster_R407C_Brochure.pdf,,,,
23,P683273,Kelvion VRE.A1G 350 AP 01-08 KDC motor + COV,Kelvion,526.63,This Kelvion A1G 350 AP 01-08 fan unit offers two speeds.,Refrigeration/Refrigeration Parts and Accessories/Heat Exchanger Spare Parts/Heat Exchanger Spare Parts.csv -> Kelvion VRE.A1G 350 AP 01-08 KDC motor + COV,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/32/73/683273_wm.jpg,N,40X40X25CM,100802959,Fan Unit,N,Kelvion Searle spare part,2 speed,,230V,,,,,
24,P683986,Danfoss MCHX condenser coil MCHX D7 Aluminium,Danfoss,586.27,"Made of aluminium, this Danfoss MCHX condenser with D7 coil is compatible with the brand's Optyma Slim and Plus models.",Refrigeration/Refrigeration Parts and Accessories/Heat Exchanger Spare Parts/Heat Exchanger Spare Parts.csv -> Danfoss MCHX condenser coil MCHX D7 Aluminium,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/39/86/NW-683986_wm.jpg,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Danfoss_Optyma_Catalogue.pdf,,,,
25,P678326,Kelvion motor 70w,Kelvion,161.12,"This Kelvion Searle 1P, 70W motor is designed to fit DSR100 and DSR116.",Refrigeration/Refrigeration Parts and Accessories/Heat Exchanger Spare Parts/Heat Exchanger Spare Parts.csv -> Kelvion motor 70w,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/83/26/NW-678326_wm.jpg,N,,100513434,Motor,N,To fit DSR100-116,,DSR100DSR116,"1P, 70 W",,,,,
26,P678241,Kelvion 1 phase TG motor 220/240v 50/60hz,Kelvion,106.26,A Kelvion Searle 15W 220 - 240V TG motor.,Refrigeration/Refrigeration Parts and Accessories/Heat Exchanger Spare Parts/Heat Exchanger Spare Parts.csv -> Kelvion 1 phase TG motor 220/240v 50/60hz,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/82/41/NW-678241_wm.jpg,N,D 47 / W 32 / H 32 CM,100461466,fan motor,N,Heat exchanger spare part,,,"220 to 240 VAC at 50/60Hz, 1P, 15 W",,,,,
27,P677993,Kelvion 215-210-660 Searle Km 115 Km 140 Drain Pan Heater,Kelvion,57.21,"The Kelvion Searle 215-210-660 230V, 800W drain pan heater fits post-1998 KME115 and KME140 models with round fan guards.",Refrigeration/Refrigeration Parts and Accessories/Heat Exchanger Spare Parts/Heat Exchanger Spare Parts.csv -> Kelvion 215-210-660 Searle Km 115 Km 140 Drain Pan Heater,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/79/93/NW-677993_wm.jpg,N,,100461637,Drain Pan Heater,N,To fit KM115 and KM140 (from 1998 - round fan guards),Models with round fan guards,KME115KME140,"230 V, 800 W",,,,,
