,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Connection Size,Connection Type,Hazardous,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Attachment 5,Pack Quantity,Weight,Material Type,Operating Temperature,Range,Warranty,Material,Size,Feature 5,Colour,Seal Material,Diameter
14,PK16557,Crane y-strainer PN16 40mm (BSP) Bronze,Crane,377.38,"This Crane D298 Y-strainer is made of bronze and incorporates 1 1/2"" BSP female taper end connections. A low cost investment designed to significantly reduce maintenance and minimise downtime, a Y-strainer (sometimes called a wye strainer) protects your circuit from the damage that can be caused by foreign matter while optimising the performance of pumps, valves, traps and flow measuring devices.","Pipe, Valves and Fittings/Metal Pipe Valves/Filters and Strainers/Filters and Strainers.csv -> Crane y-strainer PN16 40mm (BSP) Bronze",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/65/58/NW-K16553_K16558_wm.jpg,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Crane_PN16_D298_Strainer_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ca/te/Crane_D298_WRAS_Certificate.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Crane_FS_CI_MI_Brnz_Strainer_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/tm/nt/Crane_StressCorrosionCracking_Sttmnt.pdf,,,,,,,,,,,,,
15,PK21429,JET Range strainer (PN20) 25mm (BSP) Brass,JET Range,99.97,"This JET Range 96 Y-strainer is made of brass with 25mm female BSP connections. A low cost investment designed to significantly reduce maintenance and minimise downtime, a Y-strainer (sometimes called a wye strainer) protects your circuit from the damage that can be caused by foreign matter while optimising the performance of pumps, valves, traps and flow measuring devices.","Pipe, Valves and Fittings/Metal Pipe Valves/Filters and Strainers/Filters and Strainers.csv -> JET Range strainer (PN20) 25mm (BSP) Brass",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/14/32/NW-K21427_K21432_wm.jpg,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/Jet_Valve_Guide_2016.pdf,,,,,,,,,,,,,,,,
16,PK21432,JET Range strainer (PN20) 50mm (BSP) Brass,JET Range,260.77,"This JET Range 96 Y-strainer is made of brass with 50mm female BSP connections. A low cost investment designed to significantly reduce maintenance and minimise downtime, a Y-strainer (sometimes called a wye strainer) protects your circuit from the damage that can be caused by foreign matter while optimising the performance of pumps, valves, traps and flow measuring devices.","Pipe, Valves and Fittings/Metal Pipe Valves/Filters and Strainers/Filters and Strainers.csv -> JET Range strainer (PN20) 50mm (BSP) Brass",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/14/32/NW-K21427_K21432_wm.jpg,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/Jet_Valve_Guide_2016.pdf,,,,,,,,,,,,,,,,
17,PK21403,JET Range 18 mesh 1000 micron strainer screen 32mm,JET Range,7.18,"Designed with a 304 stainless steel body, this JET Range 18 mesh 1000 micron strainer screen is fitted with 32mm connections.","Pipe, Valves and Fittings/Metal Pipe Valves/Filters and Strainers/Filters and Strainers.csv -> JET Range 18 mesh 1000 micron strainer screen 32mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/14/05/NW-K21400_K21405_wm.jpg,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/Jet_Valve_Guide_2016.pdf,,,,,,,,,,,,,,,,
18,PK74225,Rubinetterie foot valve strainer only 25mm,Rubinetterie,27.87,This 24F foot valve strainer incorporates a stainless steel body and 25mm threaded connections.,"Pipe, Valves and Fittings/Metal Pipe Valves/Filters and Strainers/Filters and Strainers.csv -> Rubinetterie foot valve strainer only 25mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/42/31/NW-K74222_K74231_wm.jpg,25mm,Threaded,N,11010006,Strainer,N,From -10 to 150°C temperature,Stainless steel body,Threaded connections,,,,,,,,,Brass,-10 to 150,,,Stainless Steel,25 mm,,,,
19,PK21412,JET Range strainer (BSP) PN20 50mm Bronze,JET Range,379.34,"This JET Range 98 Y-strainer is made of bronze with 50mm female BSP connections. A low cost investment designed to significantly reduce maintenance and minimise downtime, a Y-strainer (sometimes called a wye strainer) protects your circuit from the damage that can be caused by foreign matter while optimising the performance of pumps, valves, traps and flow measuring devices.","Pipe, Valves and Fittings/Metal Pipe Valves/Filters and Strainers/Filters and Strainers.csv -> JET Range strainer (BSP) PN20 50mm Bronze",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/14/14/NW-K21406_K21414_wm.jpg,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/Jet_Valve_Guide_2016.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Jet_Y_Strainer_2_Ways_Technical.pdf,,,,,,,,,,,,,,,
20,PK10133,Crane y-strainer (PN32) 40mm (BSP) Bronze,Crane,639.45,"This Crane D297 Y-strainer is made of bronze with 1 1/2"" female taper threaded end connections. A low cost investment designed to significantly reduce maintenance and minimise downtime, a Y-strainer (sometimes called a wye strainer) protects your circuit from the damage that can be caused by foreign matter while optimising the performance of pumps, valves, traps and flow measuring devices.","Pipe, Valves and Fittings/Metal Pipe Valves/Filters and Strainers/Filters and Strainers.csv -> Crane y-strainer (PN32) 40mm (BSP) Bronze",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/01/34/NW-K10129_K10134_wm.jpg,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ca/te/Crane_D297_WRAS_Certificate.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/tm/nt/Crane_StressCorrosionCracking_Sttmnt.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Crane_FS_CI_MI_Brnz_Strainer_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Crane_PN32_D297_Strainer_Technical.pdf,,,,,,,,,,,,,
21,PK16556,Crane y-strainer PN16 32mm (BSP) Bronze,Crane,291.74,"This Crane D298 Y-strainer is made of bronze and incorporates 1 1/4"" BSP female taper end connections. A low cost investment designed to significantly reduce maintenance and minimise downtime, a Y-strainer (sometimes called a wye strainer) protects your circuit from the damage that can be caused by foreign matter while optimising the performance of pumps, valves, traps and flow measuring devices.","Pipe, Valves and Fittings/Metal Pipe Valves/Filters and Strainers/Filters and Strainers.csv -> Crane y-strainer PN16 32mm (BSP) Bronze",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/65/58/NW-K16553_K16558_wm.jpg,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Crane_PN16_D298_Strainer_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ca/te/Crane_D298_WRAS_Certificate.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Crane_FS_CI_MI_Brnz_Strainer_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/tm/nt/Crane_StressCorrosionCracking_Sttmnt.pdf,,,,,,,,,,,,,
22,PK21407,JET Range strainer (BSP) PN20 15mm Bronze,JET Range,71.42,"This JET Range 98 Y-strainer is made of bronze with 15mm female BSP connections. A low cost investment designed to significantly reduce maintenance and minimise downtime, a Y-strainer (sometimes called a wye strainer) protects your circuit from the damage that can be caused by foreign matter while optimising the performance of pumps, valves, traps and flow measuring devices.","Pipe, Valves and Fittings/Metal Pipe Valves/Filters and Strainers/Filters and Strainers.csv -> JET Range strainer (BSP) PN20 15mm Bronze",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/14/14/NW-K21406_K21414_wm.jpg,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/Jet_Valve_Guide_2016.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Jet_Y_Strainer_2_Ways_Technical.pdf,,,,,,,,,,,,,,,
23,PK10134,Crane y-strainer (PN32) 50mm (BSP) Bronze,Crane,1007.69,"This Crane D297 Y-strainer is made of bronze with 2"" female taper threaded end connections. A low cost investment designed to significantly reduce maintenance and minimise downtime, a Y-strainer (sometimes called a wye strainer) protects your circuit from the damage that can be caused by foreign matter while optimising the performance of pumps, valves, traps and flow measuring devices.","Pipe, Valves and Fittings/Metal Pipe Valves/Filters and Strainers/Filters and Strainers.csv -> Crane y-strainer (PN32) 50mm (BSP) Bronze",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/01/34/NW-K10129_K10134_wm.jpg,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ca/te/Crane_D297_WRAS_Certificate.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Crane_FS_CI_MI_Brnz_Strainer_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/tm/nt/Crane_StressCorrosionCracking_Sttmnt.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Crane_PN32_D297_Strainer_Technical.pdf,,,,,,,,,,,,,
24,PK21431,JET Range strainer (PN20) 40mm (BSP) Brass,JET Range,159.18,"This JET Range 96 Y-strainer is made of brass with 40mm female BSP connections. A low cost investment designed to significantly reduce maintenance and minimise downtime, a Y-strainer (sometimes called a wye strainer) protects your circuit from the damage that can be caused by foreign matter while optimising the performance of pumps, valves, traps and flow measuring devices.","Pipe, Valves and Fittings/Metal Pipe Valves/Filters and Strainers/Filters and Strainers.csv -> JET Range strainer (PN20) 40mm (BSP) Brass",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/14/32/NW-K21427_K21432_wm.jpg,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/Jet_Valve_Guide_2016.pdf,,,,,,,,,,,,,,,,
25,PK75521,Socla strainer 100mm Cast Iron,Socla,1453.84,"This 76N Y-strainer is made of cast iron with 100mm flanged connections. A low cost investment designed to significantly reduce maintenance and minimise downtime, a Y-strainer (sometimes called a wye strainer) protects your circuit from the damage that can be caused by foreign matter while optimising the performance of pumps, valves, traps and flow measuring devices.","Pipe, Valves and Fittings/Metal Pipe Valves/Filters and Strainers/Filters and Strainers.csv -> Socla strainer 100mm Cast Iron",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/55/23/NW-K75518_K75523_wm.jpg,100 mm,Flange,N,149B3264,Y-Strainer,N,Operating temperature 0 - 100°C,Flanged connections,Stainless steel strainer screen,KIWA Regulation 4 (KUKreg4) Certified,,,,,,,,,0 to 100,,,Ductile Iron,,Complies with Regulation 4(1)a of the Water Supply (Water Fittings) Regulations 1999 England & Wales: 2009 Northern Ireland and 2014 Byelaws Scotland,,,
