,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Range,Hazardous,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Feature 11,Feature 12,Feature 13,Feature 14,Colour,Thickness,Waste Supplied,Bowl Type,Bowl Shape,Fitting / Mounting Type,Main Bowl Size,Material,Number of Tap Holes,Second Bowl Size,Depth (mm),Attachment 4,Attachment 5,Flush Type,Warranty,Overflow Type,Air Pipe Supplied,Inlet Position,Flush Mechanism,Fittings Included,Projection Depth,Diameter,Pack Quantity,Sector,Attachment 6,Attachment 7,Attachment 8,Feature 15,Feature 16,Feature 17,Feature 18,Feature 19,Feature 20,Feature 21,Flow Rate,Min System Pressure Cold (Bar),Pressure (Low / Med / High),Spout Type,Handle Type,Position,Pre-Drilled Waste Hole,Pre-Drilled Overflow,Anti Slip Surface,Grips or Handles,Shape,Capacity Litre,Style,Weight,Mounting Type,Application
10,PB62113,Ideal Standard Contour 21+ projection back to wall bowl rimless 75cm SmartGuard White,Ideal Standard,660.76,"The Ideal Standard Contour 21+ back-to-wall rimless toilet bowl incorporates improved rimless technology and is designed with a hydrophilic, smooth antibacterial glaze for clean, hygienic commercial use.",Commercial Plumbing/Commercial Sanitaryware/Commercial Sanitaryware.csv -> Ideal Standard Contour 21+ projection back to wall bowl rimless 75cm SmartGuard White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/21/13/NW-B62112_B62113_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/IS_Spares_Catalogue_2019.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/IS_S0438-3617-4066-6466_Tech.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,PB32801,Twyford Cleaner high back sink White,Twyford,588.44,"Made of fine fireclay with a white glazed finish, the Twyford Cleaner 400 x 470mm rectangular high back utility kitchen sink is easy to clean and offers excellent resistance to damage. This single bowl utility sink is designed for wall mounting.",Commercial Plumbing/Commercial Sanitaryware/Commercial Sanitaryware.csv -> Twyford Cleaner high back sink White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/28/01/NW-B32801_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/B32301_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,PB79015,Shaws Of Darwen Belfast belfast sink 460 x 380 x 205mm White,Shaws Of Darwen,187.4,"Ideal for heavy use in a commercial kitchen, the Shaws of Darwen 460 x 380mm Belfast sink with centre end waste outlet can be wall mounted or installed with legs for a freestanding appearance. Made of robust fine fireclay, this sink is glazed in a glossy white and fired using cutting edge kiln technology for an antibacterial finish that is highly resistant to stains and acid.",Commercial Plumbing/Commercial Sanitaryware/Commercial Sanitaryware.csv -> Shaws Of Darwen Belfast belfast sink 460 x 380 x 205mm White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/90/15/NW-B79015_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Shaws_Of_Darwen_18inBelfastSink_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Shaws_Of_Darwen_Product_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,PG34967,i.Care Doc M Grey with Brassware,i.Care,320.95,"A single box solution for the easier installation of an accessible washroom, the Balmoral i.Care Doc M washroom pack in grey includes a complete close-coupled WC with spatula lever flush as well as seats and rails in colours designed for contrast where required. This pack includes grab rails as well as a basin and rimless WC with seat and a sequential mixer tap.",Commercial Plumbing/Commercial Sanitaryware/Commercial Sanitaryware.csv -> i.Care Doc M Grey with Brassware,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/49/67/G34967_wm.jpg,,,,,N,1900R.C.L.G,,N,With sequential mixer,Tap should be positioned on side of basin closest to seated user,Select tap side at installation,Basin tap hole stopper supplied,Grey rail and seat finish,Includes basin waste and bottle trap,With rimless close-coupled raised height WC pan,With close-coupled cistern,Spatula cistern lever for 6L flush,"Ring toilet seat only, no cover",With 500mm grab rail,With 800mm drop down swing arm,Installation layout instructions included,Meets Doc M requirements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,PB97257,Ideal Standard Contour 21 standard seat no cover White,Ideal Standard,78.37,"Suitable for use in schools, this Ideal Standard Contour 21 bottom fixing white toilet seat is manufactured in a highly durable plastic for easy cleaning, hygienic use and reliable durability.",Commercial Plumbing/Commercial Sanitaryware/Commercial Sanitaryware.csv -> Ideal Standard Contour 21 standard seat no cover White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/72/57/NW-B97257_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/IS_Contour_21_S4059_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/IS_Spares_Catalogue_2019.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,PC96149,"Armitage Shanks Stewart inset stainless steel single bowl sink, no overflow and right hand drainer, 920 x 500mm, 2 tapholes at",Armitage Shanks,283.22,"Suitable for installation in staff areas, the Armitage Shanks Stewart 920 x 500mm single bowl sink with drainer is designed for inset fitting into a work surface. This stainless steel sink is supplied complete with tap holes at 200mm centres.","Commercial Plumbing/Commercial Sanitaryware/Commercial Sanitaryware.csv -> Armitage Shanks Stewart inset stainless steel single bowl sink, no overflow and right hand drainer, 920 x 500mm, 2 tapholes at",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/61/49/C96149_wm.jpg,,,,,N,S1298MY,Inset Sink,N,Stainless steel construction,Right handed drainer,With 2x tap holes,Without drainer,On-furniture installation,No overflow and right hand drainer,,,,,,,,,Stainless Steel,5 mm,No,1,Rectangle,on furniture,420x350,Stainless Steel,2,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,PJ76137,Grohe Dal rubber pan connector,Grohe,15.69,A Grohe Dal toilet flush pipe connector.,Commercial Plumbing/Commercial Sanitaryware/Commercial Sanitaryware.csv -> Grohe Dal rubber pan connector,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/61/37/NW-J76137_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Grohe_Dal_37119000_Tech.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,PB97252,Ideal Standard Contour 21 standard seat plus cover White,Ideal Standard,85.48,"Suitable for use in schools, this Ideal Standard Contour 21 bottom fixing white toilet seat and cover is manufactured in a highly durable plastic for easy cleaning, hygienic use and reliable durability.",Commercial Plumbing/Commercial Sanitaryware/Commercial Sanitaryware.csv -> Ideal Standard Contour 21 standard seat plus cover White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/72/52/NW-B97252_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/IS_Spares_Catalogue_2019.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/IS_Contour_21_S4058_Tech.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,PD06402,Saracen twist-lock valve with long life cartridge and plastic key,Saracen,48.04,A Saracen long-life twist lock valve.,Commercial Plumbing/Commercial Sanitaryware/Commercial Sanitaryware.csv -> Saracen twist-lock valve with long life cartridge and plastic key,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/64/02/NW-D06402_wm.jpg,,,,,N,WHIFF-MP-TL,Twist-Lock Valve,N,"Maintenance Pack for the WhiffAway Waterless Urinal System including a Removal Key, Replacement Valve Assembly & Replacement Cartridge",,,,,,,,,,,,,,,,,,,,,,,,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,PJ23353,Ideal Standard Profile 21 S2492 1 tap hole semi-countertop basin with overflow 500mm White,Ideal Standard,240.59,"The Ideal Standard Profile 21 500mm semi-countertop washbasin with single tap hole is made of durable fine fireclay and has been designed to sit on fitted bathroom furniture, vanity units or countertops.",Commercial Plumbing/Commercial Sanitaryware/Commercial Sanitaryware.csv -> Ideal Standard Profile 21 S2492 1 tap hole semi-countertop basin with overflow 500mm White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/33/54/NW-J23353_J23354_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/J23353_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,PB98850,Ideal Standard Sandringham 21 wall hung toilet bowl horizontal outlet White,Ideal Standard,216.64,"Meeting the demands of commercial use, the durable Ideal Standard Sandringham 21 wall-mounted toilet pan is built in tough vitreous china.",Commercial Plumbing/Commercial Sanitaryware/Commercial Sanitaryware.csv -> Ideal Standard Sandringham 21 wall hung toilet bowl horizontal outlet White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/88/50/NW-B98850_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/AShanks_SandringhamWMWCPan_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/IS_Sandringham21_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,PB97266,Ideal Standard Contour 21 standard toilet seat without cover  White,Ideal Standard,130.62,"Designed to withstand use in schools, the Ideal Standard Contour 21 white toilet seat is made of tough plastic for long lasting durability and easy-clean hygiene.",Commercial Plumbing/Commercial Sanitaryware/Commercial Sanitaryware.csv -> Ideal Standard Contour 21 standard toilet seat without cover  White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/72/66/NW-B97266_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/IS_Spares_Catalogue_2019.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/IS_Contour_21_S4066_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/IS_Contour_21_S4066_Install.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,PB00024,Twyford Sola rimless horizontal outlet wc 400mm White,Twyford,242.44,"Ideal for schools, this Twyford Sola rimless back-to-wall toilet pan is a Flushwise back-to-wall design with a water saving flush of 4/2.6L and improved hygiene features.",Commercial Plumbing/Commercial Sanitaryware/Commercial Sanitaryware.csv -> Twyford Sola rimless horizontal outlet wc 400mm White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/00/24/NW-B00024_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/rw/ng/Twyford_Sola_Rimless400BTW_WC_Drwng.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Twyford_Sola_Rimless_400_BTW_WC_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Twyford_ConcledCisternMatrixBrochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ca/te/Twyford_DoP10_WCs_Certificate.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
