,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Attachment 5,Attachment 6,Attachment 7,Fuel Type,Weight,Energy Rating,Hazardous,Depth (mm),Energy Efficiency Class,Mounting Type,Supplier Product Code,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Flow Rate,Warranty,Water Heating Energy Efficiency Class,Output,Boiler Bundles,Dry Weight (kg),Efficiency (SAP 2009),Type,Feature 9,Feature 10,Feature 11,Feature 12,Feature 13,Dimensions mm (H x W x D),Range,Part Gas Council number,By Model Number,Application,Length (M),Feature 14,Feature 15,Feature 16,Feature 17,Feature 18,Feature 19,Boiler Section,Pack Quantity,Flue Type,Flue Diameter,Flue Length,Flue Size,Gender,Material,Size,Connection Type 1,Feature 20,Feature 21,Feature 22,Boiler Range
10,P127170,Vaillant Ecomax standard flue kit 1mtr x 125mm,Vaillant,147.69,"This Vaillant 125mm standard flue kit offers a horizontal flue duct with elbow and terminal, all compatible with Ecotec 46kW and Ecotec 65kW boilers. A boiler flue is the outlet through which steam and toxic gases resulting from the boiler's normal operation are safely expelled. Different models of flue are chosen to suit the type and location of the appliance.",Boilers/Commercial & Industrial Boilers/Commercial & Industrial Boilers.csv -> Vaillant Ecomax standard flue kit 1mtr x 125mm,,Horizontal air/flue duct,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/71/70/NW-127170_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Vaillant_Flue_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,P117172,Vaillant low loss header,Vaillant,290.07,"Maintaining the correct flow of water through a boiler, this Vaillant WH40-2 0020248932 low loss header is suitable for new clean systems up to 70kW net input, including ecoTEC Plus 48kW and 64kW, with correctly inhibited water.",Boilers/Commercial & Industrial Boilers/Commercial & Industrial Boilers.csv -> Vaillant low loss header,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/71/72/NW-117172_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/an/ge/Vaillant_Commercial_Product_Range.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,P195874,Bosch connection kit iverpressure GC7000WP 50 - 100kW,Bosch,130.0,Flue accessory available for use with the Condens 7000 WP.,Boilers/Commercial & Industrial Boilers/Commercial & Industrial Boilers.csv -> Bosch connection kit iverpressure GC7000WP 50 - 100kW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/58/74/195874_wm.jpg,,,,,,,,,,,N,,,,7736701917,N,For 50 - 100kW flues,Genuine Bosch part,,,,,,,,,,,N/A,,,Flues and Accessories,,,,,,155 x 190 x 190 mm,,,,,,,,,,,,,,,,,,,,,,,,,
13,P412807,Ideal Spares flue manifold bottom kit 30/40/60/80kw,Ideal,113.54,This Ideal flue manifold bottom kit is suitable for Keston Heat and Ideal commercial boilers.,Boilers/Commercial & Industrial Boilers/Commercial & Industrial Boilers.csv -> Ideal Spares flue manifold bottom kit 30/40/60/80kw,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/28/07/NW-412807_wm.jpg,,,,,,,,,,,N,,,,176336,N,"Our company remains true to its founding principles of quality, innovation and value – building on its rich heritage as we look to the future.",,,,,,,,,,,,,,,Flue Manifold Bottom Kit,,,,,,42.2L X 14.2W X 8H,Spares,H98087,"60 LPG,150,120,40 LPG,100,Heat 55,Heat 45,80 LPG,80,60,30 LPG,40,30",Commercial,,,,,,,,,,,,,,,,,,,,,
14,P114643,Worcester Bosch Greenstar 8000 Style GR8700iW 30 SB NG system boiler 30kW Black,Worcester Bosch,1544.0,"The Worcester Bosch Greenstar 8000 Style GR8700iW 30 SB NG system boiler is built with customer and installer feedback in mind, making it even more user-friendly than its predecessor, the popular Greenstar Cdi Classic. With quieter operation, hassle-free installation, commissioning and servicing, intuitive touchscreen operation and compatibility with Worcester Bosch's state-of-the-art Intelligent Filling System, this attractively designed, ErP A-rated combi is a winning addition to any contemporary home.",Boilers/Commercial & Industrial Boilers/Commercial & Industrial Boilers.csv -> Worcester Bosch Greenstar 8000 Style GR8700iW 30 SB NG system boiler 30kW Black,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/46/43/114642_114643_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_e/rp/114643_ErP.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/WB_Greenstar_8000_LifeStyle_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/WB_Greenstar8000Style_System_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/uc/tn/WB_Greenstar8000StyleSstm_Instructn.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/114643_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,P729474,Ideal Spares flue manifold bottom kit,Ideal,123.69,"A genuine Ideal part, this flue manifold bottom kit is used for installing the flue section of Evomax boilers. The flue is designed to expel steam and gases produced during a boiler's normal operation.",Boilers/Commercial & Industrial Boilers/Commercial & Industrial Boilers.csv -> Ideal Spares flue manifold bottom kit,,IDEAL 176337 FLUE MANIFOLD BOTTOM KIT,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/94/74/729474_wm.jpg,,,,,,,,,,,N,,,,176337,N,Genuine brand part,For use with Evomax boilers,For commercial use,,,,,,,,,,,,,Commercial Boiler Parts,,,,,,N/A,Spares,n/a,,Commercial,,,,,,,,,,,,,,,,,,,,,
16,P412808,Ideal Spares flue manifold top kit 30/40/60/80kw,Ideal,124.43,This Ideal flue manifold top kit is suitable for Keston Heat and Ideal commercial boilers.,Boilers/Commercial & Industrial Boilers/Commercial & Industrial Boilers.csv -> Ideal Spares flue manifold top kit 30/40/60/80kw,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/28/08/NW-412808_wm.jpg,,,,,,,,,,,N,,,,176338,N,"Our company remains true to its founding principles of quality, innovation and value – building on its rich heritage as we look to the future.",,,,,,,,,,,,,,,Flue Manifold Top Kit,,,,,,36.4L X 18.4W X 7.6H,Spares,H98089,"60 LPG,150,120,40 LPG,100,Heat 55,Heat 45,80,80 LPG,60,30 LPG,40,30",Commercial,,,,,,,,,,,,,,,,,,,,,
17,P105495,Worcester short extension kit 60/100mm,Worcester,35.6,"This Worcester 100 x 270mm extension kit with smooth finish is suitable for Greenstar CDI Classic 29, 34 and 38 and LPG 29, 34 and 38.",Boilers/Commercial & Industrial Boilers/Commercial & Industrial Boilers.csv -> Worcester short extension kit 60/100mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/54/95/NW-105495_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Worcester_WM-gas-combi_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Worcester_Greenstar_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,P571976,Center CB flue brush kit 9 Piece,Center CB,30.92,This Center CB flue brush set is a handy bit of maintenance kit for industrial and commercial boilers.,Boilers/Commercial & Industrial Boilers/Commercial & Industrial Boilers.csv -> Center CB flue brush kit 9 Piece,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/19/76/NW-571976_wm.jpg,,,,,,,,,,,N,,,,1047,N,"Flue brush kit 9 piece - each set comprises of:1 x 12"" handle","1x 5"" handle","1x 12"" extension rod","1x 12"" piece of iron",1x brush elliptical head,Nylon,"85mm diameter x 12"" long",1x brush head,,,,,,,,Flue Brush Set,Nylon,"85mm diameter x 12"" long",1x brush head,Nylon,"65mm diameter x 95"" long",240 x 270 x,,,,IndustrialCommercial,0.09m,1x brush head,Stainless,"50mm diameter x 95"" long",1x brush head,Nylon,"25mm diameter x 8"" long",,,,,,,,,,,,,,
19,P105918,Worcester flue terminal guard (for 12 32KW boilers) Stainless Steel,Worcester,34.38,"Offering fast, simple installation, this Worcester terminal guard for Vokera 100 M, 100 S and 50 M is made of tough, corrosion-resistant stainless steel.",Boilers/Commercial & Industrial Boilers/Commercial & Industrial Boilers.csv -> Worcester flue terminal guard (for 12 32KW boilers) Stainless Steel,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/59/18/NW-105918_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Worcester_Greenstar_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,P333952,Glow-worm Flue Range 60/100 vertical flue 60/100 Black,Glow-worm,94.0,This Glow-worm 60/100mm vertical flue terminal is made of black polypropylene (PP). A boiler flue is the outlet through which steam and toxic gases resulting from the boiler's normal operation are safely expelled. Different models of flue are chosen to suit the type and location of the appliance.,Boilers/Commercial & Industrial Boilers/Commercial & Industrial Boilers.csv -> Glow-worm Flue Range 60/100 vertical flue 60/100 Black,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/39/52/333952_wm.jpg,,,,,,,,,2720 kg,,N,,,,333952 PK,N,Black vertical flue terminal,,,,,,,,,,,,,,,Vertical Flue Pack,,,,,,1000 x 160 x 160 mm,Flue Range,,,For use with a Glow-worm boiler requiring a vertical flue installation,,,,,,,,Flue,,,,,,,,,,,,,
