,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Warranty,Hazardous,Dimensions mm (H x W x D),By Model Number,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Attachment 1,Range,Model For Use With,Boiler Section,Boiler Range,Part Gas Council number,Pack Quantity,For Use With
10,P477807,Remeha Avanta ignition/ionisation electrode,Remeha,46.46,"This electrode is for use in Remeha's Avanta, Profile Heat Only and Profile System boiler ranges. An ignition (spark) electrode causes the spark that begins combustion within the burner while flame sensing electrodes are responsible for checking if there is a flame present in the burner to make sure that the boiler doesn't keep supplying gas without a flame. We know you’re busy and need to get repair jobs done quickly and efficiently. Your local parts specialist is always on hand to support you. They offer help, advice and they can get you the part you need. Your local branch stocks an in-depth range of domestic gas and oil spare parts from leading manufacturers, so you can fix it first time.",Parts and Spares/sub_categories/Commercial and Industrial Boiler Parts/sub_categories/Broag Commercial Boiler Parts/Broag Commercial Boiler Parts.csv -> Remeha Avanta ignition/ionisation electrode,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/78/07/477807_wm.jpg,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Remeha_Avanta_Range_Installation.pdf,,,,,,,
11,P477781,Remeha Avanta domestic hot water flow sensor,Remeha,68.65,"This Remeha flow sensor is for installation in the control panel of the Avanta boiler. The boiler control panel usually features control knobs and a digital display for switching the boiler on and off, viewing fault info and setting modes. As the leading supplier of parts for all the major boiler manufacturers we’ve got a wealth of experience and knowledge in this area, and with over 450 branches we carry more heating spare parts in more places than any other merchant to help you improve your first time fix rate.",Parts and Spares/sub_categories/Commercial and Industrial Boiler Parts/sub_categories/Broag Commercial Boiler Parts/Broag Commercial Boiler Parts.csv -> Remeha Avanta domestic hot water flow sensor,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/77/81/477781_wm.jpg,,N,,"Avanta Plus Combi 39,Avanta Plus Combi 28,Avanta Exc,Avanta Plus Combi 24,Avanta Plus Combi 35,Avanta Exclusive 39C,Avanta Plus Combi 35c,Avanta Exclusive 28C,Combi,Avanta Exclusive 35C,Avanta Plus Combi 28c,Avanta Plus Eco Combi 28c",720480801,Flow Sensor,N,,,,Avanta,"Avanta Exclusive 28C, Avanta Exclusive 35C, Avanta Exclusive 39C, Avanta Plus Combi 24, Avanta Plus Combi 28, Avanta Plus Combi 35, Avanta Plus Combi 39, Avanta Exclusive 28C, Avanta Exclusive 35C, Avanta Exclusive 39C, Avanta Plus Combi 24c, Avanta Plus",Control Panel,Avanta,H39177,,
12,P480908,Broag transformer ignition,Broag,80.49,This Broag transformer ignition is suitable for use in Remeha Commercial (Baxi) Quinta Pro boilers.,Parts and Spares/sub_categories/Commercial and Industrial Boiler Parts/sub_categories/Broag Commercial Boiler Parts/Broag Commercial Boiler Parts.csv -> Broag transformer ignition,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/09/08/NW-480908_wm.jpg,1 year,N,x  x,"Pro 115,Pro 90,Pro 45,Pro 30,Pro 65",S101619,Transformer Ignition,N,Easy to Replace,High Quality,,,,,,,,
13,P477812,Remeha ignition transformer,Remeha,58.97,"A transformer ignition for the electrode of Remeha Avanta boilers.  The electrode is part of a boiler's pilot assembly, used when generating a spark to ignite the pilot burner. This assembly is operated by an electronic control, usually via the user control panel but sometimes, particularly with older boilers, the pilot must be ignited manually.  As the UK’s leading parts specialist, Wolseley carry the widest range of spares, stocking all the big name brands for the trade. Now, to give our customers even more support, we’re adding a greater number of specified parts from leading manufacturers into our branches with the introduction of the Wolseley Branch Parts Accreditation Scheme. Many branches will now be Silver and Gold accredited, a sign that they hold more stock than anyone else, so you can be confident you’ll get the parts you need to fix it first time. Fast.",Parts and Spares/sub_categories/Commercial and Industrial Boiler Parts/sub_categories/Broag Commercial Boiler Parts/Broag Commercial Boiler Parts.csv -> Remeha ignition transformer,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/78/12/477812_wm.jpg,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Remeha_Avanta_Installation.pdf,,,,,,,
14,P477805,Remeha Avanta pressure gauge and capillary,Remeha,34.75,"This pressure gauge is suitable for use in Remeha's Avanta boiler.  A pressure gauge gives a visual measurement of the pressure in a system. Ordinarily a leak in your system will show as a consistent pressure drop.  As the leading supplier of parts for all the major boiler manufacturers we’ve got a wealth of experience and knowledge in this area, and with over 450 branches we carry more heating spare parts in more places than any other merchant to help you improve your first time fix rate.",Parts and Spares/sub_categories/Commercial and Industrial Boiler Parts/sub_categories/Broag Commercial Boiler Parts/Broag Commercial Boiler Parts.csv -> Remeha Avanta pressure gauge and capillary,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/78/05/477805_wm.jpg,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Remeha_Avanta_Installation.pdf,,,,,,,
15,P477793,Remeha Avanta electrode gaskets,Remeha,42.92,"This gasket is a spare part for boilers in Remeha's Avanta, Main Eco Compact, Gas, Baxi 800, Gas 310 Eco, Gas 310 Eco Pro, Gas 610 Eco Pro, Baxi 600, Tzerra, Gas 220 Ace, Gas 610 Eco and Quinta Ace ranges.  In boilers gaskets join parts to pipework securely, preventing gas and water leaks.  To help you find the right parts for your jobs, go to the industry leading parts identification tool, PartsArena, giving you quick access to over 20,000 exploded diagrams, 10,000 images & 20,000 products. FREE to Wolseley trade account customers.",Parts and Spares/sub_categories/Commercial and Industrial Boiler Parts/sub_categories/Broag Commercial Boiler Parts/Broag Commercial Boiler Parts.csv -> Remeha Avanta electrode gaskets,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/77/93/477793_wm.jpg,1 year,N,,"Avanta Heat Only 15,Baxi Heat 418,Baxi Heat 415,E,Avanta Plus Combi 24,Avanta Heat Only 30,EcoBlue Advance Heat 13,Baxi Heat 412,EcoBlue Advance Heat 25,Baxi Heat 230,Avanta Plus Combi 39,EcoBlue Advance Heat 19,Avanta Exclusive 35C,Avanta Plus System 30",S62105,Gasket,N,,,,Avanta,"Avanta Plus Combi 24, Main Eco Compact Heat 15, 310 Eco Pro, Avanta Plus Combi 28, Baxi Heat 830, Avanta Plus Combi 24c, Gas 310 Eco - 7 Section, Gas 310 Eco Pro - 5 Section, Gas 310 Eco Pro - 7 Section, Gas 610 Eco Pro - 5 Section, Gas 610 Eco Pro - 7 S",Control Panel,"Avanta, Main Eco Compact, Gas, Baxi 800 Range, Gas 310 Eco, Gas 310 Eco Pro, Gas 610 Eco Pro, Baxi 600 Range, Tzerra, Gas 220 Ace, Gas 610 Eco, Quinta Ace",H39122,,
16,P481353,Broag electrode,Broag,33.64,A Broag 72mm ignition electrode for Remeha Commercial (Baxi) boilers. An ignition (spark) electrode causes the spark that begins combustion within the burner.,Parts and Spares/sub_categories/Commercial and Industrial Boiler Parts/sub_categories/Broag Commercial Boiler Parts/Broag Commercial Boiler Parts.csv -> Broag electrode,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/13/53/NW-481353_wm.jpg,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Remeha_Gas-210_Installation.pdf,,,,,,,
17,P480925,Broag on/off switch,Broag,7.01,A Broag replacement on/off switch for Remeha (Baxi) Quinta Pro appliances.,Parts and Spares/sub_categories/Commercial and Industrial Boiler Parts/sub_categories/Broag Commercial Boiler Parts/Broag Commercial Boiler Parts.csv -> Broag on/off switch,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/09/25/NW-480925_wm.jpg,1 year,N,x  x,,S100229,On Off Switch,N,Easy to Replace,High Quality,,,,,,,,
18,P480898,Broag fan,Broag,1660.53,"A Broag replacement fan for Remeha commercial boilers. The fan introduces fresh air into a boiler's combustion chamber, ensuring that gas is burnt correctly and extracting burnt gas at the end of the combustion process. Your boiler's safety parameters ensure that no gas passes through to the main burner if the fan is not functioning correctly.",Parts and Spares/sub_categories/Commercial and Industrial Boiler Parts/sub_categories/Broag Commercial Boiler Parts/Broag Commercial Boiler Parts.csv -> Broag fan,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/08/98/NW-480898_wm.jpg,1 year,N,x  x,"Gas 610 Eco - 5 Section,Gas 310 Eco - 7 Section,Gas 610 Eco - 7 Secti,Gas 310 Eco Pro - 8 Section,Gas 310 Eco - 6 Section,Gas 310 Eco Pro - 5 Section,Gas 310 Eco - 5 Section,Gas 610 Eco - 6 Section,Gas 310 Eco Pro - 6 Section,Gas 310 Eco Pro - 10 Section",S57770,Fan,N,Easy to Replace,High Quality,,,,,,,,
19,P480881,Broag valve gas mulitblock,Broag,2036.76,"This Broag VRB20VA1001 multiblock gas valve is compatible with Remeha Commercial (Baxi) boilers. The gas valve is employed in the distribution of gas. When gas is required in the burner the printed circuit board (PCB) sends a signal to the gas valve, which opens to allow gas to flow into the burner or the pilot assembly (depending on the model of the appliance).",Parts and Spares/sub_categories/Commercial and Industrial Boiler Parts/sub_categories/Broag Commercial Boiler Parts/Broag Commercial Boiler Parts.csv -> Broag valve gas mulitblock,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/08/81/NW-480881_wm.jpg,1 year,N,,"Gas 210 Eco Pro 80kW,Gas 210 Eco Pro 200kW,Gas 210 Eco Pro 120kW,Gas 210 Eco Pro 160kW,210 Pro",S100575,Multiblock Gas Valve,N,Easy to Replace,High Quality,,,,,,,,
20,P418456,Remeha Broag print interface,Remeha,281.65,"Designed for the Hobart WGS and WGSE, this Remeha interface receives a 0 - 10V signal from a BMS, which is interpreted as a temperature control or capacity control signal and communicated to a boiler over OpenTherm via two jumpers. The user is able to switch between temperature and capacity control for both OpenTherm and the feedback interface. This interface also provides a 0 - 10V output for feedback to the BMS plus a fault indicator alarm relay and a green LED for interface status.",Parts and Spares/sub_categories/Commercial and Industrial Boiler Parts/sub_categories/Broag Commercial Boiler Parts/Broag Commercial Boiler Parts.csv -> Remeha Broag print interface,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/84/56/NW-418456_wm.jpg,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Remeha_Interface_Technical.pdf,,,,,,,
21,P477866,Remeha Avanta plate heat exchanger 24/28kw,Remeha,249.42,"A Remeha brand spare, this 24/28kW secondary plate heat exchanger is for use in the Avanta range of boilers.  The heat exchanger transfers heat from a boiler's burner to water. A primary heat exchanger is found in all boilers, using heat from a burner to raise the temperature of the water in the system while a secondary heat exchanger is present only in combis and allows the heat to be transferred between closed systems.  As the UK’s leading parts specialist, Wolseley carry the widest range of spares, stocking all the big name brands for the trade. Now, to give our customers even more support, we’re adding a greater number of specified parts from leading manufacturers into our branches with the introduction of the Wolseley Branch Parts Accreditation Scheme. Many branches will now be Silver and Gold accredited, a sign that they hold more stock than anyone else, so you can be confident you’ll get the parts you need to fix it first time. Fast.",Parts and Spares/sub_categories/Commercial and Industrial Boiler Parts/sub_categories/Broag Commercial Boiler Parts/Broag Commercial Boiler Parts.csv -> Remeha Avanta plate heat exchanger 24/28kw,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/78/66/477866_wm.jpg,,N,,"Avanta Plus Com,Avanta Plus Combi 39,Avanta Plus Combi 28,Avanta Exclusive 39C,Avanta Exclusive 28C,Avanta Plus Combi 24c,Avanta Plus Combi 35,Avanta Plus Combi 24,Avanta Exclusive 35C,Avanta Plus Combi 39c,Avanta Plus Combi 28c,Avanta Plus Eco Combi 28c",720544401,Heat Exchanger,N,,,,Avanta,"Avanta Exclusive 28C, Avanta Exclusive 35C, Avanta Exclusive 39C, Avanta Plus Combi 24, Avanta Plus Combi 28, Avanta Plus Combi 35, Avanta Plus Combi 39, Avanta Exclusive 28C, Avanta Exclusive 35C, Avanta Exclusive 39C, Avanta Plus Combi 24c, Avanta Plus",Diverter Valve,Avanta,H39172,,
22,P481326,Broag eco multiblock gas valve (210),Broag,2001.04,"This Broag multiblock gas valve is suitable for use in selected Remeha Commercial (Baxi) boilers. The gas valve is employed in the distribution of gas. When gas is required in the burner the printed circuit board (PCB) sends a signal to the gas valve, which opens to allow gas to flow into the burner or the pilot assembly (depending on the model of the appliance).",Parts and Spares/sub_categories/Commercial and Industrial Boiler Parts/sub_categories/Broag Commercial Boiler Parts/Broag Commercial Boiler Parts.csv -> Broag eco multiblock gas valve (210),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/13/26/NW-481326_wm.jpg,1 year,N,,,S62930,Multiblock Gas Valve,N,,,,,,,,,,
23,P477779,Remeha Avanta O rings (Pack of 20),Remeha,28.09,"This O-ring is a spare part for Remeha Avanta and eVita boilers.  O-rings, gaskets and washers are used in many different areas of the boiler to join parts to pipework. Among others sections, heat exchangers and gas valves require these parts to prevent gas and water leaks.  We carry over 300 of the most in demand parts in-branch and stock over 25,000 spare parts available for next-day timed delivery.",Parts and Spares/sub_categories/Commercial and Industrial Boiler Parts/sub_categories/Broag Commercial Boiler Parts/Broag Commercial Boiler Parts.csv -> Remeha Avanta O rings (Pack of 20),,20x O-rings,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/77/79/477779_wm.jpg,,N,,"Avanta Plus Combi 28,Avanta Plus Combi 24,Avanta Plus Combi 35,Avanta Plus Combi 35c,Avanta Exclusive 39C,Avanta Plus Combi 24c,Avanta Exclusive 28C,Avanta Plus Co,Combi,Avanta Exclusive 35C,Avanta Plus Combi 28c",720537501,O-Ring,N,,,,Avanta,"Avanta Exclusive 28C, Avanta Plus Combi 24, Avanta Plus Combi 39, Avanta Plus Combi 28, Avanta Exclusive 35C, Avanta Plus Combi 24c, Avanta Plus Combi 28c, Avanta Plus Combi 39c, Avanta Plus Combi 35, Avanta Exclusive 39C, Avanta Plus Combi 35c, Combi, A",Hydraulics,"Avanta, eVita",H39178,Pack of 20,
24,P418585,Remeha Broag GB-ND 057 XP gas block 230V,Remeha,428.78,"This Remeha Broag 230V gas valve block is suitable for use in Remeha Commercial (Baxi and Broag) Pro, Quinta Pro, Gas Ace and Quinta Ace units.",Parts and Spares/sub_categories/Commercial and Industrial Boiler Parts/sub_categories/Broag Commercial Boiler Parts/Broag Commercial Boiler Parts.csv -> Remeha Broag GB-ND 057 XP gas block 230V,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/85/85/NW-418585_wm.jpg,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/nu/al/Remeha_Service_Manual.pdf,,,,,,,
25,P418534,Remeha Broag gas combi block,Remeha,334.21,"This Remeha Broag 90kW gas combi block is suitable for Remeha Commercial (Baxi and Broag) Quinta Pro, Quinta Ace and Gas Ace boilers.",Parts and Spares/sub_categories/Commercial and Industrial Boiler Parts/sub_categories/Broag Commercial Boiler Parts/Broag Commercial Boiler Parts.csv -> Remeha Broag gas combi block,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/85/34/NW-418534_wm.jpg,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/nu/al/Remeha_Service_Manual.pdf,,,,,,,
26,P477802,Remeha Avanta gaskets 14.5 x 8.5 x 2mm,Remeha,28.44,"Measuring 14.5 x 8.5 x 2mm, this Remeha gasket is suitable for use in the heat exchanger of Avanta and Profile System boilers.  O-rings, gaskets and washers are used in many different areas of the boiler to join parts to pipework. Among other sections, heat exchangers and gas valves require these parts to prevent gas and water leaks.  As the leading supplier of parts for all the major boiler manufacturers we’ve got a wealth of experience and knowledge in this area, and with over 450 branches we carry more heating spare parts in more places than any other merchant to help you improve your first time fix rate.",Parts and Spares/sub_categories/Commercial and Industrial Boiler Parts/sub_categories/Broag Commercial Boiler Parts/Broag Commercial Boiler Parts.csv -> Remeha Avanta gaskets 14.5 x 8.5 x 2mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/78/02/477802_wm.jpg,,N,,"Avanta Plus System 18,Avanta Plus Combi 35,Avanta Plus Combi 24,Profile System ErP 30,Avanta Plus Combi 39,24 KW System,Avant,Avanta Exclusive 39C,Avanta Exclusive 28C,Profile System ErP 18,Avanta Exclusive 35C,Avanta Plus Combi 28c,Avanta Plus System 30",S62715,Gasket,N,,,,Avanta,"Avanta Exclusive 28C, Avanta Exclusive 35C, Avanta Exclusive 39C, Avanta Plus Combi 24, Avanta Plus Combi 24, Avanta Plus Combi 28, Avanta Plus Combi 28, Avanta Plus Combi 35, Avanta Plus Combi 35, Avanta Plus Combi 39, Avanta Plus Combi 39, Avanta Plus",Heat Exchanger,"Avanta, Profile System",H39139,,
27,P477714,Broag glass inspection assembly with gasket,Broag,71.91,This Broag replacement glass inspection assembly is Remeha Baxi and Selecta boilers.,Parts and Spares/sub_categories/Commercial and Industrial Boiler Parts/sub_categories/Broag Commercial Boiler Parts/Broag Commercial Boiler Parts.csv -> Broag glass inspection assembly with gasket,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/77/14/NW-477714_wm.jpg,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/li/st/Remeha_Quinta115Eco_Parts_List.pdf,,,,,,,
28,P480897,Broag PCB display,Broag,252.22,"This Broag replacement PCB display is compatible with a variety of Remeha (Broag and Baxi) commercial boilers, including the Quinta Pro. The control centre of a boiler, the printed circuit board (PCB) monitors and controls every process occurring throughout a system via switches, thermostats and sensors. It enforces safety measures too, shutting down boiler functions if internal readings indicate any fault such as high pressure or low water levels.",Parts and Spares/sub_categories/Commercial and Industrial Boiler Parts/sub_categories/Broag Commercial Boiler Parts/Broag Commercial Boiler Parts.csv -> Broag PCB display,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/08/97/NW-480897_wm.jpg,1 year,N,x  x,"Pro 115,Pro 90,Pro 45,Pro 30,Pro 65",S100859,PCB Display,N,Easy to Replace,High Quality,,,,,,,,
