,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Hazardous,Model For Use With,By Model Number,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Attachment 1,Range,Power Supply,Feature 3,Attachment 2,Attachment 3,Attachment 4,Warranty
10,P676423,Prestcold ZR49-72KC/KCE braze/rotalock adaptor kit,Prestcold,67.61,This Prestcold braze/rotolock adapter kit is compatible with models ZR49 to 72KC/CE.,Refrigeration/Compressors/Air Compressor Parts & Accessories/Air Compressor Parts & Accessories.csv -> Prestcold ZR49-72KC/KCE braze/rotalock adaptor kit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/64/23/NW-676423_wm.jpg,N,ZR49 to 72KC/KCE,,8030303,Adaptor Kit,N,Braze/rotalock,,,,,,,,,
11,P676939,Prestcold start capacitor 88-108mf,Prestcold,63.51,A Prestcold 88 to 108uF start capacitor.,Refrigeration/Compressors/Air Compressor Parts & Accessories/Air Compressor Parts & Accessories.csv -> Prestcold start capacitor 88-108mf,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/69/39/676939_wm.jpg,N,,,8562346,Start Capacitor,N,88 to 108uF,,,,,,,,,
12,P683669,Danfoss Maneurop 25  10  140 1 phase electrics control switch starting kit,Danfoss,132.6,This Danfoss Maneurop 1Ph CSR starting kit is compatible with MT(Z) 032-5 and 036-5 models.,Refrigeration/Compressors/Air Compressor Parts & Accessories/Air Compressor Parts & Accessories.csv -> Danfoss Maneurop 25  10  140 1 phase electrics control switch starting kit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/36/69/NW-683668_683669_wm.jpg,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Danfoss_Spare_Parts_Catalogue.pdf,,,,,,,
13,P676878,Copeland run capacitor 60mfd 370v,Copeland,85.02,"This Copeland 475V, 50Hz, 60µF brass run capacitor is for use with ZP41K3E.",Refrigeration/Compressors/Air Compressor Parts & Accessories/Air Compressor Parts & Accessories.csv -> Copeland run capacitor 60mfd 370v,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/68/78/NW-676878_wm.jpg,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Copeland_Replacement_Guide.pdf,,,,,,,
14,P684009,Danfoss scroll compressor mounting kit,Danfoss,22.53,"This Danfoss mounting kit is compatible with HRM, HLM, HCM, HRP, HLP, HCP, HRH, HLH, HLJ, HHP, MLM and MLZ.",Refrigeration/Compressors/Air Compressor Parts & Accessories/Air Compressor Parts & Accessories.csv -> Danfoss scroll compressor mounting kit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/40/09/NW-684009_wm.jpg,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Danfoss_Spare_Parts_Catalogue.pdf,,,,,,,
15,P675130,Danfoss low starting torque start device,Danfoss,17.47,"This Danfoss 230V PTC starter with 26 Ohm auxiliary winding resistance and 1/3"" connections is compatible with FR10 AX, FR10 BK, FR10 BX O/C, FR10 GK, FR10 GX, FR11 BK, FR11 GK, FR11 GX, FR6 BK, FR6 CLX, FR6 DLX, FR6 GK, FR6 GX, FR7 GH O/C, FR7 GHX 230V, FR7.5 BK, FR7.5 BX O/C, FR7.5 GK, FR7.5 GX, FR8.5 AK, FR8.5 BX O/C, FR8.5 CLXFR8.5 GK, FR8.5 GX, GS26 GHX, NL11 FK, NL11 FX, NL6 FK and NL6.",Refrigeration/Compressors/Air Compressor Parts & Accessories/Air Compressor Parts & Accessories.csv -> Danfoss low starting torque start device,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/51/30/NW-675130_wm.jpg,N,FR10 AXFR10 BKFR10 BX O/CFR10 GKFR10 GXFR11 BKFR11 GKFR11 GXFR6 BKFR6 CLXFR6 DLXFR6 GKFR6 GXFR7 GH O/CFR7 GHX 230VFR7.5 BKFR7.5 BX O/CFR7.5 GKFR7.5 GXFR8.5 AKFR8.5 BX O/CFR8.5 CLXFR8.5 GKFR8.5 GXGS26 GHXNL11 FKNL11 FXNL6 FKNL6,FR10 AXFR10 BKFR10 BX O/CFR10 GKFR10 GXFR11 BKFR11 GKFR11 GXFR6 BKFR6 CLXFR6 DLXFR6 GKFR6 GXFR7 GH O/CFR7 GHX 230VFR7.5 BKFR7.5 BX O/CFR7.5 GKFR7.5 GXFR8.5 AKFR8.5 BX O/CFR8.5 CLXFR8.5 GKFR8.5 GXGS26 GHXNL11 FKNL11 FXNL6 FKNL6 FXNL7 CLXNL7 CNKNL7 CNXNL7,103N0011,Start Devise,N,230V,1/3 inch Connection size,,,,25 Ohm auxiliary winding resistance,,,,
16,P677431,Tecumseh rotalock valve gasket 19.1mm,Tecumseh,5.05,This Tecumseh 19.1mm rotolock valve gasket is made of white PTFE.,Refrigeration/Compressors/Air Compressor Parts & Accessories/Air Compressor Parts & Accessories.csv -> Tecumseh rotalock valve gasket 19.1mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/74/31/677431_wm.jpg,N,,,8361007,Gasket,N,White PTFE,19.1mm dia,,,,,,,,
17,P688261,Whirlpool compressor EMIE65HER 1/6 HP R134A 149W,Whirlpool,144.46,A Whirlpool EMIE65HER 1/6HP compressor for use in refrigeration applications.,Refrigeration/Compressors/Air Compressor Parts & Accessories/Air Compressor Parts & Accessories.csv -> Whirlpool compressor EMIE65HER 1/6 HP R134A 149W,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/82/61/688261_wm.jpg,N,,,C00309921,Compressor,N,For refrigeration use,Compatible with R134A,,,,,,,,
18,P676861,"Prestcold discharge rotalock valve 1/2""",Prestcold,82.69,"A Prestcold 1/2"" discharge rotolock valve.","Refrigeration/Compressors/Air Compressor Parts & Accessories/Air Compressor Parts & Accessories.csv -> Prestcold discharge rotalock valve 1/2""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/68/61/NW-676861_wm.jpg,N,,,8032014,Discharge Valve,N,Size 1/2 inch,,,,,,,,,
19,P678867,Flexelec FCH crank case heater 230v 45w,Flexelec,25.36,"Designed to be fitted to a compressor, the Flexelec FCH-30 230V, 45W crankcase heater prevents coolant from being absorbed by oil at lower temperatures when absorption is faster and more complete, causing serious damage due to a lack of lubrication, particularly during start-up.",Refrigeration/Compressors/Air Compressor Parts & Accessories/Air Compressor Parts & Accessories.csv -> Flexelec FCH crank case heater 230v 45w,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/88/70/NW-678867_678870_wm.jpg,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Flexelec_FCH_RoHS_Certification.pdf,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Flexelec_FCH_CE_Declaration.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Flexelec_FCH_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Flexelec_FCH_REACH_Certification.pdf,
20,P688260,Whirlpool compressor NLE15KTK2 220/50 253W R600A KIT,Whirlpool,242.33,A Whirlpool NLE15KTK 220V compressor kit for use in refrigeration applications.,Refrigeration/Compressors/Air Compressor Parts & Accessories/Air Compressor Parts & Accessories.csv -> Whirlpool compressor NLE15KTK2 220/50 253W R600A KIT,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/82/60/688260_wm.jpg,N,,,C00276590,Compressor,N,For refrigeration use,Compatible with R600A,,,,,,,,
21,P697730,Copeland run capacitor 370v,Copeland,67.61,"This Copeland 370V, 30µF run capacitor is made of brass and offers compatibility with ZP18K5E-PFJ.",Refrigeration/Compressors/Air Compressor Parts & Accessories/Air Compressor Parts & Accessories.csv -> Copeland run capacitor 370v,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/77/30/NW-697730_wm.jpg,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Copeland_ZR-PJ_Technical.pdf,,,,,,,
22,P688265,Whirlpool compressor EMX55CLC 1/6 R600 S.P. 156W,Whirlpool,187.82,A Whirlpool EMX55CLC compressor for use in refrigeration applications.,Refrigeration/Compressors/Air Compressor Parts & Accessories/Air Compressor Parts & Accessories.csv -> Whirlpool compressor EMX55CLC 1/6 R600 S.P. 156W,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/82/65/688265_wm.jpg,N,,,C00512341,Compressor,N,For refrigeration use,Compatible with R600 SP,,,,,,,,
23,P688267,Whirlpool compressor NEK6170Y 220-240V 50HZ,Whirlpool,300.49,A Whirlpool NEK6170Y 220 - 240V compressor for use in refrigeration applications.,Refrigeration/Compressors/Air Compressor Parts & Accessories/Air Compressor Parts & Accessories.csv -> Whirlpool compressor NEK6170Y 220-240V 50HZ,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/82/67/688267_wm.jpg,N,,,C00538005,Compressor,N,For refrigeration use,220 to 240V 50Hz model,,,,,,,,
24,P690390,Copeland ZR90K & ZB56K rotalock valve kit,Copeland,216.12,"Made of brass, this Copeland rotolock valve kit is compatible with ZR90K and ZB56K.",Refrigeration/Compressors/Air Compressor Parts & Accessories/Air Compressor Parts & Accessories.csv -> Copeland ZR90K & ZB56K rotalock valve kit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/03/90/NW-690390_wm.jpg,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/nu/al/Copeland_Form_97-49R2_Manual.pdf,,,,,,,
25,P688262,Whirlpool compressor EGAS80HLR 1/4+ HP R134A 195W,Whirlpool,177.04,A Whirlpool EGAS80HLR compressor for use in refrigeration applications.,Refrigeration/Compressors/Air Compressor Parts & Accessories/Air Compressor Parts & Accessories.csv -> Whirlpool compressor EGAS80HLR 1/4+ HP R134A 195W,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/82/62/688262_wm.jpg,N,,,C00309925,Compressor,N,For refrigeration use,Compatible with R134A,,,,,,,,
26,P676566,Prestcold discharge line thermostat,Prestcold,33.8,A Prestcold discharge line thermostat.,Refrigeration/Compressors/Air Compressor Parts & Accessories/Air Compressor Parts & Accessories.csv -> Prestcold discharge line thermostat,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/65/66/NW-676566_wm.jpg,N,ZF09 to ZF18ZS21 to ZS45,ZB50KZB58KZB66KZB76KZB95KZB114K,2981196,Discharge Line,N,compatible with ZF09 to ZF18 and ZS21 to ZS45.,,,,,,,,,
27,P697729,Copeland power cable moulded plug,Copeland,67.61,A Copeland power cable moulded plug for ZR18K5E-PFJ 622.,Refrigeration/Compressors/Air Compressor Parts & Accessories/Air Compressor Parts & Accessories.csv -> Copeland power cable moulded plug,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/77/29/NW-697729_wm.jpg,N,ZR18K5E-PFJ 622,,8406828,Power Cable,N,Moulded Plug,,,,,,,,,
28,P677531,Tecumseh electric box compressor,Tecumseh,143.82,A Tecumseh complete electric box compressor kit for CAJ4492.,Refrigeration/Compressors/Air Compressor Parts & Accessories/Air Compressor Parts & Accessories.csv -> Tecumseh electric box compressor,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/75/31/NW-677531_wm.jpg,N,CAJ4492,,8657026,Electric Box Compressor,N,Complete electrics Kit,,,,,,,,,
29,P688258,Whirlpool compressor EMT40CLP R600A S.P,Whirlpool,145.94,A Whirlpool EMT40CLP compressor for use in refrigeration applications.,Refrigeration/Compressors/Air Compressor Parts & Accessories/Air Compressor Parts & Accessories.csv -> Whirlpool compressor EMT40CLP R600A S.P,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/82/58/688258_wm.jpg,N,,,484000008461,Compressor,N,For refrigeration use,,,,,,,,,
30,P690441,Copeland teflon gasket for 1.3/4” rotalock connection (1.1/2” diameter),Copeland,4.65,"This Copeland 1 1/2"" diameter Teflon gasket with 1 3/4"" rotolock connection is designed for the 3DAD1-75X, ZR11 and ZR19.",Refrigeration/Compressors/Air Compressor Parts & Accessories/Air Compressor Parts & Accessories.csv -> Copeland teflon gasket for 1.3/4” rotalock connection (1.1/2” diameter),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/04/41/NW-690441_wm.jpg,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/nu/al/Copeland_Form_97-49R2_Manual.pdf,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/li/st/Copeland_3DAD1-75X_Parts_List.pdf,,,
31,P688257,Whirlpool compressor EGAS90HLR R134A S.P,Whirlpool,162.67,A Whirlpool EGAS90HLR compressor for use in refrigeration applications.,Refrigeration/Compressors/Air Compressor Parts & Accessories/Air Compressor Parts & Accessories.csv -> Whirlpool compressor EGAS90HLR R134A S.P,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/82/57/688257_wm.jpg,N,,,484000008445,Compressor,N,For refrigeration use,Compatible with R134A,,,,,,,,
32,P697727,Copeland electronic oil switch 230v,Copeland,345.18,"This Copeland 115/230VAC, 50/60Hz black electronic oil pressure switch is compatible with 3DAD1-75X.",Refrigeration/Compressors/Air Compressor Parts & Accessories/Air Compressor Parts & Accessories.csv -> Copeland electronic oil switch 230v,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/77/27/NW-697727_wm.jpg,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/li/st/Copeland_3DAD1-75X_Parts_List.pdf,,,,,,,
33,P690404,Copeland singlephase run cap 50hz,Copeland,77.85,"This Copeland single phase, 475V, 50Hz, 50µF black run capacitor is for use with ZP32K3E and ZR34K3E.",Refrigeration/Compressors/Air Compressor Parts & Accessories/Air Compressor Parts & Accessories.csv -> Copeland singlephase run cap 50hz,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/04/04/690404_wm.jpg,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Copeland_Replacement_Guide.pdf,,,,,,,
34,P677422,"Tecumseh Lunite rotalock valve 5/8""",Tecumseh,69.15,"A Tecumseh Lunite 5/8"" rotolock valve for CAJ4511Y, CAJ4513Y, CAJ9513Z, CAJ4517Z, CAJ4519Z, CAJ2464Z, TAJ4511Y, TAJ9510Z, TAJ9513Z, TAJ4517Z, TAJ4517Z and TAJ2464Z.","Refrigeration/Compressors/Air Compressor Parts & Accessories/Air Compressor Parts & Accessories.csv -> Tecumseh Lunite rotalock valve 5/8""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/74/23/NW-677422_677423_wm.jpg,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Tecumseh_Reference_Guide.pdf,,,,,,,
35,P697815,Copeland crank case heater 67/73W 230V DIA231,Copeland,81.95,"This Copeland 230V, 67/73W crankcase heater is for use with ZR94-ZR190, ZP103-ZP182, ZB50-ZB114 and ZF34-ZF54.",Refrigeration/Compressors/Air Compressor Parts & Accessories/Air Compressor Parts & Accessories.csv -> Copeland crank case heater 67/73W 230V DIA231,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/78/15/NW-697815_wm.jpg,N,ZR94-ZR190ZP103-ZP182ZB50-ZB114ZF34-ZF54,,8622731,Crankcase Heater,N,67/73W,230V,,,"230 V, 67/73 W",,,,,
36,P697760,Copeland discharge line scroll thermostat,Copeland,33.8,"This Copeland 130°C black discharge line thermostat kit is compatible with ZF06-18K4E-TFD, ZF25K5E-TFD and ZF(D)13-18KVE.",Refrigeration/Compressors/Air Compressor Parts & Accessories/Air Compressor Parts & Accessories.csv -> Copeland discharge line scroll thermostat,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/77/60/NW-697760_wm.jpg,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Copeland_ZR_Technical.pdf,,,,,,,
37,P698812,Tecumseh (Voltage Code-F) electrics complete box,Tecumseh,197.66,A Tecumseh voltage code F complete electrics kit for CAJ2446Z.,Refrigeration/Compressors/Air Compressor Parts & Accessories/Air Compressor Parts & Accessories.csv -> Tecumseh (Voltage Code-F) electrics complete box,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/88/12/NW-698812_wm.jpg,N,CAJ2446Z,,8657169,Electric Box Compressor,N,Complete electrics kit,,,,,,,,,
38,P690173,Copeland 3 phase crankcase heater 70w,Copeland,72.73,"A Copeland three phase, 70W crankcase heater for ZR22 to ZR81, ZB/ZS15 to 45 and ZF6 to ZF18.",Refrigeration/Compressors/Air Compressor Parts & Accessories/Air Compressor Parts & Accessories.csv -> Copeland 3 phase crankcase heater 70w,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/01/73/NW-690173_wm.jpg,N,ZR22 to ZR81ZB/ZS15 to 45ZF6 to ZF18,,8561092,Crankcase Heater,N,3 phase,70W,,,,,,,,
39,P690405,Copeland single phase run capacitor 50hz 55uF,Copeland,78.87,"This Copeland 50Hz, 55µF brass run capacitor is for use with ZR40 K3/K3E.",Refrigeration/Compressors/Air Compressor Parts & Accessories/Air Compressor Parts & Accessories.csv -> Copeland single phase run capacitor 50hz 55uF,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/04/05/NW-690405_wm.jpg,N,ZR40 K3/K3E,ZR40K,8540611,Run Capacitor,N,50Hz,55µF,,,,Brass,,,,
40,P688264,Whirlpool compressor TT1117GY ALUM JIAXIPERA,Whirlpool,114.2,A Whirlpool TT1117GY JIAXIPERA compressor for use in refrigeration applications.,Refrigeration/Compressors/Air Compressor Parts & Accessories/Air Compressor Parts & Accessories.csv -> Whirlpool compressor TT1117GY ALUM JIAXIPERA,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/82/64/688264_wm.jpg,N,,,C00496005,Compressor,N,For refrigeration use,,,,,,,,,
