,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Hazardous,Setting Range,Dimensions mm (H x W x D),Supplier Product Code,Type,WEEE Compliant,Application,Feature 1,Feature 2,Boiler Section,Boiler Range,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Range,Feature 9,Feature 10,Feature 11,Feature 12,Feature 13,Feature 14,Voltage (V),Switch Type,Operating Temperature Range (C),Attachment 2,Attachment 3,Pack Quantity,Attachment 4,Attachment 5
10,P311766,Honeywell Home hw home st9400c 22mm s plan ps22aa940c,Honeywell Home,332.66,"This Sundial S Plan installer pack offers full, independent 7 day time and temperature control of heating and hot water in fully pumped central heating installations. Satisfying the requirements of building regulations Part L1 when used in conjunction with radiator thermostats and automatic bypass valve, Sundial S Plan is for systems in dwellings with a floor area greater than 150M.",Heating/Central Heating Controls/Smart Thermostats/Smart Thermostats.csv -> Honeywell Home hw home st9400c 22mm s plan ps22aa940c,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/17/66/311766_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Honeywell_Heating_Controls_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,P311763,Honeywell Home hw home st9400c 22mm y plan py22aa940c,Honeywell Home,279.95,"This Sundial Y Plan installer pack offers full, independent 7 day time and temperature control of heating and domestic hot water in fully pumped central heating installations. Satisfying the minimum requirements of building regulations Part L1 when used in conjunction with radiator thermostats and automatic bypass valve, Sundial Y Plan is for systems in homes with a floor area greater than 150M².",Heating/Central Heating Controls/Smart Thermostats/Smart Thermostats.csv -> Honeywell Home hw home st9400c 22mm y plan py22aa940c,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/17/63/311763_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Honeywell_Heating_Controls_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,P222079,Drayton Wiser thermostat kit 2,Drayton,125.0,"Allowing for convenient control of your heating via the Wiser Heat smartphone app, this Drayton Wiser two-channel thermostat pack is suitable for use with a conventional system and can be wired into an existing cylinder for hot water control. It is supplied with an OpenTherm module and both a wall bracket and a stand for flexibility of installation.",Heating/Central Heating Controls/Smart Thermostats/Smart Thermostats.csv -> Drayton Wiser thermostat kit 2,,Room thermostat;Thermostat stand;Thermostat wall bracket;2x AA batteries;2-channel Heat HubR;OpenTherm module;Wall plate,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/47/99/NW-304799_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ca/te/Drayton_Wiser_RoHS_Certificate.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Drayton_Wiser_Catalogue.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/st/al/Drayton_Wiser_Instal.pdf,,,
13,P353112,Eph Controls CP4i wifi smart thermostat,Eph Controls,167.12,"Cp4I Smart Thermostat Provides The Ultimate Convenience In Heating Control. Take Command Of Your Home’S Temperature Effortlessly, Whether You’Re Within Arm’S Reach Or Miles Away. With Its One-Click Boost Function, You Can Decide The Duration And Desired Temperature Instantly. Elevate Your Comfort And Enhance Energy Efficiency With The Reliable Smart Heating Control From Eph",Heating/Central Heating Controls/Smart Thermostats/Smart Thermostats.csv -> Eph Controls CP4i wifi smart thermostat,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/31/12/353112_wm.jpg,,N,,,CP4I,Smart Thermostat,N,,Wireless,Opentherm,,,NTC100K Sensor,App Control,Gateway Included,,,,,,,,,,,,,,,,24,,
14,P105978,Worcester Bosch EasyControl thermostat White,Worcester Bosch,174.03,"A Worcester Bosch smart internet-connected heating and hot water thermostat suitable for use with Combi System and Greenstar boilers. Combined with smart TRVs this thermostat puts the homeowner in control of the heating in individual rooms, setting the times, temperature and spaces they wish to heat all via a smartphone or tablet.  As the UK’s leading parts specialist, Wolseley carry the widest range of spares, stocking all the big name brands for the trade. Now, to give our customers even more support, we’re adding a greater number of specified parts from leading manufacturers into our branches with the introduction of the Wolseley Branch Parts Accreditation Scheme. Many branches will now be Silver and Gold accredited, a sign that they hold more stock than anyone else, so you can be confident you’ll get the parts you need to fix it first time. Fast.",Heating/Central Heating Controls/Smart Thermostats/Smart Thermostats.csv -> Worcester Bosch EasyControl thermostat White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/59/78/105978_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/WB_EasyControl_CT200_Cntrllr_Install.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/WB_Greenstar_8000_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/WB_EasyControl_Information_Guide.pdf,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Worcester_Bosch_EasyControl_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/st/al/WB_EasyControlSmrtRdtrThrmstt_Instal.pdf
15,P600681,Wolseley Packs CB CP4 installer pack,Wolseley Packs,120.74,TBC,Heating/Central Heating Controls/Smart Thermostats/Smart Thermostats.csv -> Wolseley Packs CB CP4 installer pack,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/06/81/600681_wm.jpg,,N,,,600681 PK,,N,,,,,,,,,,,,,,,,,,,,,,,,,,
16,P336337,Hive hubless active heat and h water tstat v3,Hive,100.53,"Suitable for boilers with hot water tanks, this Hive thermostat is app-enabled and works with voice assistants like Amazon's Alexa. Simple to use, the thermostat can be controlled through your smartphone or tablet, allowing you to switch heating on or off even when you're not at home while voice control gives you flexibility with no need to leave your seat.",Heating/Central Heating Controls/Smart Thermostats/Smart Thermostats.csv -> Hive hubless active heat and h water tstat v3,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/63/37/336337_wm.jpg,,N,,,851812,Thermostat,N,,App-driven for on-the-go control,Compatible with Google Assistant and Amazon Alexa,Control Panel,,Professional installation required,,,,,,,,,,,,,,,,,,,,
17,P222049,Tado wired V3P-SK-ST01IB01-TC-ML             starter kit smart thermostat V3+,Tado,131.24,"Controlling your home heating in whatever way best suits your lifestyle, the tado° Smart Heating wired thermostat pack is compatible with a wide range of apps and digital assistants, including Amazon Echo and Alexa, Siri and Apple HomeKit. This gives you all the flexibility you need to control and optimise your home heating via voice commands, using IFTTT applets for use with third party applications or through the eNet Smart Home system. Helping to save on energy to reduce heating bills, the tado° smart thermostat offers hot water control as well as compatibility with conventional, system or combi boilers as well as select oil boilers and underfloor heating systems. A complete starter kit, this smart heating set includes an internet bridge for connection to your router via RF.",Heating/Central Heating Controls/Smart Thermostats/Smart Thermostats.csv -> Tado wired V3P-SK-ST01IB01-TC-ML             starter kit smart thermostat V3+,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/20/49/222049_wm.jpg,,N,0º - 25º,174x 174 x 70,10221296,Smart Thermostat,N,Smart Heating,"Compatible with Amazon Alexa, Apple HomeKit and Google Home",Connects to iOS and Android apps,,,OpenTherm digital and Ebus compatible,5 - 25°C temperature range,Compatible with digital boilers,Battery powered thermostat,Receiver is mains powered,With LED display,wired,With Geofencing,Includes open window detection,Smart hub included,Requires internet connection,,,230,Relay and Digital,-5º to 45º,,,,,
18,P333589,Salus radio frequency programmable room thermostat,Salus,71.81,"A cost-effective solution to Boiler Plus compliancy, the Salus RT520RF wireless thermostat incorporates an on-board load compensation feature for maximum control and comfort. Including all the features of the brand's previous RT series but with improved operational and efficiency functions, the RT520RF is easy to set up and control and includes handy features including optimum start/stop and a service reminder.",Heating/Central Heating Controls/Smart Thermostats/Smart Thermostats.csv -> Salus radio frequency programmable room thermostat,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/35/89/333589_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Salus_Thermostat_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/st/at/Salus_Thermostat.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/35/89/333589.pdf,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Salus_RT520_Quick-Guide.pdf,
19,P105979,Worcester Bosch EasyControl thermostat Black,Worcester Bosch,174.03,"A Worcester Bosch smart internet-connected heating and hot water thermostat suitable for use with Combi System and Greenstar boilers. Combined with smart TRVs this thermostat puts the homeowner in control of the heating in individual rooms, setting the times, temperature and spaces they wish to heat all via a smartphone or tablet.  As the UK’s leading parts specialist, Wolseley carry the widest range of spares, stocking all the big name brands for the trade. Now, to give our customers even more support, we’re adding a greater number of specified parts from leading manufacturers into our branches with the introduction of the Wolseley Branch Parts Accreditation Scheme. Many branches will now be Silver and Gold accredited, a sign that they hold more stock than anyone else, so you can be confident you’ll get the parts you need to fix it first time. Fast.",Heating/Central Heating Controls/Smart Thermostats/Smart Thermostats.csv -> Worcester Bosch EasyControl thermostat Black,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/59/79/105979_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/WB_EasyControl_CT200_Cntrllr_Install.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/WB_Greenstar_8000_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/WB_EasyControl_Information_Guide.pdf,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Worcester_Bosch_EasyControl_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/st/al/WB_EasyControlSmrtRdtrThrmstt_Instal.pdf
20,P222433,Honeywell Home Evohome radiator zone kit,Honeywell Home,63.0,"The Honeywell Home Evohome electronic radiator controller has 868MHz frequency wireless communication for simple integration into Evohome and other heating systems, providing effortless adjustment of room temperature via a stylish, modern control.",Heating/Central Heating Controls/Smart Thermostats/Smart Thermostats.csv -> Honeywell Home Evohome radiator zone kit,,Radiator controller;Valve base plate M30 x 1.5;Batteries;Display support;Valve adapter type Danfoss RA;Screws for securing radiator controller;Battery compartment,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/00/12/300012_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Honeywell_Heating_Controls_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,P105132,Worcester Bosch EasyControl easy control kit Black,Worcester Bosch,329.79,"A Worcester Bosch easy-install kit for smart internet-connected heating and hot water thermostats, compatible with Combi System and Greenstar boilers.  Thermostats allows the user to change or set the temperature of a boiler. As well as wired thermostats, Wi-Fi enabled and wireless versions can also be used with selected boilers.  As the UK’s leading parts specialist, Wolseley carry the widest range of spares, stocking all the big name brands for the trade. Now, to give our customers even more support, we’re adding a greater number of specified parts from leading manufacturers into our branches with the introduction of the Wolseley Branch Parts Accreditation Scheme. Many branches will now be Silver and Gold accredited, a sign that they hold more stock than anyone else, so you can be confident you’ll get the parts you need to fix it first time. Fast.",Heating/Central Heating Controls/Smart Thermostats/Smart Thermostats.csv -> Worcester Bosch EasyControl easy control kit Black,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/51/32/105132_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/WB_Greenstar_8000_Install.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/WB_EasyControl_CT200_Cntrllr_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/WB_EasyControl_Information_Guide.pdf,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Worcester_Bosch_EasyControl_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/st/al/WB_EasyControlSmrtRdtrThrmstt_Instal.pdf
22,P304798,Drayton Wiser WT714R9K0902 thermostat kit 1,Drayton,147.39,"Allowing for convenient control of your heating via the Wiser Heat smartphone app, this Drayton Wiser single-channel thermostat pack is suitable for use with a combi boiler. It is supplied with an OpenTherm module and both a wall bracket and a stand for flexibility of installation.",Heating/Central Heating Controls/Smart Thermostats/Smart Thermostats.csv -> Drayton Wiser WT714R9K0902 thermostat kit 1,,Room thermostat;Thermostat stand;Thermostat wall bracket;2x AA batteries;1-channel Heat HubR;OpenTherm module;Wall plate,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/47/98/NW-304798_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Drayton_Wiser_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,P300011,Honeywell Home Evohome hw home evohome 4 pack radiator zone kit,Honeywell Home,246.13,"This Honeywell Evohome radiator multi zone kit includes four wireless radiator controllers heads, allowing for the creation of up to five zones with one head per zone, plus the Evohome controller as a temperature sensing device in another.",Heating/Central Heating Controls/Smart Thermostats/Smart Thermostats.csv -> Honeywell Home Evohome hw home evohome 4 pack radiator zone kit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/00/11/300011_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Honeywell_Heating_Controls_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
