,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Range,Weight,Phase,Refrigerant Suitability,Hazardous,Depth (mm),UK Total Cooling,Nominal Heating (kW),Max Sound Pressure,UK Sensible Cooling,Nominal Cooling (kW),Max Airflow (m/min),Min Air Flow (m/min),Min Sound Pressure,Fuse Size (A),Pipe Size Diameter - Gas,Pipe Size Diameter - Liquid,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Warranty,Feature 8,Feature 9,Feature 10,Attachment 2,Attachment 3
10,P697512,Fujitsu AUXG18KVLA R32 Compact Cassette Indoor Unit 5.2KW,Fujitsu,393.6,"The smallest unit in the range, the Fujitsu compact cassette air conditioning unit is suitable for rooms up to 25M² and fits neatly into a ceiling grid for convenient space saving. Offering year-round comfort through heating and cooling, this sleekly designed unit with classic fascia panel is supplied with a hardwired controller for easy operation.",Air Conditioning/Fujitsu R32 Indoor Units/Cassette/Cassette.csv -> Fujitsu AUXG18KVLA R32 Compact Cassette Indoor Unit 5.2KW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/75/14/NW-697510_697514_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Fujitsu_Split_Catalogue_2020.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,P697523,Fujitsu AUXG45KRLB R32 Indoor Circular Flow Cassette Unit 12.5KW,Fujitsu,640.83,"The smart Fujitsu AUXG circular flow cassette air conditioning unit incorporates a multi-programmable seven day, 24 hour timer with intuitive touchscreen controls. Offering high levels of performance in a compact package, Fujitsu air conditioning and heat pump inverter cassette series split systems are suitable for installation in residential and commercial premises, including offices, shops, meeting rooms, restaurants, hotels, and gyms.",Air Conditioning/Fujitsu R32 Indoor Units/Cassette/Cassette.csv -> Fujitsu AUXG45KRLB R32 Indoor Circular Flow Cassette Unit 12.5KW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/75/24/NW-697522_697524_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/al/og/Fujitsu_Split_Air_Cond_Catalog.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,P697524,Fujitsu AUXG54KRLB R32 Indoor Circular Flow Cassette Unit 13.3KW,Fujitsu,939.72,"The smart Fujitsu AUXG circular flow cassette air conditioning unit incorporates a multi-programmable seven day, 24 hour timer with intuitive touchscreen controls. Offering high levels of performance in a compact package, Fujitsu air conditioning and heat pump inverter cassette series split systems are suitable for installation in residential and commercial premises, including offices, shops, meeting rooms, restaurants, hotels, and gyms.",Air Conditioning/Fujitsu R32 Indoor Units/Cassette/Cassette.csv -> Fujitsu AUXG54KRLB R32 Indoor Circular Flow Cassette Unit 13.3KW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/75/24/NW-697522_697524_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/al/og/Fujitsu_Split_Air_Cond_Catalog.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,P697518,Fujitsu AUXG18KRLB R32 Indoor Circular Flow Cassette Unit 5KW,Fujitsu,442.19,"Suitable for commercial or residential use, the Fujitsu indoor cassette air conditioning unit is specifically designed for the heating and cooling of rooms up to 50M². Employing environmentally friendly R32 refrigerant gas, this unit is highly efficient and allows for individual control of each louvre of the 4 way cassette, ensuring comfortable, controlled airflow throughout the room.",Air Conditioning/Fujitsu R32 Indoor Units/Cassette/Cassette.csv -> Fujitsu AUXG18KRLB R32 Indoor Circular Flow Cassette Unit 5KW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/75/20/NW-697518_697520_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Fujitsu_Split_Catalogue_2020.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,P697510,Fujitsu AUXG12KVLA R32 Compact Cassette Indoor Unit 3.4KW,Fujitsu,320.42,"The smallest unit in the range, the Fujitsu compact cassette air conditioning unit is suitable for rooms up to 25M² and fits neatly into a ceiling grid for convenient space saving. Offering year-round comfort through heating and cooling, this sleekly designed unit with classic fascia panel is supplied with a hardwired controller for easy operation.",Air Conditioning/Fujitsu R32 Indoor Units/Cassette/Cassette.csv -> Fujitsu AUXG12KVLA R32 Compact Cassette Indoor Unit 3.4KW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/75/14/NW-697510_697514_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Fujitsu_Split_Catalogue_2020.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,P697521,Fujitsu AUXG30KRLB R32 Indoor Circular Flow Cassette Unit 8.5KW,Fujitsu,539.97,"Highly efficient, this Fujitsu indoor cassette air conditioning unit incorporates heat pump inverter technology to minimise electricity usage.",Air Conditioning/Fujitsu R32 Indoor Units/Cassette/Cassette.csv -> Fujitsu AUXG30KRLB R32 Indoor Circular Flow Cassette Unit 8.5KW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/75/21/NW-697521_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/al/og/Fujitsu_Split_Air_Cond_Catalog.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,P697514,Fujitsu AUXG24KVLA R32 Compact Cassette Indoor Unit 6.8KW,Fujitsu,473.55,"The smallest unit in the range, the Fujitsu compact cassette air conditioning unit is suitable for rooms up to 25M² and fits neatly into a ceiling grid for convenient space saving. Offering year-round comfort through heating and cooling, this sleekly designed unit with classic fascia panel is supplied with a hardwired controller for easy operation.",Air Conditioning/Fujitsu R32 Indoor Units/Cassette/Cassette.csv -> Fujitsu AUXG24KVLA R32 Compact Cassette Indoor Unit 6.8KW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/75/14/NW-697510_697514_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Fujitsu_Split_Catalogue_2020.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,P697520,Fujitsu AUXG24KRLB R32 Indoor Circular Flow Cassette Unit 6.8KW,Fujitsu,533.21,"Suitable for commercial or residential use, the Fujitsu indoor cassette air conditioning unit is specifically designed for the heating and cooling of rooms up to 50M². Employing environmentally friendly R32 refrigerant gas, this unit is highly efficient and allows for individual control of each louvre of the 4 way cassette, ensuring comfortable, controlled airflow throughout the room.",Air Conditioning/Fujitsu R32 Indoor Units/Cassette/Cassette.csv -> Fujitsu AUXG24KRLB R32 Indoor Circular Flow Cassette Unit 6.8KW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/75/20/NW-697518_697520_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Fujitsu_Split_Catalogue_2020.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,P697522,Fujitsu AUXG36KRLB R32 Indoor Circular Flow Cassette Unit 10.0KW,Fujitsu,544.28,"The smart Fujitsu AUXG circular flow cassette air conditioning unit incorporates a multi-programmable seven day, 24 hour timer with intuitive touchscreen controls. Offering high levels of performance in a compact package, Fujitsu air conditioning and heat pump inverter cassette series split systems are suitable for installation in residential and commercial premises, including offices, shops, meeting rooms, restaurants, hotels, and gyms.",Air Conditioning/Fujitsu R32 Indoor Units/Cassette/Cassette.csv -> Fujitsu AUXG36KRLB R32 Indoor Circular Flow Cassette Unit 10.0KW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/75/24/NW-697522_697524_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/al/og/Fujitsu_Split_Air_Cond_Catalog.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,P675284,Fujitsu AUYG45LRLA R410A Cassette Compressor Inverter 12.5KW,Fujitsu,757.68,"Part of a heat pump inverter air conditioning system, the Fujitsu AUYG indoor cassette unit offers a CoP of up to 3.6, depending on the model chosen. This means that the system delivers 3.6 kW of heating yet consumes just 1kW of electrical power, thanks to the use of advanced Fujitsu air conditioning inverter technology and efficient R-410A refrigerant. Delivering an improved airflow pattern, the AUYG incorporates Fujitsu's four-way blow cassette design and a high performance indoor heat exchanger. The resulting pressure loss reduction has allowed for an optimised fan design that offers low sound during operation, even when reaching top outputs of 12.5kW for cooling and 14kW during heating.",Air Conditioning/Fujitsu R32 Indoor Units/Cassette/Cassette.csv -> Fujitsu AUYG45LRLA R410A Cassette Compressor Inverter 12.5KW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/52/84/NW-675284_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Fujitsu_Product_Catalogue_2020.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Fujitsu_AUYG36-54LRLA_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Fujitsu_Cassette_4Way_Flow_Technical.pdf
20,P650380,FUJ VRF 12.5KW CASSETTE I/D AUXK045GLEH,Fujitsu,1155.42,"Highly efficient, the Fujitsu Airstage 12.6kW indoor cassette unit is also compact, quiet and easy to operate. Simple to install and maintain, this unit is designed to blend well into an interior for comfort and convenience without an unattractive appliance spoiling your decor.",Air Conditioning/Fujitsu R32 Indoor Units/Cassette/Cassette.csv -> FUJ VRF 12.5KW CASSETTE I/D AUXK045GLEH,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/03/80/650380_wm.jpg,,VRF,29.5 kg,1 Phase,R410a,N,840,9.3,14.0,44 dB(A),7.6,12.5,30.33 m³/min,19.17 m³ /min,33 dB (A),5,15.87 mm,9.52 mm,AUXK045GLEH,Indoor Unit,N,Unique Circular Flow design,Individual louver control,Human Sensor Option,,,,,3 Years (Standard),,,,,
