,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Range,Hazardous,Boiler Section,Supplier Product Code,Type,WEEE Compliant,Attachment 1,Attachment 2,Attachment 3,Flow Rate,Warranty,Depth (mm),Enclosure Class,Standards,Feature 1,Dimensions mm (H x W x D),Part Gas Council number,By Model Number,Application,Connection Size,Connection Type,Max Pressure,Minimum Operating Temperature,Maximum Operating Temperature,Feature 2,Feature 3,Attachment 4,Fuel Type,Feature 4,Feature 5,Dimensions (L x W x D),Model For Use With,Boiler Range,Connection,Thread Standard,Material,Thread Size,Weight,Operating Temperature,Feature 6,Feature 7,Phase,Output,Litres,Capacity Litre,Attachment 5,Attachment 6,Pack Quantity,For Use With,Feature 8,Feature 9,Voltage (V),Frequency,Pressure Rating
10,P706549,Andrews complete primary pump,Andrews,243.91,"This Andrews complete primary pump is a genuine brand spare for CWH and LCWH models. The pump moves heated water around a boiler, via the heat exchangers and into the radiators or hot taps. The pump is normally located before the diverter valve in a combi to allow circulation through a heating and hot water system.",Parts and Spares/sub_categories/Heating Replacement Parts/Heating Replacement Parts.csv -> Andrews complete primary pump,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/65/49/NW-706549_wm.jpg,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Andrews_Maxxflo_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,P893032,Altecnic Water Shock Arrestor,Altecnic,55.04,"Suitable for a single outlet such as a tap or a washing machine, this Altecnic shock arrestor can also be used for a small group of services, like a bathroom which is supplied via a manifold. It can be installed in any orientation for ease of siting and is used to minimise the noisy vibrations that occur due to water hammer, an issue that can also cause pipes to split or crack, particularly at their joints, resulting in catastrophic leaks. Maintenance-free, this shock arrestor is designed to be installed close to a tap or valve for maximum effectiveness.",Parts and Spares/sub_categories/Heating Replacement Parts/Heating Replacement Parts.csv -> Altecnic Water Shock Arrestor,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/30/32/NW-893032_wm.jpg,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Altecnic_plumbing&heating_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Altecnic_Hammer_Arrester_Tech.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,P797366,Andrews gas valve,Andrews,330.67,"This Andrews gas valve for natural gas is suitable for the brand's CWH and LCWH appliances. The gas valve is employed in the distribution of gas. When gas is required in the burner the printed circuit board (PCB) sends a signal to the gas valve, which opens to allow gas to flow into the burner or the pilot assembly (depending on the model of the appliance).",Parts and Spares/sub_categories/Heating Replacement Parts/Heating Replacement Parts.csv -> Andrews gas valve,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/73/66/NW-797366_wm.jpg,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Andrews_Maxxflo_WaterHeaters_Install.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,P893104,Altecnic Robokit Extra 900018 18ltr,Altecnic,261.74,"Easy to install and built to last, the 18L Altecnic Robokit Extra sealed system kit does away with the need to fit feed and vent tanks into a central heating system for a space saving, cost effective solution to home heating. The flexibility of the Robokit makes siting simple, even in challenging homes where space is at a premium.",Parts and Spares/sub_categories/Heating Replacement Parts/Heating Replacement Parts.csv -> Altecnic Robokit Extra 900018 18ltr,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/31/05/893102_893105_wm.jpg,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Altecnic_plumbing&heating_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Altecnic_RobokitXtrSeldSystemKt_Tech.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,P412789,Ideal Spares burner kit 100kw,Ideal,453.22,An Ideal 100kW burner kit for Ideal 30 - 150 and LPG boilers. The burner produces heat in a combustible heating appliance. In natural gas appliances gas is transferred to a gas valve and into the burner for ignition. The heat created is used to heat the water in the master heat exchanger.,Parts and Spares/sub_categories/Heating Replacement Parts/Heating Replacement Parts.csv -> Ideal Spares burner kit 100kw,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/27/89/NW-412789_wm.jpg,Spares,N,,176355,Burner Kit,N,,,,,,,,,"Our company remains true to its founding principles of quality, innovation and value – building on its rich heritage as we look to the future.",33.7L X 29.6W X 2.7H,H98104,"100,60 LPG,80,80 LPG,60,30 LPG,40,150,30,120,40 LPG",Commercial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,P893102,Altecnic Robokit Extra 900008 8ltr,Altecnic,246.75,"Easy to install and built to last, the 8L Altecnic Robokit Extra sealed system kit does away with the need to fit feed and vent tanks into a central heating system for a space saving, cost effective solution to home heating. The flexibility of the Robokit makes siting simple, even in challenging homes where space is at a premium.",Parts and Spares/sub_categories/Heating Replacement Parts/Heating Replacement Parts.csv -> Altecnic Robokit Extra 900008 8ltr,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/31/05/893102_893105_wm.jpg,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Altecnic_plumbing&heating_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Altecnic_RobokitXtrSeldSystemKt_Tech.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,P538290,"Altecnic Reflex PVACC1 flowjet valve 3/4""",Altecnic,35.6,"Ensuring continuous flow through a bladder, the Altecnic Reflex 3/4"" flowjet valve minimises the issue of stagnation, helping to maintain the quality of potable water.","Parts and Spares/sub_categories/Heating Replacement Parts/Heating Replacement Parts.csv -> Altecnic Reflex PVACC1 flowjet valve 3/4""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/82/90/538290_wm.jpg,Reflex,N,,PVACC1,Flowjet Valve,N,,,,,,,,,,,,,,3/4,Male X Female BSP,10,0,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,P797354,Andrews ionisation rod,Andrews,147.31,This Andrews ionisation rod is suitable for use in the brand's CWH and LCWH appliances.,Parts and Spares/sub_categories/Heating Replacement Parts/Heating Replacement Parts.csv -> Andrews ionisation rod,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/73/54/NW-797354_wm.jpg,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Andrews_Maxxflo_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,P412838,Ideal Heating Spares burner seal kit 60/80kW,Ideal Heating,55.14,This Ideal 60/80kW burner seal kit is compatible with a variety of Keston and Ideal commercial boilers.,Parts and Spares/sub_categories/Heating Replacement Parts/Heating Replacement Parts.csv -> Ideal Heating Spares burner seal kit 60/80kW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/28/38/NW-412838_wm.jpg,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Ideal_Evomax_Install.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,P497066,Riello RDB control box,Riello,155.97,"This Riello control box is suitable for residential, commercial and industrial use and offers compatibility with a range of boilers.",Parts and Spares/sub_categories/Heating Replacement Parts/Heating Replacement Parts.csv -> Riello RDB control box,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/70/66/NW-497066_wm.jpg,,N,,87161092030,Control Box,N,,,,,,,,,"Compatible with Camray 25/32 Ext, Danesmoor HE 32/50 OOO GB Utility and Danesmoor HE 50/70 OOO GB Utility",x  x,,"HEATSLAVE 25/32 EXT,CAMRAY 25/32 EXT,DANESMOOR HE 32/50 OOO GB U'LITY,HEATSLAVE HE 25/32 INT,CAMRAY 25/32 U'LITY,CAMRAY 25/32 U'LITY SYS,DANESMOOR HE 50/70 OOO GB U'LITY,CAMRAY 25/32 EXT SYS",ResidentialCommercialIndustrial,,,,,,"Compatible with Heatslave 25/32 Ext, Heatslave HE 25/32 Int and Camray 25/32 Ext Sys",Compatible with Camray 25/32 Utility and Camray 25/32 Utility Sys,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,P597789,Center CB Flexcon veskit fittings Type-A 4-25ltr,Center CB,69.37,"A sealed system mounting and component kit, the Center CB Flexcon Type A veskit contains a range of components, from filling loop to safety relief valve and connection manifold for the straightforward installation of Center CB brand expansion vessels.",Parts and Spares/sub_categories/Heating Replacement Parts/Heating Replacement Parts.csv -> Center CB Flexcon veskit fittings Type-A 4-25ltr,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/77/89/597789_wm.jpg,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_o/&m/Flexcon Top O&M.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,P706538,Andrews master board enable,Andrews,816.28,"This Andrews master PCB is compatible with CWH and LCWH appliances. The control centre of a boiler, the printed circuit board (PCB) monitors and controls every process occurring throughout a system via switches, thermostats and sensors. It enforces safety measures too, shutting down boiler functions if internal readings indicate any fault such as high pressure or low water levels.",Parts and Spares/sub_categories/Heating Replacement Parts/Heating Replacement Parts.csv -> Andrews master board enable,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/65/38/NW-706538_wm.jpg,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Andrews_Maxxflo_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,P612242,Pump House TR-D-140-B ASHP trunking 140mm x 2mtr Black,Pump House,51.26,"Supplying a neat professional finish, this Pump House ASHP 2M trunking is made of fade-resistant black PVC. Suitable for both insulated flow and return pipework, this 140mm width trunking also accommodates all associated cables.",Parts and Spares/sub_categories/Heating Replacement Parts/Heating Replacement Parts.csv -> Pump House TR-D-140-B ASHP trunking 140mm x 2mtr Black,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/22/42/NW-612242_wm.jpg,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Pumphouse_RAC_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Pump_House_ASHP_140mm_Trunking_Tech.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,P470442,Magiglo Elite coals,Magiglo,50.24,A Magiglo PC45 fireplace coal bed.,Parts and Spares/sub_categories/Heating Replacement Parts/Heating Replacement Parts.csv -> Magiglo Elite coals,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/04/42/NW-470442_wm.jpg,,N,,COAELI16,Coal,N,,,,,,,,,Black,x  x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,P893031,Altecnic Robofil Automatic Filling Loop with Pressure Reducing Valve,Altecnic,155.42,"Fill sealed systems from the cold water mains with this easy to use Altecnic Robofil auto-fill loop, supplied complete with PRV. Fully compliant with water regulations, this part is a useful addition to your sealed system.",Parts and Spares/sub_categories/Heating Replacement Parts/Heating Replacement Parts.csv -> Altecnic Robofil Automatic Filling Loop with Pressure Reducing Valve,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/30/31/893031_wm.jpg,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Altecnic_Plumbing_Heating_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Altecnic_plumbing&heating_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Altecnic_Robofil_F-Loop_Installation.pdf,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Altecnic_Plumbing_Heating_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,P893030,Altecnic Robokit Sealed System Kit,Altecnic,128.98,"Easy to install, this Altecnic Robokit sealed system kit does away with the requirement to feed and vent tanks, reduces ongoing maintenance and improves siting options. Containing all components required for a sealed system, from a filling loop to mounting bracket, this kit makes installation straightforward.",Parts and Spares/sub_categories/Heating Replacement Parts/Heating Replacement Parts.csv -> Altecnic Robokit Sealed System Kit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/30/30/893030_wm.jpg,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Altecnic_Plumbing_Heating_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Altecnic_plumbing&heating_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Altecnic_RobokitXtrSeldSystemKt_Tech.pdf,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Altecnic_Plumbing_Heating_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,P797144,Andrews spark ignition control,Andrews,391.36,"This Andrews spark ignition control is suitable for installation in RFF190 B or RFF280 B boilers. A spark generator and spark electrode are part of a boiler's pilot assembly, used when generating a spark to ignite the pilot burner. This assembly is operated by an electronic control, usually via the user control panel but sometimes, particularly with older boilers, the pilot must be ignited manually.",Parts and Spares/sub_categories/Heating Replacement Parts/Heating Replacement Parts.csv -> Andrews spark ignition control,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/71/44/NW-797144_wm.jpg,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Andrews_RFF_190-280_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,P761165,Andrews pump,Andrews,500.0,"This Andrews replacement pump is a genuine part for the brand's CWH and LCWH units. The pump moves heated water around a boiler, via the heat exchangers and into the radiators or hot taps. The pump is normally located before the diverter valve in a combi to allow circulation through a heating and hot water system.",Parts and Spares/sub_categories/Heating Replacement Parts/Heating Replacement Parts.csv -> Andrews pump,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/11/65/NW-761165_wm.jpg,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Andrews_Maxxflo_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,P706544,Andrews hot surface ignitor,Andrews,115.82,"An Andrews hot surface igniter for ECOflo EC380/1900, LEC180/1900 and LEC230/700. The most commonly used electronic ignition system, a hot surface ignitor works by heating up when electricity passes through it. Ordinarily made of silicon nitride and silicon carbide ceramic, the igniter’s heat ignites the gas on the opening of the gas valve",Parts and Spares/sub_categories/Heating Replacement Parts/Heating Replacement Parts.csv -> Andrews hot surface ignitor,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/65/44/NW-706544_wm.jpg,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Andrews_Ecoflo_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
